business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Basanth engineering works,Welding and Lathe Works,Machine workshop,Machine workshop,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",N/A,N/A,5.0,,"Basanth Engineering works Collector's, Banglow Road, Kochupilammood, Kollam, Keralam 691001","Kochupilammood, Mundakkal Village",8.8771977,76.5950979,ChIJI48DnCn9BTsRaORqEJ3RxcU,https://www.google.com/maps/place/?q=place_id:ChIJI48DnCn9BTsRaORqEJ3RxcU,part_307,2026-09-20 20:33:19
"fabrication work, welding work, bending work,mechanical work",Welding and Lathe Works,Machine shop,Machine shop,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 99909 79498,http://cncjobworkfabricationworkanymechanicalwork.com/,5.0,,"C-218, NEAR, Patel Chowk, Pocket B, Sanjay Gandhi Memorial Nagar, Sector 48, Faridabad, Haryana 121001","Pocket B, Sanjay Gandhi Memorial Nagar, Sector 48",28.4099343,77.29221679999999,ChIJrTBcEwLdDDkRmXg8TCmhvLA,https://www.google.com/maps/place/?q=place_id:ChIJrTBcEwLdDDkRmXg8TCmhvLA,part_307,2026-09-20 20:33:19
Vasav Machining Centre,Welding and Lathe Works,Manufacturer,"Manufacturer, Machining manufacturer",691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 93873 51667,N/A,4.4,14.0,"Madannada to Eravipuram Rd, Bharanikkavu, Madannada, Kollam, Keralam 691016","Bharanikkavu, Madannada",8.8750927,76.61557599999999,ChIJfd7JzZX8BTsR5G_fY-a6850,https://www.google.com/maps/place/?q=place_id:ChIJfd7JzZX8BTsR5G_fY-a6850,part_307,2026-09-20 20:33:20
Friends Lathe Workshop,Welding and Lathe Works,Machine workshop,Machine workshop,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 81297 81165,N/A,4.8,4.0,"VJFJ+794, NH 66, Pallimukku, Kollam, Keralam 691010",Pallimukku,8.8741869,76.62678609999999,ChIJMX0107v8BTsRWC80-h3RPYw,https://www.google.com/maps/place/?q=place_id:ChIJMX0107v8BTsRWC80-h3RPYw,part_307,2026-09-20 20:33:20
Cp engeneering welding workshop kollm,Welding and Lathe Works,Welding supply store,Welding supply store,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 99956 60888,N/A,3.3,14.0,"Anugraha Nagar, Ayathil, Kollam, Keralam 691004","Anugraha Nagar, Ayathil",8.8965736,76.6354952,ChIJp0C92f79BTsRszAFpmh2CkY,https://www.google.com/maps/place/?q=place_id:ChIJp0C92f79BTsRszAFpmh2CkY,part_307,2026-09-20 20:33:20
Koottiltharayil Engineering Works,Welding and Lathe Works,Welder,Welder,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",N/A,N/A,,,"WGJW+2X9, Sakthikulangara, Kollam, Kerala 691581",Sakthikulangara,8.9300283,76.54749819999999,ChIJm1-aFAj-BTsRnJzSO_jNBYQ,https://www.google.com/maps/place/?q=place_id:ChIJm1-aFAj-BTsRnJzSO_jNBYQ,part_307,2026-09-20 20:33:20
Mechanical Engineering Workshop Block,Welding and Lathe Works,Machine shop,Machine shop,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",N/A,N/A,4.2,5.0,"WJ7M+G3Q, Karicode, Peroor, Kottamkara, Keralam 691005","Karicode, Peroor",8.9138283,76.6327309,ChIJG4IdyzH9BTsRM0SjhueIFAc,https://www.google.com/maps/place/?q=place_id:ChIJG4IdyzH9BTsRM0SjhueIFAc,part_307,2026-09-20 20:33:20
Surya Industries & Sales Depot,Welding and Lathe Works,Welder,"Welder, Bearing supplier, Machine maintenance service, Tool store, Metal workshop",691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 90613 19816,N/A,4.0,2.0,"Jawahar juntion, Parippally, Keralam 691574",691001,8.8118727,76.7669581,ChIJ3zKde8vnBTsRfHf_1Gs6rJk,https://www.google.com/maps/place/?q=place_id:ChIJ3zKde8vnBTsRfHf_1Gs6rJk,part_307,2026-09-20 20:33:20
Master Engineerings,Welding and Lathe Works,Machine workshop,Machine workshop,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 94469 16057,N/A,5.0,1.0,"VJR3+Q33, Kadapakkada, Kollam, Kerala 691008",Kadapakkada,8.8918994,76.60268409999999,ChIJ08zERfr8BTsRgaBxNCwsR6k,https://www.google.com/maps/place/?q=place_id:ChIJ08zERfr8BTsRgaBxNCwsR6k,part_307,2026-09-20 20:33:20
K.S Engineering works,Welding and Lathe Works,Welding supply store,Welding supply store,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",N/A,N/A,,,"VM7J+VV2, Keralam 691571",691001,8.864719899999999,76.6816162,ChIJKRP-OQDjBTsRG2VCcogRoDM,https://www.google.com/maps/place/?q=place_id:ChIJKRP-OQDjBTsRG2VCcogRoDM,part_307,2026-09-20 20:33:20
Iswarya Welding Engineering Work Shop Vallikeezhu,Welding and Lathe Works,Business to business service,Business to business service,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 96454 82275,N/A,,,"Ramankulangara, Kureepuzha North, Kollam, Keralam 691003","Ramankulangara, Kureepuzha North",8.9114053,76.5606549,ChIJ1yw7-Z79BTsRSsQ2pouqZPk,https://www.google.com/maps/place/?q=place_id:ChIJ1yw7-Z79BTsRSsQ2pouqZPk,part_307,2026-09-20 20:33:20
LEKSHMI ENGINEERING WORKS,Welding and Lathe Works,Machine workshop,Machine workshop,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",+91 81370 76409,N/A,,,"9, Tkm Nagar, Karicode, Peroor, Kollam, Keralam 691015","Tkm Nagar, Karicode, Peroor",8.9140722,76.63023059999999,ChIJ7V2U1nn9BTsRBDpJIsosOC4,https://www.google.com/maps/place/?q=place_id:ChIJ7V2U1nn9BTsRBDpJIsosOC4,part_307,2026-09-20 20:33:20
Krishna Engineering works,Welding and Lathe Works,Welding supply store,Welding supply store,691001,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kollam HO, Kollam Bazar SO, Kollam Cantonment SO",N/A,N/A,3.0,2.0,"QQ6P+HPP, Kallambalam, Keralam 695611",691001,8.7617849,76.78694519999999,ChIJGwL9wPDpBTsRgZS-YizAhvs,https://www.google.com/maps/place/?q=place_id:ChIJGwL9wPDpBTsRgZS-YizAhvs,part_307,2026-09-20 20:33:20
