business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tea Chai,Tea Stall / Chai Cafe,Tea Stall / Chai Cafe,Tea Stall / Chai Cafe,691009,Kerala Circle,Trivandrum HQ Region,Quilon Division,Thevally SO,+91 94321 27300,N/A,2.7,,"11H, Manohar Pukur Rd, Hazra, Kalighat, Kolkata, West Bengal 700026","Hazra, Kalighat",22.5224007,88.34913259999999,ChIJXaesXjF3AjoRKRwfTePRao4,https://www.google.com/maps/place/?q=place_id:ChIJXaesXjF3AjoRKRwfTePRao4,part_307,2026-09-20 20:37:27
Gorom da Special Tea,Tea Stall / Chai Cafe,Cafe,Cafe,691009,Kerala Circle,Trivandrum HQ Region,Quilon Division,Thevally SO,N/A,N/A,4.9,1593.0,"161, Raja Subodh Chandra Mallick Rd, beside K.P.C Medical College, Jadavpur, Kolkata, West Bengal 700032",Jadavpur,22.4942784,88.37174519999999,ChIJnVgUJhhxAjoRReu9BtV9g1A,https://www.google.com/maps/place/?q=place_id:ChIJnVgUJhhxAjoRReu9BtV9g1A,part_307,2026-09-20 20:37:29
Ye Lo Chai,Tea Stall / Chai Cafe,Cafe,"Cafe, Coffee shop",691009,Kerala Circle,Trivandrum HQ Region,Quilon Division,Thevally SO,+91 40 4857 1514,N/A,3.9,1195.0,"shop no 4, Ravi Enclave, 1-111/4/b, beside Chatori chaat, Kondapur, Hanuman Nagar, Shilpa Hills, Hyderabad, Kothaguda, Telangana 500084","Kondapur, Hanuman Nagar, Shilpa Hills",17.465181299999998,78.3682123,ChIJJ6EhoMuTyzsRP19qfnlkGvU,https://www.google.com/maps/place/?q=place_id:ChIJJ6EhoMuTyzsRP19qfnlkGvU,part_307,2026-09-20 20:37:29
SWAD AMRUTAM CHAI KALOL,Tea Stall / Chai Cafe,Tea store,"Tea store, Coffee shop, Restaurant, Snack bar",691009,Kerala Circle,Trivandrum HQ Region,Quilon Division,Thevally SO,+91 87340 30097,https://www.instagram.com/swad_amrutam_chai_kalol?igsh=c2Jramx4dzl0bTdz,4.9,347.0,"Shop No. 8, Ground Floor, Kamla, Amrut Complex, opp. Railway station, Navjivan Mill Compound, Memon Market, Kalol, Gujarat 382721","Navjivan Mill Compound, Memon Market",23.2428957,72.502665,ChIJHYVTkcQlXDkRX-HiuH3GoJg,https://www.google.com/maps/place/?q=place_id:ChIJHYVTkcQlXDkRX-HiuH3GoJg,part_307,2026-09-20 20:37:29
Brewmash - Your Local Tea House,Tea Stall / Chai Cafe,Restaurant,"Restaurant, Tea house",691009,Kerala Circle,Trivandrum HQ Region,Quilon Division,Thevally SO,N/A,N/A,4.9,116.0,"No. 24/1, A/4 A/5, 22nd Cross Rd, Jayanagar 3rd Block, Bengaluru, Karnataka 560011","Bairasandra Extension, Jaya Nagar 1st Block, Jayanagar 3rd Block, Jayanagar",12.9330568,77.58429029999999,ChIJRXYjrXkVrjsRWmCTfZh1WJA,https://www.google.com/maps/place/?q=place_id:ChIJRXYjrXkVrjsRWmCTfZh1WJA,part_307,2026-09-20 20:37:29
Sharma Tea,Tea Stall / Chai Cafe,Tea house,"Tea house, Breakfast restaurant, Coffee shop, Fast food restaurant, Grocery store, Tea store, Vegetarian restaurant",691009,Kerala Circle,Trivandrum HQ Region,Quilon Division,Thevally SO,+91 96745 55553,N/A,4.2,8317.0,"PS 391, Saltlake City CF 209 Near Saltlake Swimming Pool, 391, CF Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064","CF Block, Sector 1, Bidhannagar",22.5948297,88.41830859999999,ChIJaYGNfOx1AjoRJeLCDzGbbFQ,https://www.google.com/maps/place/?q=place_id:ChIJaYGNfOx1AjoRJeLCDzGbbFQ,part_307,2026-09-20 20:37:29
GABRU CHAIWALA - Ek CHAI Hojaaye?,Tea Stall / Chai Cafe,Tea store,Tea store,691009,Kerala Circle,Trivandrum HQ Region,Quilon Division,Thevally SO,N/A,http://www.instagram.com/bubbletalesindia,4.1,25.0,"A-4, North, Rajapur, Pocket 18, Sector 9, Rohini, New Delhi, Delhi, 110085","Rajapur, Pocket 18, Sector 9, Rohini",28.7142235,77.1294644,ChIJL7USoL4BDTkRGBJ6cvXyfxg,https://www.google.com/maps/place/?q=place_id:ChIJL7USoL4BDTkRGBJ6cvXyfxg,part_307,2026-09-20 20:37:29
Share Chai,Tea Stall / Chai Cafe,Cafe,Cafe,691009,Kerala Circle,Trivandrum HQ Region,Quilon Division,Thevally SO,+91 70039 20340,N/A,4.3,680.0,"53, Southern Ave, Lake Market, Kalighat, Kolkata, West Bengal 700029","Lake Market, Kalighat",22.513359599999998,88.3490765,ChIJdTijfo9xAjoR366cTeqqy5c,https://www.google.com/maps/place/?q=place_id:ChIJdTijfo9xAjoR366cTeqqy5c,part_307,2026-09-20 20:37:29
PREMACHA CHAHA - KOLHAPUR,Tea Stall / Chai Cafe,Tea store,"Tea store, Cafe",691009,Kerala Circle,Trivandrum HQ Region,Quilon Division,Thevally SO,N/A,http://www.premachachaha.in/,4.9,153.0,"Ratnakar Book Depot, Shree Mahalaxmi Temple, Jotiba Rd, behind Sarlashkar Bhavan, Wangi Bol, Oppsite, Kolhapur, Maharashtra 416012","Wangi Bol, Oppsite",16.6953033,74.2234486,ChIJbevVJ2MBwTsRO_T856s17g0,https://www.google.com/maps/place/?q=place_id:ChIJbevVJ2MBwTsRO_T856s17g0,part_307,2026-09-20 20:37:29
Blue Sea Tea & Snacks,Tea Stall / Chai Cafe,Tea house,"Tea house, Coffee shop",691009,Kerala Circle,Trivandrum HQ Region,Quilon Division,Thevally SO,+91 78933 28904,N/A,4.4,15649.0,"CGP3+PX8, St Johns Rd, Regimental Bazaar, Shivaji Nagar, Secunderabad, Telangana 500003","Regimental Bazaar, Shivaji Nagar",17.4367841,78.5049468,ChIJR6BsaiSayzsRsSO9VMoYktQ,https://www.google.com/maps/place/?q=place_id:ChIJR6BsaiSayzsRsSO9VMoYktQ,part_307,2026-09-20 20:37:29
Lucky Tea,Tea Stall / Chai Cafe,Tea store,"Tea store, Coffee shop",691009,Kerala Circle,Trivandrum HQ Region,Quilon Division,Thevally SO,+91 81281 75580,http://facebook.com/luckyteakalol,4.3,1557.0,"Tower Chawk, Kalol, Gujarat 382721",Ghanchiwad,23.2454483,72.4977676,ChIJgcVnit0lXDkR10AeN-P0LTI,https://www.google.com/maps/place/?q=place_id:ChIJgcVnit0lXDkR10AeN-P0LTI,part_307,2026-09-20 20:37:29
ArtTeas,Tea Stall / Chai Cafe,Tea store,"Tea store, Tea Exporter, Tea house, Tea market place, Tea Wholesaler",691009,Kerala Circle,Trivandrum HQ Region,Quilon Division,Thevally SO,+91 82749 88053,https://www.artteas.in/,5.0,48.0,"42/135, New Ballygunge Rd, New Ballygunge, Kasba, Kolkata, West Bengal 700039","New Ballygunge, Kasba",22.52134,88.3805126,ChIJmRO59lh3AjoRY9VCgodTU14,https://www.google.com/maps/place/?q=place_id:ChIJmRO59lh3AjoRY9VCgodTU14,part_307,2026-09-20 20:37:29
Tea Stall,Tea Stall / Chai Cafe,Tea store,Tea store,691009,Kerala Circle,Trivandrum HQ Region,Quilon Division,Thevally SO,N/A,N/A,4.1,13.0,"16-11-16/M/40, 500036, Road, Moosarambagh, Ramkoti, East Prasanth Nagar, Hyderabad, Telangana 500036","Moosarambagh, Ramkoti, East Prasanth Nagar, Dilsukhnagar",17.378024399999997,78.51691699999999,ChIJrTLWJFSYyzsRLQchf7-mBuY,https://www.google.com/maps/place/?q=place_id:ChIJrTLWJFSYyzsRLQchf7-mBuY,part_307,2026-09-20 20:37:29
