business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AEON Spoken English,Spoken English Institute,Educational institution,"Educational institution, Adult education school, Education center",691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 94002 13599,http://aeonacademy.in/,5.0,,"Alexo Complex, near GTech op Dream Mall, Kottiyam, Thazhuthala, Keralam 691571",691303,8.8662268,76.67020579999999,ChIJn6MlWCXjBTsRmPARCdlxyx4,https://www.google.com/maps/place/?q=place_id:ChIJn6MlWCXjBTsRmPARCdlxyx4,part_308,2026-09-20 20:17:02
Spoken English Dilip's Nalanda,Spoken English Institute,Coaching Center,Coaching Center,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 94463 33999,N/A,4.9,,"jnra37 jawahar junction, Jawahar Nagar, Chammamukku, Kollam, Keralam 691001","Jawahar Nagar, Chammamukku",8.882349699999999,76.6047531,ChIJ3aK7WvL8BTsRtku9zMucYNI,https://www.google.com/maps/place/?q=place_id:ChIJ3aK7WvL8BTsRtku9zMucYNI,part_308,2026-09-20 20:17:02
Speakeazy English Academy - Kollam,Spoken English Institute,Educational institution,Educational institution,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 75102 22000,https://speakeazyacademy.com/,5.0,,"3rd Floor, RP Mall, Chinnakada, Kollam, Keralam 691001",Chinnakada,8.8895131,76.5857237,ChIJDYXbgIr9BTsRLBV7SLFddZ0,https://www.google.com/maps/place/?q=place_id:ChIJDYXbgIr9BTsRLBV7SLFddZ0,part_308,2026-09-20 20:17:02
Lambert's Spoken English Centre,Spoken English Institute,English language school,English language school,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 99953 85013,http://www.lambertspokenenglish.com/,4.8,,"Temple, House No. 140 Opp Anoop Motor Works, Ammachiveedu–Anchukallumoodu Road, 200 m past, Ammachiveedu Rd, Kollam, Keralam 691012","Thangasherry East, Thangassery",8.890816,76.5724577,ChIJmUHArUf8BTsRgpnpLnqlznw,https://www.google.com/maps/place/?q=place_id:ChIJmUHArUf8BTsRgpnpLnqlznw,part_308,2026-09-20 20:17:02
Mindforge Academia,Spoken English Institute,English language school,English language school,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 99477 76484,N/A,5.0,,"Padinjatte Bhagam, Kurumandal, Paravur, Kerala 691301",Kurumandal,8.8154088,76.65946129999999,ChIJJ3Fw6r3lBTsREgY2WniQPdk,https://www.google.com/maps/place/?q=place_id:ChIJJ3Fw6r3lBTsREgY2WniQPdk,part_308,2026-09-20 20:17:02
Spoken English At its Best,Spoken English Institute,Coaching Center,Coaching Center,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 94470 95180,N/A,4.5,36.0,"Heaventide,Palace Nagar, Thevally P.O, Kollam, Kollam - Elamballoor Rd, Palace Nagar, Thevally, Kollam, Keralam 691009","Palace Nagar, Thevally",8.898424,76.5782414,ChIJy9Uyjkz8BTsRSAFPBmK2xM4,https://www.google.com/maps/place/?q=place_id:ChIJy9Uyjkz8BTsRSAFPBmK2xM4,part_308,2026-09-20 20:17:02
"ISET Spoken English, Karunagappally",Spoken English Institute,English language school,English language school,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 94952 08373,N/A,4.9,543.0,"East to Mahadevar Temple, Udayam Building, Karunagappally - Kottarakkara Rd, Karunagappalli, Keralam 690518",691303,9.055869,76.5372862,ChIJG8T8HY4DBjsRA6RhNOPUmDg,https://www.google.com/maps/place/?q=place_id:ChIJG8T8HY4DBjsRA6RhNOPUmDg,part_308,2026-09-20 20:17:02
RPTC (CENTRE FOR LANGUAGE STUDIES),Spoken English Institute,English language school,English language school,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 82819 21299,N/A,4.8,119.0,"Panachavila Jn, Anchal, Keralam 691306",691303,8.9216812,76.898513,ChIJ76HjLiPfBTsR3NFz0AvB9Bg,https://www.google.com/maps/place/?q=place_id:ChIJ76HjLiPfBTsR3NFz0AvB9Bg,part_308,2026-09-20 20:17:02
The Lexicon Academy For English & IELTS,Spoken English Institute,English language school,English language school,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 99471 93925,N/A,4.7,83.0,"Nedumkayam, Punalur, Keralam 691305",Nedumkayam,9.0280702,76.9215193,ChIJ60Epb2p3BjsRsyrn1YZOAJo,https://www.google.com/maps/place/?q=place_id:ChIJ60Epb2p3BjsRsyrn1YZOAJo,part_308,2026-09-20 20:17:03
Unique Academy for English,Spoken English Institute,English language school,English language school,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 90480 03553,https://uniqueforenglish.com/,4.9,243.0,"Jose Tower , Near KSRTC Bus stand, opposite Vijayakrishna Jewellery Phone-9048003553, Kottarakkara, Keralam 691531",Pulamon Junction,9.005913999999999,76.782889,ChIJjV6ERggLBjsRAvEtKTBmPVY,https://www.google.com/maps/place/?q=place_id:ChIJjV6ERggLBjsRAvEtKTBmPVY,part_308,2026-09-20 20:17:03
