business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Travel Series Tour Planners,Tour and Travel Operator,Travel agency,Travel agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 96332 24978,N/A,5.0,91,"Kollam - Tenkasi Rd, Chemmanthoor, Punalur, Keralam 691305",Chemmanthoor,9.018754699999999,76.9143419,ChIJrRSvcCF1BjsRg9XQ1UWLEA8,https://www.google.com/maps/place/?q=place_id:ChIJrRSvcCF1BjsRg9XQ1UWLEA8,part_308,2026-09-20 20:18:20
REDBULL TRAVELS,Tour and Travel Operator,Bus tour agency,Bus tour agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 98470 00346,N/A,5.0,5,"near Indian oil petrol Pumb, Chemmanthoor, Punalur, Keralam 691305",Chemmanthoor,9.0183993,76.9169768,ChIJmZcnxIJ1BjsRGeymvIY_iw4,https://www.google.com/maps/place/?q=place_id:ChIJmZcnxIJ1BjsRGeymvIY_iw4,part_308,2026-09-20 20:18:20
Route Tracker Explorica Tours & Travels,Tour and Travel Operator,Tour operator,Tour operator,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 99616 23807,http://routetrackerexplorica.com/,5.0,65,"Tholikodu, Punalur, Keralam 691333",Tholikodu,9.0036416,76.92784329999999,ChIJC28lAwp3BjsR4n09eWrl3w4,https://www.google.com/maps/place/?q=place_id:ChIJC28lAwp3BjsR4n09eWrl3w4,part_308,2026-09-20 20:18:20
MAKKACHU Travels and Tours,Tour and Travel Operator,Bus tour agency,"Bus tour agency, Service establishment",691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 89211 30550,https://makkachu.in/,4.9,21,"MAKKACHU Travels and Tours, 691305, India",691305,10.5442763,76.1383668,ChIJMRCU3PsSc28Rw5eqZs02bQI,https://www.google.com/maps/place/?q=place_id:ChIJMRCU3PsSc28Rw5eqZs02bQI,part_308,2026-09-20 20:18:20
Ms holidays / Morpheus travelogues Punalur,Tour and Travel Operator,Tour agency,Tour agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 97468 15491,N/A,4.5,11,"Kuthirachira, Panamkuttymala, Punalur, Keralam 691305","Kuthirachira, Panamkuttymala",9.0107889,76.91300269999999,ChIJHaxzukx1BjsRvoNe96qGIiA,https://www.google.com/maps/place/?q=place_id:ChIJHaxzukx1BjsRvoNe96qGIiA,part_308,2026-09-20 20:18:20
UNIMONI TRAVEL & HOLIDAYS (PUNALUR),Tour and Travel Operator,Travel agency,Travel agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 93870 84910,http://www.unimonitravel.com/,4.8,30,"FIRST FLOOR, SASTHA BUSINESS CENTER, MAIN ROAD, near Town Juma Masjid, opp. SBI, Panamkuttymala, Punalur, Keralam 691305",Panamkuttymala,9.018374,76.924206,ChIJR24vIsR3BjsRCayaUxcrdeM,https://www.google.com/maps/place/?q=place_id:ChIJR24vIsR3BjsRCayaUxcrdeM,part_308,2026-09-20 20:18:20
Travel Punalur,Tour and Travel Operator,Travel agency,"Travel agency, Tour agency",691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 475 222 9797,N/A,3.6,908,"T K, Oommen Road, Panamkuttymala, Punalur, Keralam 691305",Panamkuttymala,9.017156,76.9258431,ChIJJ5l7qJl2BjsRPRkKJqoFU2g,https://www.google.com/maps/place/?q=place_id:ChIJJ5l7qJl2BjsRPRkKJqoFU2g,part_308,2026-09-20 20:18:20
Travel smart,Tour and Travel Operator,Travel agency,Travel agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,N/A,N/A,4.0,3,"Chemmanthoor, Punalur, Keralam 691305",Chemmanthoor,9.0186454,76.9155881,ChIJO6n0jtt1BjsR9IvwWyu8FIk,https://www.google.com/maps/place/?q=place_id:ChIJO6n0jtt1BjsR9IvwWyu8FIk,part_308,2026-09-20 20:18:20
Akbar Travles,Tour and Travel Operator,Travel agency,Travel agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 94460 10303,N/A,3.7,48,"opp. Ramraj Theatre, Chemmanthoor, Punalur, Keralam 691305",Chemmanthoor,9.019572799999999,76.92029939999999,ChIJeUbBkZ92BjsRN4EJgogQi7c,https://www.google.com/maps/place/?q=place_id:ChIJeUbBkZ92BjsRN4EJgogQi7c,part_308,2026-09-20 20:18:20
Alif Travels & Tours,Tour and Travel Operator,Travel agency,Travel agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 94472 80201,N/A,4.3,3,"Market Rd, near Masjid, Kuttikadu, Punalur, Keralam 691305",Kuttikadu,9.0213421,76.9195419,ChIJbYDxFaB2BjsRm2hWVIIKSos,https://www.google.com/maps/place/?q=place_id:ChIJbYDxFaB2BjsRm2hWVIIKSos,part_308,2026-09-20 20:18:20
Skyway International Punalur,Tour and Travel Operator,Travel agency,"Travel agency, Insurance agency, Real estate agency, Unemployment office",691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 475 222 3817,http://www.skywaypunalur.com/,4.2,6,"Kollam - Nr.PUNALUR post office jun, Punalur, Keralam 691305",Panamkuttymala,9.018216299999999,76.9265807,ChIJRdhs-Zh2BjsR-i7l6QGUCX4,https://www.google.com/maps/place/?q=place_id:ChIJRdhs-Zh2BjsR-i7l6QGUCX4,part_308,2026-09-20 20:18:20
Omkaram Travel Hub,Tour and Travel Operator,Bus tour agency,Bus tour agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 94477 22533,N/A,5.0,1,"Kochuplachery, Kalayanad, Punalur, Keralam 691331","Kochuplachery, Kalayanad",9.0090247,76.95033889999999,ChIJJYKVGi13BjsRkYT-dI2j0e0,https://www.google.com/maps/place/?q=place_id:ChIJJYKVGi13BjsRkYT-dI2j0e0,part_308,2026-09-20 20:18:20
Kuttiyil Tours & Travels,Tour and Travel Operator,Tour agency,Tour agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 95447 36661,N/A,4.2,6,"2W9F+6VV, Kollam - Thirumangalam Rd, Panamkuttymala, Punalur, Keralam 691305",Panamkuttymala,9.0181044,76.9246599,ChIJl7qf0Jh2BjsRiqmYAk0NK0o,https://www.google.com/maps/place/?q=place_id:ChIJl7qf0Jh2BjsRiqmYAk0NK0o,part_308,2026-09-20 20:18:20
AL AMEEN TOURS AND TRAVELS PUNALUR,Tour and Travel Operator,Travel agency,Travel agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,N/A,N/A,4.2,5,"S BULDING, POST OFFICE, T.B, JUNCTION, Vilakkuvettom, Punalur, Keralam 691331",Vilakkuvettom,9.0261924,76.9354979,ChIJo0Z7h5F3BjsRZCtrdLJQWmU,https://www.google.com/maps/place/?q=place_id:ChIJo0Z7h5F3BjsRZCtrdLJQWmU,part_308,2026-09-20 20:18:20
MONI TOURS AND TRAVELS,Tour and Travel Operator,Travel agency,Travel agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 94470 50510,N/A,5.0,2,"MAIN ROAD NH 208 KOTTARAKKARA PUNALUR ROAD, PO, Elampal, Keralam 691322",Elampal,9.0251774,76.88455979999999,ChIJFwM2fYR1BjsRq92CVq0FcCo,https://www.google.com/maps/place/?q=place_id:ChIJFwM2fYR1BjsRq92CVq0FcCo,part_308,2026-09-20 20:18:20
CLUB ANAND TRAVELS,Tour and Travel Operator,Bus ticket agency,Bus ticket agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,N/A,https://www.clubanandtravel.in/,4.5,8,"2W99+G2P, Chemmanthoor, Punalur, Keralam 691305",Chemmanthoor,9.018845299999999,76.9175913,ChIJUzZpAwB1BjsRdHZFG8xHYhY,https://www.google.com/maps/place/?q=place_id:ChIJUzZpAwB1BjsRdHZFG8xHYhY,part_308,2026-09-20 20:18:20
AirOn Holidays,Tour and Travel Operator,Travel agency,Travel agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 98953 07267,https://aironholidays.com/home,4.9,14,"Kollam - Punalur Rd, Vilakkudy, Keralam 691508",691305,9.0325726,76.8746544,ChIJMSy8DAALCDsRrQJgougw4P4,https://www.google.com/maps/place/?q=place_id:ChIJMSy8DAALCDsRrQJgougw4P4,part_308,2026-09-20 20:18:20
Kallada Travels,Tour and Travel Operator,Travel agency,Travel agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 97476 55622,https://www.kalladatravels.com/,3.1,37,"Kollam - Thirumangalam Rd, Chemmanthoor, Punalur, Keralam 691305",Chemmanthoor,9.0183129,76.91781069999999,ChIJidvicCB0BjsR7st330Xpzcs,https://www.google.com/maps/place/?q=place_id:ChIJidvicCB0BjsR7st330Xpzcs,part_308,2026-09-20 20:18:20
SkypeTours Travels,Tour and Travel Operator,Travel agency,Travel agency,691305,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Punalur HO,+91 89216 51803,http://www.skypetours.com/,4.8,54,"Jn, Alanchery, Anchal, Keralam 691312",Jn,8.929610499999999,76.9318289,ChIJeWnSABfZBTsRZ1f9HitCsiY,https://www.google.com/maps/place/?q=place_id:ChIJeWnSABfZBTsRZ1f9HitCsiY,part_308,2026-09-20 20:18:20
