business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RVN & ASSOCIATES CHARTERED ACCOUNTANTS,Company Registration Consultant,Certified public accountant,Certified public accountant,691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",+91 475 227 2751,http://rvnca.com/,5.0,2.0,"1st floor RO Junction, opp. Forest Range office, Anchal, Keralam 691306",691306,8.9280879,76.9140182,ChIJqfRutIzfBTsREF7lIaq9458,https://www.google.com/maps/place/?q=place_id:ChIJqfRutIzfBTsREF7lIaq9458,part_308,2026-09-20 20:19:24
Jana Seva Kendram (Alpha Digital Seva) CSC,Company Registration Consultant,Visa and passport office,"Visa and passport office, Airline ticket agency, Educational consultant, Health insurance agency, Insurance agency, Lamination service, Passport Agent, Print shop, Railway Ticket Agent, Voter registration office",691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",N/A,N/A,5.0,2.0,"Jn Ayoor, Main Road, Vayakal, Kilimanoor - Kottarakkara Rd, opp. auto stand, Vayakal, Keralam 691532",691306,8.9248999,76.8546789,ChIJKaqkKqvfBTsR1q6kzIJuFeY,https://www.google.com/maps/place/?q=place_id:ChIJKaqkKqvfBTsR1q6kzIJuFeY,part_308,2026-09-20 20:19:24
sree nandanam auto consultancy,Company Registration Consultant,Auto tag agency,Auto tag agency,691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",N/A,N/A,4.9,10.0,"near Archana Cinemas, Anchal, Keralam 691306",691306,8.925156,76.9155534,ChIJ8d5XipDfBTsRyP96DLFgbdI,https://www.google.com/maps/place/?q=place_id:ChIJ8d5XipDfBTsRyP96DLFgbdI,part_308,2026-09-20 20:19:24
Bajaj Finance Branch,Company Registration Consultant,Financial institution,"Financial institution, Investment company, Investment service, Loan agency",691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",+91 77570 00000,https://nearme.bajajfinserv.in/service-branch/bajaj-finance-branch-loan-agency-anchal-kollam-177849/Home?utm_source=locator&utm_medium=googleplaces,4.9,200.0,"1st Floor, Prabhath Arcade, Thazhamel Road, above More Super Market, Vijay Nagar, Anchal, Keralam 691306",Vijay Nagar,8.9279677,76.90892339999999,ChIJB8hX4nPfBTsRefd8f2F4TQE,https://www.google.com/maps/place/?q=place_id:ChIJB8hX4nPfBTsRefd8f2F4TQE,part_308,2026-09-20 20:19:24
Make Right Tax Consultancy,Company Registration Consultant,Tax preparation,"Tax preparation, Bookkeeping service, Business development service, Financial audit",691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",N/A,N/A,,,"Market Jn, opposite Cashew Factory, Anchal, Kerala 691306",691306,8.9286734,76.910102,ChIJbUQNdpDfBTsR--VCgBCOgws,https://www.google.com/maps/place/?q=place_id:ChIJbUQNdpDfBTsR--VCgBCOgws,part_308,2026-09-20 20:19:24
Finscript Business Consultants Private Limited,Company Registration Consultant,Business management consultant,"Business management consultant, Accounting firm, Auditor, Bookkeeping service, Chartered accountant, Financial consultant, Legal services, Registration office, Tax consultant, Tax preparation",691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",+91 88487 99330,https://finscript.co/,4.9,416.0,"GROUND FLOOR, CD TOWER, Mini Bypass Rd, Arayidathupalam, Kozhikode, Keralam 673004",Arayidathupalam,11.2613038,75.79297269999999,ChIJr0C9ahxZpjsRs1uzRSz8wxs,https://www.google.com/maps/place/?q=place_id:ChIJr0C9ahxZpjsRs1uzRSz8wxs,part_308,2026-09-20 20:19:25
Signs & Marks,Company Registration Consultant,Business management consultant,"Business management consultant, Auditor, Business to business service, Registration office, Tax consultant",691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",+91 471 230 7605,http://www.signsandmarks.com/,4.6,41.0,"VL – 61-D, T.C. No. 26/1588(2, Vikas Ln, near PMG, opposite HP Petrol Pump, University of Kerala Senate House Campus, P O, Vanchiyoor, Thiruvananthapuram, Keralam 695035","University of Kerala Senate House Campus, P O, Vanchiyoor",8.5078399,76.9453213,ChIJzSqpesG7BTsRsHM1QmqHGNw,https://www.google.com/maps/place/?q=place_id:ChIJzSqpesG7BTsRsHM1QmqHGNw,part_308,2026-09-20 20:19:25
Libera Business Consultants,Company Registration Consultant,Business management consultant,"Business management consultant, Tax consultant",691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",+91 81294 20290,http://www.libera.in/,5.0,191.0,"PUNARTHAMLANE, Maruthankuzhi, Thiruvananthapuram, Keralam 695030",Maruthankuzhi,8.5113449,76.9785824,ChIJoRZOMTq6BTsRzGfliP7zqjU,https://www.google.com/maps/place/?q=place_id:ChIJoRZOMTq6BTsRzGfliP7zqjU,part_308,2026-09-20 20:19:25
Company Registration Consultancy,Company Registration Consultant,Consultant,"Consultant, Accountant, Accounting firm, Certified public accountant, Registration office, Tax consultant, Tax preparation",691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",+91 95824 42393,https://newcompanyregistration.in/,5.0,289.0,"Infront of, Metro Station-Badarpur Border, Indira Nursery Market, Ofiice No-11, Badarpur, Delhi 110044","Badarpur Extension, Tajpur, Badarpur",28.492817799999997,77.3043153,ChIJxdFjLs3jDDkRThGiKFeLg9g,https://www.google.com/maps/place/?q=place_id:ChIJxdFjLs3jDDkRThGiKFeLg9g,part_308,2026-09-20 20:19:25
TENDER PLUS - E Tender Services,Company Registration Consultant,Business development service,"Business development service, Business administration service, Legal services",691306,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Anchal SO, Alayamon BO, Cherukulam BO",+91 83010 79915,https://www.tenderplus.in/,5.0,75.0,"1st Floor, Adithya Building, Market and Shiva Temple, Neerazhi Ln, near Ulloor, Ulloor, Kochulloor, Ulloor, Thiruvananthapuram, Keralam 695011","Ulloor, Kochulloor, Ulloor",8.5306911,76.9282075,ChIJtT7wgNO7BTsRdfZciahglu4,https://www.google.com/maps/place/?q=place_id:ChIJtT7wgNO7BTsRdfZciahglu4,part_308,2026-09-20 20:19:25
