business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Yokohama Club Network - Suraksha Tyre Shoppe, Mahadevpura",Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Tire repair shop, Wheel alignment service, Wheel store",691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 86577 11318,https://stores.yokohama-india.com/tyre-shop-mahadevpura-bengaluru-31449/home?utm_source=GMB,4.5,499.0,"First Floor, Khata No 220/1, Property No 3, Shop No, 2/A, Outer Ring Rd, Mahadevapura, Bengaluru, Karnataka 560048","Laxmi Sagar Layout, Mahadevapura",12.9885105,77.6895433,ChIJ5TnPpHERrjsRSPgmPLtF2iQ,https://www.google.com/maps/place/?q=place_id:ChIJ5TnPpHERrjsRSPgmPLtF2iQ,part_308,2026-09-20 20:20:36
AKJ MULTIBRAND TYRES & ALIGMENT,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 78423 49322,N/A,4.8,294.0,"Shop.no-2-29 Father Balaiya nagar old alwal (loyala collage road Be side Go Gas, to, Suchitra Rd, near ushodaya super market, Alwal, Hyderabad, Telangana 500010","Saibaba Nagar, Father Balaiah Nagar, Alwal",17.5066568,78.4926856,ChIJoee5UcSbyzsRKjEjXKgopFs,https://www.google.com/maps/place/?q=place_id:ChIJoee5UcSbyzsRKjEjXKgopFs,part_308,2026-09-20 20:20:36
Tyre Junction-Tyre Battery Oil (Padole Square),Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Oil change service, Tire service, Wheel alignment service",691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 91755 33348,https://tyrejunction.in/,4.9,646.0,"Shop No. G 1, Madhushilp Apartments, Padole Hospital Square, Gayatri Nagar, Deendayal Nagar, Nagpur, Maharashtra 440022","Padole Hospital Square, Gayatri Nagar, Deendayal Nagar",21.1130578,79.0478081,ChIJacjsE_y_1DsRn-6N6n9z_2o,https://www.google.com/maps/place/?q=place_id:ChIJacjsE_y_1DsRn-6N6n9z_2o,part_308,2026-09-20 20:20:36
SUPER BROSS TYRE SHOP,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Auto restoration service, Oil change service",691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",N/A,N/A,4.9,36.0,"15, Umred Rd, Ramkrishna Nagar, Dighori, Nagpur, Maharashtra 440034","Ramkrishna Nagar, Dighori",21.109306699999998,79.1378567,ChIJC4Ba3o-51DsR6jlNOuxWmyI,https://www.google.com/maps/place/?q=place_id:ChIJC4Ba3o-51DsR6jlNOuxWmyI,part_308,2026-09-20 20:20:36
CHAKADOLA TYRES,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 94381 14566,https://chakadola-tyres.grexa.site/,5.0,145.0,"Plot no-4023/8282, Cuttack - Puri Bypass Rd, Rode, Pandra, Bhubaneswar, Odisha 751025","Rode, Pandra",20.2914769,85.8725037,ChIJx_d08l8LGToRBIUnO_ZRFBc,https://www.google.com/maps/place/?q=place_id:ChIJx_d08l8LGToRBIUnO_ZRFBc,part_308,2026-09-20 20:20:36
S.N Tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 98410 78345,N/A,4.3,179.0,"No 1/2, Plot No 29, Kamarajar Salai, Ashok Nagar, Chennai, Tamil Nadu 600083","Sector 10, Sector 13, K. K. Nagar",13.0437259,80.2094371,ChIJB8E3ZN1mUjoRml9rqwjf6ak,https://www.google.com/maps/place/?q=place_id:ChIJB8E3ZN1mUjoRml9rqwjf6ak,part_308,2026-09-20 20:20:36
Qutubuddin Puncture shop 24 hrs,Tyre Showroom and Puncture Shop,Used tire shop,Used tire shop,691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",N/A,N/A,4.6,5.0,"98PM+669, Manchirevula, Hyderabad, Narsingi, Telangana 500075",Manchirevula,17.385468,78.3325557,ChIJD6TUTwCVyzsRIcqFDFVPs_c,https://www.google.com/maps/place/?q=place_id:ChIJD6TUTwCVyzsRIcqFDFVPs_c,part_308,2026-09-20 20:20:36
Tyrelelo,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 90103 00200,https://www.tyrelelo.com/,4.9,227.0,"100 Feet Rd, beside Amigo Autospa, opp. Karvy Magnum, Ayyappa Society, Chanda Naik Nagar, Main Road, Hyderabad, Telangana 500081","Ayyappa Society, Chanda Naik Nagar, Main Road",17.452503999999998,78.3879722,ChIJoYnd0JyRyzsRFbQBe5kValA,https://www.google.com/maps/place/?q=place_id:ChIJoYnd0JyRyzsRFbQBe5kValA,part_308,2026-09-20 20:20:36
Nandi Tyre Planet and Car Wash,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Car wash",691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 81922 61003,N/A,4.7,762.0,"Shrinivaasa Nagara, Davangere, Karnataka 577005",Shrinivaasa Nagara,14.4497963,75.9204226,ChIJ39fgTqQlujsRN3ggjueYA9I,https://www.google.com/maps/place/?q=place_id:ChIJ39fgTqQlujsRN3ggjueYA9I,part_308,2026-09-20 20:20:36
Sri Poorna Tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 98401 97123,N/A,3.9,41.0,"Shop Number 5, Srinivasa Rd, Pondy Bazaar, T. Nagar, Chennai, Tamil Nadu 600017","Pondy Bazaar, T. Nagar",13.041744,80.236333,ChIJRRPsl1ZmUjoR2-UuAXmXkqE,https://www.google.com/maps/place/?q=place_id:ChIJRRPsl1ZmUjoR2-UuAXmXkqE,part_308,2026-09-20 20:20:36
