business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Uniform factory,Uniform Manufacturer,Uniform store,"Uniform store, Clothing manufacturer",691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 85270 34346,https://www.theuniformfactory.net/,5.0,16.0,"plot no 18/3, Sector 32 DLF Area, Block A, DLF Industrial Area, Sector 32, Faridabad, Haryana 121003","Sector 32 DLF Area, Block A, DLF Industrial Area, Sector 32",28.4603656,77.3100323,ChIJxckebUHnDDkRmnAgFMfpxN4,https://www.google.com/maps/place/?q=place_id:ChIJxckebUHnDDkRmnAgFMfpxN4,part_308,2026-09-20 20:20:30
Fab Uniforms,Uniform Manufacturer,Manufacturer,Manufacturer,691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 87969 95550,N/A,4.8,65.0,"RST Enclave, Ram Vihar, Johripur, New Delhi, Ghaziabad, Delhi 201102","RST Enclave, Ram Vihar, Johripur",28.7185924,77.2894835,ChIJ22ogxab8DDkR2C4zwMhg5eQ,https://www.google.com/maps/place/?q=place_id:ChIJ22ogxab8DDkR2C4zwMhg5eQ,part_308,2026-09-20 20:20:30
Soft Fab India,Uniform Manufacturer,Uniform store,"Uniform store, Custom t-shirt store, Dress store",691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 93107 26421,http://www.softfabindia.in/,4.0,52.0,"A, block 13, Sharma Market, Pul Pehladpur, New Delhi, Delhi 110044","Sharma Market, Pul Pehladpur",28.4996144,77.29395699999999,ChIJ_dNuITnhDDkRVB7VV_p4Vj8,https://www.google.com/maps/place/?q=place_id:ChIJ_dNuITnhDDkRVB7VV_p4Vj8,part_308,2026-09-20 20:20:30
DK UNIFORMS,Uniform Manufacturer,Uniform store,Uniform store,691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 90218 92580,https://www.dkuniforms.com/,4.8,235.0,"32/3b, Main Rd, Kanti Nagar East, Seelampur, Shahdara, Delhi, 110051","Kanti Nagar East, Seelampur, Shahdara",28.668719499999998,77.2810281,ChIJ64SmdsT9DDkRTVD_bxu9_mo,https://www.google.com/maps/place/?q=place_id:ChIJ64SmdsT9DDkRTVD_bxu9_mo,part_308,2026-09-20 20:20:30
Essens Garments LLP- Garments Manufacturers & Suppliers,Uniform Manufacturer,Uniform store,"Uniform store, Clothing supplier, Clothing wholesaler, Fabric product manufacturer, Garment Exporter, Hospital equipment and supplies, Protective clothing supplier, School supply store, Textile mill, Clothing manufacturer",691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 85509 55551,N/A,5.0,31.0,"Plot no 215, 216, Sankara residency, Ulkanagari Rd, Garkheda, Chhatrapati Sambhajinagar, Maharashtra 431009","Garkheda Area, Garkheda",19.8631574,75.34522849999999,ChIJ1SmuTTuj2zsRVo0YqLewc7I,https://www.google.com/maps/place/?q=place_id:ChIJ1SmuTTuj2zsRVo0YqLewc7I,part_308,2026-09-20 20:20:30
Popular School Uniform,Uniform Manufacturer,Uniform store,"Uniform store, Gift shop",691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 98739 72719,N/A,4.7,52.0,"First Floor, CIVITECH SAMPRITI, F-4, Market, in front of Grand Ajnara Heritage Road, next to Dominos, Sector 77, Noida, Uttar Pradesh 201316",Sector 77,28.5707326,77.39237159999999,ChIJsxfKQCzvDDkR3Nk8qpc0828,https://www.google.com/maps/place/?q=place_id:ChIJsxfKQCzvDDkR3Nk8qpc0828,part_308,2026-09-20 20:20:30
Ankit Uniforms,Uniform Manufacturer,Uniform store,Uniform store,691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 85120 01440,https://www.ankituniforms.com/,3.8,280.0,"Sec-104, Gali No. 4, near PNB Bank, Hazipur, Sector 104, Noida, Uttar Pradesh 201304","Hazipur, Sector 104",28.5390318,77.3654497,ChIJ1zjR8w7nDDkR_XJuNu5cICA,https://www.google.com/maps/place/?q=place_id:ChIJ1zjR8w7nDDkR_XJuNu5cICA,part_308,2026-09-20 20:20:30
Singh Uniforms,Uniform Manufacturer,Uniform store,Uniform store,691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 98111 22330,N/A,4.3,32.0,"4, Masjid Road, Jangpura, Bhogal, Lajpat Nagar, New Delhi, Delhi 110014","Bhogal, Lajpat Nagar",28.5815843,77.24763,ChIJ3c-1MqjjDDkRHeao_BZ0ovQ,https://www.google.com/maps/place/?q=place_id:ChIJ3c-1MqjjDDkRHeao_BZ0ovQ,part_308,2026-09-20 20:20:30
Ankit Uniforms,Uniform Manufacturer,Uniform store,"Uniform store, Bag shop, School supply store, Footwear wholesaler, Stationery wholesaler, Clothing store",691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 93194 38868,https://ankituniforms.com/,3.6,556.0,"Dharma Market, behind SAB Mall, Atta, Atta Market, Sector-27, Sector 27, Noida, Uttar Pradesh 201301","Atta, Atta Market, Sector-27, Sector 27",28.573370999999998,77.3244121,ChIJVVVVgbroDDkRfimaiyOcYuA,https://www.google.com/maps/place/?q=place_id:ChIJVVVVgbroDDkRfimaiyOcYuA,part_308,2026-09-20 20:20:30
Venus Store,Uniform Manufacturer,Uniform store,Uniform store,691308,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Thenmala SO, Kallada Irrigation Project BO, Ottackal BO",+91 99711 23052,https://www.adidas.co.in/special_offer?cm_mmc=AdieSEM_Google_Search-_-multiple-_--_--_-dv:eCom-_-cn:Performance_IN_adidas_Search_Sales_Prospecting_PureBrand_B_Exact-22367810793-178834582037-749969752744-_-pc:Google_Search&cm_mmc1=IN&cm_mmc2=PPC-Multiple-Performance_IN_adidas_Search_Sales_Prospecting_PureBrand_B_Exact-22367810793-178834582037-749969752744-Multiple-Multiple-IN-EMEA-eCom-Paid_Search&gad_source=1&gclid=Cj0KCQjww-HABhCGARIsALLO6XyEWOp7-JJJU-vBXO565dUsNCc-PqItDIgheDV1InFO0tE-n-UFLJQaAk7iEALw_wcB,3.5,99.0,"first floor, Shop no-112 plot no -12, Sector 12 Dwarka, Delhi, 110078","Pocket 2, Sector 12 Dwarka, Dwarka",28.5944494,77.0476815,ChIJt8bQvtAaDTkR6G2ZM2HbuZQ,https://www.google.com/maps/place/?q=place_id:ChIJt8bQvtAaDTkR6G2ZM2HbuZQ,part_308,2026-09-20 20:20:30
