business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kairali Printers,Printing Press and Offset Printer,Print shop,Print shop,691310,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kulathupuzha SO, Chozhiakode BO, Dally BO",+91 94461 11353,N/A,5.0,,"The Pentecostal Mission Church Rd, Kulathupuzha, Keralam 691310",691310,8.9070086,77.0540966,ChIJJz4_jlrXBTsRm9OHCb41nXQ,https://www.google.com/maps/place/?q=place_id:ChIJJz4_jlrXBTsRm9OHCb41nXQ,part_308,2026-09-20 20:22:20
Prabha Offset Printers,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Print shop",691310,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kulathupuzha SO, Chozhiakode BO, Dally BO",+91 91884 37749,N/A,4.4,,"Kappil Meku, Krishnapuram, Keralam 690533",691310,9.151743999999999,76.525453,ChIJPYFuqvQcBjsR5r6-ValkEV0,https://www.google.com/maps/place/?q=place_id:ChIJPYFuqvQcBjsR5r6-ValkEV0,part_308,2026-09-20 20:22:20
Kavya Offset Printers,Printing Press and Offset Printer,Print shop,Print shop,691310,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kulathupuzha SO, Chozhiakode BO, Dally BO",+91 85475 99500,N/A,4.1,,"Vithura - Palode Rd, Vithura, Keralam 695551",691310,8.673453799999999,77.0815193,ChIJZxJo7mzJBTsRUWPnu4e6glA,https://www.google.com/maps/place/?q=place_id:ChIJZxJo7mzJBTsRUWPnu4e6glA,part_308,2026-09-20 20:22:20
Arathy Offset Printers,Printing Press and Offset Printer,Commercial printer,Commercial printer,691310,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kulathupuzha SO, Chozhiakode BO, Dally BO",+91 94471 01479,N/A,4.1,,"Devi Temple Road, near Government UP School, Pulimath, Keralam 695612",691310,8.7431287,76.895971,ChIJGWehuXTDBTsRtLLu6uEA0s8,https://www.google.com/maps/place/?q=place_id:ChIJGWehuXTDBTsRtLLu6uEA0s8,part_308,2026-09-20 20:22:20
Harisree Offset Printers,Printing Press and Offset Printer,Print shop,Print shop,691310,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kulathupuzha SO, Chozhiakode BO, Dally BO",+91 94960 97579,N/A,5.0,,"MX4X+WFW, Karikkuzhi, Panavoor, Keralam 695568",Karikkuzhi,8.6573531,76.9986953,ChIJc6yxInHHBTsRPkGMp8VZ0MY,https://www.google.com/maps/place/?q=place_id:ChIJc6yxInHHBTsRPkGMp8VZ0MY,part_308,2026-09-20 20:22:20
PRINT TECH OFFSET PRESS,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Commercial printer",691310,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kulathupuzha SO, Chozhiakode BO, Dally BO",+91 80781 21148,http://www.printech.com/,1.0,,"PRINTTECH OFFSET PRINTERS, PO, THIRUVANANTHAPURAM, Madathara, Keralam 691541",691310,8.817,77.01246569999999,ChIJj56Nl3fQBTsRkyOWMcKW9jY,https://www.google.com/maps/place/?q=place_id:ChIJj56Nl3fQBTsRkyOWMcKW9jY,part_308,2026-09-20 20:22:20
Ayushi Printers,Printing Press and Offset Printer,Print shop,Print shop,691310,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kulathupuzha SO, Chozhiakode BO, Dally BO",+91 98950 67412,N/A,5.0,,"P.O, Via, Poikakkada, Koduvazhannoor, Pulimath, Keralam 695601",Poikakkada,8.738928399999999,76.86538569999999,ChIJJ9jdANDDBTsRMgTf-09KHJw,https://www.google.com/maps/place/?q=place_id:ChIJJ9jdANDDBTsRMgTf-09KHJw,part_308,2026-09-20 20:22:21
Beety - Anad Printing Press,Printing Press and Offset Printer,Print shop,Print shop,691310,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kulathupuzha SO, Chozhiakode BO, Dally BO",+91 98951 88044,N/A,4.7,,"Anad Post Nedumangad, Thiruvananthapuram, Keralam 695541",691310,8.6314187,77.0077988,ChIJS_K47UDHBTsRdQtV2lSYnEk,https://www.google.com/maps/place/?q=place_id:ChIJS_K47UDHBTsRdQtV2lSYnEk,part_308,2026-09-20 20:22:21
digital india flex printing,Printing Press and Offset Printer,Digital printing service,Digital printing service,691310,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kulathupuzha SO, Chozhiakode BO, Dally BO",+91 80155 38879,N/A,4.7,,"kannimaramman kovil street behind POO KADAI, BAZAR, MINI BAZAR, Tenkasi, Tamil Nadu 627811",691310,8.957059,77.310786,ChIJZTuXD_YpBDsRfA1uq7EjKnM,https://www.google.com/maps/place/?q=place_id:ChIJZTuXD_YpBDsRfA1uq7EjKnM,part_308,2026-09-20 20:22:21
Kairali Offset Printers,Printing Press and Offset Printer,Print shop,Print shop,691310,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kulathupuzha SO, Chozhiakode BO, Dally BO",N/A,N/A,5.0,1.0,"Pothencode Koliakode Rd, Pothencode Junction, Pothencode, Keezhthonnakkal, Keralam 695584",Pothencode Junction,8.621783899999999,76.8984342,ChIJuzYnYnzBBTsRARD_CArle1I,https://www.google.com/maps/place/?q=place_id:ChIJuzYnYnzBBTsRARD_CArle1I,part_308,2026-09-20 20:22:22
Rohini Offset printers,Printing Press and Offset Printer,Offset Printer,Offset Printer,691310,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kulathupuzha SO, Chozhiakode BO, Dally BO",+91 94964 77111,N/A,5.0,4.0,"near Pacha post Office, Nanniyode, Keralam 695562",Plavara,8.7109725,77.0290024,ChIJGf3LoUjPBTsReqvNXjisd5I,https://www.google.com/maps/place/?q=place_id:ChIJGf3LoUjPBTsReqvNXjisd5I,part_308,2026-09-20 20:22:22
Skylark printing industry,Printing Press and Offset Printer,Print shop,Print shop,691310,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kulathupuzha SO, Chozhiakode BO, Dally BO",+91 93886 91208,https://www.instagram.com/skylark_printing_industry_?igsh=Z2g1ZmQ2MGIzdXNm,4.3,44.0,"SH 64, Nilamel, Keralam 691535",691310,8.8234803,76.8820609,ChIJ-YjFbPjcBTsRqSTxz6BZEaM,https://www.google.com/maps/place/?q=place_id:ChIJ-YjFbPjcBTsRqSTxz6BZEaM,part_308,2026-09-20 20:22:23
