business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"APA Residency, Executive lodge in Kottarakkara",Guesthouse,Hotel,"Hotel, Lodge",691332,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Punalur Paper Mills SO, Kariyara BO",+91 474 245 7475,N/A,4.0,272.0,"Kottarakkara, Keralam 691506",691332,8.9981612,76.77351329999999,ChIJNRKnBawLBjsRbvuaFe8jOBs,https://www.google.com/maps/place/?q=place_id:ChIJNRKnBawLBjsRbvuaFe8jOBs,part_308,2026-09-20 20:26:55
Palace Land Lodge and Hotel,Guesthouse,Motel,Motel,691332,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Punalur Paper Mills SO, Kariyara BO",N/A,N/A,2.7,58.0,"near KSRTC Bus station, Pulamon Junction, Kottarakkara, Kerala 691531",Pulamon Junction,9.005815199999999,76.7824559,ChIJ45x_dssLBjsRIaHDJfVYoB0,https://www.google.com/maps/place/?q=place_id:ChIJ45x_dssLBjsRIaHDJfVYoB0,part_308,2026-09-20 20:26:55
HOTEL HARISREE,Guesthouse,Hotel,Hotel,691332,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Punalur Paper Mills SO, Kariyara BO",+91 474 271 2682,https://hotelharisree.com/,3.8,496.0,"HOTEL HARISREE, Mangad, Kollam, Keralam 691004",Mangad,8.907321999999999,76.6237829,ChIJ_cyU-SP9BTsRQ6OsK-YFD80,https://www.google.com/maps/place/?q=place_id:ChIJ_cyU-SP9BTsRQ6OsK-YFD80,part_308,2026-09-20 20:26:55
Hotel Viraj Retreat,Guesthouse,Hotel,"Hotel, Banquet hall, Bar, Cafe, Conference center, Event venue, Indian restaurant, Lounge bar, Restaurant, Seafood restaurant",691332,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Punalur Paper Mills SO, Kariyara BO",N/A,http://www.virajretreat.com/,4.6,234.0,"2H5Q+P52, Chavara - Sasthamkotta Rd, Thevalakkara, Keralam 690538",691332,9.0093335,76.5878826,ChIJg1ZeVrQHBjsRhoaGUC6FYq4,https://www.google.com/maps/place/?q=place_id:ChIJg1ZeVrQHBjsRhoaGUC6FYq4,part_308,2026-09-20 20:26:57
Kodiyil Residency,Guesthouse,Indoor lodging,Indoor lodging,691332,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Punalur Paper Mills SO, Kariyara BO",+91 93889 38839,N/A,4.2,102.0,"Salem-Kanyakumari Highway, Karunagappalli, Keralam 690518",691332,9.053728099999999,76.53525239999999,ChIJZeIpOpIDBjsRtTbmWV8IW5E,https://www.google.com/maps/place/?q=place_id:ChIJZeIpOpIDBjsRtTbmWV8IW5E,part_308,2026-09-20 20:26:57
Grace Lodge,Guesthouse,Lodge,Lodge,691332,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Punalur Paper Mills SO, Kariyara BO",+91 94462 52488,N/A,3.4,,"SH 1, Prasanthi Nagar, Kottarakkara, Keralam 691531",Prasanthi Nagar,8.995224499999999,76.7859982,ChIJqYwbIgILBjsRrqLS6yYVqPY,https://www.google.com/maps/place/?q=place_id:ChIJqYwbIgILBjsRrqLS6yYVqPY,part_308,2026-09-20 20:26:57
Mundro Garden Homestay,Guesthouse,Home Stay,Home Stay,691332,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Punalur Paper Mills SO, Kariyara BO",+91 72939 93372,N/A,4.9,,"Mundro Garden Homestay,Karuthrakkadavu, LPS Rd, Munroe Island, Keralam 691502",691332,8.9971079,76.6184093,ChIJ1VfSzRoHBjsR9nK-WGUux0g,https://www.google.com/maps/place/?q=place_id:ChIJ1VfSzRoHBjsR9nK-WGUux0g,part_308,2026-09-20 20:26:57
Rams Guest House,Guesthouse,Guest house,Guest house,691332,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Punalur Paper Mills SO, Kariyara BO",+91 94223 00047,https://ramsguesthouse.com/properties/sreechithra-rcc,3.9,,"SR Building, Burma Rd, Kumarapuram, Thiruvananthapuram, Keralam 695011",Kumarapuram,8.5115797,76.92927619999999,ChIJ9bLtLPC7BTsRQ-fUVB8N1Q0,https://www.google.com/maps/place/?q=place_id:ChIJ9bLtLPC7BTsRQ-fUVB8N1Q0,part_308,2026-09-20 20:26:57
Shine Lodge,Guesthouse,Lodge,Lodge,691332,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Punalur Paper Mills SO, Kariyara BO",+91 474 245 6878,http://www.rileyshine.com/,3.2,,"Kottayam - Kumli Road, Kottarakkara, Keralam 691506",Chenthara,9.002129,76.772554,ChIJa8roF68LBjsRyMNhnnwhEM0,https://www.google.com/maps/place/?q=place_id:ChIJa8roF68LBjsRyMNhnnwhEM0,part_308,2026-09-20 20:26:57
Jeena Hotel,Guesthouse,Hotel,"Hotel, Motel",691332,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Punalur Paper Mills SO, Kariyara BO",+91 97469 66017,N/A,3.3,,"Opposite Kairali Ford Car, side of Karicode Bridge, Near TKMCE Faridiya Nagar, National Highway 744, Karicode, Peroor, Kollam, Keralam 691005","Karicode, Peroor",8.9147009,76.6311126,ChIJSTj9BoH9BTsRTDI6ubiAfQI,https://www.google.com/maps/place/?q=place_id:ChIJSTj9BoH9BTsRTDI6ubiAfQI,part_308,2026-09-20 20:26:57
