business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chick and duck,Family Restaurant,Indian restaurant,Indian restaurant,691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",N/A,N/A,3.2,,"Kundara, Keralam 691501",691501,8.9635125,76.6858903,ChIJPybQmDQIBjsRw6On8lvImRc,https://www.google.com/maps/place/?q=place_id:ChIJPybQmDQIBjsRw6On8lvImRc,part_308,2026-09-20 20:29:38
ASK FAMILY RESTAURANT,Family Restaurant,Family restaurant,Family restaurant,691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",+91 96335 53559,N/A,3.8,,"WMJH+WCM, Kottiyam - Kundara Rd, Perumpuzha, Kottamkara, Keralam 691504",Perumpuzha,8.932345699999999,76.6785433,ChIJRY40nZTjBTsRlljkLPqZEhg,https://www.google.com/maps/place/?q=place_id:ChIJRY40nZTjBTsRlljkLPqZEhg,part_308,2026-09-20 20:29:38
Ruchikootu,Family Restaurant,Family restaurant,Family restaurant,691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",+91 99613 09256,N/A,3.9,,"1, NH 744, Kundara, Keralam 691501",691501,8.9692974,76.6910343,ChIJNeC1ga4JBjsRjAowLsm3x9I,https://www.google.com/maps/place/?q=place_id:ChIJNeC1ga4JBjsRjAowLsm3x9I,part_308,2026-09-20 20:29:38
Royal Bakery and Restaurant,Family Restaurant,Restaurant,"Restaurant, Bakery and Cake Shop",691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",+91 95447 60654,N/A,4.5,,"Kundara, Keralam 691501",691501,8.9676061,76.6891653,ChIJb439lx4JBjsR2HoXmYnwPQg,https://www.google.com/maps/place/?q=place_id:ChIJb439lx4JBjsR2HoXmYnwPQg,part_308,2026-09-20 20:29:38
Chik N Duck,Family Restaurant,Family restaurant,Family restaurant,691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",+91 82814 50078,N/A,2.1,,"Kollam - Tenkasi Rd, Kundara, Kerala 691501",691501,8.96345,76.6859217,ChIJvZ3DVAIJBjsRHcPlKmrbyvA,https://www.google.com/maps/place/?q=place_id:ChIJvZ3DVAIJBjsRHcPlKmrbyvA,part_308,2026-09-20 20:29:38
Foodie's paradise,Family Restaurant,Restaurant,Restaurant,691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",+91 85909 82860,N/A,5.0,,"Perayam Rd, Kundara, Mulavana, Keralam 691503",691501,8.979646899999999,76.67188,ChIJ-wZtJAkJBjsR-2kqilXJZiE,https://www.google.com/maps/place/?q=place_id:ChIJ-wZtJAkJBjsR-2kqilXJZiE,part_308,2026-09-20 20:29:38
Kundara,Family Restaurant,Family restaurant,Family restaurant,691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",N/A,N/A,,,"XM6H+2GX, Nedumonkavu, Kundara, Keralam 691501",Nedumonkavu,8.9601022,76.6788491,ChIJxSfRIQAJBjsRrg3xbfOnN2Q,https://www.google.com/maps/place/?q=place_id:ChIJxSfRIQAJBjsRrg3xbfOnN2Q,part_308,2026-09-20 20:29:38
Kuttiyil Restaurant kundara,Family Restaurant,Restaurant,Restaurant,691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",+91 98095 12541,N/A,3.4,,"XM4F+P37, NH 744, Njarakkal, Mukkada, Kundara, Keralam 691501","Njarakkal, Mukkada",8.9567921,76.6726824,ChIJ-7VgTAAJBjsRvhqolxbMgmc,https://www.google.com/maps/place/?q=place_id:ChIJ-7VgTAAJBjsRvhqolxbMgmc,part_308,2026-09-20 20:29:38
Arafa family restaurant,Family Restaurant,Restaurant,Restaurant,691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",+91 94472 65187,N/A,4.3,,"Ammaveedu Rd, Kottukadu, jn, Chavara, Kerala 691583","Kottukadu, jn",8.992577599999999,76.5592577,ChIJbYjyR6kHBjsRGZvYAuI-nxM,https://www.google.com/maps/place/?q=place_id:ChIJbYjyR6kHBjsRGZvYAuI-nxM,part_308,2026-09-20 20:29:39
J V CASTLE,Family Restaurant,Shopping mall,Shopping mall,691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",+91 90726 26264,N/A,4.1,242.0,"Nedumonkavu, Mukkada, Kundara, Keralam 691501","Nedumonkavu, Mukkada",8.9594616,76.6776051,ChIJt3n6MQkJBjsRNyY1DL52zjY,https://www.google.com/maps/place/?q=place_id:ChIJt3n6MQkJBjsRNyY1DL52zjY,part_308,2026-09-20 20:29:40
Garden Restaurant,Family Restaurant,Family restaurant,"Family restaurant, Hotel, Ice cream shop",691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",+91 98478 43282,N/A,3.4,53.0,"2 km from Kottarakara junction along Trivandrum route, MC Road,, Lower Karickom, Kottarakkara, Keralam 691531",691501,8.99376,76.79175,ChIJ91v_VB0LBjsRYD9NwhyViMY,https://www.google.com/maps/place/?q=place_id:ChIJ91v_VB0LBjsRYD9NwhyViMY,part_308,2026-09-20 20:29:40
Lekshmi edibles Gourmet Restaurant,Family Restaurant,Fine dining restaurant,"Fine dining restaurant, Bakery and Cake Shop, Cake shop, Chinese restaurant",691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",+91 75609 01717,N/A,4.0,965.0,"Lekshmi edibles and drink, muslim street, Cheerankavu - Maranadu - Puthoor Rd, Kottarakkara, Keralam 691506",691501,9.0078795,76.7697532,ChIJq_UOZyYLBjsRkd-IDih_VKA,https://www.google.com/maps/place/?q=place_id:ChIJq_UOZyYLBjsRkd-IDih_VKA,part_308,2026-09-20 20:29:40
Rahath Bakes and Family Restaurant,Family Restaurant,Restaurant,Restaurant,691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",+91 99477 54478,N/A,3.0,220.0,"RQ76+235, SH 64, Parippally, Keralam 691574",691501,8.8125046,76.7602368,ChIJBxBaF7DnBTsRU0QYUuwDfg8,https://www.google.com/maps/place/?q=place_id:ChIJBxBaF7DnBTsRU0QYUuwDfg8,part_308,2026-09-20 20:29:40
"JAZI’S MAGIC KITCHEN RESTAURANT, Puthiyakavu,karunagappally",Family Restaurant,Restaurant,Restaurant,691501,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kundara SO, Ambipoika BO, Kundara East SO",+91 93883 02342,N/A,4.3,126.0,"Puthiyakavu Rd, near ola showroom, near Ola show room, Puthiyakavu, Karunagappalli, Kulasekharapuram, Keralam 690544",Puthiyakavu,9.080886999999999,76.5309264,ChIJXy-OpWEDBjsRum1G7JHWrYM,https://www.google.com/maps/place/?q=place_id:ChIJXy-OpWEDBjsRum1G7JHWrYM,part_308,2026-09-20 20:29:40
