business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rohini Automobiles,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 92497 99431,N/A,4.2,90.0,"5P3Q+P72, Adoor, Kerala 691523",691523,9.1542744,76.7381468,ChIJ6-58oCgSBjsRrXrAsWaX8cI,https://www.google.com/maps/place/?q=place_id:ChIJ6-58oCgSBjsRrXrAsWaX8cI,part_308,2026-09-20 20:42:34
Car Ac Point,Auto Electrician and AC Repair,Mechanic,Mechanic,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 99474 80337,N/A,4.5,35.0,"CJMC+3Q7, Mallappally, Chengaroor, Keralam 689594",691523,9.432661999999999,76.6219096,ChIJv-KQiJI7BjsRp5tibURLjz4,https://www.google.com/maps/place/?q=place_id:ChIJv-KQiJI7BjsRp5tibURLjz4,part_308,2026-09-20 20:42:34
Dr.Cool Car A/c,Auto Electrician and AC Repair,Auto air conditioning service,Auto air conditioning service,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 80861 05583,https://infoclub.co/listing/dr-cool-car-ac-works-pathanamthitta/,2.3,3.0,"Chittoor, Pathanamthitta, Keralam 689645",Chittoor,9.2690932,76.77094509999999,ChIJCZla4i8VBjsRV2XUUWbLEis,https://www.google.com/maps/place/?q=place_id:ChIJCZla4i8VBjsRV2XUUWbLEis,part_308,2026-09-20 20:42:34
D/C Power Auto Electrical Shop,Auto Electrician and AC Repair,Battery Store,"Battery Store, Solar panel maintenance service",691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 94960 28005,N/A,5.0,4.0,"Chiramudi, Pandalam, Poozhikad, Keralam 689515",691523,9.2068067,76.6766912,ChIJWZE1RS0XBjsRLTnDU6P4Nlg,https://www.google.com/maps/place/?q=place_id:ChIJWZE1RS0XBjsRLTnDU6P4Nlg,part_308,2026-09-20 20:42:34
Royal Cool Trading & Generator Works,Auto Electrician and AC Repair,Repair service,"Repair service, Electric generator shop",691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 99476 61496,N/A,4.3,7.0,"5P4H+X89, Parass La, Adoor, Keralam 691523",Parass La,9.1574183,76.7283246,ChIJjWdwm4YRBjsRVumMGJcV-c0,https://www.google.com/maps/place/?q=place_id:ChIJjWdwm4YRBjsRVumMGJcV-c0,part_308,2026-09-20 20:42:34
City Car AC Works,Auto Electrician and AC Repair,Chauffeur service,Chauffeur service,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 94468 12343,N/A,3.6,9.0,"NH 183A, Mylapra, Pathanamthitta, Kerala 689671",Mylapra,9.2736713,76.79260169999999,ChIJ1UdRK5UVBjsRcEQKbYoDzUs,https://www.google.com/maps/place/?q=place_id:ChIJ1UdRK5UVBjsRcEQKbYoDzUs,part_308,2026-09-20 20:42:34
Max Cool Air Conditioning Solutions,Auto Electrician and AC Repair,Air conditioning repair service,Air conditioning repair service,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 82810 11610,N/A,4.8,26.0,"Adoor - Kollam Rd, Manakala, Keralam 691551",691523,9.1351855,76.7241513,ChIJkU9mUcwRBjsRRZ9_WDAoXBQ,https://www.google.com/maps/place/?q=place_id:ChIJkU9mUcwRBjsRRZ9_WDAoXBQ,part_308,2026-09-20 20:42:34
"Vikmans service center, Omalloor",Auto Electrician and AC Repair,Air conditioning repair service,Air conditioning repair service,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 93498 12664,N/A,4.0,1.0,"6QW4+FP2 Vikmans service centre, Omalloor, Pathanamthitta, Keralam 689647",Omalloor,9.2461375,76.7567656,ChIJ-UCImXMVBjsRQImxNmmzh_Q,https://www.google.com/maps/place/?q=place_id:ChIJ-UCImXMVBjsRQImxNmmzh_Q,part_308,2026-09-20 20:42:34
AR COOLING PATHANAMTHITTA,Auto Electrician and AC Repair,Repair service,Repair service,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 99616 32002,N/A,5.0,4.0,"Vazhamuttom, Pathanamthitta, Keralam 689647",Vazhamuttom,9.2395855,76.7803228,ChIJZf8V6ZsVBjsRBTUJOUJ3BQM,https://www.google.com/maps/place/?q=place_id:ChIJZf8V6ZsVBjsRBTUJOUJ3BQM,part_308,2026-09-20 20:42:34
M.L Car A/C Service Centre,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 94474 55020,N/A,4.5,8.0,"9HW8+PW6, Thiruvalla, Keralam 689107",691523,9.396785099999999,76.5671983,ChIJ4UGxQXslBjsR_3EXME4UVn4,https://www.google.com/maps/place/?q=place_id:ChIJ4UGxQXslBjsR_3EXME4UVn4,part_308,2026-09-20 20:42:35
FOURSTROKE AUTOGARAGE LLP,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 80893 30332,N/A,4.6,18.0,"Ezhinjillam, Thiruvalla, Keralam 689107",691523,9.4158104,76.5494916,ChIJ7zwdgh8lBjsRuT-q34d-42U,https://www.google.com/maps/place/?q=place_id:ChIJ7zwdgh8lBjsRuT-q34d-42U,part_308,2026-09-20 20:42:35
Aans Auto Electrical Works,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 94473 64529,N/A,3.8,,"5P2Q+WHR, Adoor, Keralam 691523",691523,9.152365699999999,76.7388987,ChIJw5f0cCYSBjsR5q770kmELDk,https://www.google.com/maps/place/?q=place_id:ChIJw5f0cCYSBjsR5q770kmELDk,part_308,2026-09-20 20:42:35
GM battery house and Car AC,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,N/A,N/A,5.0,,"5P89+G6R, SH 1, near Palazhy pump, Adoor, Kerala 691523",691523,9.1663674,76.71800449999999,ChIJC2jDeGARBjsRO4ytmIo7F1k,https://www.google.com/maps/place/?q=place_id:ChIJC2jDeGARBjsRO4ytmIo7F1k,part_308,2026-09-20 20:42:35
Car ac works,Auto Electrician and AC Repair,Electronics store,Electronics store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,N/A,N/A,4.8,,"5Q22+397, Kayamkulam - Pathanapuram Rd, Keralam 691554",691523,9.1501553,76.7509133,ChIJ7XXJFKMTBjsRHCwXdNj1yQw,https://www.google.com/maps/place/?q=place_id:ChIJ7XXJFKMTBjsRHCwXdNj1yQw,part_308,2026-09-20 20:42:35
