business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MJ Auto Spares,Auto Spare Parts Shop,Auto parts store,Auto parts store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 97448 81792,http://mjautospares.com/,4.1,12.0,"KP Road-Thatta Road Junction, Adoor Central, Adoor, Keralam 691523",Kannamkode,9.1522343,76.7374478,ChIJ1-D7xicSBjsRzEz-dGJk-u4,https://www.google.com/maps/place/?q=place_id:ChIJ1-D7xicSBjsRzEz-dGJk-u4,part_308,2026-09-20 20:42:33
Galaxy Automobiles,Auto Spare Parts Shop,Auto parts store,Auto parts store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 62352 09203,N/A,5.0,2.0,"Alpha Building, Kayamkulam - Pathanapuram Rd, Adoor, Keralam 691523",691523,9.157529499999999,76.7278451,ChIJW2reaoYRBjsRrJsjSASS8VY,https://www.google.com/maps/place/?q=place_id:ChIJW2reaoYRBjsRrJsjSASS8VY,part_308,2026-09-20 20:42:33
Highlights Auto Electrical Spare Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 83300 09200,N/A,4.8,4.0,"Shop no. 6, Central Jct, Adoor, Keralam 691523",691523,9.153153,76.73564069999999,ChIJt94P8vMTBjsRIqxgMqLdXV8,https://www.google.com/maps/place/?q=place_id:ChIJt94P8vMTBjsRIqxgMqLdXV8,part_308,2026-09-20 20:42:33
myTVS Parts Mart,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Auto machine shop",691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 97463 78688,N/A,3.8,19.0,"Opp.Bhima Jewellers, P.M. Building, Thatta Road, Adoor, Kerala 691523",691523,9.153198999999999,76.737499,ChIJ1WTZOyYSBjsRvEy1kcA3nTw,https://www.google.com/maps/place/?q=place_id:ChIJ1WTZOyYSBjsRvEy1kcA3nTw,part_308,2026-09-20 20:42:33
UdayaAuto spares,Auto Spare Parts Shop,Auto parts store,Auto parts store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 99471 21667,N/A,4.3,4.0,"Central Adoor, 12, Central, Adoor, Keralam 691523",691523,9.1504946,76.73398399999999,ChIJ_-L2eUkTBjsRxtMY9YtHzM8,https://www.google.com/maps/place/?q=place_id:ChIJ_-L2eUkTBjsRxtMY9YtHzM8,part_308,2026-09-20 20:42:33
Himalayan Auto Solutions,Auto Spare Parts Shop,Auto parts store,Auto parts store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 93185 22167,N/A,4.8,6.0,"4PXJ+F4M, Bypass Rd, Adoor, Keralam 691523",691523,9.1487091,76.7302862,ChIJB2INPuIRBjsRSLT1LGFoGdA,https://www.google.com/maps/place/?q=place_id:ChIJB2INPuIRBjsRSLT1LGFoGdA,part_308,2026-09-20 20:42:33
S D Automobiles,Auto Spare Parts Shop,Auto parts store,Auto parts store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 80865 70627,N/A,3.1,9.0,"Kokkottu panchakshari, K.P Road, Kayamkulam - Pathanapuram Rd, T .B junction, Adoor, Keralam 691554",T .B junction,9.1496616,76.75531269999999,ChIJN4R6xCUSBjsR3bZKu_v-p6o,https://www.google.com/maps/place/?q=place_id:ChIJN4R6xCUSBjsR3bZKu_v-p6o,part_308,2026-09-20 20:42:33
Maruti Suzuki Genuine Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 1800 102 1800,https://www.marutisuzuki.com/genuine-parts,3.7,6.0,"5P5G+F38, Fire station junction, opposite South indian bank, Keralam 691523",691523,9.1586559,76.7251974,ChIJLREdiNIRBjsRB-pBZF-3EoA,https://www.google.com/maps/place/?q=place_id:ChIJLREdiNIRBjsRB-pBZF-3EoA,part_308,2026-09-20 20:42:33
Kalinga Auto Sales,Auto Spare Parts Shop,Auto parts store,Auto parts store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 4734 228 143,N/A,2.5,2.0,"Kalinga, Central, Kayamkulam - Pathanapuram Rd, Kannamkode, Adoor, Keralam 691523",Kannamkode,9.1520648,76.7387573,ChIJF8HdeiYSBjsRHTHrk1VB678,https://www.google.com/maps/place/?q=place_id:ChIJF8HdeiYSBjsRHTHrk1VB678,part_308,2026-09-20 20:42:33
NEW POPULAR AUTO STORE,Auto Spare Parts Shop,Auto parts store,Auto parts store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 75938 56051,N/A,3.9,22.0,"PALLANS ARCADE, K P ROAD, Adoor, Keralam 691523",691523,9.1525078,76.7414878,ChIJ0zTAtIQTBjsRA0M2DXF15Cc,https://www.google.com/maps/place/?q=place_id:ChIJ0zTAtIQTBjsRA0M2DXF15Cc,part_308,2026-09-20 20:42:33
Grand Motors,Auto Spare Parts Shop,Auto parts store,Auto parts store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 73564 45659,N/A,5.0,1.0,"Grand Motors, 24/360, cathedral Thatta Road, near st.thomas orthadox, Adoor, Keralam 691523",691523,9.154718899999999,76.7385444,ChIJvx1d2L0TBjsRwldf9icYeR0,https://www.google.com/maps/place/?q=place_id:ChIJvx1d2L0TBjsRwldf9icYeR0,part_308,2026-09-20 20:42:33
Adoor Automobiles,Auto Spare Parts Shop,Store,Store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 95264 81166,N/A,2.0,1.0,"J G Building, Toll Junction, Kannamkode, Adoor, Keralam 691523",Kannamkode,9.152026099999999,76.7381212,ChIJ-WBsYSYSBjsRrOuXZGbFy18,https://www.google.com/maps/place/?q=place_id:ChIJ-WBsYSYSBjsRrOuXZGbFy18,part_308,2026-09-20 20:42:33
Emmanuel & Sons Car Accessories,Auto Spare Parts Shop,Auto Accessories Store,Auto Accessories Store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 98957 03274,https://youtube.com/@stanlyjoseph3169?si=qbUdkU2ZodcqaZj7,4.7,101.0,"Thengumthara Rd, Pazhakulam, Adoor, Peringanad, Keralam 691554",Pazhakulam,9.1648278,76.6910015,ChIJOwoJ2f4QBjsR2R3d3NwzpN4,https://www.google.com/maps/place/?q=place_id:ChIJOwoJ2f4QBjsR2R3d3NwzpN4,part_308,2026-09-20 20:42:33
KOTTACKATTU AUTO SPARES ADOOR,Auto Spare Parts Shop,Auto parts store,Auto parts store,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,N/A,N/A,,,"5P2M+2F9, Adoor, Keralam 691523",691523,9.1500329,76.7337362,ChIJK3TgXycSBjsRZkMrYaoyrPg,https://www.google.com/maps/place/?q=place_id:ChIJK3TgXycSBjsRZkMrYaoyrPg,part_308,2026-09-20 20:42:33
