business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Evermark Tattoo and Gents Makeover Studio,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 85902 78523,N/A,5.0,197.0,"Kayamkulam - Punalur Rd, above Peter England Showroom, Adoor, Kerala 691523",691523,9.1526069,76.7416442,ChIJraSWih4TBjsR98L6fWOBSw0,https://www.google.com/maps/place/?q=place_id:ChIJraSWih4TBjsR98L6fWOBSw0,part_308,2026-09-20 20:42:41
Dare Devil tattoo studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 70127 02761,N/A,4.9,17.0,"5P3M+FG4 daredevil tattoo studio, Parass La, Adoor, Keralam 691523",Parass La,9.153676899999999,76.733846,ChIJzbIz4XATBjsRVIvo_BtFvGw,https://www.google.com/maps/place/?q=place_id:ChIJzbIz4XATBjsRVIvo_BtFvGw,part_308,2026-09-20 20:42:41
Evermor Tattoo,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 97464 21122,N/A,5.0,106.0,"First Floor, Kayamkulam - Pathanapuram Rd, near Pankajakasthuri Hospital, Adoor, Keralam 691523",691523,9.1525897,76.7420229,ChIJA_vCWj0TBjsRaR1TfQJJdNQ,https://www.google.com/maps/place/?q=place_id:ChIJA_vCWj0TBjsRaR1TfQJJdNQ,part_308,2026-09-20 20:42:41
Evermor Tattoo,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 75111 12353,N/A,,,"Kayamkulam - Pathanapuram Rd, opposite to karikkineth new silk galleria, Evermortattoo, Pazhakulam, Adoor, Nooranad, Kerala 691554","Evermortattoo, Pazhakulam",9.1652086,76.6846511,ChIJDzAvClURBjsRH4iwh689eYs,https://www.google.com/maps/place/?q=place_id:ChIJDzAvClURBjsRH4iwh689eYs,part_308,2026-09-20 20:42:41
LUXORA SALON PATHANAMTHITTA,Tattoo and Nail Art Studio,Beauty Parlour,Beauty Parlour,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 96567 07077,N/A,4.9,138.0,"7R83+P9M, Kumbazha, Mylapra, Pathanamthitta, Keralam 689653","Kumbazha, Mylapra",9.2668289,76.8034143,ChIJbfs4UwAVBjsRur3AfJKo1cg,https://www.google.com/maps/place/?q=place_id:ChIJbfs4UwAVBjsRur3AfJKo1cg,part_308,2026-09-20 20:42:42
CYAN BEAUTY SALON,Tattoo and Nail Art Studio,Beauty Parlour,Beauty Parlour,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 70125 69494,https://instagram.com/cyanbeautysalon?igshid=MzRlODBiNWFlZA==,4.9,165.0,"Kottackal Building, near KSRTC bus stand, Pathanamthitta, Keralam 689645",691523,9.267910299999999,76.7896773,ChIJkRmmpcQVBjsRXirIenBKxGk,https://www.google.com/maps/place/?q=place_id:ChIJkRmmpcQVBjsRXirIenBKxGk,part_308,2026-09-20 20:42:42
iPearl makeup studio,Tattoo and Nail Art Studio,Beauty Parlour,Beauty Parlour,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 96058 16098,https://ipearlmakeupstudio.com/,4.6,263.0,"Pbn building, Mamood, Konni, Keralam 689691",Mamood,9.2371208,76.8451929,ChIJLSXVPPtrBjsRN-O46U5z__I,https://www.google.com/maps/place/?q=place_id:ChIJLSXVPPtrBjsRN-O46U5z__I,part_308,2026-09-20 20:42:42
Glam 25 unisex makeover studio,Tattoo and Nail Art Studio,Beauty Parlour,Beauty Parlour,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,N/A,N/A,5.0,8.0,"Melevettippuram, Pathanamthitta Ring Rd, Vettipuram, Pathanamthitta, Keralam 689645",Vettipuram,9.274872799999999,76.7814289,ChIJfbjNZaUVBjsRNU8pjomJJrg,https://www.google.com/maps/place/?q=place_id:ChIJfbjNZaUVBjsRNU8pjomJJrg,part_308,2026-09-20 20:42:42
Dude Makeover Studio & Salon,Tattoo and Nail Art Studio,Barber shop,Barber shop,691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 75102 82674,https://www.facebook.com/TheDudeMakeoverStudio?mibextid=LQQJ4d,4.4,60.0,"Ponvelil Building, Omalloor, Pathanamthitta, Keralam 689647",Omalloor,9.243186,76.75632879999999,ChIJw6A2SWoVBjsRpbyUL9kQYL0,https://www.google.com/maps/place/?q=place_id:ChIJw6A2SWoVBjsRpbyUL9kQYL0,part_308,2026-09-20 20:42:42
Ras Makeup Studio,Tattoo and Nail Art Studio,Nail salon,"Nail salon, Beautician, Bridal shop, Eyelash salon, Facial spa, Hair extension technician, Make-up artist, Beauty Parlour, Hairdresser",691523,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Adur Kla HO,+91 98477 32345,https://rasmakeupstudio.com/,4.6,2326.0,"1st Floor, Ravisree Arcade, Ramanchira, SH 1, Thiruvalla, Keralam 689107",Ramanchira,9.3953147,76.57036289999999,ChIJu1HjFhUkBjsR6jRoGs3ET_Y,https://www.google.com/maps/place/?q=place_id:ChIJu1HjFhUkBjsR6jRoGs3ET_Y,part_308,2026-09-20 20:42:42
