business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BlueStone Builders & Developers,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,691536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kadakkal SO, Channappara BO, Chariparambu BO",+91 94474 50855,N/A,3.8,12.0,"Palamoodu, Kadakkal, Keralam 691536",Palamoodu,8.839657599999999,76.9229648,ChIJ1aUxKKzbBTsRZNqu57U9Io0,https://www.google.com/maps/place/?q=place_id:ChIJ1aUxKKzbBTsRZNqu57U9Io0,part_308,2026-09-20 20:50:57
I Crave Infrastructures ™,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,691536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kadakkal SO, Channappara BO, Chariparambu BO",+91 97476 16548,http://www.icraveinfrastructures.com/,5.0,5.0,"RWGG+2RH, Kadakkal, Keralam 691536",691536,8.8250713,76.92709959999999,ChIJEZBRo_nbBTsR9BKN7Lc_VCc,https://www.google.com/maps/place/?q=place_id:ChIJEZBRo_nbBTsR9BKN7Lc_VCc,part_308,2026-09-20 20:50:57
Ray Builder's & Construction,Civil Contractor and Builder,General contractor,General contractor,691536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kadakkal SO, Channappara BO, Chariparambu BO",+91 97473 33229,N/A,,,"Meloottu Veedu, Altharamoodu Anchumukku Road, Kadakkal, Keralam 691536",691536,8.8310011,76.92245319999999,ChIJPYNE1orbBTsRCRch44eErck,https://www.google.com/maps/place/?q=place_id:ChIJPYNE1orbBTsRCRch44eErck,part_308,2026-09-20 20:50:57
Rustica elemental construction,Civil Contractor and Builder,Real estate developer,Real estate developer,691536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kadakkal SO, Channappara BO, Chariparambu BO",+91 62381 19784,N/A,,,"Kadakkal, Keralam 691559",691536,8.825229199999999,76.92022229999999,ChIJw3SqOhbbBTsRrBMNjKmj6tI,https://www.google.com/maps/place/?q=place_id:ChIJw3SqOhbbBTsRrBMNjKmj6tI,part_308,2026-09-20 20:50:57
AKSHAY,Civil Contractor and Builder,Home builder,Home builder,691536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kadakkal SO, Channappara BO, Chariparambu BO",N/A,N/A,4.0,2.0,"RWH9+MH2, Kadakkal, Keralam 691536",691536,8.8291449,76.918882,ChIJKzfnUcvbBTsRVdf39hPLmMc,https://www.google.com/maps/place/?q=place_id:ChIJKzfnUcvbBTsRVdf39hPLmMc,part_308,2026-09-20 20:50:57
Russel Builders,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,691536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kadakkal SO, Channappara BO, Chariparambu BO",+91 85476 63608,N/A,5.0,3.0,"Sankarnagar, Kuttikkadu, Keralam 691536",691536,8.8479102,76.9164136,ChIJ1Y7qV5vdBTsRMLdRxOjLqrU,https://www.google.com/maps/place/?q=place_id:ChIJ1Y7qV5vdBTsRMLdRxOjLqrU,part_308,2026-09-20 20:50:57
Pandalammukku (PDM),Civil Contractor and Builder,Home builder,Home builder,691536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kadakkal SO, Channappara BO, Chariparambu BO",N/A,N/A,5.0,1.0,"RWMH+6J2, Pandalammukku, Jn, Kadakkal, Keralam 691536",Jn,8.8330136,76.92901239999999,ChIJOQL4YQDbBTsRsnoAMHlDqRw,https://www.google.com/maps/place/?q=place_id:ChIJOQL4YQDbBTsRsnoAMHlDqRw,part_308,2026-09-20 20:50:58
Nandana wood works,Civil Contractor and Builder,Home builder,Home builder,691536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kadakkal SO, Channappara BO, Chariparambu BO",N/A,N/A,,,"RWPJ+V35, Pandalammukku, Kadakkal, Keralam 691536",691536,8.837145999999999,76.9302476,ChIJWzwktMDbBTsRfjAPIWxqH-Y,https://www.google.com/maps/place/?q=place_id:ChIJWzwktMDbBTsRfjAPIWxqH-Y,part_308,2026-09-20 20:50:58
Revive Construction Company (India) Pvt Ltd,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,691536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kadakkal SO, Channappara BO, Chariparambu BO",+91 470 267 5703,https://revivecs.com/,3.6,77.0,"Njavelikonam Rd, Kilimanoor, Pazhayakunnummel, Keralam 695601",691536,8.776921999999999,76.87970059999999,ChIJpddj1yvDBTsRe01E-jZF5IY,https://www.google.com/maps/place/?q=place_id:ChIJpddj1yvDBTsRe01E-jZF5IY,part_308,2026-09-20 20:50:58
THANAL constructions,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,691536,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Kadakkal SO, Channappara BO, Chariparambu BO",N/A,N/A,,,"VW37+V3R, Kerala 691536",691536,8.854745099999999,76.9126491,ChIJr56eZ1TdBTsRPy62uORGo7k,https://www.google.com/maps/place/?q=place_id:ChIJr56eZ1TdBTsRPy62uORGo7k,part_308,2026-09-20 20:50:59
