business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Puthenchantha Kallu shap( toddy bar),Bar and Pub,Bar,Bar,691551,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Manakala SO, Choorakode BO, Nellimukal BO",N/A,N/A,3.7,14.0,"4PX2+Q27, Peringanad, Kerala 691551",691551,9.149409,76.6999343,ChIJGxaMsK8RBjsRtMYQf4KDsFc,https://www.google.com/maps/place/?q=place_id:ChIJGxaMsK8RBjsRtMYQf4KDsFc,part_309,2026-09-20 20:18:54
Mayabay Lounge,Bar and Pub,Bar,Bar,691551,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Manakala SO, Choorakode BO, Nellimukal BO",N/A,N/A,4.7,6.0,"4QW8+765, Parakode, Keralam 691554",691551,9.1456181,76.765909,ChIJjw6CHAMTBjsRxhxL4tOEvN0,https://www.google.com/maps/place/?q=place_id:ChIJjw6CHAMTBjsRxhxL4tOEvN0,part_309,2026-09-20 20:18:54
Hotel Midhuna International,Bar and Pub,Bar,"Bar, Hotel",691551,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Manakala SO, Choorakode BO, Nellimukal BO",+91 62380 99473,https://www.hotelmidhuna.com/,3.8,762.0,"MC Rd, Enathu, Adoor, Keralam 691526",691551,9.0909367,76.75502879999999,ChIJlXdJ28cNBjsRQxyZHFzOo3A,https://www.google.com/maps/place/?q=place_id:ChIJlXdJ28cNBjsRQxyZHFzOo3A,part_309,2026-09-20 20:18:54
SPOT X,Bar and Pub,Night club,Night club,691551,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Manakala SO, Choorakode BO, Nellimukal BO",N/A,N/A,3.5,22.0,"5P4F+GR4, Adoor, Keralam 691523",691551,9.156274999999999,76.7245674,ChIJDTQ9FwARBjsRsrIogpYJsbE,https://www.google.com/maps/place/?q=place_id:ChIJDTQ9FwARBjsRsrIogpYJsbE,part_309,2026-09-20 20:18:54
Nilav Bar,Bar and Pub,Bar,Bar,691551,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Manakala SO, Choorakode BO, Nellimukal BO",N/A,N/A,3.3,12.0,"T.b.junction, Kulanada, P.b.no.3, Deepa Building, Pathanamthitta, Keralam 689503",691551,9.242619699999999,76.6720279,ChIJ6wjCvPgXBjsRqsgBqKmjyfw,https://www.google.com/maps/place/?q=place_id:ChIJ6wjCvPgXBjsRqsgBqKmjyfw,part_309,2026-09-20 20:18:54
Toddy Bar,Bar and Pub,Bar,Bar,691551,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Manakala SO, Choorakode BO, Nellimukal BO",N/A,N/A,4.2,15.0,"4MH4+4G9, Thengamam - Pazhakulam Rd, Thengamam, Pallickal, Kerala 690561",691551,9.127787,76.6563552,ChIJJ5zPXe4RBjsRfp6GlJVt6MU,https://www.google.com/maps/place/?q=place_id:ChIJJ5zPXe4RBjsRfp6GlJVt6MU,part_309,2026-09-20 20:18:54
TODDY SHOP,Bar and Pub,Bar,Bar,691551,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Manakala SO, Choorakode BO, Nellimukal BO",N/A,N/A,5.0,1.0,Keralam 689501,691551,9.174665,76.7124877,ChIJ_W5CnHIRBjsRu1cZZb9evuA,https://www.google.com/maps/place/?q=place_id:ChIJ_W5CnHIRBjsRu1cZZb9evuA,part_309,2026-09-20 20:18:54
Toddy Shop,Bar and Pub,Bar,"Bar, Restaurant",691551,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Manakala SO, Choorakode BO, Nellimukal BO",N/A,N/A,3.6,24.0,"Kudassanad, Keralam 689512",691551,9.193512,76.6729661,ChIJbTy4pcUQBjsRsRtnIKfK1PY,https://www.google.com/maps/place/?q=place_id:ChIJbTy4pcUQBjsRsRtnIKfK1PY,part_309,2026-09-20 20:18:54
Hotel Central Park,Bar and Pub,Bar,"Bar, Hotel, Conference center, Kerala restaurant, Lodge, Restaurant",691551,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Manakala SO, Choorakode BO, Nellimukal BO",+91 91887 79423,N/A,3.6,173.0,"Kayamkulam - Pathanapuram Rd, Adoor, Keralam 691523",691551,9.1524618,76.74213999999999,ChIJd1PlpSUSBjsRpaCZbO1ZCxM,https://www.google.com/maps/place/?q=place_id:ChIJd1PlpSUSBjsRpaCZbO1ZCxM,part_309,2026-09-20 20:18:54
BARMAN,Bar and Pub,Bar,Bar,691551,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Manakala SO, Choorakode BO, Nellimukal BO",+91 62828 74722,N/A,2.0,2.0,"No. 15, Kayamkulam - Pathanapuram Rd, Parass La, Adoor, Kerala 691523",Parass La,9.1539629,76.7332454,ChIJn9XoYB0RBjsRpFa9xfTVFZ4,https://www.google.com/maps/place/?q=place_id:ChIJn9XoYB0RBjsRpFa9xfTVFZ4,part_309,2026-09-20 20:18:54
