business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Skinpal Advanced Dermatology Centre Skin Hair Nail Lasers Best Dermatologist in Kochi,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,691552,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kadambanad SO, Edakkad BO, Thuvayur South BO",+91 86182 94452,http://www.skinpal.in/,4.8,,"Achoth Tower, P O, Kusumagiri, Kuzhikattumula, Kochi, Kakkanad, Keralam 682030","Kusumagiri, Kuzhikattumula",10.0157657,76.35345559999999,ChIJ5egrv54NCDsR5mIDA-XLFsE,https://www.google.com/maps/place/?q=place_id:ChIJ5egrv54NCDsR5mIDA-XLFsE,part_309,2026-09-20 20:19:47
Dr M Vipin Das Dermatologist,Skin Clinic and Dermatologist,Dermatologist,"Dermatologist, Cosmetic surgeon",691552,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kadambanad SO, Edakkad BO, Thuvayur South BO",+91 79074 92848,https://www.clinicspots.com/doctor/dr-m-vipin--das,4.8,,"Sree Chithra nagar, A4, Edapazhanji, Thiruvananthapuram, Keralam 695006",Edapazhanji,8.5053342,76.97294509999999,ChIJJdtd7Tq7BTsRgTqoiMmAjD8,https://www.google.com/maps/place/?q=place_id:ChIJJdtd7Tq7BTsRgTqoiMmAjD8,part_309,2026-09-20 20:19:47
Twacha Skin and Hair Clinic Tripunithura,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Hair replacement service, Dermatologist, Specialized clinic, Venereologist",691552,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kadambanad SO, Edakkad BO, Thuvayur South BO",+91 95448 22800,https://www.kochidermatologist.com/,4.9,,"Ground floor, Souparnika Building, Mini Bypass Tripunithura Rd, FACT Nagar, Thrippunithura, Kochi, Ernakulam, Keralam 682301","FACT Nagar, Thrippunithura",9.9419665,76.3428474,ChIJkaWqvY1zCDsRJxHEQTt0gaA,https://www.google.com/maps/place/?q=place_id:ChIJkaWqvY1zCDsRJxHEQTt0gaA,part_309,2026-09-20 20:19:47
Dr. Abdul Samad's Clinic,Skin Clinic and Dermatologist,Doctor,Doctor,691552,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kadambanad SO, Edakkad BO, Thuvayur South BO",N/A,https://drtop.in/dr/AbdulSamadK,4.8,,"Veerabhadra Gardens, Pottakkuzhi, Thiruvananthapuram, Kerala 695004","Veerabhadra Gardens, Pottakkuzhi",8.5110949,76.93836759999999,ChIJUfUCCOm7BTsR2TzXoIvTPWM,https://www.google.com/maps/place/?q=place_id:ChIJUfUCCOm7BTsR2TzXoIvTPWM,part_309,2026-09-20 20:19:47
Twacha Skin and Hair Clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Allergist, Cosmetic surgeon, Dermatologist, Venereologist",691552,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kadambanad SO, Edakkad BO, Thuvayur South BO",+91 96563 76939,http://www.kochidermatologist.com/,4.6,,"2nd, Road, Civil Line Rd, near Juma Masjid, Padamughal, Vazhakkala, Kochi, Keralam 682021","Padamughal, Vazhakkala",10.0144328,76.332477,ChIJ2-6W0fYMCDsR463fpBH8IOk,https://www.google.com/maps/place/?q=place_id:ChIJ2-6W0fYMCDsR463fpBH8IOk,part_309,2026-09-20 20:19:47
Dr M L D Unnithan clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Doctor, Medical clinic",691552,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kadambanad SO, Edakkad BO, Thuvayur South BO",N/A,http://www.bookmyopticket.com/,4.0,,"TC 27/397(1),Karyalaya lane General Hospital Road, GH junction, near Vijaya petrol pump, Thiruvananthapuram, Keralam 695035","Jai Vihar, Kunnukuzhy",8.5010637,76.94571549999999,ChIJqaSy3767BTsR6CMigTRNGo0,https://www.google.com/maps/place/?q=place_id:ChIJqaSy3767BTsR6CMigTRNGo0,part_309,2026-09-20 20:19:47
Niara Aesthetics,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Allergist, Dermatologist, Walk-in clinic",691552,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kadambanad SO, Edakkad BO, Thuvayur South BO",+91 79074 11147,https://www.niaraaesthetics.com/,4.9,,"136, 3rd Cross Rd, Panampilly Nagar, Ernakulam, Keralam 682036",Panampilly Nagar,9.9631635,76.2957277,ChIJld7EV3tzCDsRc-XTjV_uPK8,https://www.google.com/maps/place/?q=place_id:ChIJld7EV3tzCDsRc-XTjV_uPK8,part_309,2026-09-20 20:19:47
Chethana Skin Clinic,Skin Clinic and Dermatologist,Skin care clinic,Skin care clinic,691552,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kadambanad SO, Edakkad BO, Thuvayur South BO",+91 471 236 1881,http://chethanaskinclinic.com/,3.9,,"GX7H+9HV, Maruthunkuzhi Kachani Road Near Maruthunkuzhi Junction Sasthamangalam, Maruthumkuzhi, Thiruvananthapuram, Keralam 695030",Maruthumkuzhi,8.513491,76.9789179,ChIJD0okAju6BTsRAKKlJ_TS3h4,https://www.google.com/maps/place/?q=place_id:ChIJD0okAju6BTsRAKKlJ_TS3h4,part_309,2026-09-20 20:19:47
Chalissery Skin & ENT Clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist, ENT Specialist",691552,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kadambanad SO, Edakkad BO, Thuvayur South BO",+91 95677 52577,https://www.facebook.com/ChalisseryClinic/,4.8,,"Pavoor Rd, Padivattom, Edappally, Ernakulam, Keralam 682024","Padivattom, Edappally",10.0097252,76.3190418,ChIJQQLjXv0MCDsR64QP3062ZN8,https://www.google.com/maps/place/?q=place_id:ChIJQQLjXv0MCDsR64QP3062ZN8,part_309,2026-09-20 20:19:47
DR Youth Clinic - Skin & Hair care - Kochi,Skin Clinic and Dermatologist,Skin care clinic,Skin care clinic,691552,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Kadambanad SO, Edakkad BO, Thuvayur South BO",+91 90377 31351,https://www.dryouthclinics.com/,4.9,,"3rd Floor, Gentleman Trade Centre, Mahakavi Vailoppilli Rd, Ponnurunni, Vyttila, Kochi, Ernakulam, Keralam 682019","Ponnurunni, Vyttila",9.970219,76.31749289999999,ChIJ5bvLHJ5zCDsR30yZ-cpd0nY,https://www.google.com/maps/place/?q=place_id:ChIJ5bvLHJ5zCDsR30yZ-cpd0nY,part_309,2026-09-20 20:19:47
