business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Unimoni Financial Services Ltd, Kottarakkara",Money Transfer and Forex,Money transfer service,"Money transfer service, Insurance agency, Loan agency, Currency exchange service, Travel agency",691557,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Chengamanad Jn SO, Kura BO",+91 75940 02453,https://kottarakkara.unimoni.in/?utm_source=Google_GMB&utm_medium=GMB_Microsite&utm_campaign=Organic,4.9,,"Ground Flr, Jose Tower, opp. Muthoot, Pulamon Junction, Kottarakkara, Keralam 691531",Pulamon Junction,9.0058799,76.782806,ChIJ-1NyIK8LBjsRAIrb-CktVgI,https://www.google.com/maps/place/?q=place_id:ChIJ-1NyIK8LBjsRAIrb-CktVgI,part_309,2026-09-20 20:23:25
Muthoot FinCorp Gold Loan,Money Transfer and Forex,Money transfer service,"Money transfer service, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Loan agency",691557,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Chengamanad Jn SO, Kura BO",+91 92890 56550,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-kottarakkara-loan-agency-kottarakkara-kottarakara-116832/Home,4.9,,"1st Floor, Friends Complex, No. VPI/268G, Karickom, Kilimanoor - Kottarakkara Rd, Kottarakkara, Keralam 691531",691557,8.9847176,76.8033744,ChIJdbEWS7ESBjsRVQsMK54lIOI,https://www.google.com/maps/place/?q=place_id:ChIJdbEWS7ESBjsRVQsMK54lIOI,part_309,2026-09-20 20:23:25
Muthoot FinCorp Gold Loan,Money Transfer and Forex,Money transfer service,"Money transfer service, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Loan agency",691557,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Chengamanad Jn SO, Kura BO",+91 92892 43454,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-kotarakara-loan-agency-kotarakara-kottarakara-115764/Home,4.9,,"1st Floor, KSRTC Pulamon Plaza, NH 744, Pulamon Junction, Kottarakkara, Keralam 691531",Pulamon Junction,9.0054228,76.78290919999999,ChIJ14NyFdELBjsReTJMGKCBDbo,https://www.google.com/maps/place/?q=place_id:ChIJ14NyFdELBjsReTJMGKCBDbo,part_309,2026-09-20 20:23:25
Muthoot FinCorp Gold Loan,Money Transfer and Forex,Money transfer service,"Money transfer service, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Loan agency",691557,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Chengamanad Jn SO, Kura BO",+91 92890 56431,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-kottarakkara-loan-agency-kottarakkara-kottarakara-116936/Home,4.9,,"No. 179, GF, Pulickal Santhosh Bhavan Kottarakara-Adoor Road, Mylom - Pattazhy Rd, Mylom, Kerala 691566",691557,9.028715499999999,76.783889,ChIJUdJcxRptBjsRJnTpkIBOuAw,https://www.google.com/maps/place/?q=place_id:ChIJUdJcxRptBjsRJnTpkIBOuAw,part_309,2026-09-20 20:23:25
Muthoot FinCorp Gold Loan,Money Transfer and Forex,Money transfer service,"Money transfer service, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Loan agency",691557,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Chengamanad Jn SO, Kura BO",+91 92891 99286,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-chengamanadu-loan-agency-chengamanadu-kollam-116090/Home,4.9,,"No. 70B, Ground Floor Kollam - Madurai Rd, Chengamanad, near Panchayath Office, Melila, Kollam, Keralam 691557",691557,9.013210299999999,76.8247452,ChIJ-VE76jQLBjsRZUxhnxWMwqI,https://www.google.com/maps/place/?q=place_id:ChIJ-VE76jQLBjsRZUxhnxWMwqI,part_309,2026-09-20 20:23:25
KLM Axiva Finvest Limited,Money Transfer and Forex,Loan agency,Loan agency,691557,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Chengamanad Jn SO, Kura BO",N/A,https://www.klmaxiva.com/,4.8,,"Bus station, KLM AXIVA FINVEST LTD Kottarakkara Branch, Ottathengil Building Opposition KSRTC, PO, Pulamon Junction, Kottarakkara, Keralam 691531",Pulamon Junction,9.0056539,76.781674,ChIJ4zbj6GcLBjsRlxwvgML0Uuw,https://www.google.com/maps/place/?q=place_id:ChIJ4zbj6GcLBjsRlxwvgML0Uuw,part_309,2026-09-20 20:23:25
Muthoot Finance Gold Loan,Money Transfer and Forex,Money transfer service,"Money transfer service, Agricultural Loan Agency, Business development service, Car finance and loan company, Currency exchange service, Financial institution, Insurance agency, Insurance company, Loan agency, Mortgage lender",691557,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Chengamanad Jn SO, Kura BO",+91 98958 89293,https://branches.muthootfinance.com/gold-loan-agency-in-randalummoodu-thalavoor-11474645/home,5.0,,"Ground Floor, Muttathu Building, Kottarakkara - Thalavoor Road, near NIIT Technology, Randalummoodu, Thalavoor, Keralam 691508",Randalummoodu,9.0405448,76.8258522,ChIJ_-Fg-f4NBjsRkAM30_j6RLE,https://www.google.com/maps/place/?q=place_id:ChIJ_-Fg-f4NBjsRkAM30_j6RLE,part_309,2026-09-20 20:23:25
Muthoot FinCorp Gold Loan,Money Transfer and Forex,Money transfer service,"Money transfer service, Car finance and loan company, Currency exchange service, Finance broker, Financial institution, Insurance agency, Insurance company, Investment company, Investment service, Loan agency",691557,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Chengamanad Jn SO, Kura BO",+91 92892 43626,https://branches.muthootfincorp.com/muthoot-fincorp-gold-loan-kunnicode-loan-agency-kunnicode-kollam-114874/Home,4.9,,"1st Floor, Jasmine Complex, No. 5P/15/111/1381, Kollam - Punalur Rd, Kunnicode, Kollam, Kerala 691508",691557,9.023061499999999,76.84715469999999,ChIJWVVVVZl0BjsRGrxkhI3wKb4,https://www.google.com/maps/place/?q=place_id:ChIJWVVVVZl0BjsRGrxkhI3wKb4,part_309,2026-09-20 20:23:25
LuLu Forex - Angamaly,Money Transfer and Forex,Currency exchange service,Currency exchange service,691557,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Chengamanad Jn SO, Kura BO",+91 96569 55353,https://luluforex.com/branch-locations/angamaly?branch_code=ANG,4.9,,"Ground Floor, St. George Shopping Complex, Shop No. 24/124 & 126A, Angamaly, Keralam 683572",691557,10.1894049,76.38563979999999,ChIJuwPGXzYHCDsRtnYsomXjZVg,https://www.google.com/maps/place/?q=place_id:ChIJuwPGXzYHCDsRtnYsomXjZVg,part_309,2026-09-20 20:23:26
Karar Travels & Money Exchange,Money Transfer and Forex,Currency exchange service,"Currency exchange service, Travel agency",691557,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Chengamanad Jn SO, Kura BO",+91 94958 41690,N/A,4.8,,"Kallambalam, Keralam 695605",691557,8.7636941,76.7913568,ChIJFaHiYW_oBTsRuMdvVKyX4rA,https://www.google.com/maps/place/?q=place_id:ChIJFaHiYW_oBTsRuMdvVKyX4rA,part_309,2026-09-20 20:23:27
