business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Xplode Gym & Fitness Center (Unisex),Gym and Fitness Center,Gym,Gym,691574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Parippally SO, Kizhakkanela BO, Velamannoor BO",+91 81378 74553,N/A,5.0,49.0,"Paripally - Madathara Rd, Parippally, Keralam 691574",691574,8.8124109,76.7605641,ChIJyQzhmpHnBTsRSM3GpS9CZ88,https://www.google.com/maps/place/?q=place_id:ChIJyQzhmpHnBTsRSM3GpS9CZ88,part_309,2026-09-20 20:27:38
Xplode platinum Gym& Fitness Centre,Gym and Fitness Center,Gym,Gym,691574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Parippally SO, Kizhakkanela BO, Velamannoor BO",+91 99955 53704,N/A,4.6,145.0,"ARV Building, Near, Medical College Rd, near Guru Nidhi Bank, Parippally, Kerala 691574",691574,8.8131202,76.7519832,ChIJPVxoWVzmBTsR-F1qr2IysLQ,https://www.google.com/maps/place/?q=place_id:ChIJPVxoWVzmBTsR-F1qr2IysLQ,part_309,2026-09-20 20:27:38
Squat University,Gym and Fitness Center,Fitness center,Fitness center,691574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Parippally SO, Kizhakkanela BO, Velamannoor BO",+91 73568 04139,N/A,4.9,21.0,"RP7V+6P8 Narayaneeyam, Pampuram, Parippally, Keralam 691574",Pampuram,8.8130625,76.74431249999999,ChIJ45j7huHnBTsR9wBKfOe-zHQ,https://www.google.com/maps/place/?q=place_id:ChIJ45j7huHnBTsR9wBKfOe-zHQ,part_309,2026-09-20 20:27:38
Viper Combat and Blaze Zumba,Gym and Fitness Center,Fitness center,Fitness center,691574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Parippally SO, Kizhakkanela BO, Velamannoor BO",N/A,N/A,5.0,7.0,"RQ67+R2P, Paripally - Madathara Rd, Parippally, Keralam 691574",691574,8.8120878,76.7625874,ChIJxzULEQDnBTsRoH8hTHjDKz0,https://www.google.com/maps/place/?q=place_id:ChIJxzULEQDnBTsRoH8hTHjDKz0,part_309,2026-09-20 20:27:38
ICON FITNESS CENTRE,Gym and Fitness Center,Gym,Gym,691574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Parippally SO, Kizhakkanela BO, Velamannoor BO",+91 96563 61654,N/A,5.0,2.0,"Pampuram, Parippally, Keralam 691574",Pampuram,8.8132643,76.74929809999999,ChIJpZVOUQnnBTsRqmZ5YY8rdU8,https://www.google.com/maps/place/?q=place_id:ChIJpZVOUQnnBTsRqmZ5YY8rdU8,part_309,2026-09-20 20:27:38
Alpha Weight Management & Lifestyle Centre,Gym and Fitness Center,Fitness center,"Fitness center, Wellness center",691574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Parippally SO, Kizhakkanela BO, Velamannoor BO",+91 94003 84336,N/A,5.0,5.0,"Neduvila, junction, Paripally - Madathara Rd, Parippally, Keralam 691574",691574,8.812124899999999,76.76183019999999,ChIJQfmZLHXnBTsR1SjP_9o-fXg,https://www.google.com/maps/place/?q=place_id:ChIJQfmZLHXnBTsR1SjP_9o-fXg,part_309,2026-09-20 20:27:38
Cardios,Gym and Fitness Center,Fitness center,Fitness center,691574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Parippally SO, Kizhakkanela BO, Velamannoor BO",+91 98954 54619,https://www.instagram.com/cardios_fitness_center?igsh=cXk0Nmwzbm9nZDJk&utm_source=qr,4.8,13.0,"Kalluvathukkal, Keralam 691578",691574,8.8322374,76.7460485,ChIJj6esgDPnBTsRpX0gkGLqp7E,https://www.google.com/maps/place/?q=place_id:ChIJj6esgDPnBTsRpX0gkGLqp7E,part_309,2026-09-20 20:27:38
Parippally sports academy,Gym and Fitness Center,Martial arts school,Martial arts school,691574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Parippally SO, Kizhakkanela BO, Velamannoor BO",+91 79023 04006,N/A,4.6,11.0,"PSA FIGHTERS CLUB, Paravur - Parippally Rd, Parippally, Keralam 691574",691574,8.8127785,76.7543611,ChIJU_DxebfnBTsR6CP_cD98VDU,https://www.google.com/maps/place/?q=place_id:ChIJU_DxebfnBTsR6CP_cD98VDU,part_309,2026-09-20 20:27:38
Alpha Fitness Centre,Gym and Fitness Center,Gym,Gym,691574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Parippally SO, Kizhakkanela BO, Velamannoor BO",N/A,N/A,4.9,13.0,"RPMV+QCX, Kalluvathukkal, Keralam 691578",691574,8.8338925,76.7435964,ChIJ5e2L_U_nBTsRxoKcaRTCMqE,https://www.google.com/maps/place/?q=place_id:ChIJ5e2L_U_nBTsRxoKcaRTCMqE,part_309,2026-09-20 20:27:38
New Smart Unisex Fitness Center,Gym and Fitness Center,Fitness center,Fitness center,691574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Parippally SO, Kizhakkanela BO, Velamannoor BO",N/A,N/A,,,"RQ37+55Q, Varkala - Madathara Rd, near Alapattu, Parippally, Keralam 691574",691574,8.8029511,76.7629941,ChIJp69ZtkbmBTsR6zbQvZzDM3I,https://www.google.com/maps/place/?q=place_id:ChIJp69ZtkbmBTsR6zbQvZzDM3I,part_309,2026-09-20 20:27:38
SAI SPORTS,Gym and Fitness Center,Sports Accessories Wholesaler,Sports Accessories Wholesaler,691574,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Parippally SO, Kizhakkanela BO, Velamannoor BO",N/A,N/A,3.7,3.0,"RQ46+HV9, Mukkada, Parippally, Kerala 691574",Mukkada,8.806403399999999,76.7622355,ChIJY3HAhkPmBTsR75Q-u6svGt4,https://www.google.com/maps/place/?q=place_id:ChIJY3HAhkPmBTsR75Q-u6svGt4,part_309,2026-09-20 20:27:40
