business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MISPAH SECURITY SOLUTIONS,Security Guard Agency,Security guard service,Security guard service,691577,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukathala SO, Alumoodu BO, Decent Jn BO",+91 62827 43911,N/A,4.7,13,"Kollam - Thirumangalam Rd, Nedumonkavu, Kundara, Keralam 691501",Nedumonkavu,8.958628299999999,76.6813541,ChIJQ2vcXW4JBjsRSNa5n8tR__o,https://www.google.com/maps/place/?q=place_id:ChIJQ2vcXW4JBjsRSNa5n8tR__o,part_309,2026-09-20 20:29:20
PHANTOM CARE SOLUTIONS Private Limited,Security Guard Agency,Security service,Security service,691577,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukathala SO, Alumoodu BO, Decent Jn BO",+91 75928 20121,http://www.phantomcaresolutions.com/,4.6,9,"Kollam - Ottakkal Rd, Kuzhiyam, Kollam, Keralam 691511",691577,8.9472568,76.63948599999999,ChIJpdAIPjgJBjsRTVRQELKHyew,https://www.google.com/maps/place/?q=place_id:ChIJpdAIPjgJBjsRTVRQELKHyew,part_309,2026-09-20 20:29:20
KPR SECURITY SERVICE,Security Guard Agency,Security service,Security service,691577,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukathala SO, Alumoodu BO, Decent Jn BO",+91 474 274 2977,N/A,3.0,2,"VJR2+FV5, Kadapakkada, Kollam, Keralam 691008",Kadapakkada,8.8911477,76.6022168,ChIJv4OicQD9BTsR2hBx13MSk6o,https://www.google.com/maps/place/?q=place_id:ChIJv4OicQD9BTsR2hBx13MSk6o,part_309,2026-09-20 20:29:20
Dev Associates and Security Service,Security Guard Agency,Security guard service,Security guard service,691577,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukathala SO, Alumoodu BO, Decent Jn BO",N/A,N/A,5.0,1,"VHPW+83G, Kollam Railway Station Rd, Chamkkada, Kollam, Kerala 691001",Chamkkada,8.8858221,76.59520499999999,ChIJjdo6Dvz9BTsRokqnasYzRzE,https://www.google.com/maps/place/?q=place_id:ChIJjdo6Dvz9BTsRokqnasYzRzE,part_309,2026-09-20 20:29:20
Insight Manpower Solutions,Security Guard Agency,Security service,Security service,691577,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukathala SO, Alumoodu BO, Decent Jn BO",+91 62351 20824,N/A,5.0,3,"Chandra's, Building, Randamkutty, Kollam, Keralam 691004",Randamkutty,8.8995107,76.6149267,ChIJ____s-H8BTsRukjW1w6ZoUM,https://www.google.com/maps/place/?q=place_id:ChIJ____s-H8BTsRukjW1w6ZoUM,part_309,2026-09-20 20:29:20
Raforce Security Services Pvt Ltd,Security Guard Agency,Security service,Security service,691577,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukathala SO, Alumoodu BO, Decent Jn BO",+91 95620 10100,http://www.raforceindia.com/,4.3,3,"2W9H+647, Kollam - Ottakkal Rd, Panamkuttymala, Punalur, Kerala 691305",Panamkuttymala,9.018037099999999,76.9277838,ChIJ58tOTJh2BjsRrhkGvxHMPp8,https://www.google.com/maps/place/?q=place_id:ChIJ58tOTJh2BjsRrhkGvxHMPp8,part_309,2026-09-20 20:29:21
Deepam Security Service,Security Guard Agency,Security guard service,Security guard service,691577,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukathala SO, Alumoodu BO, Decent Jn BO",+91 80893 00164,N/A,4.8,16,"Deepam Building, Aayilliyammkavu Road, Nemom, Pravachambalam - Ooruttambalam Rd, Pallichal, Keralam 695020",691577,8.4467359,77.01069609999999,ChIJB_Yj5CCxBTsRI4PvOB3bN3A,https://www.google.com/maps/place/?q=place_id:ChIJB_Yj5CCxBTsRI4PvOB3bN3A,part_309,2026-09-20 20:29:21
NATURE FOX SECURITY SERVICES,Security Guard Agency,Security guard service,Security guard service,691577,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukathala SO, Alumoodu BO, Decent Jn BO",+91 80787 81853,N/A,4.9,40,"Jyothi nagar Near st. Mary's school, Kesavadasapuram, Thiruvananthapuram, Keralam 695004","Vivekananda Nagar, Kesavadasapuram",8.526038,76.939115,ChIJ6TXAZK25BTsRXar68p3sKFs,https://www.google.com/maps/place/?q=place_id:ChIJ6TXAZK25BTsRXar68p3sKFs,part_309,2026-09-20 20:29:21
Secusiz Integrated Security Services®,Security Guard Agency,Security guard service,Security guard service,691577,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukathala SO, Alumoodu BO, Decent Jn BO",+91 70257 22221,https://www.secusiz.in/,4.9,14,"KP 11/ 418, Kazhakuttom Rd, Menamkulam, Thiruvananthapuram, Menamkulam, Keralam 695582",Menamkulam,8.563877,76.8603517,ChIJqdzG_Vm_BTsRNE6l-C4JwfE,https://www.google.com/maps/place/?q=place_id:ChIJqdzG_Vm_BTsRNE6l-C4JwfE,part_309,2026-09-20 20:29:21
Efficient Security Service & Society,Security Guard Agency,Security guard service,Security guard service,691577,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukathala SO, Alumoodu BO, Decent Jn BO",+91 98465 72341,https://efficientsecurity.in/,4.6,25,"P.O, T.C. No:3/1908, Kusala Bhavan KTRA 186, Kallingal Rd, Kulathoor, Thiruvananthapuram, Keralam 695583","Technopark Campus, Kulathoor",8.5517314,76.88105709999999,ChIJuaSUcKS_BTsR5P2YbbvOeiM,https://www.google.com/maps/place/?q=place_id:ChIJuaSUcKS_BTsR5P2YbbvOeiM,part_309,2026-09-20 20:29:21
