business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Keralam 691585,Fast Food and Chaat Corner,Postal code,Postal code,691585,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukundapuram SO, Puthukkadukara BO",N/A,N/A,,,Keralam,691585,8.9771128,76.5517132,ChIJB3xNdvMGBjsRrE7tSohoYNQ,https://www.google.com/maps/place/?q=place_id:ChIJB3xNdvMGBjsRrE7tSohoYNQ,part_309,2026-09-20 20:33:38
CHOICE CHAT CORNER - Since 1990,Fast Food and Chaat Corner,Panipuri shop,Panipuri shop,691585,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukundapuram SO, Puthukkadukara BO",+91 94487 96484,N/A,4.9,,"1043, RH Rd, near Nandini medical, New Town, Vijay nagar, Bangarapet, Karnataka 563114","New Town, Vijay nagar",12.992019899999999,78.17963259999999,ChIJn30uh0rprTsRE3Mk5hJPNfc,https://www.google.com/maps/place/?q=place_id:ChIJn30uh0rprTsRE3Mk5hJPNfc,part_309,2026-09-20 20:33:39
T T Chat Center,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,691585,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukundapuram SO, Puthukkadukara BO",+91 90667 65726,N/A,4.4,,"2P36+HFW, 3rd block, 2nd main, Vinayaka Temple Rd, opposite to katte, 3rd Block, Ayyappa Nagar, Krishnarajapuram, Bengaluru, Karnataka 560036","3rd Block, Ayyappa Nagar, Krishnarajapuram",13.003946899999999,77.7112034,ChIJRZHdtKQRrjsR1Rx9iknVzw4,https://www.google.com/maps/place/?q=place_id:ChIJRZHdtKQRrjsR1Rx9iknVzw4,part_309,2026-09-20 20:33:39
Chat Point,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,691585,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukundapuram SO, Puthukkadukara BO",N/A,N/A,4.2,,"Om Shakti Villa, 22, Kalkere Main Road, Ramesh Nagar, Raghavendra Extension, Ramamurthy Nagar, Bengaluru, Karnataka 560016","Ramesh Nagar, Raghavendra Extension, Ramamurthy Nagar",13.0206383,77.6784071,ChIJYYDd6eAQrjsRRQIYg4s5N08,https://www.google.com/maps/place/?q=place_id:ChIJYYDd6eAQrjsRRQIYg4s5N08,part_309,2026-09-20 20:33:39
Desi Chats,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Breakfast restaurant, North Indian restaurant",691585,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukundapuram SO, Puthukkadukara BO",+91 78292 67381,http://desichats.in/,4.0,,"Laxmi Sagar Layout, Mahadevapura, Bengaluru, Karnataka 560048","Laxmi Sagar Layout, Mahadevapura",12.989227999999999,77.6893791,ChIJ33K_GHIRrjsRxMf5paH_8aY,https://www.google.com/maps/place/?q=place_id:ChIJ33K_GHIRrjsRxMf5paH_8aY,part_309,2026-09-20 20:33:39
Bangarpet Chats,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Indian restaurant",691585,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukundapuram SO, Puthukkadukara BO",+91 90665 85559,N/A,4.0,,"1115, Garden Layout, Sector 2, HSR Layout, Bangarapet, Bengaluru, Karnataka 560102","Garden Layout, Sector 2, HSR Layout",12.9082186,77.6487119,ChIJ99flypsUrjsRE8HdVAC_4fU,https://www.google.com/maps/place/?q=place_id:ChIJ99flypsUrjsRE8HdVAC_4fU,part_309,2026-09-20 20:33:39
Shree Vasavi Chats Bangarpet Pani Puri,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,691585,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukundapuram SO, Puthukkadukara BO",+91 80506 32351,N/A,4.1,,"#245/A Shop No 3, 50 Feet Road Hanumanthanagar, 245, 13th Main Rd, next to Mathru Sagar Hotel, 2nd Block, Phase 1, Banashankari 1st Stage, Banashankari, Bengaluru, Karnataka 560050","2nd Block, Phase 1, Banashankari 1st Stage, Banashankari",12.9416494,77.55657959999999,ChIJtypRCxU_rjsR2mWd1ud5xnQ,https://www.google.com/maps/place/?q=place_id:ChIJtypRCxU_rjsR2mWd1ud5xnQ,part_309,2026-09-20 20:33:39
Sri venkateshwara bangarpet chats,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,691585,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukundapuram SO, Puthukkadukara BO",+91 95917 04452,https://srivenkateshwarachats.netlify.app/,4.7,,"Antharagange Main Rd, opp. suguna nursing home, Muneshwara Nagar, Kolar, Karnataka 563101",Muneshwara Nagar,13.136486699999999,78.12814589999999,ChIJDx5jK_DxrTsRwjhS03SCInc,https://www.google.com/maps/place/?q=place_id:ChIJDx5jK_DxrTsRwjhS03SCInc,part_309,2026-09-20 20:33:39
SK Cafe Bangarpet Chats & Juice center,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Sweet shop, Cafe, Ice cream shop, Juice shop, Pasta shop, Pizza restaurant, Sandwich shop",691585,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukundapuram SO, Puthukkadukara BO",+91 99007 72527,N/A,4.2,,"514 2nd Main Gangothri road, Jr College Rd, New Extension, Krishnarajapuram, Bengaluru, Karnataka 560036","New Extension, Krishnarajapuram",13.012626899999999,77.6971076,ChIJzfR81wARrjsRXPPwiBr4m-M,https://www.google.com/maps/place/?q=place_id:ChIJzfR81wARrjsRXPPwiBr4m-M,part_309,2026-09-20 20:33:39
Chicking Edakkara,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,691585,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukundapuram SO, Puthukkadukara BO",+91 90588 00800,https://www.chickingindia.in/,4.6,,"Chicking, Ayisha Square, Munda, Edakkara, Keralam 679331",Munda,11.362730299999999,76.32003089999999,ChIJr1hm4oMjpjsRp6JvqUM0TgI,https://www.google.com/maps/place/?q=place_id:ChIJr1hm4oMjpjsRp6JvqUM0TgI,part_309,2026-09-20 20:33:39
Sri vasavi shiva krupa chats,Fast Food and Chaat Corner,Panipuri shop,Panipuri shop,691585,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukundapuram SO, Puthukkadukara BO",+91 94802 33501,N/A,4.4,,"Ellamallapa Road, Vivekanand Nagar, Bangarapet, Karnataka 563114",Vivekanand Nagar,12.988087199999999,78.1795277,ChIJv4Io6erprTsRzeo81_2EOQA,https://www.google.com/maps/place/?q=place_id:ChIJv4Io6erprTsRzeo81_2EOQA,part_309,2026-09-20 20:33:39
FoodLand Thattukada (NIGHT CRAVE),Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,691585,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukundapuram SO, Puthukkadukara BO",+91 90483 25337,N/A,4.1,,"PW53+M7M, Bangramanjeshwar, Keralam 671323",691585,12.7092023,74.9031856,ChIJ98o2FJVhozsR7b0RRnXchIw,https://www.google.com/maps/place/?q=place_id:ChIJ98o2FJVhozsR7b0RRnXchIw,part_309,2026-09-20 20:33:39
ALIF BROAST,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,691585,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mukundapuram SO, Puthukkadukara BO",+91 73564 67775,N/A,4.2,,"Tanur - Venniyur Rd, Jayarampadi, Kundoor, Keralam 676320",Jayarampadi,11.0092843,75.92307559999999,ChIJh6rgYbWypzsRGMxBW0lXd2E,https://www.google.com/maps/place/?q=place_id:ChIJh6rgYbWypzsRGMxBW0lXd2E,part_309,2026-09-20 20:33:39
