business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Iyer & Mahesh Architects,Architects,Architect,Architect,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 232 5543,http://www.iyermahesh.com/,4.5,79,"Narayana Towers, Women's College Rd, Bakery, Vazhuthacaud, Thiruvananthapuram, Kerala 695014","Bakery, Vazhuthacaud",8.5006599,76.9581245,ChIJd2pXNKm7BTsRhLT-urB3fww,https://www.google.com/maps/place/?q=place_id:ChIJd2pXNKm7BTsRhLT-urB3fww,part_309,2026-09-20 20:37:22
Heritage Architecture,Architects,Architect,"Architect, Real Estate Builders & Construction Company",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 93882 34566,https://www.heritagearchitecture.in/contact.html#,4.9,97,"Kuthiravattom Ln, Kunnumpuram, Vanchiyoor, Thiruvananthapuram, Keralam 695035","Kunnumpuram, Vanchiyoor",8.4892301,76.9434218,ChIJBXSJtKS7BTsRPmIAm51sDeU,https://www.google.com/maps/place/?q=place_id:ChIJBXSJtKS7BTsRPmIAm51sDeU,part_309,2026-09-20 20:37:22
Srijit Srinivas Architects,Architects,Architect,"Architect, Architecture firm",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 94470 92404,http://www.srijitsrinivas.com/,4.8,45,"1, Belhaven Road, Kanaka Nagar, Kowdiar, Thiruvananthapuram, Keralam 695003","Kanaka Nagar, Kowdiar",8.5165356,76.9603316,ChIJwy2GAtS7BTsR88q-xt3RcUY,https://www.google.com/maps/place/?q=place_id:ChIJwy2GAtS7BTsR88q-xt3RcUY,part_309,2026-09-20 20:37:22
Keerthi and Bhavana Architects and Interior Designers,Architects,Architect,Architect,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 232 0496,http://www.kandbengineers.com/,4.6,115,"TC – 15 / 1526 [1], M P Appan Nagar, Vazhuthacaud, Thiruvananthapuram, Kerala 695014","DPI, Vazhuthacaud",8.4981894,76.95936449999999,ChIJf2sK77O7BTsRJxwul-e90cE,https://www.google.com/maps/place/?q=place_id:ChIJf2sK77O7BTsRJxwul-e90cE,part_309,2026-09-20 20:37:22
sOlo Architects,Architects,Architecture firm,Architecture firm,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 90488 85010,N/A,5.0,29,"25/3549, Neerazhi Ln, Statue, Pulimoodu, Thiruvananthapuram, Keralam 695001","Statue, Pulimoodu",8.494156799999999,76.94638669999999,ChIJrQ9bEyy7BTsRuAH7T-qnOks,https://www.google.com/maps/place/?q=place_id:ChIJrQ9bEyy7BTsRuAH7T-qnOks,part_309,2026-09-20 20:37:22
Adhvait Architectural & Vastu Building Designs,Architects,Architect,"Architect, Architecture firm, Architects association, Architectural designer, Building consultant, Design engineer, Home builder, Structural engineer, Vastu consultant",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 95676 76633,https://www.adhvait.com/,4.9,311,"P O, 1st Floor Fathima Building , Eenchakkal, 1km Near Padmanabhaswamy Temple, Enchakkal Attakulangara Road Eenchakkal Junction, Vallakkadavu, Signalnearby, Eanchakkal, Thiruvananthapuram, Keralam 695008","Signalnearby, Eanchakkal",8.4797306,76.93515889999999,ChIJf7C6icK7BTsRg3KiecZPyBc,https://www.google.com/maps/place/?q=place_id:ChIJf7C6icK7BTsRg3KiecZPyBc,part_309,2026-09-20 20:37:22
Architects Consortium,Architects,Architect,Architect,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 232 2298,http://www.thearchitectsconsortium.com/,4.5,54,"Pound Rd, opposite bharate bhavan, Paund Colony, Thycaud, Thiruvananthapuram, Keralam 695014","Paund Colony, Thycaud",8.4960837,76.9568463,ChIJWT4XobG7BTsR4XTbAIq72v8,https://www.google.com/maps/place/?q=place_id:ChIJWT4XobG7BTsR4XTbAIq72v8,part_309,2026-09-20 20:37:22
Srishti Architects,Architects,Architect,Architect,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 244 5855,http://www.srishti-ideas.com/,4.6,47,"Pattom Palace Junction, Pattom, Thiruvananthapuram, Keralam 695004","Vrindavan Gardens, Pattom",8.517752,76.9429033,ChIJvUnAl927BTsR_85IvCZvWTo,https://www.google.com/maps/place/?q=place_id:ChIJvUnAl927BTsR_85IvCZvWTo,part_309,2026-09-20 20:37:22
Hamlet Architects,Architects,Architecture firm,Architecture firm,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 62822 92860,http://www.hamletarchitects.com/,4.9,28,"Panavila Junction, Near SP Grand Days, Junction, Panavila, Thiruvananthapuram, Keralam 695014","Panavila, Thycaud",8.4956435,76.9551469,ChIJMakehlC7BTsR7b9QJJVJLaw,https://www.google.com/maps/place/?q=place_id:ChIJMakehlC7BTsR7b9QJJVJLaw,part_309,2026-09-20 20:37:22
Foxgreen Consulting LLP,Architects,Architect,"Architect, Engineering consultant, General contractor, Interior designer, Landscape architect",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 401 7099,http://www.foxgreenllp.com/,4.8,116,"TC 29/2580, ""Karthika"", F-4,, Tagore Nagar Lane 2 , Cottonhill Road,, Vazhuthacaud, Thiruvananthapuram, Keralam 695014","Cotton Hill, Vazhuthacaud",8.5003039,76.9606596,ChIJDwnm9-K7BTsRMmCAJ38eSzI,https://www.google.com/maps/place/?q=place_id:ChIJDwnm9-K7BTsRMmCAJ38eSzI,part_309,2026-09-20 20:37:22
Jubair Associates,Architects,Architect,"Architect, Architectural designer, Architecture firm",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 98956 23219,https://www.jubair.associates/,4.9,39,"M G Radhakrishanan Road Thycaud Near Shasta Temple, opposite Professional Courier Area Office, Thiruvananthapuram, Keralam 695014","Paund Colony, Thycaud",8.4948974,76.9561382,ChIJKSggtrG7BTsRvdkFjGY_Sm8,https://www.google.com/maps/place/?q=place_id:ChIJKSggtrG7BTsRvdkFjGY_Sm8,part_309,2026-09-20 20:37:22
Architect Chandramohan Associates,Architects,Architect,Architect,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 405 3877,http://www.chandramohanassociates.com/,4.6,25,"1, Belhaven C Street, Belhaven Gardens, Kowdiar, Thiruvananthapuram, Keralam 695003","Belhaven Gardens, Kowdiar",8.517974599999999,76.9581426,ChIJAQAA1NO7BTsRb_FZSKwmWuM,https://www.google.com/maps/place/?q=place_id:ChIJAQAA1NO7BTsRb_FZSKwmWuM,part_309,2026-09-20 20:37:22
VARGHESE PANICKER ARCHITECTS,Architects,Architect,Architect,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 272 2244,http://www.tpvarchitects.com/,4.6,41,"TC 4/171 (8),TTC Junction, Kowdiar PO, Thiruvananthapuram, Keralam 695003","Pandits Colony Extension, Kowdiar",8.5193015,76.9593294,ChIJuVvU59O7BTsR5YZP_wLgo1o,https://www.google.com/maps/place/?q=place_id:ChIJuVvU59O7BTsR5YZP_wLgo1o,part_309,2026-09-20 20:37:22
