business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Titan Eye+ at MG Road, Trivandrum (Buy 1 Get 1 Free)",Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Glasses repair service, Optical instrument repair service, Optical Products Manufacturer, Optometrist, Sunglasses store",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 401 1918,https://www.titaneyeplus.com/,4.9,,"TC 28/2452(1 SAIVA, PRAKASHA SABHA BUILDING, Mahatma Gandhi Rd, Vanchiyoor, Thiruvananthapuram, Keralam 695001",Vanchiyoor,8.4899638,76.9470224,ChIJ9TBYrqS7BTsR8ElXX0O9gHY,https://www.google.com/maps/place/?q=place_id:ChIJ9TBYrqS7BTsR8ElXX0O9gHY,part_309,2026-09-20 20:37:10
Lens & Frames Opticians,Optical Store and Eyewear,Optician,"Optician, Ophthalmologist, Optometrist, Sunglasses store",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 98464 23471,http://www.lensandframes.com/,4.9,,"GPO Lane, Junction, Pulimoodu, Thiruvananthapuram, Keralam 695001",Pulimoodu,8.4948214,76.9476593,ChIJ2RremKa7BTsRbm8iIm2JhUI,https://www.google.com/maps/place/?q=place_id:ChIJ2RremKa7BTsRbm8iIm2JhUI,part_309,2026-09-20 20:37:10
"Lenskart.com Flagship Store at MG Road, Trivandrum (First Lens Replacement Free)",Optical Store and Eyewear,Optician,"Optician, Eye care center, Optometrist, Repair service, Sunglasses store",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 88260 01599,https://www.lenskart.com/stores/lenskart-com-Trivandrum-MG-Road-Trivandrum-Trivandrum-241214/Home,4.9,,"TC 38/1626, Mahatma Gandhi Rd, near Baba Studio, Overbridge, Chalai Bazaar, Chalai, Thiruvananthapuram, Keralam 695001","Overbridge, Chalai Bazaar, Chalai",8.4868699,76.947897,ChIJm-IT-o27BTsRypxC2W5WpDQ,https://www.google.com/maps/place/?q=place_id:ChIJm-IT-o27BTsRypxC2W5WpDQ,part_309,2026-09-20 20:37:10
Lens & Frames Opticians,Optical Store and Eyewear,Optician,Optician,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 85890 23471,https://www.lensandframes.com/,4.9,,"25/201, Mahatma Gandhi Rd, near PULIMOODU, JN, Pulimoodu, Thiruvananthapuram, Keralam 695001","JN, Pulimoodu",8.4931204,76.94773339999999,ChIJ1d6sUQ-7BTsRcwq6cekbGB4,https://www.google.com/maps/place/?q=place_id:ChIJ1d6sUQ-7BTsRcwq6cekbGB4,part_309,2026-09-20 20:37:10
Lens Point Opticals Trivandrum,Optical Store and Eyewear,Optician,"Optician, Eye care center",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 90376 51009,N/A,5.0,,"TC 44/848/6 Sai Narayana Nilayam Edappazhinji, PO, Thycaud, Thiruvananthapuram, Keralam 695014","Cotton Hill, Thycaud",8.5032677,76.966364,ChIJ04E_vA67BTsR1xe2ntad8hY,https://www.google.com/maps/place/?q=place_id:ChIJ04E_vA67BTsR1xe2ntad8hY,part_309,2026-09-20 20:37:10
Travancore Opticals,Optical Store and Eyewear,Optical Wholesaler,"Optical Wholesaler, Contact lenses supplier, Optician",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 401 3131,N/A,4.6,,"FXQ2+P59, SS Kovil Rd, Near Ayyappan Kovil, Overbridge, Santhi Nagar, Thampanoor, Thiruvananthapuram, Kerala 695001","Overbridge, Santhi Nagar, Thampanoor",8.4892832,76.9504923,ChIJeYQiyKW7BTsRRYv1Zf9Zp2Y,https://www.google.com/maps/place/?q=place_id:ChIJeYQiyKW7BTsRRYv1Zf9Zp2Y,part_309,2026-09-20 20:37:10
"Lenskart.com at General Hospital, Trivandrum (First Lens Replacement Free)",Optical Store and Eyewear,Optician,"Optician, Eye care center, Optometrist, Repair service, Sunglasses store",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 85889 08367,https://www.lenskart.com/stores/lenskart-com-GH-Palayam-Palayam-Thiruvananthapuram-41170/Home,4.9,,"Ground Floor, GH, Deepa Arcade, TC82/2231, Convent Rd, opposite More Megastore, Palayam, Thiruvananthapuram, Keralam 695001",Palayam,8.498623,76.9435462,ChIJTRe9pZi7BTsRMLc1PPfL-C8,https://www.google.com/maps/place/?q=place_id:ChIJTRe9pZi7BTsRMLc1PPfL-C8,part_309,2026-09-20 20:37:10
Chembakassery optik,Optical Store and Eyewear,Optical Wholesaler,Optical Wholesaler,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 99465 66674,N/A,4.9,,"Padmavilasam Road Opp. Kasavu Mall, near Aradhana Eye Hospital, East Fort, Thiruvananthapuram, Keralam 695023","Fort, East Fort, Pazhavangadi",8.4848429,76.9424958,ChIJMVIVEsi7BTsRCistom67W-c,https://www.google.com/maps/place/?q=place_id:ChIJMVIVEsi7BTsRCistom67W-c,part_309,2026-09-20 20:37:10
Phoenix Optics,Optical Store and Eyewear,Optical Products Manufacturer,"Optical Products Manufacturer, Optician",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",N/A,N/A,3.9,,"General Hospital Rd, Jn, Palayam, Thiruvananthapuram, Keralam 695001","Jn, Palayam",8.4993197,76.9441248,ChIJH3-gYr67BTsRLZleF3FKs_4,https://www.google.com/maps/place/?q=place_id:ChIJH3-gYr67BTsRLZleF3FKs_4,part_309,2026-09-20 20:37:10
Precise Optical Centre,Optical Store and Eyewear,Optician,Optician,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 94000 04420,https://www.preciseeye.in/,4.8,,"Turbo Plus Tower, near NGO Union Building, PMG, Thiruvananthapuram, Keralam 695033",PMG,8.50978,76.9490476,ChIJ7wIof0a7BTsRl-m2wMMb1D4,https://www.google.com/maps/place/?q=place_id:ChIJ7wIof0a7BTsRl-m2wMMb1D4,part_309,2026-09-20 20:37:10
Vision Spa Opticals,Optical Store and Eyewear,Optician,Optician,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",N/A,N/A,5.0,,"Padmavilasom Road, PO, Fort, Pazhavangadi, Thiruvananthapuram, Keralam 695023","Fort, Nalumukku, Pazhavangadi",8.4849395,76.9425759,ChIJC2Z0L0a7BTsRv8k9e3SkYFk,https://www.google.com/maps/place/?q=place_id:ChIJC2Z0L0a7BTsRv8k9e3SkYFk,part_309,2026-09-20 20:37:10
Nitya Optical,Optical Store and Eyewear,Optometrist,"Optometrist, Contact lenses supplier, Ophthalmology clinic, Optical Wholesaler, Eye care center, Sunglasses store",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 79949 33907,https://www.digitalbusinessid.com/nitya-optical/,5.0,,"Padma Vilasam Road, East Fort, Nalumukku, Pazhavangadi, Thiruvananthapuram, Keralam 695023","East Fort, Nalumukku, Pazhavangadi",8.4849824,76.9456702,ChIJH0Gz36C7BTsRWk7dFVB8w1o,https://www.google.com/maps/place/?q=place_id:ChIJH0Gz36C7BTsRWk7dFVB8w1o,part_309,2026-09-20 20:37:10
LAKSHMI OPTICIANS,Optical Store and Eyewear,Optician,"Optician, Optical Wholesaler",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 92498 72479,N/A,4.9,,"Opposite, Nalumukku-Kaithamukku Rd, Nalumukku, Thiruvananthapuram, Keralam 695023","Nalumukku, Kaithamukku",8.4873181,76.94232629999999,ChIJtRr-86G7BTsRhADZmuySIZI,https://www.google.com/maps/place/?q=place_id:ChIJtRr-86G7BTsRhADZmuySIZI,part_309,2026-09-20 20:37:10
Arpana Opticals,Optical Store and Eyewear,Optician,Optician,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 245 3525,N/A,4.9,28.0,"FXG3+H29, near Aradhana eye hospital, Attakulangara, Thiruvananthapuram, Keralam 695009",Attakulangara,8.47641,76.95261959999999,ChIJt2HhWA-7BTsRtplx8NJw2-E,https://www.google.com/maps/place/?q=place_id:ChIJt2HhWA-7BTsRtplx8NJw2-E,part_309,2026-09-20 20:37:11
City Optik - Essilor Experts,Optical Store and Eyewear,Optician,Optician,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 79 4921 2416,https://www.essilor.com/in-en/experts/,5.0,1.0,"Mahatma Gandhi Rd, opposite GPO Lane, Statue, Pulimoodu, Thiruvananthapuram, Keralam 695001","Statue, Pulimoodu",8.4951118,76.9481576,ChIJqd4jcsS7BTsRBohDhNqnnf8,https://www.google.com/maps/place/?q=place_id:ChIJqd4jcsS7BTsRBohDhNqnnf8,part_309,2026-09-20 20:37:11
New Kerala Opticals,Optical Store and Eyewear,Optician,"Optician, Optical Wholesaler, Watch store",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 89216 12126,N/A,4.8,4.0,"Shop No 22, Statue, General Hospital Rd, opposite Variety Mall, Statue, Palayam, Thiruvananthapuram, Keralam 695001","Statue, Palayam",8.4985211,76.94695569999999,ChIJvzeYAby7BTsR8YEoUOktMqM,https://www.google.com/maps/place/?q=place_id:ChIJvzeYAby7BTsR8YEoUOktMqM,part_309,2026-09-20 20:37:11
Aleena Opticals,Optical Store and Eyewear,Optician,"Optician, Optical Wholesaler",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 230 2597,N/A,4.6,,"FWXV+XVW, Near St. Joseph's H.S.S, General Hospital Junction, Jai Vihar, Kunnukuzhy, Thiruvananthapuram, Keralam 695035","Near St. Joseph's H.S.S, General Hospital Junction, Jai Vihar, Kunnukuzhy",8.4999872,76.9446936,ChIJ5wrs8r67BTsRthjzRveTHrI,https://www.google.com/maps/place/?q=place_id:ChIJ5wrs8r67BTsRthjzRveTHrI,part_309,2026-09-20 20:37:12
JEOTHY OPTICALS ULLOOR,Optical Store and Eyewear,Optician,Optician,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 94968 12634,http://www.jeothyopticals.com/,4.9,,"Neerazhi Ln, Ulloor, Kochulloor, Ulloor, Thiruvananthapuram, Keralam 695011","Ulloor, Kochulloor, Ulloor",8.5305505,76.9286109,ChIJe7qLw9e5BTsRmAbnlXhxwyE,https://www.google.com/maps/place/?q=place_id:ChIJe7qLw9e5BTsRmAbnlXhxwyE,part_309,2026-09-20 20:37:12
White Opticals,Optical Store and Eyewear,Optician,Optician,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 99615 23040,N/A,5.0,,"FX62+R23, Kallattumukku, Thiruvananthapuram, Keralam 695009",Kallattumukku,8.4620182,76.9500573,ChIJrf_5zBe7BTsRn1gyL9RnqAA,https://www.google.com/maps/place/?q=place_id:ChIJrf_5zBe7BTsRn1gyL9RnqAA,part_309,2026-09-20 20:37:12
Hind Opticals,Optical Store and Eyewear,Optical Wholesaler,Optical Wholesaler,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",N/A,N/A,5.0,,"GWX9+FM2, opposite Elamkulam Temple, Sreekaryam, Thiruvananthapuram, Keralam 695017",Sreekaryam,8.5486446,76.91913269999999,ChIJX9DHJ1W5BTsR6dCIsCm-mSI,https://www.google.com/maps/place/?q=place_id:ChIJX9DHJ1W5BTsR6dCIsCm-mSI,part_309,2026-09-20 20:37:12
VISMAYA EYE CLINIC & OPTICALS,Optical Store and Eyewear,Optical Wholesaler,Optical Wholesaler,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 99612 42565,N/A,4.3,,"SRK Hospital, Junction, Jawahar Nagar, Sasthamangalam, Thiruvananthapuram, Keralam 695010","Jawahar Nagar, Sasthamangalam",8.5135398,76.9734599,ChIJdwa0UTC6BTsRAPtbz6ECb9Q,https://www.google.com/maps/place/?q=place_id:ChIJdwa0UTC6BTsRAPtbz6ECb9Q,part_309,2026-09-20 20:37:12
