business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vivin Luxury Suites,Resort,Hotel,"Hotel, Bar, Coffee shop, Restaurant",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 274 2888,http://www.vivinsuites.com/,4.2,,"Palayam Airport Rd, Pattoor, Thiruvananthapuram, Keralam 695024",Pattoor,8.4974407,76.9358697,ChIJqRqLRZG7BTsRYIHFD3k6Ewg,https://www.google.com/maps/place/?q=place_id:ChIJqRqLRZG7BTsRYIHFD3k6Ewg,part_309,2026-09-20 20:37:27
Hycinth Hotels,Resort,Hotel,Hotel,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 666 2999,https://www.hycinthhotels.com/,4.7,,"Manorama Office, near Manorama Road, Aristo, Thampanoor, Thiruvananthapuram, Keralam 695001","Aristo, Thampanoor",8.4919648,76.9535528,ChIJy6V8ja-7BTsRo5R8ioXgQCo,https://www.google.com/maps/place/?q=place_id:ChIJy6V8ja-7BTsRo5R8ioXgQCo,part_309,2026-09-20 20:37:27
Casa In Luxury Suites,Resort,Hotel,Hotel,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 247 4887,https://casainsuites.com/,4.1,,"Chirakkulam Rd, Statue, Palayam, Thiruvananthapuram, Keralam 695001","Statue, Palayam",8.4976089,76.94491289999999,ChIJKyFO-Ga7BTsR7Yai_6uW6xU,https://www.google.com/maps/place/?q=place_id:ChIJKyFO-Ga7BTsR7Yai_6uW6xU,part_309,2026-09-20 20:37:27
UDAY SUITES - THE GARDEN HOTEL,Resort,Hotel,"Hotel, Resort hotel, Restaurant, Swimming pool",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 85905 04355,https://www.udshotels.com/uday-suites-airport-hotel/,4.4,,"T.C. 34, 757/3, Watts Ln, Shangumukham, Kannanthura, Thiruvananthapuram, Keralam 695007","Shangumukham, Kannanthura",8.4836186,76.911295,ChIJg-yPMHy8BTsRQMiNz0ebWwY,https://www.google.com/maps/place/?q=place_id:ChIJg-yPMHy8BTsRQMiNz0ebWwY,part_309,2026-09-20 20:37:27
The South Park,Resort,Hotel,Hotel,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 233 3333,http://thesouthpark.com/,4.2,,"GW2X+9VV, Mahatma Gandhi Rd, Near University College Thiruvananthapuram, University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Keralam 695001","University of Kerala Senate House Campus, Palayam",8.501036899999999,76.94964999999999,ChIJ8S4RB7m7BTsRT-ZmZnN7wI0,https://www.google.com/maps/place/?q=place_id:ChIJ8S4RB7m7BTsRT-ZmZnN7wI0,part_309,2026-09-20 20:37:27
SP Grand Days,Resort,Hotel,Hotel,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 409 0000,http://www.spgranddays.com/,4.2,,"Panavila Road Near New Flyover Thycaud, Panavila, Junction, Thiruvananthapuram, Keralam 695014","Panavila, Junction",8.4962132,76.9555764,ChIJl0pr4rC7BTsRnN_CvehCuSA,https://www.google.com/maps/place/?q=place_id:ChIJl0pr4rC7BTsRnN_CvehCuSA,part_309,2026-09-20 20:37:27
KTDC MASCOT HOTEL,Resort,Hotel,"Hotel, Convention center",695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",N/A,https://www.ktdc.com/mascot,4.2,,"GX52+J65 Mascot Square, PMG Road Near Kerala University Stadium, Cantonment House Rd, LMS Compound, PMG, Thiruvananthapuram, Keralam 695033","LMS Compound, PMG",8.5091777,76.9498653,ChIJRRcR1sW7BTsRmNKmMlX2BrM,https://www.google.com/maps/place/?q=place_id:ChIJRRcR1sW7BTsRmNKmMlX2BrM,part_309,2026-09-20 20:37:27
Spice Haven Homestay,Resort,Resort hotel,Resort hotel,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",N/A,N/A,4.9,,"Mannungal,TC/91/1658-1, CNRA-F41, ErumalaAppoopankovil Road, Chembakathinmoodu, Karikkakam, Thiruvananthapuram, Kerala 695007","Chembakathinmoodu, Karikkakam",8.5023723,76.9099165,ChIJj6vvqHa9BTsRmLBAbpGmZzs,https://www.google.com/maps/place/?q=place_id:ChIJj6vvqHa9BTsRmLBAbpGmZzs,part_309,2026-09-20 20:37:27
Swades Myhome,Resort,Hotel,Hotel,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 97471 04710,https://swadesmyhome.com/,4.6,,"FWRX+HJW, Dharmalayam Rd, near Ayurveda College, Santhi Nagar, Pulimoodu, Thiruvananthapuram, Keralam 695001","Santhi Nagar, Pulimoodu",8.4915114,76.9490878,ChIJy9QFeyi7BTsR_a_ZZYPhMcw,https://www.google.com/maps/place/?q=place_id:ChIJy9QFeyi7BTsR_a_ZZYPhMcw,part_309,2026-09-20 20:37:27
Santa Maria - Boutique stay by the sea I Trivandrum Airport,Resort,Resort hotel,Resort hotel,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 73508 69888,https://trivandrumhomestays.com/,4.2,,"Shanghumughom, Football ground Lane, Veli Sanghumugham Rd, Shangumukham, Kannanthura, Thiruvananthapuram, Keralam 695007","Shangumukham, Kannanthura",8.481508999999999,76.90993929999999,ChIJR6ECLGm8BTsRiPyWxY8h2Ds,https://www.google.com/maps/place/?q=place_id:ChIJR6ECLGm8BTsRiPyWxY8h2Ds,part_309,2026-09-20 20:37:27
Nutshell,Resort,Home Stay,Home Stay,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 94470 65838,N/A,4.7,,"TC 34/1383/1, Lena Road, Int'l Airport Rd, opp. Domestic Terminal Parking, Thiruvananthapuram, Keralam 695008",Vallakkadavu,8.4746863,76.91603429999999,ChIJAxweVqG9BTsRhQh7aUV_ZiE,https://www.google.com/maps/place/?q=place_id:ChIJAxweVqG9BTsRhQh7aUV_ZiE,part_309,2026-09-20 20:37:27
Windsor Rajadhani,Resort,Hotel,Hotel,695001,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram GPO, Thiruvananthapuram  AGs SO",+91 471 254 7777,http://www.rajadhanihotels.com/hotels-kerala-trivandrum/Windsor-Rajadhani,4.1,,"Toll Junction, Near, Kowdiar, Thiruvananthapuram, Keralam 695003","Toll Junction, Near, Kowdiar",8.5284964,76.96044049999999,ChIJGwAAwNW7BTsRy9l4Sg-MKrE,https://www.google.com/maps/place/?q=place_id:ChIJGwAAwNW7BTsRy9l4Sg-MKrE,part_309,2026-09-20 20:37:27
