business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Qazwa biriyani,Non-Veg Biryani Restaurant,Family restaurant,Family restaurant,695002,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Karamana SO, Karumom BO",+91 62829 95418,N/A,4.9,31.0,"Kaimanam, Pappanamcode, Thiruvananthapuram, Keralam 695018","Kaimanam, Pappanamcode",8.4706724,76.9808281,ChIJ-RrrbAC7BTsRJTTcMAuj0pk,https://www.google.com/maps/place/?q=place_id:ChIJ-RrrbAC7BTsRJTTcMAuj0pk,part_309,2026-09-20 20:37:48
Good Morning Hotel,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Breakfast restaurant, Fast food restaurant, Tea house",695002,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Karamana SO, Karumom BO",+91 94961 04021,N/A,4.5,4470.0,"next to State Bank of India P O, Karamana, Thiruvananthapuram, Keralam 695002",Karamana,8.4808451,76.9702695,ChIJS2zi_lW6BTsRNPTRck6fyZI,https://www.google.com/maps/place/?q=place_id:ChIJS2zi_lW6BTsRNPTRck6fyZI,part_309,2026-09-20 20:37:48
Kochannan Sahib's Restaurant,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Kerala restaurant",695002,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Karamana SO, Karumom BO",+91 94477 84840,https://qbuypanda.com/restaurants-qbuypanda/Kochannan-qbuypanda,4.1,2834.0,"Salem - Kochi, Panvel - Kochi - Kanyakumari Hwy, Karamana, Thiruvananthapuram, Keralam 695002","Karamana Junction, Karamana",8.4818813,76.96678299999999,ChIJ74_Ql_-6BTsRRzS3oK2_41s,https://www.google.com/maps/place/?q=place_id:ChIJ74_Ql_-6BTsRRzS3oK2_41s,part_309,2026-09-20 20:37:48
The Royal Biryani Factory,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,695002,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Karamana SO, Karumom BO",+91 94436 93664,N/A,3.7,215.0,"Cotton Hill Rd, near Canara Bank, Edapazhanji, Thiruvananthapuram, Keralam 695010",Edapazhanji,8.5036808,76.9664816,ChIJDWW6pvi7BTsRHQZmg6HiqIs,https://www.google.com/maps/place/?q=place_id:ChIJDWW6pvi7BTsRHQZmg6HiqIs,part_309,2026-09-20 20:37:48
NEW SALALA HOTEL,Non-Veg Biryani Restaurant,Kerala restaurant,"Kerala restaurant, Chinese restaurant, Fine dining restaurant, Takeout restaurant, North Indian restaurant, South Indian restaurant",695002,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Karamana SO, Karumom BO",+91 85907 68152,https://instagram.com/salalahotelkillipalam?utm_source=qr&igshid=MzNlNGNkZWQ4Mg%3D%3D,4.7,459.0,"Kittu Complex, Attakkulangara - Killippalam Bypass Rd, Attakulangara, Thiruvananthapuram, Keralam 695009",Attakulangara,8.479579,76.9551201,ChIJha4fUQa7BTsRPp2mQyzfBEM,https://www.google.com/maps/place/?q=place_id:ChIJha4fUQa7BTsRPp2mQyzfBEM,part_309,2026-09-20 20:37:48
Priyam Priyamullidam,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Kerala restaurant, Takeout restaurant, Food court, South Indian restaurant",695002,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Karamana SO, Karumom BO",+91 95263 82182,https://www.instagram.com/priyam.foodhub?igsh=MWR4dnV5NDBqZmt0Yg==,5.0,10.0,"Thennoor, Vellayani, P. O, Nemom, Thiruvananthapuram, Keralam 695020",P. O,8.4492865,76.9909667,ChIJt-nAX2C7BTsRYBF0RkrOX4A,https://www.google.com/maps/place/?q=place_id:ChIJt-nAX2C7BTsRYBF0RkrOX4A,part_309,2026-09-20 20:37:48
Benaam Biryani,Non-Veg Biryani Restaurant,Biryani restaurant,"Biryani restaurant, Chicken restaurant, Health food restaurant, Hotel, Restaurant",695002,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Karamana SO, Karumom BO",+91 86899 60849,N/A,4.8,,"Huda Market, Huda, Sector 22A, Sector 22, Gurugram, Haryana 122015","Sector 22A, Sector 22",28.503011899999997,77.0630096,ChIJgWfpZ-oZDTkRbTY2jmgG4fo,https://www.google.com/maps/place/?q=place_id:ChIJgWfpZ-oZDTkRbTY2jmgG4fo,part_309,2026-09-20 20:37:49
asquare biriyani,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,695002,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Karamana SO, Karumom BO",+91 87144 91782,N/A,4.6,2611.0,"22/3717/1, Sasthamangalam Rd, near KPCC Office, Althara Nagar, Vellayambalam, Thiruvananthapuram, Keralam 695010","Althara Nagar, Vellayambalam",8.511447,76.9662706,ChIJtxGQKAW7BTsRS143G_B_-WM,https://www.google.com/maps/place/?q=place_id:ChIJtxGQKAW7BTsRS143G_B_-WM,part_309,2026-09-20 20:37:51
Biriyani hut,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,695002,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Karamana SO, Karumom BO",+91 62825 10038,N/A,4.0,109.0,"near Cosmopolitan Hospital, Veerabhadra Gardens, Pottakkuzhi, Thiruvananthapuram, Keralam 695004","Veerabhadra Gardens, Pottakkuzhi",8.5149217,76.9367415,ChIJV-O3KsW7BTsRsUbJFDHEDiM,https://www.google.com/maps/place/?q=place_id:ChIJV-O3KsW7BTsRsUbJFDHEDiM,part_309,2026-09-20 20:37:51
Malabar Qissa,Non-Veg Biryani Restaurant,Indian restaurant,Indian restaurant,695002,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Karamana SO, Karumom BO",+91 75949 43666,N/A,4.0,1561.0,"Technovalley, NH 66, near UST global campus, Kulathoor, Thiruvananthapuram, Keralam 695583",Kulathoor,8.5358662,76.8808973,ChIJP_PWzAK_BTsRibpn8sMriRs,https://www.google.com/maps/place/?q=place_id:ChIJP_PWzAK_BTsRibpn8sMriRs,part_309,2026-09-20 20:37:51
