business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MOTHER'S CLOUD KITCHEN,Cloud Kitchen,Hotel,Hotel,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",N/A,N/A,5.0,1.0,"SHOP NO.1, MOTHERS CLOUD KITCHEN, Bains Compound Rd, MUSEUM, Nanthancodu, Thiruvananthapuram, Keralam 695003","MUSEUM, Nanthancodu",8.5084845,76.95560379999999,ChIJp6nS44i7BTsRvBwH583Gz0E,https://www.google.com/maps/place/?q=place_id:ChIJp6nS44i7BTsRvBwH583Gz0E,part_309,2026-09-20 20:38:35
VASUDHAM – Cloud kitchen,Cloud Kitchen,Soup kitchen,Soup kitchen,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",N/A,N/A,,,"131,CSM Nagar, opp to Heera blue berry flat Vellayambalam, P.O, Sasthamangalam, Thiruvananthapuram, Kerala 695010","P.O, Sasthamangalam",8.5076722,76.9649594,ChIJfzsWPgC7BTsRxfetht22AEo,https://www.google.com/maps/place/?q=place_id:ChIJfzsWPgC7BTsRxfetht22AEo,part_309,2026-09-20 20:38:35
Anchor66 Cloud Kitchen,Cloud Kitchen,Takeout restaurant,Takeout restaurant,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 94000 64410,N/A,1.0,1.0,"Santhosh Nagar Rd, Santhosh Nagar, Muttada, Nalanchira, Thiruvananthapuram, Keralam 695025","Santhosh Nagar, Muttada, Nalanchira",8.536353799999999,76.94621409999999,ChIJ2bQxVQC5BTsRHi082jObtDg,https://www.google.com/maps/place/?q=place_id:ChIJ2bQxVQC5BTsRHi082jObtDg,part_309,2026-09-20 20:38:35
Pablos Cloud Kitchen,Cloud Kitchen,Takeout restaurant,Takeout restaurant,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",N/A,N/A,4.9,26.0,"TC 15/2875, Kadampattu Building TKD Road, East Pattom, Marapalom-Koravan, Thiruvananthapuram, Keralam 695004","Lekshmi Nagar, Pattom",8.5222705,76.9450172,ChIJI383HqO7BTsRusvcFeYBbRE,https://www.google.com/maps/place/?q=place_id:ChIJI383HqO7BTsRusvcFeYBbRE,part_309,2026-09-20 20:38:35
Allappey Cloud kitchen,Cloud Kitchen,Fast food restaurant,Fast food restaurant,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",N/A,N/A,,,"C Line, Pandits Colony Extension, Reshmi Nagar, Muttada, Kowdiar, Thiruvananthapuram, Keralam 695003","Reshmi Nagar, Muttada, Kowdiar",8.5300335,76.9505439,ChIJzR2zdgC5BTsRazl3FrG0CZc,https://www.google.com/maps/place/?q=place_id:ChIJzR2zdgC5BTsRazl3FrG0CZc,part_309,2026-09-20 20:38:35
Kebab Dukkan,Cloud Kitchen,Restaurant,"Restaurant, Delivery service",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 89216 70125,N/A,4.2,1086.0,"Upper Meridian Rd, near to Maquilleur By Sumi, Kuravankonam, Thiruvananthapuram, Keralam 695003",Kuravankonam,8.52509,76.952488,ChIJE5yIsue7BTsR5FGjJhdXBOw,https://www.google.com/maps/place/?q=place_id:ChIJE5yIsue7BTsR5FGjJhdXBOw,part_309,2026-09-20 20:38:35
SM Eats Cloud Kitchen,Cloud Kitchen,Restaurant,Restaurant,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",N/A,N/A,2.0,,"GX98+9F4, Bhagavathy Ln, Bhagavathy Nagar, Kowdiar, Thiruvananthapuram, Kerala 695003","Bhagavathy Nagar, Kowdiar",8.5183786,76.966214,ChIJxwdJxb67BTsRKV4b_sTvtlE,https://www.google.com/maps/place/?q=place_id:ChIJxwdJxb67BTsRKV4b_sTvtlE,part_309,2026-09-20 20:38:36
Cloud Kitchen Services,Cloud Kitchen,Caterer,"Caterer, Restaurant supply store",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 80762 17342,https://rohinitiffin.in/,4.9,126.0,"B, 2/49, Sector 6 Rd, Pocket 6, Sector 6D, Rohini, New Delhi, Delhi, 110085","Pocket 6, Sector 6D, Rohini",28.7103105,77.1094947,ChIJk4U4OLABDTkRk3Hk2bMusPM,https://www.google.com/maps/place/?q=place_id:ChIJk4U4OLABDTkRk3Hk2bMusPM,part_309,2026-09-20 20:38:36
Cloud kitchen exchange,Cloud Kitchen,Media company,"Media company, Consultant, Information services, Market researcher",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 93100 19923,https://www.cloudkitchenexchange.com/,5.0,1.0,"Preet Vihar G block Rd, G-Block, Preet Vihar, Delhi, 110092","G-Block, Preet Vihar",28.641293299999997,77.29859189999999,ChIJ91Y-1I39DDkR3j0N3zt6eKM,https://www.google.com/maps/place/?q=place_id:ChIJ91Y-1I39DDkR3j0N3zt6eKM,part_309,2026-09-20 20:38:36
cloud kitchen and tiffin services.,Cloud Kitchen,Food & Beverage Exporter,Food & Beverage Exporter,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 87006 45689,N/A,4.9,10.0,"Block C, 355pocket, 5, 110091, Phase 1, Acharya Niketan, Mayur Vihar, New Delhi, Delhi 110091","Phase 1, Block C, Acharya Niketan, Mayur Vihar",28.6100183,77.294333,ChIJu_KvNq3lDDkRkmJojFjReIQ,https://www.google.com/maps/place/?q=place_id:ChIJu_KvNq3lDDkRkmJojFjReIQ,part_309,2026-09-20 20:38:36
