business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shri Rajaram Traders - Spices & Dry Fruits Wholesaler’s,Dry Fruits and Spices Wholesaler,Food products supplier,"Food products supplier, Dry Fruit Store, Grocery delivery service, Hotel supply store, Indian grocery store, Restaurant supply store, Spice store, Spices Exporter, Wholesale grocer, Wholesaler",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 84472 84432,http://super96.in/,5.0,70.0,"14th cross, Basavanapura Main Rd, Bengaluru, Karnataka 560036","Chikkabasavanapura, Krishnarajapuram",13.0105074,77.7056273,ChIJUflQAzcRrjsRQKJE6hxG0sc,https://www.google.com/maps/place/?q=place_id:ChIJUflQAzcRrjsRQKJE6hxG0sc,part_309,2026-09-20 20:38:31
"GFC |Wholesale Dry Fruit, Spice and Snacks| Pune",Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Coffee wholesaler, Food products supplier, Gourmet grocery store, Health food store, Spices Wholesaler, Tea Wholesaler",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 70386 31059,http://www.globalfarmco.com/,5.0,159.0,"540, Market Yard, Gate, 5, Pune, Maharashtra 411037","Market Yard, Gultekadi",18.4867702,73.86690209999999,ChIJg-ovWO_BwjsRN4jFeMzAtsw,https://www.google.com/maps/place/?q=place_id:ChIJg-ovWO_BwjsRN4jFeMzAtsw,part_309,2026-09-20 20:38:31
Tamzaar dates & nuts,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Indian grocery store, Nut store, Organic food store",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 99955 65690,N/A,4.2,227.0,"Nalanda Ln, Nanthancodu, Thiruvananthapuram, Keralam 695003",Nanthancodu,8.5143217,76.953244,ChIJFeaO-c-7BTsRZfeqfIyXnIw,https://www.google.com/maps/place/?q=place_id:ChIJFeaO-c-7BTsRZfeqfIyXnIw,part_309,2026-09-20 20:38:31
Sajna's Nuts and Fruits,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Chocolate shop, Gift basket store, Nut store",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 85903 45277,http://www.nutsandfruits.in/,4.8,1523.0,"Narmada Shopping Complex, Kowdiar, Thiruvananthapuram, Keralam 695003",Kowdiar,8.527076,76.9607856,ChIJ-58eWK67BTsRMGucR64Cy3c,https://www.google.com/maps/place/?q=place_id:ChIJ-58eWK67BTsRMGucR64Cy3c,part_309,2026-09-20 20:38:31
Dryfruitnspices,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 89689 90925,http://dryfruitnspices.com/,4.6,,"Grain Market, SCF 161, Subzi Mandi, Sector 26, Chandigarh, 160019","Subzi Mandi, Sector 26",30.722361699999997,76.80830569999999,ChIJyTZkQ8vtDzkRxB7u_e18JqY,https://www.google.com/maps/place/?q=place_id:ChIJyTZkQ8vtDzkRxB7u_e18JqY,part_309,2026-09-20 20:38:31
Shivram Peshawari & Bros - dry fruits,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Wholesaler",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 91774 15490,http://bigdryfruits.in/,4.8,,"Shop no 11, opposite Bachelor Quarters, Mozamjahi Market, Chandra Vihar, Old Kattal Mandi, Abids, Hyderabad, Telangana 500001","Mozamjahi Market, Chandra Vihar, Old Kattal Mandi, Abids",17.3845043,78.4755802,ChIJ7xuJFNuZyzsRqVXZJoB-OEs,https://www.google.com/maps/place/?q=place_id:ChIJ7xuJFNuZyzsRqVXZJoB-OEs,part_309,2026-09-20 20:38:31
Zaya Dryfruits,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 99583 44409,https://zayadryfruits.com/,4.9,,"26, near Ram Ladoo corner, Central Market, Lajpat Nagar II, Lajpat Nagar, New Delhi, Delhi 110024","Central Market, Lajpat Nagar II, Lajpat Nagar",28.5698837,77.24142979999999,ChIJQT6t_aTjDDkRGYLntc6fVHU,https://www.google.com/maps/place/?q=place_id:ChIJQT6t_aTjDDkRGYLntc6fVHU,part_309,2026-09-20 20:38:31
Everpik ( M N FOODS),Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Herb shop, Import export company, Spice store, Spices Exporter, Spices Wholesaler",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 96676 90140,http://www.everpik.in/,4.8,92.0,"140, Gadodia Market, Khari Baoli Rd, Chandni Chowk, Delhi, 110006","Gadodia Market, Fatehpuri, Chandni Chowk",28.6567494,77.2217586,ChIJkaPnHxL9DDkRoRlNWQcHeIo,https://www.google.com/maps/place/?q=place_id:ChIJkaPnHxL9DDkRoRlNWQcHeIo,part_309,2026-09-20 20:38:33
𝐒𝐌 𝐓𝐑𝐀𝐃𝐈𝐍𝐆 𝐂𝐎𝐌𝐏𝐀𝐍Y,Dry Fruits and Spices Wholesaler,Dry Fruit Store,"Dry Fruit Store, Spices Wholesaler",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 86185 73582,https://smtradingcompanynow.online/cart,4.5,537.0,"711/ 4TH CROSS, 7th Main Rd, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043","HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar",13.0198279,77.6439173,ChIJd_rPgIcXrjsRoxCRF5kZHQY,https://www.google.com/maps/place/?q=place_id:ChIJd_rPgIcXrjsRoxCRF5kZHQY,part_309,2026-09-20 20:38:33
Tasty Nuts & Dry Fruits,Dry Fruits and Spices Wholesaler,Dry Fruit Store,Dry Fruit Store,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 98566 88888,N/A,4.7,92.0,"JJ complex, 3-14-116/24, Sahara Rd, near ME Reddy Gardens, Mansoorabad, Chitraseema Nagar, Auto Nagar, Hyderabad, Telangana 500068","Mansoorabad, Chitraseema Nagar, Auto Nagar",17.3417524,78.5719288,ChIJ6dzCndufyzsR77UUZkcZa7Q,https://www.google.com/maps/place/?q=place_id:ChIJ6dzCndufyzsR77UUZkcZa7Q,part_309,2026-09-20 20:38:33
