business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hotel Prasanth,Hotel,Hotel,Hotel,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 471 231 6189,http://www.hotelprasanth.com/,4.1,,"Nalanda Ln, near PMG, PMG, Thiruvananthapuram, Keralam 695033",PMG,8.510836,76.9492896,ChIJ2ymJMUbIBTsRR8bfbzOSTnY,https://www.google.com/maps/place/?q=place_id:ChIJ2ymJMUbIBTsRR8bfbzOSTnY,part_309,2026-09-20 20:38:55
Green Royale Living Spaces,Hotel,Service Apartment,Service Apartment,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 96331 20777,http://www.greenroyale.in/,4.5,,"M 29, RP Ln, Kowdiar, Thiruvananthapuram, Keralam 695003",Kowdiar,8.5250693,76.95832089999999,ChIJLy05o2e7BTsRcFH9efxVp-Q,https://www.google.com/maps/place/?q=place_id:ChIJLy05o2e7BTsRcFH9efxVp-Q,part_309,2026-09-20 20:38:55
Golf Green Enclave,Hotel,Hotel,Hotel,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 99950 63330,http://golfgreenenclave.com/,4.8,,"Kadappathala Nagar, Pipinmoodu, Thiruvananthapuram, Kerala 695003","Kadappathala Nagar, Pipinmoodu",8.5223192,76.9680805,ChIJvaPbLwC7BTsRGRQ5uWFtRFc,https://www.google.com/maps/place/?q=place_id:ChIJvaPbLwC7BTsRGRQ5uWFtRFc,part_309,2026-09-20 20:38:55
SFS Homebridge I Hotel in Trivandrum,Hotel,Hotel,"Hotel, Lodge, Restaurant, Service Apartment",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 471 401 9999,https://sfshomebridge.com/,4.5,,"Vellayambalam - Vazhuthacaud Rd, near Police Headquarters, Althara Nagar, Vellayambalam, Thiruvananthapuram, Keralam 695010","Althara Nagar, Vellayambalam",8.507177,76.962457,ChIJOWKUcci7BTsRFjWq6STfr8I,https://www.google.com/maps/place/?q=place_id:ChIJOWKUcci7BTsRFjWq6STfr8I,part_309,2026-09-20 20:38:55
PEROOR INN Hotel Rooms,Hotel,Hotel,Hotel,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 98953 59595,http://peroorinnhotelrooms.com/,4.1,,"T.C. 31, P O, NEAR TRAFFIC SIGNAL, AMBALAMUKKU JN, 3562-2, Peroorkada Rd, Thiruvananthapuram, Keralam 695005",Ambalamukku,8.5318498,76.9621013,ChIJb1BDsS-6BTsRAv8idRBzgx8,https://www.google.com/maps/place/?q=place_id:ChIJb1BDsS-6BTsRAv8idRBzgx8,part_309,2026-09-20 20:38:55
LUXUS INN JA,Hotel,Lodge,Lodge,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 98952 82439,N/A,4.3,,"junction plammood, NBRA 120, Netaji Bose road, near marapaalam, Plammoodu, Thiruvananthapuram, Keralam 695003",Plammoodu,8.5172451,76.94650349999999,ChIJ89fmXPi7BTsR484ZJ9y3l3I,https://www.google.com/maps/place/?q=place_id:ChIJ89fmXPi7BTsR484ZJ9y3l3I,part_309,2026-09-20 20:38:55
Biverah Hotel & Suites,Hotel,Hotel,"Hotel, Bar, Restaurant",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 471 421 1111,N/A,3.9,,"P O, Medical College, Pattom Kumarapuram Rd, Kumarapuram, Thiruvananthapuram, Keralam 695011",Kumarapuram,8.5137729,76.9295781,ChIJs5ViA_C7BTsRJkZg55Kqd-Q,https://www.google.com/maps/place/?q=place_id:ChIJs5ViA_C7BTsRJkZg55Kqd-Q,part_309,2026-09-20 20:38:55
PSD Guest house Kowdiar,Hotel,Guest house,Guest house,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 97784 22857,https://psdguesthouse.com/,4.6,,"near The Salvation Army Church, Pandits Colony Extension, Kowdiar, Thiruvananthapuram, Keralam 695003","Pandits Colony Extension, Kowdiar",8.5214948,76.9604461,ChIJH0ktiJW7BTsRntItggUN58A,https://www.google.com/maps/place/?q=place_id:ChIJH0ktiJW7BTsRntItggUN58A,part_309,2026-09-20 20:38:55
Townhouse by OYO MG Road Trivandrum Formerly Nandanam Park,Hotel,Hotel,"Hotel, Inn, Lodge, Motel, Service Apartment, Villa",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 124 620 1784,https://www.oyorooms.com/11125/,3.6,,"Nadanam Park, TC14/446/447/448/449, Nandavanam Rd, Nandavanam, Palayam, Thiruvananthapuram, Keralam 695033","Nandavanam, Palayam",8.5053599,76.95369889999999,ChIJD8YJCci7BTsRo7wzEsw2skg,https://www.google.com/maps/place/?q=place_id:ChIJD8YJCci7BTsRo7wzEsw2skg,part_309,2026-09-20 20:38:55
The Ambassador Stayz,Hotel,Home Stay,Home Stay,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 86066 85470,https://www.ambassadorstayz.com/,4.6,,"Neduvaccattu Building, Pipeline Rd, Kowdiar, Thiruvananthapuram, Kerala 695003",Kowdiar,8.5283264,76.9608713,ChIJv_mAY125BTsR0W59JCC-C8g,https://www.google.com/maps/place/?q=place_id:ChIJv_mAY125BTsR0W59JCC-C8g,part_309,2026-09-20 20:38:55
Treebo Jp Residency,Hotel,Hotel,"Hotel, Lodge, Motel",695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 93228 00100,https://www.treebo.com/hotels-in-thiruvananthapuram/treebo-jp-residency-pattom-3931/?utm_source=partnerships&utm_medium=gmb&utm_campaign=gmblisting,3.9,,"Plot No: 1 Pottakuzhi, Gowreesapattom Rd, near Veerabhadra Gardens, Veerabhadra Gardens, Pattom, Thiruvananthapuram, Keralam 695004","Veerabhadra Gardens, Pattom",8.51352,76.937822,ChIJ____7-u7BTsRsXyT7iqrPtI,https://www.google.com/maps/place/?q=place_id:ChIJ____7-u7BTsRsXyT7iqrPtI,part_309,2026-09-20 20:38:55
East Coast,Hotel,Hotel,Hotel,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 471 272 0555,N/A,3.6,,"GX69+VC2, behind Muthoot Finance, Swantham, Sasthamangalam, Thiruvananthapuram, Keralam 695010","Swantham, Sasthamangalam",8.5121337,76.9685037,ChIJTwH6tzO6BTsRzjxKSlI892k,https://www.google.com/maps/place/?q=place_id:ChIJTwH6tzO6BTsRzjxKSlI892k,part_309,2026-09-20 20:38:55
Hotel O MAJESTIC INN,Hotel,Hotel,Hotel,695003,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kaudiar SO, Kaudiar Square SO",+91 124 620 1164,https://www.oyorooms.com/220483/,2.5,38.0,"TC 14, 1092, Panjapura Junction, Palayam, Thiruvananthapuram, Keralam 695033","Panjapura Junction, Palayam",8.5036379,76.9522434,ChIJwzA9lY-7BTsRr6mHUeLdV0k,https://www.google.com/maps/place/?q=place_id:ChIJwzA9lY-7BTsRr6mHUeLdV0k,part_309,2026-09-20 20:38:57
