business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Corporation Building,Commercial Complex,Building,Building,695011,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Medical College SO, Thuruvikkal BO, Cheruvikkal BO",N/A,N/A,,,"Medical College Ulloor Rd, P T Chacko Nagar, Ulloor, Thiruvananthapuram, Keralam 695011","P T Chacko Nagar, Ulloor",8.527713199999999,76.9286099,ChIJWZKBdle5BTsR-kChpSKvGgU,https://www.google.com/maps/place/?q=place_id:ChIJWZKBdle5BTsR-kChpSKvGgU,part_309,2026-09-20 20:44:51
M.G. Corporate Center,Commercial Complex,Office space rental agency,Office space rental agency,695011,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Medical College SO, Thuruvikkal BO, Cheruvikkal BO",+91 95675 09457,https://kottayamjacob.wixsite.com/mgcorporatecenter,3.5,,"2nd Floor, MG Corporate Center, Near Indian Oil Petrol Pump, Medical College P.O., Kochulloor, Ulloor, Thiruvananthapuram, Keralam 695011","Near Indian Oil Petrol Pump, Medical College P.O., Kochulloor, Ulloor",8.5319109,76.9287059,ChIJv4xPkVC5BTsRLkScU_S4oL0,https://www.google.com/maps/place/?q=place_id:ChIJv4xPkVC5BTsRLkScU_S4oL0,part_309,2026-09-20 20:44:51
Vijay Plaza,Commercial Complex,Business center,"Business center, Dental clinic, Food court, Insurance agency, Office space rental agency, Service Apartment, Surgical Products Wholesaler",695011,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Medical College SO, Thuruvikkal BO, Cheruvikkal BO",N/A,https://www.facebook.com/vijayplazatvm/,4.2,,"Medical College, Junction, Ulloor - Akkulam Rd, PO, Prasanth Nagar, Ulloor, Thiruvananthapuram, Keralam 695011","PO, Prasanth Nagar, Ulloor",8.5262498,76.92200849999999,ChIJMWdbvFW5BTsRPSanBzN7ZY0,https://www.google.com/maps/place/?q=place_id:ChIJMWdbvFW5BTsRPSanBzN7ZY0,part_309,2026-09-20 20:44:51
Al kabeer projects,Commercial Complex,Property management company,Property management company,695011,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Medical College SO, Thuruvikkal BO, Cheruvikkal BO",N/A,N/A,5.0,,"Bapuji Nagar, Pongumoodu, Thiruvananthapuram, Kerala 695011","Bapuji Nagar, Pongumoodu",8.534258399999999,76.91866519999999,ChIJu31w4c-5BTsRYIYSWQrmmpk,https://www.google.com/maps/place/?q=place_id:ChIJu31w4c-5BTsRYIYSWQrmmpk,part_309,2026-09-20 20:44:51
"GROUND FLOOR, Sanjeevani Apartments",Commercial Complex,Commercial Complex,Commercial Complex,695011,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Medical College SO, Thuruvikkal BO, Cheruvikkal BO",N/A,N/A,,,"Sanjeevani Apartments, 2nd GATE, behind TRIDA SHOPPING COMPLEX, near MEDICAL COLLEGE BUS STAND, Chalakkuzhi, Thiruvananthapuram, Keralam 695011",Chalakkuzhi,8.5219606,76.93048329999999,ChIJL8AjJuO7BTsR6jrFf4Hhr_k,https://www.google.com/maps/place/?q=place_id:ChIJL8AjJuO7BTsR6jrFf4Hhr_k,part_309,2026-09-20 20:44:51
Olympus Sports Centre,Commercial Complex,Sports complex,"Sports complex, Physiotherapy Center, Sports medicine physician, Sports nutrition store, Sports school",695011,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Medical College SO, Thuruvikkal BO, Cheruvikkal BO",+91 88485 09072,http://www.olympussportscentre.in/,4.7,,"Bhasi Nagar, Ulloor, Thiruvananthapuram, Keralam 695011","Bhasi Nagar, Ulloor",8.5338622,76.9274913,ChIJAW32Cfi5BTsRPpHGPFoKOHk,https://www.google.com/maps/place/?q=place_id:ChIJAW32Cfi5BTsRPpHGPFoKOHk,part_309,2026-09-20 20:44:51
RCM SHOP Ulloor,Commercial Complex,Shopping mall,Shopping mall,695011,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Medical College SO, Thuruvikkal BO, Cheruvikkal BO",+91 99462 37458,N/A,5.0,,"RADHAKRISHNA RCM WONDER WORLD QUICK Sai Nilayam, Ulloor - Akkulam Road, 120, mtr From Jn, near Nano Tyres, Ulloor, Thiruvananthapuram, Keralam 695011","PSC Nagar, Ulloor",8.5278283,76.9262741,ChIJoSZ0KgC5BTsREFNmJDUEY5k,https://www.google.com/maps/place/?q=place_id:ChIJoSZ0KgC5BTsREFNmJDUEY5k,part_309,2026-09-20 20:44:51
Sree Dhanya Planet X Apartment,Commercial Complex,Apartment complex,Apartment complex,695011,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Medical College SO, Thuruvikkal BO, Cheruvikkal BO",+91 471 272 3683,http://www.sreedhanyahomes.com/,4.3,214.0,"Planet X, Sree Dhanya Homes Apartments, Salem - Kochi Hwy, Gowari Nagar, Kallampally, Thiruvananthapuram, Keralam 695017","Gowari Nagar, Kallampally",8.5458725,76.92091119999999,ChIJVVVVgEq5BTsRbxUYeTjrqog,https://www.google.com/maps/place/?q=place_id:ChIJVVVVgEq5BTsRbxUYeTjrqog,part_309,2026-09-20 20:44:52
Nikunjam Rialto,Commercial Complex,Apartment building,Apartment building,695011,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Medical College SO, Thuruvikkal BO, Cheruvikkal BO",N/A,N/A,4.6,10.0,"GW8M+H3C, Near GG Hospital, Murinjapalam, Thiruvananthapuram, Keralam 695011","Near GG Hospital, Murinjapalam",8.5164271,76.93264649999999,ChIJLbjwAeW7BTsRJifXRp-zXvE,https://www.google.com/maps/place/?q=place_id:ChIJLbjwAeW7BTsRJifXRp-zXvE,part_309,2026-09-20 20:44:52
Palazhi Homes,Commercial Complex,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,695011,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Medical College SO, Thuruvikkal BO, Cheruvikkal BO",+91 85900 75006,http://www.palazhihomes.com/,5.0,2.0,"AM Tower, Medical College -P.O, opp. Iris Hospital, Pongumoodu, Thiruvananthapuram, Keralam 695011",Pongumoodu,8.5441327,76.92259589999999,ChIJ6_kX18O5BTsR0ZagysDMX3A,https://www.google.com/maps/place/?q=place_id:ChIJ6_kX18O5BTsR0ZagysDMX3A,part_309,2026-09-20 20:44:52
