business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Poojappura Head Post-Office,Offices,Post office,Post office,695012,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Poojapura HO, Poojapura Junction SO, Thamalam BO",+91 471 235 6860,http://www.indiapost.gov.in/,3.8,59.0,"BSNL Customer Service Centre, PRA232, Compound Jn, Shastri Nagar, Poojapura, Thiruvananthapuram, Keralam 695012","Shastri Nagar, Poojapura",8.4906509,76.9738603,ChIJM5qFU0W6BTsRbfix5rLd-c8,https://www.google.com/maps/place/?q=place_id:ChIJM5qFU0W6BTsRbfix5rLd-c8,part_309,2026-09-20 20:45:34
Kerala Social Security Mission Head Office Thiruvananthapuram,Offices,Social services organization,Social services organization,695012,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Poojapura HO, Poojapura Junction SO, Thamalam BO",+91 471 234 1200,http://socialsecuritymission.gov.in/,4.2,157.0,"Poojappura, Thiruvananthapuram, Keralam 695012",Poojapura,8.4925351,76.9697274,ChIJQ68biFG6BTsRLwOxmtC_FYo,https://www.google.com/maps/place/?q=place_id:ChIJQ68biFG6BTsRLwOxmtC_FYo,part_309,2026-09-20 20:45:34
NSEIT,Offices,District office,District office,695012,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Poojapura HO, Poojapura Junction SO, Thamalam BO",N/A,https://www.nseit.com/,3.8,113.0,"Preetha Building, Thirumala Rd, below Canara Bank, Poojapura, Thiruvananthapuram, Keralam 695012",Poojapura,8.4944996,76.9762583,ChIJg__YdLS7BTsRk6PjfAy3R3E,https://www.google.com/maps/place/?q=place_id:ChIJg__YdLS7BTsRk6PjfAy3R3E,part_309,2026-09-20 20:45:34
District Social Justice Office TVPM,Offices,Government office,Government office,695012,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Poojapura HO, Poojapura Junction SO, Thamalam BO",+91 471 234 3241,http://www.sjd.kerala.gov.in/,4.0,4.0,"Poojapura, Thiruvananthapuram, Keralam 695012",Poojapura,8.4922681,76.9693676,ChIJCULbqFG6BTsRHM9KOC1wL0M,https://www.google.com/maps/place/?q=place_id:ChIJCULbqFG6BTsRHM9KOC1wL0M,part_309,2026-09-20 20:45:34
Thamalam Post Office,Offices,Post office,Post office,695012,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Poojapura HO, Poojapura Junction SO, Thamalam BO",N/A,N/A,4.5,14.0,"FXMF+JPG, Thamalam Rd, Shastri Nagar, Poojapura, Thiruvananthapuram, Keralam 695012","Shastri Nagar, Poojapura",8.4840711,76.9743347,ChIJ8fdN3Ve6BTsRMQkHZ5lyP_0,https://www.google.com/maps/place/?q=place_id:ChIJ8fdN3Ve6BTsRMQkHZ5lyP_0,part_309,2026-09-20 20:45:34
Thamalam Post Office,Offices,Apartment building,Apartment building,695012,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Poojapura HO, Poojapura Junction SO, Thamalam BO",N/A,N/A,,,"45/487, Alumthara Ln, Shastri Nagar, Poojapura, Thiruvananthapuram, Kerala 695012","Shastri Nagar, Poojapura",8.481628299999999,76.9749758,ChIJy683VAC7BTsRFLtD89nzJe0,https://www.google.com/maps/place/?q=place_id:ChIJy683VAC7BTsRFLtD89nzJe0,part_309,2026-09-20 20:45:34
"Office Of The Director SICA,Poojapura",Offices,Government office,Government office,695012,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Poojapura HO, Poojapura Junction SO, Thamalam BO",N/A,N/A,5.0,1.0,"FXVC+24H, Poojapura, Thiruvananthapuram, Keralam 695012",Poojapura,8.49256,76.97034649999999,ChIJaaaIkVG6BTsRNjd6CmdCIuE,https://www.google.com/maps/place/?q=place_id:ChIJaaaIkVG6BTsRNjd6CmdCIuE,part_309,2026-09-20 20:45:34
Lakshya Corporate Office,Offices,Corporate office,Corporate office,695012,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Poojapura HO, Poojapura Junction SO, Thamalam BO",N/A,N/A,3.0,1.0,"FXHF+RMP, Karamana, Thiruvananthapuram, Keralam 695012",Karamana,8.4795862,76.9742102,ChIJB9i0FwC7BTsRHT-XSQ5VQ2Y,https://www.google.com/maps/place/?q=place_id:ChIJB9i0FwC7BTsRHT-XSQ5VQ2Y,part_309,2026-09-20 20:45:34
District Probation Office Thiruvananthapuram,Offices,Government office,"Government office, District government office",695012,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Poojapura HO, Poojapura Junction SO, Thamalam BO",+91 471 234 2786,http://www.sjd.kerala.gov.in/,4.5,2.0,"FXVC+3Q4, Poojapura, Thiruvananthapuram, Keralam 695012",Poojapura,8.4926251,76.971947,ChIJlcO4uFG6BTsRV2K60l_3bAk,https://www.google.com/maps/place/?q=place_id:ChIJlcO4uFG6BTsRV2K60l_3bAk,part_309,2026-09-20 20:45:34
Kerala State Handicapped Persons Welfare Corporation Ltd,Offices,Government office,"Government office, State government office",695012,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Poojapura HO, Poojapura Junction SO, Thamalam BO",N/A,N/A,3.5,26.0,"Poojapura, Thiruvananthapuram, Keralam 695012",Poojapura,8.4926289,76.971177,ChIJpbOjlFG6BTsRcCjiu_2Z1gg,https://www.google.com/maps/place/?q=place_id:ChIJpbOjlFG6BTsRcCjiu_2Z1gg,part_309,2026-09-20 20:45:34
