business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ayiravalli River Rock View Point,Exhibitions,Tourist attraction,Tourist attraction,695013,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Vattiyoorkavu SO, Cheriyakonni BO, Kodunganur BO",+91 1800 425 4747,N/A,4.4,,"G2Q4+VW4, Thiruvananthapuram, Kerala 695013",695013,8.539649899999999,77.0073175,ChIJSyCuc7-5BTsRZ_t0-CwCQKs,https://www.google.com/maps/place/?q=place_id:ChIJSyCuc7-5BTsRZ_t0-CwCQKs,part_309,2026-09-20 20:46:11
National Shooting Range Stadium,Exhibitions,Shooting range,"Shooting range, Stadium",695013,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Vattiyoorkavu SO, Cheriyakonni BO, Kodunganur BO",+91 471 232 6644,N/A,4.5,,"GXMR+JCF, Vattiyoorkavu, Nettayam, Thiruvananthapuram, Keralam 695013","Vattiyoorkavu, Nettayam",8.5340732,76.9910498,ChIJzd2lpvO5BTsRI9PTxqxHwps,https://www.google.com/maps/place/?q=place_id:ChIJzd2lpvO5BTsRI9PTxqxHwps,part_309,2026-09-20 20:46:11
STUDIO M Model Makers,Exhibitions,Architectural designer,Architectural designer,695013,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Vattiyoorkavu SO, Cheriyakonni BO, Kodunganur BO",+91 94955 74107,N/A,5.0,,"Padmasree Koora 34/G vettamukku, vattiyoorkavu, post, Thiruvananthapuram, Keralam 695038",Maruthumkuzhi,8.5103127,76.9851994,ChIJ5X_VsIa7BTsRKC4zL05Of4Y,https://www.google.com/maps/place/?q=place_id:ChIJ5X_VsIa7BTsRKC4zL05Of4Y,part_309,2026-09-20 20:46:11
Zinnia events,Exhibitions,Warehouse,Warehouse,695013,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Vattiyoorkavu SO, Cheriyakonni BO, Kodunganur BO",N/A,N/A,,,"GXQR+24C, Vattiyoorkavu, Thirumala, Thiruvananthapuram, Keralam 695006","Vattiyoorkavu, Thirumala",8.537555099999999,76.9902644,ChIJgfJZzk67BTsRDi54fLIylzM,https://www.google.com/maps/place/?q=place_id:ChIJgfJZzk67BTsRDi54fLIylzM,part_309,2026-09-20 20:46:11
Shree Irukunnam Mudipura Auditorium,Exhibitions,Auditorium,Auditorium,695013,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Vattiyoorkavu SO, Cheriyakonni BO, Kodunganur BO",N/A,N/A,4.2,,"GXRQ+272, Nettayam Rd, Vattiyoorkavu, Manikanteswaram, Thiruvananthapuram, Keralam 695013","Vattiyoorkavu, Manikanteswaram",8.5400089,76.9881367,ChIJ89MVJu25BTsRrGrF67JUNew,https://www.google.com/maps/place/?q=place_id:ChIJ89MVJu25BTsRrGrF67JUNew,part_309,2026-09-20 20:46:11
"NSS KARAYOGAM, Vattiyoorkavu",Exhibitions,Community center,Community center,695013,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Vattiyoorkavu SO, Cheriyakonni BO, Kodunganur BO",+91 94956 25896,N/A,3.7,,"GXMR+4P2, Chitra Nagar, Nettayam, Thiruvananthapuram, Keralam 695013","Chitra Nagar, Nettayam",8.532771499999999,76.9917717,ChIJHSMV8_O5BTsRpXDbfOVp4HI,https://www.google.com/maps/place/?q=place_id:ChIJHSMV8_O5BTsRpXDbfOVp4HI,part_309,2026-09-20 20:46:11
Guru Gopinath Natanagramam & Dance Museum,Exhibitions,Museum,"Museum, Cultural center",695013,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Vattiyoorkavu SO, Cheriyakonni BO, Kodunganur BO",+91 471 236 4771,N/A,4.4,,"Guruji Road, Vattiyoorkavu, Kuruvikkadu, Thiruvananthapuram, Keralam 695013","Vattiyoorkavu, Kuruvikkadu",8.520090399999999,76.9964502,ChIJbUSRCRu6BTsRiIq2CSu1lnc,https://www.google.com/maps/place/?q=place_id:ChIJbUSRCRu6BTsRiIq2CSu1lnc,part_309,2026-09-20 20:46:11
Rolling Stones Events,Exhibitions,Event management company,"Event management company, Event planner, Exhibition planner, Meeting planning service, Wedding planner",695013,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Vattiyoorkavu SO, Cheriyakonni BO, Kodunganur BO",+91 91993 36600,http://www.rollingstonesevents.com/,,,"Pavithra Enclave, Mintminds Studio. Bizhaus, Jawahar Nagar, Thiruvananthapuram, Keralam 695003","Jawahar Nagar, Maruthumkuzhi",8.512230599999999,76.98064289999999,ChIJDXxo0Tm7BTsRGdiUEA2ZKRE,https://www.google.com/maps/place/?q=place_id:ChIJDXxo0Tm7BTsRGdiUEA2ZKRE,part_309,2026-09-20 20:46:11
Netaji nagar NSS Kariyogam,Exhibitions,Community center,Community center,695013,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Vattiyoorkavu SO, Cheriyakonni BO, Kodunganur BO",N/A,N/A,5.0,,"GXFV+V5R, Netaji Road, Vattiyoorkavu - Kulasekharam Rd, Karimankulam, Thiruvananthapuram, Kerala 695013",Karimankulam,8.524728099999999,76.9928765,ChIJicc3ewC7BTsRMTsTV3iWju0,https://www.google.com/maps/place/?q=place_id:ChIJicc3ewC7BTsRMTsTV3iWju0,part_309,2026-09-20 20:46:13
Trivandrum Trekking Club ( Nature club),Exhibitions,Wildlife rescue service,Wildlife rescue service,695013,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Vattiyoorkavu SO, Cheriyakonni BO, Kodunganur BO",+91 94975 36069,N/A,5.0,,"Midhila . Kalagramam, 61.B, kodunganoor, Vattiyoorkavu, Thiruvananthapuram, Keralam 695013","kodunganoor, Vattiyoorkavu",8.516464899999999,76.98757379999999,ChIJN5YU2AW5BTsReVpjMxi4-Yo,https://www.google.com/maps/place/?q=place_id:ChIJN5YU2AW5BTsReVpjMxi4-Yo,part_309,2026-09-20 20:46:13
McAdil's Antiques,Exhibitions,Antique store,Antique store,695013,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Vattiyoorkavu SO, Cheriyakonni BO, Kodunganur BO",+91 94473 26117,N/A,3.7,7.0,"TC 48/1147(6), NH BYpass Road, Vazhamuttom, Thiruvananthapuram, Kerala 695027",Vazhamuttom,8.418614,76.9672679,ChIJ-3F1fx-lBTsRAeg_fu0uFbI,https://www.google.com/maps/place/?q=place_id:ChIJ-3F1fx-lBTsRAeg_fu0uFbI,part_309,2026-09-20 20:46:13
