business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vudpecker Kitchen & Interiors,Modular Kitchen Manufacturer,Interior designer,"Interior designer, Ceiling supplier, Furniture store, Home automation company, Interior architect office, Interior construction contractor, Interior Decorator, Kitchen furniture store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 96333 69637,http://www.vudpecker.com/,2.9,64.0,"Medical College, TC 6/1888, Chenthi, PO, Pongumoodu, Thiruvananthapuram, Keralam 695011","PO, Pongumoodu",8.542426299999999,76.92355169999999,ChIJKcQV7Mu-BTsRh_JZLBNV3KY,https://www.google.com/maps/place/?q=place_id:ChIJKcQV7Mu-BTsRh_JZLBNV3KY,part_310,2026-09-20 20:16:54
Thalikkunnil Interiors Private Limited,Modular Kitchen Manufacturer,Interior designer,Interior designer,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,N/A,https://thalikkunnil.com/,5.0,1.0,"Thalikkunnil Interiors Private Limited, Kuravankonam - Maruthoor Rd, Vayalikkada, Kowdiar, Thiruvananthapuram, Keralam 695003","Vayalikkada, Kowdiar",8.5295487,76.9527464,ChIJV3chM9e7BTsR_lGn21R6wi0,https://www.google.com/maps/place/?q=place_id:ChIJV3chM9e7BTsR_lGn21R6wi0,part_310,2026-09-20 20:16:54
Sleek Modular Kitchen,Modular Kitchen Manufacturer,Kitchen furniture store,Kitchen furniture store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 471 274 3350,N/A,3.8,27.0,"GW45+79W, NH 47 Bypass Rd, Venpalavattom, Thiruvananthapuram, Keralam 695029",Venpalavattom,8.505739499999999,76.9084463,ChIJ-TK4ywy8BTsRFkpRsqsf-rk,https://www.google.com/maps/place/?q=place_id:ChIJ-TK4ywy8BTsRFkpRsqsf-rk,part_310,2026-09-20 20:16:54
Würfel Küche,Modular Kitchen Manufacturer,Kitchen furniture store,Kitchen furniture store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 88480 03485,https://www.wurfel.in/,4.7,14.0,"Pattom - Kowdiar Rd, opp. FirstCry, Kuravankonam, Thiruvananthapuram, Keralam 695004",Kuravankonam,8.5206999,76.9477304,ChIJJdJthyO7BTsRLgZb6yG1TcQ,https://www.google.com/maps/place/?q=place_id:ChIJJdJthyO7BTsRLgZb6yG1TcQ,part_310,2026-09-20 20:16:55
Godrej Interio,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Kitchen supply store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 90747 73988,https://thalikkunnil.com/,4.1,128.0,"Vayalikkada Road, Kuravankonam - Maruthoor Rd, Kowdiar, Thiruvananthapuram, Keralam 695003","Rasmi Nagar, Kowdiar",8.5295465,76.95274529999999,ChIJv8b9ram_BTsRqAiRmmM1dCk,https://www.google.com/maps/place/?q=place_id:ChIJv8b9ram_BTsRqAiRmmM1dCk,part_310,2026-09-20 20:16:55
MEDAYIL INTERIORS PVT LTD,Modular Kitchen Manufacturer,Interior designer,"Interior designer, Service establishment",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,N/A,https://medayilinteriors.in/,5.0,10.0,"MEDAYIL INTERIORS PVT LTD, 695019, India",695019,10.5442763,76.1383668,ChIJr5aLWI9VD4kRzPQfw9c-f5U,https://www.google.com/maps/place/?q=place_id:ChIJr5aLWI9VD4kRzPQfw9c-f5U,part_310,2026-09-20 20:16:55
"Würfel Küche - Calicut, Kerala - Luxury Modular Kitchens & Wardrobes",Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Interior designer, Kitchen remodeler",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 98461 39988,http://wurfel.in/,4.3,33.0,"Carino Square, Gandhi Rd, NH66, Nadakkave, Kozhikode, Keralam 673011","NH66, Nadakkave",11.2645017,75.7776368,ChIJt5JI9kZZpjsRaO3dzmILAzc,https://www.google.com/maps/place/?q=place_id:ChIJt5JI9kZZpjsRaO3dzmILAzc,part_310,2026-09-20 20:16:55
Nicesys Aluminium Interiors,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Aluminium Supplier, Aluminum window, Furniture Manufacturer, Home builder, Interior designer, Interior construction contractor, Kitchen remodeler, Metal fabricator, Window supplier",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 99465 61121,http://nicesys.co.in/,4.6,,"Seaport - Airport Rd, vallathol jn, Judgemukku, Thrikkakara, Edappally, Kakkanad, Kochi, Keralam 682021","vallathol jn, Judgemukku, Thrikkakara, Edappally",10.0347349,76.3356639,ChIJFR6I7kMMCDsRfFWzn7pVczQ,https://www.google.com/maps/place/?q=place_id:ChIJFR6I7kMMCDsRfFWzn7pVczQ,part_310,2026-09-20 20:16:55
Rio Modular kitchen,Modular Kitchen Manufacturer,Kitchen furniture store,Kitchen furniture store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 98902 66061,https://rio-modular-kitchen.grexa.site/,4.6,,"Shop No.4, Pearl Residency, JP Rd, opp. A.H.Wadia School, Azad Nagar, Andheri West, Mumbai, Maharashtra 400053","Azad Nagar, Andheri West",19.12761,72.83458809999999,ChIJgWTkyP-35zsR8zDW1OcPN6Q,https://www.google.com/maps/place/?q=place_id:ChIJgWTkyP-35zsR8zDW1OcPN6Q,part_310,2026-09-20 20:16:56
Shivam Modular kitchen,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Furniture maker, Furniture Manufacturer, Furniture store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 98333 10574,http://www.shivammodularkitchen.com/,4.9,,"Shop No.03, lotus neptune chs, JP Rd, near Apna Bazar Building, Shitladevi Chawl, D.N.Nagar, Andheri West, Mumbai, Maharashtra 400053","Shitladevi Chawl, D.N.Nagar, Andheri West",19.1279547,72.83145209999999,ChIJ24hdFsa35zsRUMtSA06tHhg,https://www.google.com/maps/place/?q=place_id:ChIJ24hdFsa35zsRUMtSA06tHhg,part_310,2026-09-20 20:16:56
