business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SOLO CLOTHING STORE,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,N/A,N/A,5.0,,"Parassala, Keralam 695502",695019,8.3421314,77.1546864,ChIJy9Dpg3OrBTsReJQwROPzxlc,https://www.google.com/maps/place/?q=place_id:ChIJy9Dpg3OrBTsReJQwROPzxlc,part_310,2026-09-20 20:16:38
Allen Solly Factory Outlet,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 471 239 4959,https://allensolly.abfrl.in/,4.0,,"FX5X+R44, Nakshathra Towers, Vellayani Junction, Nemom, Keralam 695020",Vellayani Junction,8.4592055,76.9976756,ChIJdX3NU1y7BTsRn5wQGSWn9LI,https://www.google.com/maps/place/?q=place_id:ChIJdX3NU1y7BTsRn5wQGSWn9LI,part_310,2026-09-20 20:16:38
Blossom Exclusive Store - Nemom,Readymade Garments Shop,Lingerie store,"Lingerie store, Dress store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 81578 19768,https://blossominners.com/,4.9,,"Shivan Kovil Junction, near by Karakkamandapam, Karakkamandapam, Thiruvananthapuram, Nemom, Keralam 695020",Karakkamandapam,8.464082699999999,76.99089099999999,ChIJ69tCMAC7BTsRCQ2NZtRVH0g,https://www.google.com/maps/place/?q=place_id:ChIJ69tCMAC7BTsRCQ2NZtRVH0g,part_310,2026-09-20 20:16:38
HANGER CLOTHING STORE,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,N/A,N/A,5.0,,"opp. SNSS library, Kamaleshwaram, Thiruvananthapuram, Keralam 695009",Kamaleshwaram,8.4683046,76.9481674,ChIJcapRRyy7BTsRUeOzsEf_rDg,https://www.google.com/maps/place/?q=place_id:ChIJcapRRyy7BTsRUeOzsEf_rDg,part_310,2026-09-20 20:16:38
Ramachandran Textiles,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 88930 99999,http://www.ramachandrantextiles.com/pazhavangadi/,4.1,,"Pazhavangadi St, East Fort, Padma Nagar, Pazhavangadi, Thiruvananthapuram, Keralam 695023","East Fort, Padma Nagar, Pazhavangadi",8.4844642,76.94660859999999,ChIJJ1el6aC7BTsRT1dPwd9fYX0,https://www.google.com/maps/place/?q=place_id:ChIJJ1el6aC7BTsRT1dPwd9fYX0,part_310,2026-09-20 20:16:38
Laurel Ladies Collections,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 80898 55800,N/A,4.3,,"Trivandrum - Nagercoil Hwy, Vellayani Junction, Thiruvananthapuram, Nemom, Keralam 695020",Vellayani Junction,8.4569055,77.0004031,ChIJfQikQwy7BTsR5GRAEH4qWgg,https://www.google.com/maps/place/?q=place_id:ChIJfQikQwy7BTsR5GRAEH4qWgg,part_310,2026-09-20 20:16:38
Surplus Factory,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 70125 61075,N/A,4.7,,"opposite bharath petroleum, Kaimanam, Pappanamcode, Thiruvananthapuram, Keralam 695040","Kaimanam, Pappanamcode",8.4741149,76.9760755,ChIJZSP_x0S7BTsRWP0VVi9aP-o,https://www.google.com/maps/place/?q=place_id:ChIJZSP_x0S7BTsRWP0VVi9aP-o,part_310,2026-09-20 20:16:38
Outfit Zociety,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 99956 63318,N/A,4.7,,"TC:69/2049(1, Tollgate Garden Rd, Manacaud, Thiruvananthapuram, Keralam 695009",Manacaud,8.4704473,76.9484384,ChIJCSzlGJG7BTsR89lCqbVDwyA,https://www.google.com/maps/place/?q=place_id:ChIJCSzlGJG7BTsR89lCqbVDwyA,part_310,2026-09-20 20:16:38
Fashion Factory,Readymade Garments Shop,Clothing store,"Clothing store, Clothing Accessories Store, Men's clothing store, Sportswear store, Women's clothing store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 1800 891 0001,https://location.reliancefashionfactorystores.com/fashion-factory-ff-trivendrum-heena-clothing-stores-kowdiar-thiruvananthapuram-286945/Home?utm_source=locator&utm_medium=googleplaces,4.0,,"Heera Highlife Mall, Keston Rd, Kanaka Nagar, Kowdiar, Thiruvananthapuram, Keralam 695003","Kanaka Nagar, Kowdiar",8.516036699999999,76.9586276,ChIJkwC3H9K7BTsRwrE9ySOKACI,https://www.google.com/maps/place/?q=place_id:ChIJkwC3H9K7BTsRwrE9ySOKACI,part_310,2026-09-20 20:16:38
DREAMS DRESS WORLD,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 94467 95710,N/A,4.2,,"F242+Q53 Anin cottage, Vellayani Junction, Nemom, Keralam 695020",Vellayani Junction,8.4568803,77.0004147,ChIJv5Vtl6S6BTsRSUy2jkBDIZg,https://www.google.com/maps/place/?q=place_id:ChIJv5Vtl6S6BTsRSUy2jkBDIZg,part_310,2026-09-20 20:16:38
Denim fashion outlet,Readymade Garments Shop,Men's clothing store,Men's clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,N/A,N/A,4.7,,"FXFG+JF6, Kaimanam, Pappanamcode, Thiruvananthapuram, Keralam 695040","Kaimanam, Pappanamcode",8.474045,76.9761509,ChIJScOEmPi7BTsR-eBe0lZdwJo,https://www.google.com/maps/place/?q=place_id:ChIJScOEmPi7BTsR-eBe0lZdwJo,part_310,2026-09-20 20:16:38
Planet Fashion,Readymade Garments Shop,Men's clothing store,"Men's clothing store, Clothing store, Designer Clothing Store, Tuxedo shop",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 471 272 8686,N/A,4.2,,"TC# 4 1599-1, Keston Rd, P.O, Belhaven Gardens, Kowdiar, Thiruvananthapuram, Keralam 695003","P.O, Belhaven Gardens, Kowdiar",8.5170395,76.9580039,ChIJk2Nsj9G7BTsRSoId3nRXr7s,https://www.google.com/maps/place/?q=place_id:ChIJk2Nsj9G7BTsRSoId3nRXr7s,part_310,2026-09-20 20:16:38
Raaz Collections,Readymade Garments Shop,Clothing store,"Clothing store, Perfume store, Textiles",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 96336 33733,N/A,4.3,,"F225+3X5, Nemom Railway Station Rd, Pravachambalam, Thiruvananthapuram, Nemom, Keralam 695020",Pravachambalam,8.4501327,77.009986,ChIJ8eDT9AmlBTsR8Y_NsDQj5v8,https://www.google.com/maps/place/?q=place_id:ChIJ8eDT9AmlBTsR8Y_NsDQj5v8,part_310,2026-09-20 20:16:38
INFAMISS boutique,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 85902 46497,N/A,3.0,,"FX5X+5P5, Vellayani Junction, Nemom, Kerala 695020 Your location Head south on Studio Rd Nemom toward Panvel - Kochi - Kanyakumari Hwy, Trivandrum - Nagercoil Hwy, Thiruvananthapuram, Keralam 695020",Vellayani Junction,8.457853199999999,76.99926049999999,ChIJqfOtDwC7BTsR38xe2r6FSvM,https://www.google.com/maps/place/?q=place_id:ChIJqfOtDwC7BTsR38xe2r6FSvM,part_310,2026-09-20 20:16:38
EasyBuy,Readymade Garments Shop,Clothing store,"Clothing store, Children's clothing store, Men's clothing store, Women's clothing store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 1800 202 4454,https://stores.easybuyindia.com/easybuy-kowdiar-clothing-shop-kowdiar-thiruvananthapuram-285345/Home?utm_source=locator&utm_medium=googleplaces,4.7,,"Keston Road, Dewasomboard Jn Kanaka Ngr, Nanthancode, Kowdiar, Thiruvananthapuram, Keralam 695003","Kanaka Nagar, Kowdiar",8.516427199999999,76.95826339999999,ChIJ_TjgHcC7BTsRYN3QqWah_qs,https://www.google.com/maps/place/?q=place_id:ChIJ_TjgHcC7BTsRYN3QqWah_qs,part_310,2026-09-20 20:16:38
Prabha Textiles,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 94464 65338,N/A,5.0,,"FXFH+74R, Chirakkara Temple Rd, Kaimanam, Pappanamcode, Thiruvananthapuram, Kerala 695018","Kaimanam, Pappanamcode",8.4732471,76.97777549999999,ChIJ7SN_JvC6BTsRzaqEODPYXGc,https://www.google.com/maps/place/?q=place_id:ChIJ7SN_JvC6BTsRzaqEODPYXGc,part_310,2026-09-20 20:16:38
Jockey Retail Outlet,Readymade Garments Shop,Clothing store,"Clothing store, Lingerie store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 75590 02697,https://stores.jockey.in/,4.3,,"FX9M+P48, National Highway Road, opposite Canara Bank, Vishnu Nagar, Pappanamcode, Thiruvananthapuram, Keralam 695018","Vishnu Nagar, Pappanamcode",8.469278899999999,76.9828167,ChIJGX1bOey6BTsRJXXmKTZaNOk,https://www.google.com/maps/place/?q=place_id:ChIJGX1bOey6BTsRJXXmKTZaNOk,part_310,2026-09-20 20:16:38
Sivadas Textiles,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 471 249 0495,N/A,4.5,,"FXCJ+788, Kaimanam, Pappanamcode, Thiruvananthapuram, Keralam 695018","Kaimanam, Pappanamcode",8.4706624,76.9808386,ChIJMY--ZO66BTsRpNvOQBXoSEc,https://www.google.com/maps/place/?q=place_id:ChIJMY--ZO66BTsRpNvOQBXoSEc,part_310,2026-09-20 20:16:38
Good Morning Stores,Readymade Garments Shop,Clothing store,"Clothing store, Clothing Accessories Store, Uniform store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 94950 08811,N/A,4.1,,"University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Keralam 695034","University of Kerala Senate House Campus, Palayam",8.5028686,76.9507903,ChIJI9EsXbi7BTsR5yOsM2TZIxk,https://www.google.com/maps/place/?q=place_id:ChIJI9EsXbi7BTsR5yOsM2TZIxk,part_310,2026-09-20 20:16:38
Prisma Store,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 90875 35419,https://myprisma.in/,4.5,16.0,"Tc 2/3578, Lalitham, Opp Petrol Pump, Kesavadasapuram, near Bata Showrom, Post, Pattom, Keralam 695004","Kailash Nagar, Vivekananda Nagar, Pattom",8.5268669,76.9388903,ChIJCUKlsCG5BTsRUxfrZPM6gGc,https://www.google.com/maps/place/?q=place_id:ChIJCUKlsCG5BTsRUxfrZPM6gGc,part_310,2026-09-20 20:16:39
Hiphopz brand factory Trivandrum,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,N/A,N/A,4.2,168.0,"M P Towers, Bye pass Road, near Technopark Campus, Technopark Campus, Kazhakkoottam, Thiruvananthapuram, Keralam 695582",Technopark Campus,8.5642275,76.8760113,ChIJtxQ8oW-_BTsRQ-CcO9h1vDg,https://www.google.com/maps/place/?q=place_id:ChIJtxQ8oW-_BTsRQ-CcO9h1vDg,part_310,2026-09-20 20:16:39
Maya Ladies Fashion Boutique,Readymade Garments Shop,Boutique,Boutique,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 96338 47678,N/A,4.3,45.0,"Poojapura, Thiruvananthapuram, Keralam 695012",Poojapura,8.4953675,76.97742629999999,ChIJ86dwP0W6BTsR7_YuCw-vXG8,https://www.google.com/maps/place/?q=place_id:ChIJ86dwP0W6BTsR7_YuCw-vXG8,part_310,2026-09-20 20:16:39
Ababeel fashion,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 98959 84721,http://www.ababeeltvm.com/,4.9,369.0,"Ambalathara, Thiruvananthapuram, Keralam 695026",Ambalathara,8.450687499999999,76.9479375,ChIJvaH8awC7BTsRzu8cYXvjEso,https://www.google.com/maps/place/?q=place_id:ChIJvaH8awC7BTsRzu8cYXvjEso,part_310,2026-09-20 20:16:39
Gud Luck Fashions,Readymade Garments Shop,Women's clothing store,"Women's clothing store, Baby clothing store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 70121 24918,N/A,4.4,38.0,"Shop No. C.G 17, Saphalyam Complex, University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Keralam 695034","University of Kerala Senate House Campus, Palayam",8.502761399999999,76.9508654,ChIJi2nzNxK7BTsRdBgxveOwTlc,https://www.google.com/maps/place/?q=place_id:ChIJi2nzNxK7BTsRdBgxveOwTlc,part_310,2026-09-20 20:16:39
6T9 ESSENTIAL STORE,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 82898 96889,N/A,4.7,58.0,"Kazhakoottam New, Kazhakuttam, Thiruvananthapuram, Keralam 695582",Kazhakuttam,8.5660165,76.875147,ChIJQ8ivLqO_BTsRWr5E-8vUUmM,https://www.google.com/maps/place/?q=place_id:ChIJQ8ivLqO_BTsRWr5E-8vUUmM,part_310,2026-09-20 20:16:39
Subha Matching Centre,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 94467 33048,N/A,4.2,57.0,"East Fort, Chalai Bazaar, Chalai, Thiruvananthapuram, Keralam 695036","East Fort, Chalai Bazaar, Chalai",8.4827418,76.94867529999999,ChIJ9RgAXVC7BTsRKOHvnzvjR8M,https://www.google.com/maps/place/?q=place_id:ChIJ9RgAXVC7BTsRKOHvnzvjR8M,part_310,2026-09-20 20:16:39
Styleberry,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,N/A,N/A,4.2,285.0,"near federal bank, Chalai Bazaar, Chalai, Thiruvananthapuram, Keralam 695036","Chalai Bazaar, Chalai",8.4827408,76.95091169999999,ChIJrwdWiKe7BTsRSSYjfU3xzfs,https://www.google.com/maps/place/?q=place_id:ChIJrwdWiKe7BTsRSSYjfU3xzfs,part_310,2026-09-20 20:16:39
Men's Park,Readymade Garments Shop,Men's clothing store,"Men's clothing store, Clothing store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 98953 71487,N/A,4.4,7.0,"Shopping Complex, near Muslim Welfare Association, Vattiyoorkavu, Thiruvananthapuram, Keralam 695013",Vattiyoorkavu,8.5240412,76.9880317,ChIJRfIZeB-6BTsR23NSNrfqSAU,https://www.google.com/maps/place/?q=place_id:ChIJRfIZeB-6BTsR23NSNrfqSAU,part_310,2026-09-20 20:16:40
KL-14 Mens Club,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 81299 41414,N/A,3.5,152.0,"GVXG+2Q2, Panvel - Kochi - Kanyakumari Hwy, Thiruvananthapuram, Keralam 695582",695019,8.5475031,76.8768904,ChIJEagkbPS-BTsR9YVlMRrqQyM,https://www.google.com/maps/place/?q=place_id:ChIJEagkbPS-BTsR9YVlMRrqQyM,part_310,2026-09-20 20:16:40
Geethika Collections,Readymade Garments Shop,Clothing store,"Clothing store, Boutique",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 98092 20371,N/A,5.0,85.0,"CRAM-1 Chaithanya Gardens Panickerslane Mannamoola, Peroorkada, Thiruvananthapuram, Keralam 695005","GC Nagar, Indira Nagar, Peroorkada",8.5316042,76.9744479,ChIJZ2a3dIa5BTsRJQEppTMm-Xs,https://www.google.com/maps/place/?q=place_id:ChIJZ2a3dIa5BTsRJQEppTMm-Xs,part_310,2026-09-20 20:16:40
Dhiya Fashion World,Readymade Garments Shop,Clothing store,Clothing store,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 70341 11133,N/A,4.0,9.0,"Opp: stanes Training Company By Pass, Road, near Juma Masjid, Attakulangara, Thiruvananthapuram, Keralam 695036",Attakulangara,8.4795648,76.9493817,ChIJDTulghy7BTsRBFIip3AOErQ,https://www.google.com/maps/place/?q=place_id:ChIJDTulghy7BTsRBFIip3AOErQ,part_310,2026-09-20 20:16:40
