business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NOVA HOSTELS FOR WOMEN,Hostels,Girls' hostel,Girls' hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 94959 54564,N/A,4.7,51.0,"Tc 71, 1355, near kripa theatre, Overbridge, Chalai Bazaar, Thampanoor, Thiruvananthapuram, Keralam 695036","Overbridge, Chalai Bazaar, Thampanoor",8.487252,76.9482841,ChIJESUWP5W7BTsRXlP0FSrOGy4,https://www.google.com/maps/place/?q=place_id:ChIJESUWP5W7BTsRXlP0FSrOGy4,part_310,2026-09-20 20:20:00
Dreams boys hostel,Hostels,Student dormitory,Student dormitory,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",N/A,N/A,4.4,14.0,"Vanchi Poor Fund Road, Overbridge, Nalumukku, Pazhavangadi, Thiruvananthapuram, Keralam 695023","Overbridge, Nalumukku, Pazhavangadi",8.4876658,76.9470379,ChIJLfs6mWa7BTsRiazPY9GNukk,https://www.google.com/maps/place/?q=place_id:ChIJLfs6mWa7BTsRiazPY9GNukk,part_310,2026-09-20 20:20:00
IJASIN,Hostels,Working women's hostel,"Working women's hostel, Girls' hostel",695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 89079 22333,N/A,4.8,146.0,"Near Manjalikulam Ground , Manjalikulam, Statue Rd, Thampanoor, Thiruvananthapuram, Kerala 695001","Overbridge, Santhi Nagar, Thampanoor",8.4894384,76.949507,ChIJNbSnsIO7BTsRHDAoxd2O0dQ,https://www.google.com/maps/place/?q=place_id:ChIJNbSnsIO7BTsRHDAoxd2O0dQ,part_310,2026-09-20 20:20:00
Unni's Rentals,Hostels,Student dormitory,Student dormitory,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 97451 80035,http://unnisrentals.in/,4.5,206.0,"40/1506 , Harsham, behind Sabu Bakery, Manacaud, Thiruvananthapuram, Keralam 695009",Manacaud,8.4754079,76.9477507,ChIJC4t4yLm7BTsRKP9lg1dZ26A,https://www.google.com/maps/place/?q=place_id:ChIJC4t4yLm7BTsRKP9lg1dZ26A,part_310,2026-09-20 20:20:00
Thiruvananthapuram corporation working women's hostel and she lodge,Hostels,Lodging,Lodging,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",N/A,N/A,3.5,64.0,"FWQR+HVR, junction, near Kaithamukku, Nalumukku, Vanchiyoor, Thiruvananthapuram, Keralam 695023","Nalumukku, Vanchiyoor",8.4889764,76.94213599999999,ChIJUVDwU4q7BTsR4AKzfJsT9mY,https://www.google.com/maps/place/?q=place_id:ChIJUVDwU4q7BTsR4AKzfJsT9mY,part_310,2026-09-20 20:20:00
Rejitha Hostel,Hostels,Boys' hostel,Boys' hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",N/A,N/A,5.0,1.0,"House Number TC 25, Tc 25 1828(3, Sreemoolam Rd, Santhi Nagar, Pulimoodu, Thiruvananthapuram, Keralam 695001","Santhi Nagar, Pulimoodu",8.4909397,76.9508718,ChIJfyaoegC7BTsRGQz_tK9SvZE,https://www.google.com/maps/place/?q=place_id:ChIJfyaoegC7BTsRGQz_tK9SvZE,part_310,2026-09-20 20:20:00
Devadatham Gents Corner - Gents Hostel In Thampanoor,Hostels,Student housing center,"Student housing center, Serviced accommodation",695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 97465 50471,https://www.facebook.com/profile.php?id=61559410034553,4.9,35.0,"Thyvila Rd, Santhi Nagar, Thampanoor, Thiruvananthapuram, Keralam 695001","Santhi Nagar, Thampanoor",8.4902888,76.94806539999999,ChIJbZIyEfu7BTsR1XRBSDA2ycA,https://www.google.com/maps/place/?q=place_id:ChIJbZIyEfu7BTsR1XRBSDA2ycA,part_310,2026-09-20 20:20:00
SS boys Hostel,Hostels,Boys' hostel,Boys' hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 88915 91068,N/A,5.0,1.0,"FWRV+RCG ss boys hostel, Vanchiyoor, Thiruvananthapuram, Keralam 695035",Vanchiyoor,8.4921227,76.9435333,ChIJ5ec0cgC7BTsR4zwor7zIFxQ,https://www.google.com/maps/place/?q=place_id:ChIJ5ec0cgC7BTsR4zwor7zIFxQ,part_310,2026-09-20 20:20:00
Pranavam hostel,Hostels,Apartment building,Apartment building,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",N/A,N/A,5.0,1.0,"FWRW+R9J, Pulimoodu, Thiruvananthapuram, Keralam 695001",Pulimoodu,8.492091199999999,76.9458786,ChIJWZ5kXAC7BTsRCiSiQ_mGbUU,https://www.google.com/maps/place/?q=place_id:ChIJWZ5kXAC7BTsRCiSiQ_mGbUU,part_310,2026-09-20 20:20:00
Geetha's Hostel,Hostels,Girls' hostel,Girls' hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 97475 54551,https://g.co/kgs/hpK36p,4.1,60.0,"TRWA-29, T. c- 25, 1597-2, SS Kovil Rd, near Ayyappan temple, adjacent to New Arogya Clinic, Aristo, Thampanoor, Thiruvananthapuram, Keralam 695001","Aristo, Thampanoor",8.490437499999999,76.9513691,ChIJbUSQpMO7BTsRffZQVZvdLRY,https://www.google.com/maps/place/?q=place_id:ChIJbUSQpMO7BTsRffZQVZvdLRY,part_310,2026-09-20 20:20:00
Nalukettu Hostel for Gents and Ladies,Hostels,Student dormitory,Student dormitory,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",N/A,N/A,2.8,71.0,"Ground, Behind Manjalikkulam, SS Kovil Rd, Thiruvananthapuram, Keralam 695001","Overbridge, Thampanoor",8.4890604,76.95026899999999,ChIJ1yCuXNe7BTsRrWvo-xGiuho,https://www.google.com/maps/place/?q=place_id:ChIJ1yCuXNe7BTsRrWvo-xGiuho,part_310,2026-09-20 20:20:00
Beena Hostel,Hostels,Student dormitory,Student dormitory,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",N/A,N/A,3.2,17.0,"Paruthikad, SRA 157, Nalumukku, Pazhavangadi, Thiruvananthapuram, Keralam 695023","Thakaraparambu, Nalumukku, Pazhavangadi",8.4870673,76.9452871,ChIJV0RrtlO7BTsR_meZdK_6giA,https://www.google.com/maps/place/?q=place_id:ChIJV0RrtlO7BTsR_meZdK_6giA,part_310,2026-09-20 20:20:00
Serah Ladies Hostel,Hostels,Girls' hostel,Girls' hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 90614 85430,N/A,3.1,78.0,"TC 81/749 Thyvila lane, Manjalikulam Rd, opposite road to Shanthisukham Ayurveda Centre & Baba Tourist Home, Thampanoor, Thiruvananthapuram, Keralam 695001","Santhi Nagar, Thampanoor",8.4903089,76.9479458,ChIJtwhaAT-7BTsRwPF5b5bc1PE,https://www.google.com/maps/place/?q=place_id:ChIJtwhaAT-7BTsRwPF5b5bc1PE,part_310,2026-09-20 20:20:00
Hostel Gandhi Thiruvananthapuram,Hostels,Backpacker Hostel,Backpacker Hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 81296 72716,http://www.hostelgandhi.com/,4.6,,"FWRX+C6H, Santhi Nagar, Pulimoodu, Thiruvananthapuram, Keralam 695001","Santhi Nagar, Pulimoodu",8.491022599999999,76.9481453,ChIJKdhMKwC7BTsRrXSZ7fRMcS8,https://www.google.com/maps/place/?q=place_id:ChIJKdhMKwC7BTsRrXSZ7fRMcS8,part_310,2026-09-20 20:20:00
SAI PETALS ZEPHYR HOSTEL,Hostels,Backpacker Hostel,Backpacker Hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 95676 75408,N/A,4.3,,"FWRV+6F6, Kunnumpuram, Vanchiyoor, Thiruvananthapuram, Kerala 695035","Kunnumpuram, Vanchiyoor",8.4905353,76.9436291,ChIJwy7y-KK7BTsRFMGTK1uXbjc,https://www.google.com/maps/place/?q=place_id:ChIJwy7y-KK7BTsRFMGTK1uXbjc,part_310,2026-09-20 20:20:00
St Thomas Hostel No 2,Hostels,Backpacker Hostel,Backpacker Hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 471 253 0852,N/A,5.0,,"Mar Ivanious College, M G Road, Overbridge, Chalai Bazaar, Chalai, Thiruvananthapuram, Kerala 695036","Overbridge, Chalai Bazaar, Chalai",8.487495,76.948623,ChIJ2RremKa7BTsR03pzNKdWHrM,https://www.google.com/maps/place/?q=place_id:ChIJ2RremKa7BTsR03pzNKdWHrM,part_310,2026-09-20 20:20:01
