business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SIVA PG FOR GENTS,PG,Boys' hostel,Boys' hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",N/A,N/A,5.0,1.0,"Fort P.O, sra 146, Thakaraparambu Rd, Nalumukku, Pazhavangadi, Thiruvananthapuram, Keralam 695023","Nalumukku, Pazhavangadi",8.4865137,76.9444919,ChIJlRlYjTC7BTsRtkiWCj3AXzw,https://www.google.com/maps/place/?q=place_id:ChIJlRlYjTC7BTsRtkiWCj3AXzw,part_310,2026-09-20 20:20:00
Mangala PG,PG,Guest house,Guest house,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",N/A,N/A,5.0,1.0,"Padmavilasam Rd, near East Ganapathi Temple, Pazhavangadi, East Fort, Fort, Thiruvananthapuram, Keralam 695023","Pazhavangadi, East Fort, Fort",8.4845816,76.9473426,ChIJ46EMH6G7BTsRbP0QZQfax-k,https://www.google.com/maps/place/?q=place_id:ChIJ46EMH6G7BTsRbP0QZQfax-k,part_310,2026-09-20 20:20:00
AMIGOS LADIES HOSTEL & PG,PG,Girls' hostel,Girls' hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 97475 23621,N/A,4.7,77.0,"Tc 25/2893, Dharmadesham lane, MRRA 12(A, Malloor Rd, Kunnumpuram, Vanchiyoor, Thiruvananthapuram, Keralam 695035","Kunnumpuram, Vanchiyoor",8.492139,76.9439417,ChIJ76KHq7y7BTsRZzkCDTcj4C8,https://www.google.com/maps/place/?q=place_id:ChIJ76KHq7y7BTsRZzkCDTcj4C8,part_310,2026-09-20 20:20:00
PG Bravo,PG,Boys' hostel,Boys' hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",N/A,N/A,3.9,7.0,"FWRW+V3H, Ambujavilasam Rd, Kunnumpuram, Pulimoodu, Thiruvananthapuram, Keralam 695001","Kunnumpuram, Pulimoodu",8.4921799,76.9452431,ChIJCT4udAC7BTsRBz1HYxSROW0,https://www.google.com/maps/place/?q=place_id:ChIJCT4udAC7BTsRBz1HYxSROW0,part_310,2026-09-20 20:20:00
Thiruvonam PG for Women,PG,Student dormitory,Student dormitory,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 94476 98828,N/A,4.3,89.0,"1st Floor, Thiruvonam, Sreemoolam Rd, Santhi Nagar, Thampanoor, Thiruvananthapuram, Keralam 695001","Santhi Nagar, Thampanoor",8.4908751,76.9501063,ChIJkxSNyaW7BTsRe0Rt-qDBRCI,https://www.google.com/maps/place/?q=place_id:ChIJkxSNyaW7BTsRe0Rt-qDBRCI,part_310,2026-09-20 20:20:00
Aline Ladies Hostel,PG,Girls' hostel,Girls' hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 81299 89827,N/A,4.8,74.0,"Mallor road, near Kunnupuram junction, Vanchiyoor, Thiruvananthapuram, Keralam 695035",Vanchiyoor,8.492393999999999,76.943405,ChIJ569l-_-7BTsRS_CygtwXTQU,https://www.google.com/maps/place/?q=place_id:ChIJ569l-_-7BTsRS_CygtwXTQU,part_310,2026-09-20 20:20:00
Nexas Ladies PG,PG,Student dormitory,Student dormitory,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",N/A,N/A,5.0,6.0,"opp. fort School, Fort, Nalumukku, Pazhavangadi, Thiruvananthapuram, Keralam 695023","Fort, Nalumukku, Pazhavangadi",8.4854541,76.94191479999999,ChIJ5ehn2uG7BTsRVHnK28-tVKE,https://www.google.com/maps/place/?q=place_id:ChIJ5ehn2uG7BTsRVHnK28-tVKE,part_310,2026-09-20 20:20:00
Trivian Gardens Ladies PG,PG,Girls' hostel,Girls' hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 85477 57542,N/A,4.5,16.0,"SS Kovil Rd, Overbridge, Santhi Nagar, Thampanoor, Thiruvananthapuram, Keralam 695001","Overbridge, Santhi Nagar, Thampanoor",8.4899111,76.9499606,ChIJz_VcELG7BTsRotwfr80k9Dw,https://www.google.com/maps/place/?q=place_id:ChIJz_VcELG7BTsRotwfr80k9Dw,part_310,2026-09-20 20:20:00
Kathu's PG For mens,PG,Housing society,Housing society,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",N/A,N/A,,,"JP Nagar Rd, West Fort, VKK Nagar, Pazhavangadi, Thiruvananthapuram, Keralam 695008","West Fort, VKK Nagar, Pazhavangadi",8.4799134,76.9396833,ChIJfQeAEOO7BTsRaLDh6DOp9MU,https://www.google.com/maps/place/?q=place_id:ChIJfQeAEOO7BTsRaLDh6DOp9MU,part_310,2026-09-20 20:20:00
paying guest for women,PG,Beauty Parlour,"Beauty Parlour, Student dormitory",695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",N/A,N/A,5.0,2.0,"Attakulangara, Thiruvananthapuram, Keralam 695036",Attakulangara,8.4799942,76.94864129999999,ChIJ2147Mrq7BTsRWkyZzuD1Fks,https://www.google.com/maps/place/?q=place_id:ChIJ2147Mrq7BTsRWkyZzuD1Fks,part_310,2026-09-20 20:20:00
SIVALEELA - PAYING GUEST(PG)/HOSTEL FOR WOMEN,PG,Working women's hostel,"Working women's hostel, Girls' hostel, Student dormitory",695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 73066 15997,N/A,4.5,136.0,"1) House, SIVALEELA"" T.C, 15/1550, MP Appan Rd, near Women's College Lane, Nagar, Vazhuthacaud, Thiruvananthapuram, Keralam 695014","Nagar, Vazhuthacaud",8.4983314,76.959324,ChIJWaTFN5O7BTsRjiDQFNn0byA,https://www.google.com/maps/place/?q=place_id:ChIJWaTFN5O7BTsRjiDQFNn0byA,part_310,2026-09-20 20:20:00
PRANAVAM LADIES PG THAMPANOOR,PG,Girls' hostel,Girls' hostel,695023,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Fort SO, Attakulangara SO",+91 94476 27818,N/A,3.0,2.0,"TC 81, 1291, Mele Mannuvila, behind Samastha Jubilee Building, Mele, Thampanoor, Thiruvananthapuram, Keralam 695001","Mele, Thampanoor",8.491793099999999,76.9510492,ChIJQbhD4ni7BTsRXSegQ4Z6MaY,https://www.google.com/maps/place/?q=place_id:ChIJQbhD4ni7BTsRXSegQ4Z6MaY,part_310,2026-09-20 20:20:00
