business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chef's cake world vattappara,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,695028,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vattappara SO, Pandalacode BO, Venkode BO",+91 97458 41777,N/A,4.9,27.0,"near Dhanalaxmi bank, Vattappara, Thiruvananthapuram, Keralam 695028",695028,8.591584,76.9506093,ChIJOYqQ7Du5BTsRBWAEaS2ClEI,https://www.google.com/maps/place/?q=place_id:ChIJOYqQ7Du5BTsRBWAEaS2ClEI,part_310,2026-09-20 20:23:24
Kokkodans,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,695028,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vattappara SO, Pandalacode BO, Venkode BO",+91 90379 06355,N/A,3.7,66.0,"HXV2+5W8, Prasanthnagar, Vattappara, Thiruvananthapuram, Vattappara, Kerala 695028","Prasanthnagar, Vattappara",8.5929114,76.95231869999999,ChIJ12i3fZK4BTsRLgiBbpZ_7NM,https://www.google.com/maps/place/?q=place_id:ChIJ12i3fZK4BTsRLgiBbpZ_7NM,part_310,2026-09-20 20:23:24
Golden Home Bakers,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,695028,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vattappara SO, Pandalacode BO, Venkode BO",N/A,N/A,3.9,7.0,"JX46+68, Vattappara, Keralam 695028",695028,8.605595,76.9608653,ChIJqWV1OQC5BTsR1eZsyJtSCiA,https://www.google.com/maps/place/?q=place_id:ChIJqWV1OQC5BTsR1eZsyJtSCiA,part_310,2026-09-20 20:23:24
SIGNATURE BAKERY,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,695028,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vattappara SO, Pandalacode BO, Venkode BO",+91 98465 11619,N/A,4.2,5.0,"Prasanthnagar, Vattappara, Keralam 695028",Prasanthnagar,8.5929328,76.9525294,ChIJmS7Krwu5BTsR8glNI6VKCGw,https://www.google.com/maps/place/?q=place_id:ChIJmS7Krwu5BTsR8glNI6VKCGw,part_310,2026-09-20 20:23:24
TASTE WORLD BAKE HOUSE,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Caterer",695028,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vattappara SO, Pandalacode BO, Venkode BO",+91 73560 90554,https://taste-world-bake-house.ddponline.in/,4.1,37.0,"SH 1, opposite SOORYAPRABHA CONVENTION CENTRE, Mannanthala, Thiruvananthapuram, Keralam 695015",Mannanthala,8.565624,76.94437959999999,ChIJAeppYcO5BTsRqlS6dBNIpSs,https://www.google.com/maps/place/?q=place_id:ChIJAeppYcO5BTsRqlS6dBNIpSs,part_310,2026-09-20 20:23:24
Arya Bakery,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, General store",695028,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vattappara SO, Pandalacode BO, Venkode BO",+91 97473 77990,N/A,3.5,19.0,"HWMX+VJ4, Vattappara P.O, Ambalam Nagar, Thiruvananthapuram, Keralam 695028",Ambalam Nagar,8.5846479,76.94907049999999,ChIJJQvuJ-y4BTsRgAHQ6oS73HY,https://www.google.com/maps/place/?q=place_id:ChIJJQvuJ-y4BTsRgAHQ6oS73HY,part_310,2026-09-20 20:23:24
Susan's Cake Studio,Bakery and Cake Shop,Cake shop,"Cake shop, Wedding bakery",695028,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vattappara SO, Pandalacode BO, Venkode BO",N/A,N/A,5.0,10.0,"Villa C4, Shirdi Sowparnika, opp. St.Thomas Central School, Mukkolackal, Mannanthala, Thiruvananthapuram, Keralam 695043","Mukkolackal, Mannanthala",8.560601199999999,76.95059049999999,ChIJdUODY9q5BTsREGIBW2V2Zvw,https://www.google.com/maps/place/?q=place_id:ChIJdUODY9q5BTsREGIBW2V2Zvw,part_310,2026-09-20 20:23:24
Surya Homemade Cakes,Bakery and Cake Shop,Cake shop,Cake shop,695028,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vattappara SO, Pandalacode BO, Venkode BO",N/A,N/A,5.0,41.0,"Vazhayila, Padmanabha Nagar, Thiruvananthapuram, Keralam 695564","Vazhayila, Padmanabha Nagar",8.5493036,76.9772675,ChIJR_TcV265BTsRsKqG2veXVJM,https://www.google.com/maps/place/?q=place_id:ChIJR_TcV265BTsRsKqG2veXVJM,part_310,2026-09-20 20:23:24
Friends Bakery,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,695028,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vattappara SO, Pandalacode BO, Venkode BO",+91 97445 39479,N/A,4.0,4.0,"HXV3+269, Prasanthnagar, Vattappara, Keralam 695028",Prasanthnagar,8.5925338,76.9530963,ChIJeaLDzJy5BTsReh5LZ9LhFs0,https://www.google.com/maps/place/?q=place_id:ChIJeaLDzJy5BTsReh5LZ9LhFs0,part_310,2026-09-20 20:23:24
Ammalus home kitchen,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,695028,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vattappara SO, Pandalacode BO, Venkode BO",+91 97468 26681,https://manage.wix.com/account/sites/f0ee4d81-49f0-44ac-9148-9c1d72df0081,4.8,151.0,"Pra. 21, VP thambi road, Kudappanakunnu, Thiruvananthapuram, Keralam 695043",Kudappanakunnu,8.5557805,76.9574678,ChIJUecIyWW5BTsRFetQHWF4720,https://www.google.com/maps/place/?q=place_id:ChIJUecIyWW5BTsRFetQHWF4720,part_310,2026-09-20 20:23:24
