business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Veda Academy,Tuition Center,Coaching Center,Coaching Center,695033,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vikas Bhavan SO, PMG Jn SO, N/A",+91 79940 50272,N/A,4.9,61,"Nanthancode Jct, above Thanal Community Pharmacy, Nanthancodu, Thiruvananthapuram, Keralam 695003",Nanthancodu,8.5154891,76.9538542,ChIJwe7rITq7BTsRj7pAXRFtgvU,https://www.google.com/maps/place/?q=place_id:ChIJwe7rITq7BTsRj7pAXRFtgvU,part_310,2026-09-20 20:26:53
R.K. SPECIAL TUITION CENTRE,Tuition Center,Education center,Education center,695033,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vikas Bhavan SO, PMG Jn SO, N/A",+91 92877 87878,N/A,4.0,1,"Observatory Ln, Nandavanam, Palayam, Thiruvananthapuram, Keralam 695014","Nandavanam, Palayam",8.5055715,76.95673409999999,ChIJq262z5C7BTsR7bGyc8iYSBQ,https://www.google.com/maps/place/?q=place_id:ChIJq262z5C7BTsR7bGyc8iYSBQ,part_310,2026-09-20 20:26:53
TENAX Academy,Tuition Center,Education center,Education center,695033,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vikas Bhavan SO, PMG Jn SO, N/A",+91 98953 23344,https://tenaxacademy.com/,4.9,30,"AR Plaza, PMG, Thiruvananthapuram, Keralam 695033",PMG,8.5103074,76.9486919,ChIJCaKM8iS7BTsRdFuBNDo4CoQ,https://www.google.com/maps/place/?q=place_id:ChIJCaKM8iS7BTsRdFuBNDo4CoQ,part_310,2026-09-20 20:26:53
Tuition centre full subject,Tuition Center,Education center,Education center,695033,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vikas Bhavan SO, PMG Jn SO, N/A",N/A,N/A,5.0,5,"P O, GIRIJA BHAVAN T C CRA A 15 PLANTHOPE LINE, Kowdiar, Thiruvananthapuram, Kerala 695003",Kowdiar,8.5157626,76.9465829,ChIJP6A_LT67BTsRZZrnrnK_Lp4,https://www.google.com/maps/place/?q=place_id:ChIJP6A_LT67BTsRZZrnrnK_Lp4,part_310,2026-09-20 20:26:53
Maths Tuition,Tuition Center,Education center,Education center,695033,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vikas Bhavan SO, PMG Jn SO, N/A",+91 90370 30309,N/A,4.1,14,"GX73+W8G, Plammoodu, Thiruvananthapuram, Keralam 695003",Plammoodu,8.5148066,76.9533186,ChIJ5Wqn_c-7BTsRsTkSJq9hZEs,https://www.google.com/maps/place/?q=place_id:ChIJ5Wqn_c-7BTsRsTkSJq9hZEs,part_310,2026-09-20 20:26:53
I.P.S ENGINEERING ACADEMY,Tuition Center,Private Tutor,"Private Tutor, Association / Organization, Civil engineer, Electrical engineer, Electronics Engineer, Engineer, Engineering consultant, Mechanical engineer",695033,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vikas Bhavan SO, PMG Jn SO, N/A",+91 97450 04414,N/A,4.7,170,"GW6X+V98,Near New Precise Eye Hospital PMG Road, Plamood, oneway, PMG, Thiruvananthapuram, Keralam 695003","oneway, PMG",8.5121875,76.9484375,ChIJJwAAAJW7BTsRf0hB9eG2Yfo,https://www.google.com/maps/place/?q=place_id:ChIJJwAAAJW7BTsRf0hB9eG2Yfo,part_310,2026-09-20 20:26:53
BYJU'S Tuition Centre - Vazhuthacaud,Tuition Center,Coaching Center,Coaching Center,695033,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vikas Bhavan SO, PMG Jn SO, N/A",+91 90090 02000,https://byjus.com/btc/byjus-tuition-centre-vazhuthacuad-trivandrum/?utm_source=GMB&utm_medium=btc-link&utm_campaign=GMB-profile,4.8,119,"GX46+8FM, KEK Tower, Opp Crida, Vellayambalam - Vazhuthacaud Rd, Sasthamangalam, Thiruvananthapuram, Keralam 695010","Nandavanam, Sasthamangalam",8.5058279,76.9611663,ChIJs5N_nGu7BTsRhM8HHT9moc8,https://www.google.com/maps/place/?q=place_id:ChIJs5N_nGu7BTsRhM8HHT9moc8,part_310,2026-09-20 20:26:53
Aashas Children's Villa - Tuition Centre,Tuition Center,Education center,Education center,695033,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vikas Bhavan SO, PMG Jn SO, N/A",+91 94476 34359,https://aashaschildrensvilla.com/,5.0,18,"ARA - 100, Devaswom Board Jct, opposite Nirmala Bhavan School, Muthuswamy lane, Kowdiar, Thiruvananthapuram, Kerala 695003","Muthuswamy lane, Kowdiar",8.5188911,76.9565956,ChIJq9eESde7BTsR5nCb4M6CVlY,https://www.google.com/maps/place/?q=place_id:ChIJq9eESde7BTsR5nCb4M6CVlY,part_310,2026-09-20 20:26:53
Biology Tuition Dr. Jisha Joe,Tuition Center,Private Tutor,Private Tutor,695033,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vikas Bhavan SO, PMG Jn SO, N/A",+91 94959 77037,N/A,4.9,59,"TC 25/3551, Sreesylam, DBRA 63-C, Devaswom Board Jct, behind Aradhana Flour Mill, Jn, Thiruvananthapuram, Keralam 695003","Jn, Kanaka Nagar, Nanthancodu",8.5173575,76.9572934,ChIJL-4k4Z67BTsRbHvEcgwDPHg,https://www.google.com/maps/place/?q=place_id:ChIJL-4k4Z67BTsRbHvEcgwDPHg,part_310,2026-09-20 20:26:53
M J Home,Tuition Center,Educational institution,"Educational institution, Education center",695033,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Vikas Bhavan SO, PMG Jn SO, N/A",+91 62383 71069,N/A,4.9,37,"TC 14, 1269, Observatory Ln, Nandavanam, Palayam, Thiruvananthapuram, Keralam 695033","Nandavanam, Palayam",8.505766999999999,76.9571126,ChIJy8RLthe7BTsRtwnHVu0Eajc,https://www.google.com/maps/place/?q=place_id:ChIJy8RLthe7BTsRtwnHVu0Eajc,part_310,2026-09-20 20:26:53
