business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sk properties Trivandrum,Real Estate Agents,Industrial real estate agency,Industrial real estate agency,695042,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Kalliyoor SO,+91 80752 33699,N/A,,,"Trivandrum, Pallichal, Keralam 695501",695042,8.4158248,77.03917539999999,ChIJ71EwSpKvBTsR_6-o2JYMGV4,https://www.google.com/maps/place/?q=place_id:ChIJ71EwSpKvBTsR_6-o2JYMGV4,part_310,2026-09-20 20:31:27
7th Haven properties,Real Estate Agents,Housing development,Housing development,695042,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Kalliyoor SO,+91 90618 50008,N/A,,,"7th haven, Koliyoor Stadium, road, Koliyoor, Keralam 695042",Koliyoor,8.4178734,76.9898094,ChIJr7UpLQClBTsR2hIBNy7j2MI,https://www.google.com/maps/place/?q=place_id:ChIJr7UpLQClBTsR2hIBNy7j2MI,part_310,2026-09-20 20:31:27
Amrita Homes,Real Estate Agents,Housing development,Housing development,695042,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Kalliyoor SO,N/A,N/A,5.0,1.0,"C2H5+3W9, Kannaramcode, Keralam 695042",695042,8.427669999999999,77.0098649,ChIJpaB8DAClBTsRV2Dy0qCM0ZY,https://www.google.com/maps/place/?q=place_id:ChIJpaB8DAClBTsRV2Dy0qCM0ZY,part_310,2026-09-20 20:31:27
Vineesh Realtors,Real Estate Agents,Real estate agency,Real estate agency,695042,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Kalliyoor SO,N/A,N/A,,,"Vedivachankoil, Pallichal, Keralam 695501",Vedivachankoil,8.4302912,77.032782,ChIJCbW_IuivBTsRHytD74xSRVw,https://www.google.com/maps/place/?q=place_id:ChIJCbW_IuivBTsRHytD74xSRVw,part_310,2026-09-20 20:31:27
SS Plaza,Real Estate Agents,Office space rental agency,Office space rental agency,695042,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Kalliyoor SO,N/A,N/A,5.0,1.0,"PANAYARAKUNNE EDUVA, ROAD, Balaramapuram, Kerala 695501",695042,8.4126955,77.0360173,ChIJvTEDKGivBTsRi2F1jU3-Ils,https://www.google.com/maps/place/?q=place_id:ChIJvTEDKGivBTsRi2F1jU3-Ils,part_310,2026-09-20 20:31:27
7th haven premium properties,Real Estate Agents,Housing development,Housing development,695042,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Kalliyoor SO,N/A,N/A,,,"near Koliyoor Stadium, Koliyoor, Thiruvananthapuram, Keralam 695042",Koliyoor,8.4180376,76.9877042,ChIJKXPHBAClBTsRN7yjZAkEwDw,https://www.google.com/maps/place/?q=place_id:ChIJKXPHBAClBTsRN7yjZAkEwDw,part_310,2026-09-20 20:31:27
Soofiya Complex,Real Estate Agents,Office space rental agency,"Office space rental agency, Home Stay",695042,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Kalliyoor SO,N/A,N/A,4.7,18.0,"Soofiya Complex, Anjuvannam Juma Masjid, Vizhinjam Rd, AV Street, Balaramapuram, Keralam 695501",AV Street,8.4216248,77.0436295,ChIJMYAbmVSvBTsRwiONK-RBpQA,https://www.google.com/maps/place/?q=place_id:ChIJMYAbmVSvBTsRwiONK-RBpQA,part_310,2026-09-20 20:31:27
LANDHOME BUILDERS,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,695042,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Kalliyoor SO,+91 79074 08907,http://www.landhomebuilders.com/,5.0,3.0,"Balaramapuram, Venganoor, Keralam 695501",695042,8.412303099999999,77.033388,ChIJmbERMwK7BTsRDOLuqGZnmQU,https://www.google.com/maps/place/?q=place_id:ChIJmbERMwK7BTsRDOLuqGZnmQU,part_310,2026-09-20 20:31:27
ARCHIMAZE HOMES AND REALTORS,Real Estate Agents,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,695042,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Kalliyoor SO,+91 70129 23690,N/A,,,"p.o, Main road, opposite Pranavam studio, Mangalathukonam, Kattachalkuzhi, Balaramapuram, Kottukal, Kerala 695501","Mangalathukonam, Kattachalkuzhi",8.4087134,77.0354222,ChIJGQ9zynuvBTsR95qz2bagLqc,https://www.google.com/maps/place/?q=place_id:ChIJGQ9zynuvBTsR95qz2bagLqc,part_310,2026-09-20 20:31:27
ARUN NIVAS KOVILVILA,Real Estate Agents,Apartment building,Apartment building,695042,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Kalliyoor SO,N/A,N/A,5.0,4.0,"C289+GCP, Pallichal - Vizhinjam Rd, Kaakkamoola, Peringammala, Venganoor, Keralam 695042","Kaakkamoola, Peringammala",8.4163109,77.0174758,ChIJX_PLgLOvBTsRs1LcFN62hl0,https://www.google.com/maps/place/?q=place_id:ChIJX_PLgLOvBTsRs1LcFN62hl0,part_310,2026-09-20 20:31:29
