business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Creative Digitals Flex Printing,Flex and Banner Printing,Digital printer,Digital printer,695051,Kerala Circle,N/A,Trivandrum North Division,NDC TRIVANDRUM FORT,+91 83091 43571,N/A,5.0,,"Muduchintalapalli, Telangana 500101",695051,17.6503065,78.68879969999999,ChIJ_9djWQB_yzsR52Utc550saw,https://www.google.com/maps/place/?q=place_id:ChIJ_9djWQB_yzsR52Utc550saw,part_310,2026-09-20 20:32:53
Digital India Flex Printing,Flex and Banner Printing,Offset Printer,Offset Printer,695051,Kerala Circle,N/A,Trivandrum North Division,NDC TRIVANDRUM FORT,N/A,N/A,2.5,,"near KVB Bank, Ponnaya Puram, Paramakudi, Tamil Nadu 623707",Ponnaya Puram,9.540190299999999,78.5918707,ChIJPZWkzhoHATsRT6nmGKC5zks,https://www.google.com/maps/place/?q=place_id:ChIJPZWkzhoHATsRT6nmGKC5zks,part_310,2026-09-20 20:32:53
Royal Digital Flex Printing,Flex and Banner Printing,Print shop,Print shop,695051,Kerala Circle,N/A,Trivandrum North Division,NDC TRIVANDRUM FORT,N/A,N/A,4.8,,"W98J+86H, Pavoorchatram Rd, Pavoorchatram, Tamil Nadu 627808",695051,8.915804,77.3806183,ChIJE_dJtycmBDsRgjMGttA6b7c,https://www.google.com/maps/place/?q=place_id:ChIJE_dJtycmBDsRgjMGttA6b7c,part_310,2026-09-20 20:32:53
Chennai Digital,Flex and Banner Printing,Digital printing service,Digital printing service,695051,Kerala Circle,N/A,Trivandrum North Division,NDC TRIVANDRUM FORT,+91 96292 37567,N/A,4.6,,"46, Kannimaramman Kovil St, Tenkasi, Tamil Nadu 627811",695051,8.959743999999999,77.307504,ChIJRxpSrUQpBDsR8E_h8AzkgRA,https://www.google.com/maps/place/?q=place_id:ChIJRxpSrUQpBDsR8E_h8AzkgRA,part_310,2026-09-20 20:32:53
Digital Flex Printing,Flex and Banner Printing,Commercial printer,Commercial printer,695051,Kerala Circle,N/A,Trivandrum North Division,NDC TRIVANDRUM FORT,+91 90002 07413,N/A,4.0,,"2-22-93/1, Vijaya Nagar Colony, Kukatpally, Hyderabad, Telangana 500072","Vijaya Nagar Colony, Kukatpally",17.498089999999998,78.409633,ChIJk7eJnsGRyzsR7TPtH-AX9Zc,https://www.google.com/maps/place/?q=place_id:ChIJk7eJnsGRyzsR7TPtH-AX9Zc,part_310,2026-09-20 20:32:53
Jyothi Print,Flex and Banner Printing,Digital printing service,"Digital printing service, Advertising agency, Event management company",695051,Kerala Circle,N/A,Trivandrum North Division,NDC TRIVANDRUM FORT,+91 484 407 0380,N/A,4.1,,"AV Sight Care, Near, SBRCRA-115, St Benedict Rd, Kacheripady, Kochi, Keralam 682018",Kacheripady,9.9908596,76.28365749999999,ChIJ7wZhb0MNCDsRZ8wdw4bJdyc,https://www.google.com/maps/place/?q=place_id:ChIJ7wZhb0MNCDsRZ8wdw4bJdyc,part_310,2026-09-20 20:32:53
SIGN WORLD INC,Flex and Banner Printing,Neon sign shop,"Neon sign shop, Advertising agency, Manufacturer, Sign shop, Vinyl sign shop",695051,Kerala Circle,N/A,Trivandrum North Division,NDC TRIVANDRUM FORT,+91 98421 01333,N/A,4.7,,"35C, E TV Swamy Rd, opp. Sathya Tower, R.S. Puram, Coimbatore, Tamil Nadu 641002",R.S. Puram,11.0099318,76.95174659999999,ChIJZWTo3hxZqDsRZ8sQKRMXuYk,https://www.google.com/maps/place/?q=place_id:ChIJZWTo3hxZqDsRZ8sQKRMXuYk,part_310,2026-09-20 20:32:54
Print Square Productions,Flex and Banner Printing,Print shop,"Print shop, Digital printer, Event planner",695051,Kerala Circle,N/A,Trivandrum North Division,NDC TRIVANDRUM FORT,+91 99454 02370,http://www.printsquareproduction.com/,5.0,65.0,"Bheemanna Complex, 90, Ejipura Main Rd, viveknagar post, Gowda Muniswamy Garden, Ejipura, Bengaluru, Karnataka 560047","viveknagar post, Gowda Muniswamy Garden, Ejipura",12.9501121,77.6258745,ChIJp9uoqi0VrjsRbq44-TLRPpA,https://www.google.com/maps/place/?q=place_id:ChIJp9uoqi0VrjsRbq44-TLRPpA,part_310,2026-09-20 20:32:55
S Print,Flex and Banner Printing,Print shop,Print shop,695051,Kerala Circle,N/A,Trivandrum North Division,NDC TRIVANDRUM FORT,+91 99001 29892,N/A,4.5,69.0,"39/1, M T B, Road, JC Rd, near taj complex, Kalasipalya, Bengaluru, Karnataka 560002","Journalist Colony, Kalasipalya",12.956896799999999,77.5795657,ChIJ2fnjc-YVrjsRnqPEHLS-2y0,https://www.google.com/maps/place/?q=place_id:ChIJ2fnjc-YVrjsRnqPEHLS-2y0,part_310,2026-09-20 20:32:55
SRINIVASA DIGITAL PRINTS,Flex and Banner Printing,Digital printing service,"Digital printing service, Offset Printer",695051,Kerala Circle,N/A,Trivandrum North Division,NDC TRIVANDRUM FORT,+91 80503 47989,N/A,4.1,173.0,"122, Shanti Niketan Rd, Chamundeshwari Layout, Venugopal Reddy Layout, Arekere, Bengaluru, Karnataka 560076","Chamundeshwari Layout, Venugopal Reddy Layout, Arekere",12.886223399999999,77.6029231,ChIJv-b42igVrjsR4zcmGCpL_64,https://www.google.com/maps/place/?q=place_id:ChIJv-b42igVrjsR4zcmGCpL_64,part_310,2026-09-20 20:32:55
