business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Government Model Boys Higher Secondary School, Attingal",School,Government School,"Government School, Boys' high school, Higher secondary school, School",695101,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Attingal HO,+91 470 262 3200,N/A,,,"MRWC+79M, near boys higher secondary school, Attingal, Kerala 695101",695101,8.6957227,76.8209285,ChIJn4nWL__pBTsRb_aVVxqJoWA,https://www.google.com/maps/place/?q=place_id:ChIJn4nWL__pBTsRb_aVVxqJoWA,part_310,2026-09-20 20:34:19
"Shree Vidyadhiraja Higher Secondary School, Attingal",School,Higher secondary school,Higher secondary school,695101,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Attingal HO,+91 470 262 4461,N/A,,,"Market Rd, Kizhakkupuram, Attingal, Keralam 695101",Kizhakkupuram,8.6990508,76.8063035,ChIJyUdfmfPpBTsRjXyq7klyMcY,https://www.google.com/maps/place/?q=place_id:ChIJyUdfmfPpBTsRjXyq7klyMcY,part_310,2026-09-20 20:34:19
Sr.Elizabeth Joel CSI English Medium Higher Secondary School,School,Secondary school,Secondary school,695101,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Attingal HO,+91 470 262 0010,https://csiems.in/,,,"NH 47, Attingal, Keralam 695101",695101,8.704046,76.81547789999999,ChIJOyvstPrpBTsRBdfVV1gmPQI,https://www.google.com/maps/place/?q=place_id:ChIJOyvstPrpBTsRBdfVV1gmPQI,part_310,2026-09-20 20:34:19
Little Bees - The Montessori Kinder Garten,School,Kindergarten School,Kindergarten School,695101,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Attingal HO,N/A,N/A,5.0,,"MRV9+R4R, Parvathipuram Temple Rd, Attingal, Keralam 695101",695101,8.6946087,76.8177508,ChIJ9TlyoiXpBTsRZfsZ7XSR5ig,https://www.google.com/maps/place/?q=place_id:ChIJ9TlyoiXpBTsRZfsZ7XSR5ig,part_310,2026-09-20 20:34:19
"Petals Preschool, English School , Attingal",School,Preschool,Preschool,695101,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Attingal HO,+91 97453 39334,N/A,4.7,,"Petals Preschool | English School, opposite Wedland Weddings, near Food Inspector Office, Attingal, Keralam 695101",695101,8.689152199999999,76.8222092,ChIJL8GUPQHqBTsRxMfT5_UspYA,https://www.google.com/maps/place/?q=place_id:ChIJL8GUPQHqBTsRxMfT5_UspYA,part_310,2026-09-20 20:34:19
"EuroKids Preschool in Attingal, Trivandrum",School,Preschool,"Preschool, Day care center, Kindergarten School, Montessori school, Nursery school, Playgroup",695101,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Attingal HO,+91 83018 48928,https://www.eurokidsindia.com/preschool-in-trivandrum/attingal/?utm_source=google&utm_medium=organic&utm_id=gmb_listing,5.0,,"Kottiyodu, Attin, Gal Landmark:, Sathya International School, Kizhakkupuram, Attingal, Keralam 695101",Kizhakkupuram,8.702654299999999,76.8090144,ChIJw1sto2vpBTsRIDtogwenIlM,https://www.google.com/maps/place/?q=place_id:ChIJw1sto2vpBTsRIDtogwenIlM,part_310,2026-09-20 20:34:19
Dreampark,School,Preschool,Preschool,695101,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Attingal HO,+91 470 262 0338,http://dreampark.in/,4.5,,"MRQ7+WH7, near G.H.S Junction, Kanjiramkonam, Attingal, Thiruvananthapuram, Keralam 695101",Kanjiramkonam,8.6897896,76.813937,ChIJAQAAABzqBTsRAKc1dVnSJEU,https://www.google.com/maps/place/?q=place_id:ChIJAQAAABzqBTsRAKc1dVnSJEU,part_310,2026-09-20 20:34:19
Shining Stars Montessori School and Teacher Training,School,Preschool,"Preschool, Montessori school, Teachers college",695101,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Attingal HO,+91 98950 38584,https://www.facebook.com/shiningstarspreshoolattingal,4.5,,"Kacherinada, Market Rd, Kizhakkupuram, Attingal, Keralam 695101",Kizhakkupuram,8.6986667,76.8106944,ChIJX0soFADpBTsRT0LlSo_df_0,https://www.google.com/maps/place/?q=place_id:ChIJX0soFADpBTsRT0LlSo_df_0,part_310,2026-09-20 20:34:19
"TIME Kids Preschool, Attingal",School,Preschool,Preschool,695101,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Attingal HO,+91 90372 74747,https://www.timekidspreschools.in/preschool-franchise-trivandrum.html,5.0,,"Shyju Cottage, BTS Rd, near Diat School, Kizhakkupuram, Attingal, Keralam 695101",Kizhakkupuram,8.695947499999999,76.8136906,ChIJU1CZPfDpBTsRAvKQVCViVWI,https://www.google.com/maps/place/?q=place_id:ChIJU1CZPfDpBTsRAvKQVCViVWI,part_310,2026-09-20 20:34:19
Alpha Kids Preschool Attingal,School,Preschool,Preschool,695101,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Attingal HO,+91 70343 96396,https://alphakidspreschools.com/,4.9,,"Krishnanjali House.44, near Govt. Girls High School, Veeralam, Attingal, Keralam 695101","Veeralam (Veera Kerala Puram), Veeralam, Kizhakkupuram",8.695975299999999,76.8110501,ChIJYwisBZ3pBTsRJXoVDVUzZ1s,https://www.google.com/maps/place/?q=place_id:ChIJYwisBZ3pBTsRJXoVDVUzZ1s,part_310,2026-09-20 20:34:19
