business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Advocate Arathy cs,Advocate and Lawyer,Lawyer,"Lawyer, Civil law attorney, Criminal justice attorney, Family law attorney, Mediation service",695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 96453 61367,N/A,5.0,,"Alummoodu, Neyyattinkara, Keralam 695121",Alummoodu,8.4008642,77.0881342,ChIJMXutJqKvBTsR5dhIG3qoGoQ,https://www.google.com/maps/place/?q=place_id:ChIJMXutJqKvBTsR5dhIG3qoGoQ,part_310,2026-09-20 20:37:18
Advocate Venugopal.K,Advocate and Lawyer,Lawyer,Lawyer,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 93498 91221,N/A,4.8,,"Sai Law Chamber Sreehari Building Main Road, Neyyattinkara, Keralam 695121",Alummoodu,8.399900299999999,77.0880462,ChIJLcdpGR-vBTsRCsSZvahK2co,https://www.google.com/maps/place/?q=place_id:ChIJLcdpGR-vBTsRCsSZvahK2co,part_310,2026-09-20 20:37:18
M/s Gopinathan Nair & Associate,Advocate and Lawyer,Law firm,Law firm,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 85471 22503,N/A,4.8,,"Ragam Fort, Alummoodu, Neyyattinkara, Keralam 695121",Alummoodu,8.402317,77.0879803,ChIJkbE6-3evBTsRHTOo-HLTRag,https://www.google.com/maps/place/?q=place_id:ChIJkbE6-3evBTsRHTOo-HLTRag,part_310,2026-09-20 20:37:18
Adv. Renoy Mohan & Associates,Advocate and Lawyer,Law firm,Law firm,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 94963 69427,N/A,5.0,,"3rd Floor, Velayutham Building, Court Rd, Alummoodu, Neyyattinkara, Kerala 695121",Alummoodu,8.3996671,77.0887326,ChIJAQDAOoiuBTsRFFXIsj6UXcE,https://www.google.com/maps/place/?q=place_id:ChIJAQDAOoiuBTsRFFXIsj6UXcE,part_310,2026-09-20 20:37:18
SAI LAW CHAMBER,Advocate and Lawyer,Law firm,Law firm,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 93498 91221,N/A,4.8,,"Office of Advocate Sri. K. Venugopal, NH 66, Neyyattinkara, Keralam 695121",Alummoodu,8.3999077,77.0880652,ChIJTRR_h9uvBTsRJ8FDmw2kUc0,https://www.google.com/maps/place/?q=place_id:ChIJTRR_h9uvBTsRJ8FDmw2kUc0,part_310,2026-09-20 20:37:18
Advocate Sajith M,Advocate and Lawyer,Lawyer,Lawyer,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 96333 34556,http://advsajithm.in/,,,"Velayudham Building, near Neyyattinkara Court Complex, Alummoodu, Neyyattinkara, Kerala 695121",Alummoodu,8.399747999999999,77.08859,ChIJ4waSr4mvBTsRh0pB_p-aPiE,https://www.google.com/maps/place/?q=place_id:ChIJ4waSr4mvBTsRh0pB_p-aPiE,part_310,2026-09-20 20:37:18
Adv.Sreeja Rani. G,Advocate and Lawyer,Legal services,Legal services,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 70341 83745,N/A,5.0,,"Building, Neyyattinkara Court complex, Thirumangalam, near Court Road, Keralam 695121",Alummoodu,8.4007609,77.08899749999999,ChIJDY6dgmGvBTsRE6cOI6FjhfY,https://www.google.com/maps/place/?q=place_id:ChIJDY6dgmGvBTsRE6cOI6FjhfY,part_310,2026-09-20 20:37:18
"Gopal and Ahamed Advocates, Neyyattinkara",Advocate and Lawyer,Law firm,Law firm,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",N/A,N/A,,,"Gopal and Ahamed Advocates, Neyyattinkara Court Complex, Alummoodu, Neyyattinkara, Kerala 695121",Alummoodu,8.4007609,77.08899749999999,ChIJX_rrdgCvBTsRSjqw59-YQzs,https://www.google.com/maps/place/?q=place_id:ChIJX_rrdgCvBTsRSjqw59-YQzs,part_310,2026-09-20 20:37:18
Adv:RenjithChandran&associates,Advocate and Lawyer,Legal services,Legal services,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",N/A,N/A,5.0,,"Neyyattinkara Court Complex, Alummoodu, Neyyattinkara, Keralam 695121",Alummoodu,8.4007609,77.08899749999999,ChIJf_7bLgCvBTsRLITgrxeNMl8,https://www.google.com/maps/place/?q=place_id:ChIJf_7bLgCvBTsRLITgrxeNMl8,part_310,2026-09-20 20:37:18
Adv Sreelakshmi,Advocate and Lawyer,Lawyer,Lawyer,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",N/A,N/A,5.0,,"C3J8+575, Punnakkadu, Keralam 695501",695121,8.4294414,77.0659989,ChIJK4blTgCvBTsRRSWwc-66aKc,https://www.google.com/maps/place/?q=place_id:ChIJK4blTgCvBTsRRSWwc-66aKc,part_310,2026-09-20 20:37:18
ANAVOOR LAW CHAMBERS,Advocate and Lawyer,Law firm,"Law firm, Lawyer",695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 98959 01600,N/A,5.0,,"Anavoor law chambers, RS TOWER, near Neyyattinkara Court Complex, Alummoodu, Neyyattinkara, Keralam 695121",Alummoodu,8.400235499999999,77.0886548,ChIJYxrCewCvBTsRU8UDyQhRUXI,https://www.google.com/maps/place/?q=place_id:ChIJYxrCewCvBTsRU8UDyQhRUXI,part_310,2026-09-20 20:37:19
