business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
General Hospital Neyyattinkara,Multispeciality Hospital,Government hospital,Government hospital,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 471 222 1935,https://www.ghneyyattinkara.com/,3.5,209.0,"C34P+Q55, Neyyattinkara Kattakkada Rd, Alummoodu, Neyyattinkara, Keralam 695121",Alummoodu,8.406875099999999,77.0854718,ChIJrS1A-GOuBTsRn7Eeci8YYDo,https://www.google.com/maps/place/?q=place_id:ChIJrS1A-GOuBTsRn7Eeci8YYDo,part_310,2026-09-20 20:36:54
Royal Medicity Hospital,Multispeciality Hospital,Private hospital,Private hospital,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 99466 46699,N/A,4.8,95.0,"pazhayakada, Neyyattinkara, Keralam 695133",695121,8.3619449,77.079653,ChIJibtfDNKvBTsR1Z0bE8f-Hgs,https://www.google.com/maps/place/?q=place_id:ChIJibtfDNKvBTsR1Z0bE8f-Hgs,part_310,2026-09-20 20:36:54
Jeeva Medicare Hospital,Multispeciality Hospital,Hospital,"Hospital, Medical clinic",695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 97440 39990,N/A,5.0,36.0,"jeeva Medicare, near Bethany Convent, Kamukincode, Trivandrum, Athiyannur, Keralam 695123",Kamukincode,8.3925889,77.0676081,ChIJx0PIBwCvBTsRE4EOnYPyx98,https://www.google.com/maps/place/?q=place_id:ChIJx0PIBwCvBTsRE4EOnYPyx98,part_310,2026-09-20 20:36:54
NIMS Heart Foundation,Multispeciality Hospital,Heart hospital,Heart hospital,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 471 222 2115,http://www.nimshospital.com/,4.2,77.0,"Nims Aralummoodu, Keralam 695123",695121,8.4122463,77.0665724,ChIJJTHN6U-uBTsRNlAVhIkfSm4,https://www.google.com/maps/place/?q=place_id:ChIJJTHN6U-uBTsRNlAVhIkfSm4,part_310,2026-09-20 20:36:54
Karunya Multi Speciality Dental Clinic,Multispeciality Hospital,Dental clinic,Dental clinic,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 97456 03982,https://www.karunyamultispecialitydentalclinic.com/,5.0,19.0,"Hospital Junction, Neyyattinkara Kattakkada Rd, Vazhuthoor, Neyyattinkara, Keralam 695121",Vazhuthoor,8.4074564,77.0850143,ChIJ-e9iXwCvBTsReL9OCfH6gW8,https://www.google.com/maps/place/?q=place_id:ChIJ-e9iXwCvBTsReL9OCfH6gW8,part_310,2026-09-20 20:36:54
Nims spectrum,Multispeciality Hospital,Hospital,Hospital,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",N/A,N/A,4.7,51.0,"C368+XPG, Pathamkallu, Keralam 695123",695121,8.4124378,77.0668216,ChIJzaXsfnKvBTsRB6m0kvMX-9M,https://www.google.com/maps/place/?q=place_id:ChIJzaXsfnKvBTsRB6m0kvMX-9M,part_310,2026-09-20 20:36:54
Dr Aslam's Kids Care Clinic,Multispeciality Hospital,Children's hospital,Children's hospital,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 471 222 2907,N/A,4.1,54.0,"C33P+MQ8, Vadakkekotta Rd, Alummoodu, Neyyattinkara, Keralam 695121",Alummoodu,8.4041628,77.0869589,ChIJHYGStGOuBTsR4teRZo8VfRY,https://www.google.com/maps/place/?q=place_id:ChIJHYGStGOuBTsR4teRZo8VfRY,part_310,2026-09-20 20:36:54
Zion Multi Speciality Dental Clinic,Multispeciality Hospital,Dental clinic,Dental clinic,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 97462 64795,"https://www.google.com/maps/contrib/@8.3721406,77.0819168,21z/data=!4m4!8m3!1e4!3m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D",5.0,27.0,"NMC 32/286, near Medical Mission Hospital, Olathanni, Neyyattinkara, Keralam 695121",695121,8.372214,77.0819767,ChIJkUdYLQCpBTsRklvUKDAihHk,https://www.google.com/maps/place/?q=place_id:ChIJkUdYLQCpBTsRklvUKDAihHk,part_310,2026-09-20 20:36:54
Dr Divin's Multispeciality Dental Clinic Neyyattinkara,Multispeciality Hospital,Dental clinic,Dental clinic,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 82816 54168,https://www.instagram.com/dr.divinsdental?igsh=MWk1eDBpajlwN3h6bw==,5.0,28.0,"Dr DIVIN'S multi-speciality Dental clinic, Vazhuthoor, Neyyattinkara, Keralam 695121",Vazhuthoor,8.4116059,77.0839033,ChIJ4bWgXgCvBTsR5p8v1ltajFU,https://www.google.com/maps/place/?q=place_id:ChIJ4bWgXgCvBTsR5p8v1ltajFU,part_310,2026-09-20 20:36:54
"ISA MULTISPECIALITY DENTAL CLINIC (Dr Aijin A Mohan) BDS,MDS",Multispeciality Hospital,Dental clinic,Dental clinic,695121,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Neyyattinkara HO, Neyyattinkara Town SO",+91 83018 19183,https://isadental.my.canva.site/,5.0,91.0,"AKSHAYA SHOPPING COMPLEX, near RAMACHANDRA TEXTILES, opposite to BUS STAND, Alummoodu, Neyyattinkara, Keralam 695121",Alummoodu,8.397933199999999,77.0883609,ChIJfRcikuCvBTsRwEnDcj5PE14,https://www.google.com/maps/place/?q=place_id:ChIJfRcikuCvBTsRwEnDcj5PE14,part_310,2026-09-20 20:36:54
