business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PR stores poozhikkunnu,Shops,Store,Store,695134,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Vlathankara SO,N/A,N/A,5.0,1.0,"Poozhikunnu, Kulathoor, Kerala 695134",Poozhikunnu,8.3460944,77.102442,ChIJ6WIKJ72rBTsRGpitXf7CMgI,https://www.google.com/maps/place/?q=place_id:ChIJ6WIKJ72rBTsRGpitXf7CMgI,part_310,2026-09-20 20:42:58
SREE KUMAR STORE,Shops,Tea store,Tea store,695134,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Vlathankara SO,+91 81291 20551,N/A,5.0,2.0,"POOZHIKUNNU, Thiruvananthapuram, Keralam 695134",Poozhikunnu,8.3472318,77.1025946,ChIJuUiNhMyrBTsRl54e2tRvu7I,https://www.google.com/maps/place/?q=place_id:ChIJuUiNhMyrBTsRl54e2tRvu7I,part_310,2026-09-20 20:42:58
MAVILAKADAVU JUNCTION,Shops,Market,Market,695134,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Vlathankara SO,N/A,N/A,4.1,7.0,"83RR+VVJ, Ooramvila-Mavilakadavu Rd, Kulathoor, Keralam 695134",695134,8.3422234,77.0921524,ChIJnR2NRwCpBTsRYNK3zlz-blc,https://www.google.com/maps/place/?q=place_id:ChIJnR2NRwCpBTsRYNK3zlz-blc,part_310,2026-09-20 20:42:58
Adersh house,Shops,Store,Store,695134,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Vlathankara SO,N/A,N/A,2.0,1.0,"935V+3FX, Udiyankulangara Vlathankara Rd, Vlathankara, Keralam 695134",695134,8.357726,77.093727,ChIJdTqeSgCpBTsRsWbUgjrPwNo,https://www.google.com/maps/place/?q=place_id:ChIJdTqeSgCpBTsRsWbUgjrPwNo,part_310,2026-09-20 20:42:58
VISHNU STORE,Shops,General store,General store,695134,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Vlathankara SO,+91 85906 97910,N/A,,,"Maryapuram, Vlathankara, Thiruvananthapuram, Keralam 695134",Maryapuram,8.3584332,77.0918642,ChIJTWI-tKepBTsRSkbtN9D0ZhE,https://www.google.com/maps/place/?q=place_id:ChIJTWI-tKepBTsRSkbtN9D0ZhE,part_310,2026-09-20 20:42:58
Karma Stores,Shops,General store,General store,695134,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Vlathankara SO,N/A,N/A,,,"938R+2PX, Unnamed Road, Vlathankara, Kerala 695134",695134,8.3651114,77.0918725,ChIJnfIGLRyvBTsRwNedj-fwDuU,https://www.google.com/maps/place/?q=place_id:ChIJnfIGLRyvBTsRwNedj-fwDuU,part_310,2026-09-20 20:42:58
Ration Store,Shops,General store,General store,695134,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Vlathankara SO,N/A,N/A,,,"935R+CC9, Vlathankara, Kerala 695134",695134,8.3585306,77.0911031,ChIJyeYuq1KpBTsRA_LD3RxbMiE,https://www.google.com/maps/place/?q=place_id:ChIJyeYuq1KpBTsRA_LD3RxbMiE,part_310,2026-09-20 20:42:58
Pooradam stores,Shops,Store,Store,695134,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Vlathankara SO,N/A,N/A,5.0,,"93FJ+X3G, Vir Savarkar Rd, Manaluvila, Olathanni, Keralam 695121",Manaluvila,8.3749328,77.0802034,ChIJf9-E-1CvBTsRbTmygP9ks68,https://www.google.com/maps/place/?q=place_id:ChIJf9-E-1CvBTsRbTmygP9ks68,part_310,2026-09-20 20:42:58
JIBI TEX,Shops,Clothing store,Clothing store,695134,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Vlathankara SO,N/A,N/A,5.0,,"84W3+8V9, Poozhikunnu, Kulathoor, Keralam 695506",Poozhikunnu,8.3457955,77.104742,ChIJA-Xv-OKrBTsR8Up4naHyn9k,https://www.google.com/maps/place/?q=place_id:ChIJA-Xv-OKrBTsR8Up4naHyn9k,part_310,2026-09-20 20:42:58
Favourite Shoppy,Shops,Gift shop,"Gift shop, Cosmetics store, Stationery store",695134,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Vlathankara SO,+91 98091 74529,N/A,3.9,72.0,"Sreekariyam Junction, Sreekaryam, Thiruvananthapuram, Keralam 695017","Sreekariyam Junction, Sreekaryam",8.5490392,76.9173709,ChIJ16OkJcu-BTsRNKE6X51RZ7M,https://www.google.com/maps/place/?q=place_id:ChIJ16OkJcu-BTsRNKE6X51RZ7M,part_310,2026-09-20 20:42:59
