business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bright Dental Solutions Varkala,Dental Clinic,Dental clinic,Dental clinic,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 77361 71428,https://brightdentalsolutions.in/,5.0,,"Kurakkanni, BORNIYAMUKKU, Varkala, Keralam 695541","Kurakkanni, BORNIYAMUKKU",8.747976399999999,76.705975,ChIJcxF7d3zvBTsRWPAvlzPLR8Y,https://www.google.com/maps/place/?q=place_id:ChIJcxF7d3zvBTsRWPAvlzPLR8Y,part_310,2026-09-20 20:43:08
"Dr.Sameera's Happy Tooth Pediatric & Multispeciality Dental clinic,Varkala",Dental Clinic,Dental clinic,"Dental clinic, Dental implants provider, Dentist, Endodontist, Oral and maxillofacial surgeon, Orthodontist, Prosthodontist",695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 81369 59545,N/A,4.8,,"Railway Station, Sinan Arcade, near Shiva Temple, Road, Varkala, Keralam 695141",Road,8.743542699999999,76.7206842,ChIJNa3UNVzvBTsRnKc33MeBCPE,https://www.google.com/maps/place/?q=place_id:ChIJNa3UNVzvBTsRnKc33MeBCPE,part_310,2026-09-20 20:43:08
CHAITHANYA SPECIALITY DENTAL CARE - EDAVA VARKALA,Dental Clinic,Dental clinic,Dental clinic,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 62828 68806,N/A,5.0,,"Marakkadamukku Venkulam Edava, Varkala, Keralam 695311",695141,8.7572019,76.7058452,ChIJnShc2XjvBTsRv1GI6UUkswE,https://www.google.com/maps/place/?q=place_id:ChIJnShc2XjvBTsRv1GI6UUkswE,part_310,2026-09-20 20:43:08
Siwaq Multi-Speciality Dental Centre,Dental Clinic,Dental clinic,Dental clinic,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 79029 50106,N/A,4.9,,"Palachira.Jn, Varkala Kallambalam Rd, Varkala, Keralam 695143",695141,8.7346504,76.74401449999999,ChIJN3mvWQDpBTsRAyK122oADb4,https://www.google.com/maps/place/?q=place_id:ChIJN3mvWQDpBTsRAyK122oADb4,part_310,2026-09-20 20:43:08
"Dr. Karthik's Dream Dent Super Speciality Dental Clinic Aesthetic & Implant Center, Counseling Center",Dental Clinic,Dental clinic,Dental clinic,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 95677 71377,N/A,5.0,,"1st Floor, Kalyani Mall, Marakkadamukku, Varkala, Keralam 695142",Marakkadamukku,8.728396499999999,76.7411455,ChIJkaq-NgDpBTsRKfv1E3mI6xc,https://www.google.com/maps/place/?q=place_id:ChIJkaq-NgDpBTsRKfv1E3mI6xc,part_310,2026-09-20 20:43:08
Dr Aishas Dental Care,Dental Clinic,Dental clinic,Dental clinic,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 94954 73267,N/A,5.0,,"Odayam - Anchumukku Rd, Varkala, Edava, Keralam 695141",695141,8.7519548,76.70857149999999,ChIJLWbTchTvBTsRBdeGWOsJE5Y,https://www.google.com/maps/place/?q=place_id:ChIJLWbTchTvBTsRBdeGWOsJE5Y,part_310,2026-09-20 20:43:08
Dr. Anju's Smile Care Multispeciality Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 87140 70696,N/A,5.0,,"Thavakkal Complex, opposite POLICE STATION, near SBI) MAITHANAM, Varkala, Keralam 695141",695141,8.7337508,76.726505,ChIJafWBXazvBTsRxCPmLOfgX8I,https://www.google.com/maps/place/?q=place_id:ChIJafWBXazvBTsRxCPmLOfgX8I,part_310,2026-09-20 20:43:08
TOOTHWORLD Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 85903 38744,N/A,4.8,,"Temple Rd, opposite ghss, Varkala, Keralam 695141",695141,8.731474799999999,76.7165697,ChIJ7Z_qs9juBTsRtr0K71LouJM,https://www.google.com/maps/place/?q=place_id:ChIJ7Z_qs9juBTsRtr0K71LouJM,part_310,2026-09-20 20:43:08
SMILE BANK DENTAL,Dental Clinic,Dental clinic,"Dental clinic, Cosmetic dentist, Dentist, Dental implants provider, Endodontist, Hospital, Orthodontist, Pediatric dentist, Periodontist, Prosthodontist",695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 81139 23872,http://www.smilebankdental.com/,4.9,,"BISMILLAH SQUARE, Sree Narayana College Rd, Nadayara, Varkala, Keralam 695141",Nadayara,8.7603254,76.7261523,ChIJAWkKAWjvBTsRW8aYzExoyT4,https://www.google.com/maps/place/?q=place_id:ChIJAWkKAWjvBTsRW8aYzExoyT4,part_310,2026-09-20 20:43:08
Vijay Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",N/A,N/A,4.6,,"Madathara Rd Maithanam, near Muncipal Park, Varkala, Keralam 695141",695141,8.735108199999999,76.7253617,ChIJTfy_rSnvBTsRYeF9UJPo6bY,https://www.google.com/maps/place/?q=place_id:ChIJTfy_rSnvBTsRYeF9UJPo6bY,part_310,2026-09-20 20:43:08
