business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ORMA Souvenirs by Sarwaa,Gifting,Gift shop,"Gift shop, Souvenir store, Handicraft, Handicraft Exporter",695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",N/A,http://sarwaa.in/,4.9,,"and cafe italiano, north cliff, between, N Cliff Rd, Varkala, Keralam 695141",695141,8.738754499999999,76.69982019999999,ChIJldVH-R3vBTsRsFpg84qKxF4,https://www.google.com/maps/place/?q=place_id:ChIJldVH-R3vBTsRsFpg84qKxF4,part_310,2026-09-20 20:43:22
Sairah Giftalley and Decors,Gifting,Gift shop,"Gift shop, Event planner",695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 73060 75326,N/A,4.9,,"Sulthan Veedu, TB - Vallakadav Rd, Chumaduthangi, Varkala, Keralam 695141",Chumaduthangi,8.7201805,76.7212421,ChIJQ6dDvtvvBTsRm3P9I6YjSGU,https://www.google.com/maps/place/?q=place_id:ChIJQ6dDvtvvBTsRm3P9I6YjSGU,part_310,2026-09-20 20:43:22
Sk Fancy & Gift Center,Gifting,Novelty store,Novelty store,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 79024 68657,N/A,5.0,,"Varkala Kallambalam Rd, Varkala, Keralam 695141",695141,8.728876,76.73792089999999,ChIJqWz6KNXuBTsRPf6uuwJg1xg,https://www.google.com/maps/place/?q=place_id:ChIJqWz6KNXuBTsRPf6uuwJg1xg,part_310,2026-09-20 20:43:22
hamparaa__gifts,Gifting,Gift shop,Gift shop,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 96457 64852,https://www.instagram.com/hamparaa__gifts?igsh=aWNkYng3Nnk2MWJq,5.0,,"HAH dharul ishq chummadthagi, p.o, Varkala, Keralam 695141",p.o,8.7235471,76.72527149999999,ChIJbamv5_fvBTsRyG1ZEwyRqq4,https://www.google.com/maps/place/?q=place_id:ChIJbamv5_fvBTsRyG1ZEwyRqq4,part_310,2026-09-20 20:43:22
Customised gifts and hamperVarkala,Gifting,Craft store,Craft store,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 90722 90967,N/A,,,"QM8X+GH4, Vettakada, Edava, Keralam 695311",Vettakada,8.766246599999999,76.6989351,ChIJDcD5W83vBTsR1FLE1sLcAqI,https://www.google.com/maps/place/?q=place_id:ChIJDcD5W83vBTsR1FLE1sLcAqI,part_310,2026-09-20 20:43:22
Ambrus,Gifting,Gift shop,Gift shop,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 77367 83986,N/A,5.0,,"Odayam - Anchumukku Rd, mukku, Varkala, Keralam 695141",mukku,8.7505056,76.71069039999999,ChIJU3KKtcTvBTsREsgVw8YBCeY,https://www.google.com/maps/place/?q=place_id:ChIJU3KKtcTvBTsREsgVw8YBCeY,part_310,2026-09-20 20:43:22
Passion Art Gallery,Gifting,Gift shop,Gift shop,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",N/A,N/A,4.9,,"Papanasam Beach Road, Varkala, Keralam 695141",695141,8.7330769,76.70630249999999,ChIJ10mwyqnvBTsRhlNb0KU_oEc,https://www.google.com/maps/place/?q=place_id:ChIJ10mwyqnvBTsRhlNb0KU_oEc,part_310,2026-09-20 20:43:22
Varkala Wind Horse Tibetan gift shop,Gifting,Gift shop,Gift shop,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",N/A,N/A,5.0,,"PPP2+XWQ, N Cliff Rd, Kurakkanni, Varkala, Keralam 695141",Kurakkanni,8.7374663,76.7023621,ChIJdRVYbgDvBTsRtkRMyRbheYw,https://www.google.com/maps/place/?q=place_id:ChIJdRVYbgDvBTsRtkRMyRbheYw,part_310,2026-09-20 20:43:22
Pearl View,Gifting,Gift shop,"Gift shop, Cosmetics store",695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 85929 56667,N/A,5.0,,"PPRF+34C, Near Railway Station, Varkala, Thiruvananthapuram, Varkala, Keralam 695141",Varkala,8.7401844,76.7227657,ChIJSca4ei_vBTsRPD_esRQObEg,https://www.google.com/maps/place/?q=place_id:ChIJSca4ei_vBTsRPD_esRQObEg,part_310,2026-09-20 20:43:22
Ever Shine,Gifting,Gift shop,Gift shop,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 97478 67466,N/A,4.0,,"PPHP+W3G, Varkala, Keralam 695141",695141,8.7298248,76.735191,ChIJsdCaCSrvBTsR3cBEQ6VcIwo,https://www.google.com/maps/place/?q=place_id:ChIJsdCaCSrvBTsR3cBEQ6VcIwo,part_310,2026-09-20 20:43:22
Dreams Fancy Store Varkala,Gifting,Gift shop,Gift shop,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",N/A,N/A,5.0,,"Bus Stop, Edava-Papanasam Rd, Kurakkanni, Varkala, Keralam 695141",Kurakkanni,8.7430763,76.7061083,ChIJ88BSuPvvBTsR4gMm5Hxaoe4,https://www.google.com/maps/place/?q=place_id:ChIJ88BSuPvvBTsR4gMm5Hxaoe4,part_310,2026-09-20 20:43:22
Fashion Centre,Gifting,Gift shop,"Gift shop, Bag shop, Cosmetics store",695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 470 260 2203,N/A,4.5,,"PPMG+QH8, Maithanam, Varkala, Thiruvananthapuram, Varkala, Keralam 695141","Maithanam, Varkala",8.734401799999999,76.7264414,ChIJ94MWvinvBTsRXTnJXOCiy8Q,https://www.google.com/maps/place/?q=place_id:ChIJ94MWvinvBTsRXTnJXOCiy8Q,part_310,2026-09-20 20:43:22
Sage & Sea,Gifting,Gift shop,Gift shop,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 97448 71795,N/A,,,"South Cliff, Temple Rd, near Perumkulam, Varkala, Keralam 695141",695141,8.728354,76.7101148,ChIJg9tkuzbvBTsRE6M1n01uXRc,https://www.google.com/maps/place/?q=place_id:ChIJg9tkuzbvBTsRE6M1n01uXRc,part_310,2026-09-20 20:43:22
Craftale,Gifting,Gift shop,Gift shop,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 79943 97494,N/A,5.0,,"Craftale Gift Shop, Varkala, Vadasserikonam, Keralam 695143",695141,8.7443429,76.76013499999999,ChIJ8XbSUKLpBTsRqW4YHjmiifE,https://www.google.com/maps/place/?q=place_id:ChIJ8XbSUKLpBTsRqW4YHjmiifE,part_310,2026-09-20 20:43:23
Challenge Fancy,Gifting,Gift shop,"Gift shop, Bag shop, Cosmetics store, Shoe store, Toy store",695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 470 261 1397,N/A,3.4,,"PPPG+73G, Maithanam, Varkala, Thiruvananthapuram, Varkala, Keralam 695141","Maithanam, Varkala",8.7356952,76.7251884,ChIJlWoGASnvBTsRL__6psiqmwc,https://www.google.com/maps/place/?q=place_id:ChIJlWoGASnvBTsRL__6psiqmwc,part_310,2026-09-20 20:43:23
Sadasivam Gift Park,Gifting,Gift shop,Gift shop,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",N/A,N/A,5.0,,"PPX8+794, Punnamoodu, Varkala, Keralam 695141",Punnamoodu,8.7481431,76.7159415,ChIJQ6_F6dHvBTsRy4gwqCksd60,https://www.google.com/maps/place/?q=place_id:ChIJQ6_F6dHvBTsRy4gwqCksd60,part_310,2026-09-20 20:43:23
