business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ariez Medicals,Medical Equipment Supplier,Medical supply store,Medical supply store,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 83019 08546,N/A,5.0,,"Vettor Rd, Puthenchantha, Varkala, Kerala 695141",Puthenchantha,8.7277557,76.733273,ChIJPx3SEsfvBTsRX7y10bSxm1I,https://www.google.com/maps/place/?q=place_id:ChIJPx3SEsfvBTsRX7y10bSxm1I,part_310,2026-09-20 20:43:10
Medical Equipment Company,Medical Equipment Supplier,Medical supply store,Medical supply store,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 93873 15641,N/A,,,"PPMF+MW8, Maithanam, Varkala, Thiruvananthapuram, Varkala, Keralam 695141","Maithanam, Varkala",8.7341517,76.72482579999999,ChIJ1wKBSijvBTsR2AaiJ4tWkrQ,https://www.google.com/maps/place/?q=place_id:ChIJ1wKBSijvBTsR2AaiJ4tWkrQ,part_310,2026-09-20 20:43:10
Kalyani medicals & surgicals,Medical Equipment Supplier,Medical supply store,Medical supply store,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",N/A,N/A,5.0,,"Maithanam, Varkala, Keralam 695141",Maithanam,8.7338986,76.7253258,ChIJb4MrPh_pBTsR9qgrRgPdzPI,https://www.google.com/maps/place/?q=place_id:ChIJb4MrPh_pBTsR9qgrRgPdzPI,part_310,2026-09-20 20:43:10
Jan aashraya medicals maithanam varkala,Medical Equipment Supplier,Medical supply store,Medical supply store,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 96456 18679,N/A,4.8,,"PPMG+HC2, Varkala-Thazhevettoor Road, Varkala, Keralam 695141",695141,8.733898,76.7260122,ChIJjbGMWSjvBTsRMU1ittHIjhU,https://www.google.com/maps/place/?q=place_id:ChIJjbGMWSjvBTsRMU1ittHIjhU,part_310,2026-09-20 20:43:10
Ammu Medicals,Medical Equipment Supplier,Medical supply store,Medical supply store,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 98959 79012,N/A,3.7,,"PPHP+X2J, Varkala Kallambalam Rd, Puthenchantha, Thiruvananthapuram, Varkala, Keralam 695141",Puthenchantha,8.72997,76.735,ChIJWRJeIivpBTsRTQ9R-JbcWwU,https://www.google.com/maps/place/?q=place_id:ChIJWRJeIivpBTsRTQ9R-JbcWwU,part_310,2026-09-20 20:43:10
MeSevana Medical Shop,Medical Equipment Supplier,Medical supply store,Medical supply store,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",N/A,N/A,5.0,,"QM7V+WWG, Vettakada, Edava, Keralam 695311",Vettakada,8.7648149,76.69482839999999,ChIJ3YwPbXrvBTsRcDEcVgchbLg,https://www.google.com/maps/place/?q=place_id:ChIJ3YwPbXrvBTsRcDEcVgchbLg,part_310,2026-09-20 20:43:10
Zravns Healthcare and Biovisions Private Limited,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",N/A,N/A,,,"QP26+CFH, Varkala Edava Kappil Rd, Varkala, Keralam 695141",695141,8.7510502,76.7112264,ChIJT5-5ywfvBTsRnzmMPt1q0vI,https://www.google.com/maps/place/?q=place_id:ChIJT5-5ywfvBTsRnzmMPt1q0vI,part_310,2026-09-20 20:43:10
Snehas pharmacy,Medical Equipment Supplier,Medical supply store,Medical supply store,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 80864 17046,N/A,5.0,,"QP3V+3XR Njekkad, Aasarimukku Road, Thachodu, Panayara, Chemmaruthy, Keralam 695145",Thachodu,8.7526875,76.74493749999999,ChIJq3p8tvTpBTsR0Sq7g8EE7sE,https://www.google.com/maps/place/?q=place_id:ChIJq3p8tvTpBTsR0Sq7g8EE7sE,part_310,2026-09-20 20:43:10
Viswas medicals,Medical Equipment Supplier,Medical supply store,"Medical supply store, Pharmacy",695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",+91 90487 00009,N/A,3.1,,"Varkala Kallambalam Rd, Puthenchantha, Varkala, Keralam 695141",Puthenchantha,8.7294199,76.73582429999999,ChIJC5ZhEyvpBTsRdF3ADDsuKSw,https://www.google.com/maps/place/?q=place_id:ChIJC5ZhEyvpBTsRdF3ADDsuKSw,part_310,2026-09-20 20:43:10
"Puthenchantha, Varkala",Medical Equipment Supplier,Medical supply store,Medical supply store,695141,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Varkala SO, Janardhanapuram BO, Varkala South BO",N/A,N/A,,,"PPHQ+F5V, Puthenchantha, Vettoor-cherunniyoor, Varkala, Keralam 695141",Puthenchantha,8.7287416,76.7379229,ChIJRcXTcwDpBTsRRv7Ec8mVeHc,https://www.google.com/maps/place/?q=place_id:ChIJRcXTcwDpBTsRRv7Ec8mVeHc,part_310,2026-09-20 20:43:10
