business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kuruvachan's Building,Commercial Complex,Store,Store,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,5.0,1.0,"Parelpally Junction, Moozhikulangara p.o, Neendoor, Onamthuruth, Keralam 686601",686603,9.7020047,76.5170201,ChIJs8iWAQDVBzsRNV2QcjLJ1DY,https://www.google.com/maps/place/?q=place_id:ChIJs8iWAQDVBzsRNV2QcjLJ1DY,part_302,2026-09-20 20:17:15,4772
G Square Buildings,Commercial Complex,Store,Store,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 95262 93004,N/A,5.0,7.0,"Malliyoor Temple Rd, Kuruppanthara Market, Kuruppanthara, Kerala 686603",Kuruppanthara Market,9.7346544,76.5072053,ChIJkSLPM23XBzsR1RzKLzIHaPw,https://www.google.com/maps/place/?q=place_id:ChIJkSLPM23XBzsR1RzKLzIHaPw,part_302,2026-09-20 20:17:15,4773
C K Kavala,Commercial Complex,Shopping mall,Shopping mall,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,4.1,24.0,"MGW4+W8J, Manjoor - South Neendoor Rd, Neendoor, Onamthuruth, Keralam 686601",686603,9.6973361,76.5057542,ChIJ-4qqXkrUBzsRiF9TnJUMnDA,https://www.google.com/maps/place/?q=place_id:ChIJ-4qqXkrUBzsRiF9TnJUMnDA,part_302,2026-09-20 20:17:15,4774
prestige rcm puc,Commercial Complex,Shopping mall,Shopping mall,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,4.0,4.0,"PG9J+28C, SH15, Kothanalloor, Keralam 686632",686603,9.7175558,76.5307792,ChIJDSky7RHVBzsRNcCSIYzpEPk,https://www.google.com/maps/place/?q=place_id:ChIJDSky7RHVBzsRNcCSIYzpEPk,part_302,2026-09-20 20:17:15,4775
G & P Stores,Commercial Complex,Shopping mall,Shopping mall,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,4.1,12.0,"PG24+52C, Onamthuruth, Keralam 686601",686603,9.7004412,76.50501179999999,ChIJY7b0DDXUBzsRwWWq3XDgE9g,https://www.google.com/maps/place/?q=place_id:ChIJY7b0DDXUBzsRwWWq3XDgE9g,part_302,2026-09-20 20:17:15,4776
Thottathikuzhy buildings,Commercial Complex,Building materials market,Building materials market,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,5.0,2.0,"PGCF+5GG South Bound, SH15, Kothanalloor, Kerala 686632",686603,9.7204255,76.5238413,ChIJq25M32TVBzsRwNonS2de6qE,https://www.google.com/maps/place/?q=place_id:ChIJq25M32TVBzsRwNonS2de6qE,part_302,2026-09-20 20:17:15,4777
Chandy's Homes Tall County,Commercial Complex,Apartment building,Apartment building,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 95623 73222,http://www.chandysbuilders.com/,4.7,,"Manganam, Kottayam, Kerala, Keralam 686018",Manganam,9.5776316,76.5567744,ChIJH1RjDnEsBjsRdzyBdfXs-kA,https://www.google.com/maps/place/?q=place_id:ChIJH1RjDnEsBjsRdzyBdfXs-kA,part_302,2026-09-20 20:17:15,4778
Elrics Creator's Studio,Commercial Complex,Software company,Software company,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,https://elrics.com/,5.0,,"1st Floor, St Joseph Building, Kothanalloor, Keralam 686632",686603,9.7125437,76.5339134,ChIJJb013fjVBzsRvoQrriQNss0,https://www.google.com/maps/place/?q=place_id:ChIJJb013fjVBzsRvoQrriQNss0,part_302,2026-09-20 20:17:16,4779
Anupama Shopping Complex,Commercial Complex,Building,Building,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",N/A,N/A,,,"Thalayolaparambu, Vadayar, Keralam 686605",686604,9.786511599999999,76.44279639999999,ChIJwW8bWRJ4CDsRqNC32R7DYY8,https://www.google.com/maps/place/?q=place_id:ChIJwW8bWRJ4CDsRqNC32R7DYY8,part_302,2026-09-20 20:17:55,7207
VALLAPURACKAL ARCADE,Commercial Complex,Business center,"Business center, Shopping mall",686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 73064 27043,N/A,3.6,,"SH15, Thalayolaparambu, Keralam 686605",686604,9.7834606,76.4590332,ChIJ4Z2hzd_XBzsReskhF8rt3sg,https://www.google.com/maps/place/?q=place_id:ChIJ4Z2hzd_XBzsReskhF8rt3sg,part_302,2026-09-20 20:17:55,7208
RAHMANIYA COMPLEX APANCHIRA,Commercial Complex,Shopping mall,Shopping mall,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 94957 74346,N/A,,,"Appanchira, Kaduthuruthy, Keralam 686604",Appanchira,9.7744933,76.4729133,ChIJzZ4M8MXXBzsRdnnXAMKrC5M,https://www.google.com/maps/place/?q=place_id:ChIJzZ4M8MXXBzsRdnnXAMKrC5M,part_302,2026-09-20 20:17:55,7209
SNV Building,Commercial Complex,Shopping mall,Shopping mall,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 97474 36724,N/A,3.1,,"QF8R+XGF, Kaduthuruthy, Kerala 686604",686604,9.7674262,76.4912823,ChIJ-XD1hK3XBzsRYPqKvTdHUfw,https://www.google.com/maps/place/?q=place_id:ChIJ-XD1hK3XBzsRYPqKvTdHUfw,part_302,2026-09-20 20:17:55,7210
Travencore Devasom board Commercial Complex,Commercial Complex,Shopping mall,Shopping mall,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",N/A,N/A,,,"QF8V+529, Kaduthuruthy, Kerala 686604",686604,9.765422599999999,76.4926157,ChIJp4fbm93XBzsR8xT12mM0zgU,https://www.google.com/maps/place/?q=place_id:ChIJp4fbm93XBzsR8xT12mM0zgU,part_302,2026-09-20 20:17:55,7211
SNDP Shopping Complex,Commercial Complex,Shopping mall,Shopping mall,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",N/A,N/A,5.0,,"Block Jn, SH15, Appanchira, Kaduthuruthy, Kerala 686604",Appanchira,9.7715868,76.4863778,ChIJ08npye3XBzsRBbGVFPRfszM,https://www.google.com/maps/place/?q=place_id:ChIJ08npye3XBzsRBbGVFPRfszM,part_302,2026-09-20 20:17:55,7212
