business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Lara's Cleaning Services and Property Management,Housekeeping Services,House cleaning service,"House cleaning service, Carpet cleaning service, Cleaning Services, House sitter agency, Human resource consulting, Pressure washing service, Window cleaning service",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 87144 68534,https://www.larasindia.com/,5.0,,"Kodungoor, Vazhoor, Keralam 686504",Kodungoor,9.566221299999999,76.7073022,ChIJJVmY2j0zBjsRJZwy5cePTjo,https://www.google.com/maps/place/?q=place_id:ChIJJVmY2j0zBjsRJZwy5cePTjo,part_301,2026-09-20 20:17:11,5158
Cleanwise,Housekeeping Services,House cleaning service,"House cleaning service, Carpet cleaning service, Cleaning Services, Leather cleaning service, Upholstery cleaning service, Window cleaning service",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 91880 61000,http://www.cleanwise.in/,4.7,,"Thengumplackal Building, P.O, Mudiyoorkara, Gandhi Nagar, Perumbaikad, Keralam 686008","Mudiyoorkara, Gandhi Nagar",9.635554599999999,76.52692979999999,ChIJyQ-LpV_TBzsRrisCcH9_apo,https://www.google.com/maps/place/?q=place_id:ChIJyQ-LpV_TBzsRrisCcH9_apo,part_301,2026-09-20 20:17:11,5159
Great Choice,Housekeeping Services,House cleaning service,"House cleaning service, Cleaning Services",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94007 74462,https://gcdcleaningservices.in/,5.0,,"Sea port Airport, Kizakkekara Building, 6/848 B, HMT Rd, opposite Food craft Institute, HMT Junction, Kairali Nagar, South Kalamassery, Kalamassery, Kochi, Keralam 683104","HMT Junction, Kairali Nagar, South Kalamassery, Kalamassery",10.054603499999999,76.32480199999999,ChIJ6SobflsNCDsRu-qHHngyyVE,https://www.google.com/maps/place/?q=place_id:ChIJ6SobflsNCDsRu-qHHngyyVE,part_301,2026-09-20 20:17:11,5160
The Cleaning Factory,Housekeeping Services,House cleaning service,House cleaning service,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 90720 01999,http://www.cleaningfactory.in/,5.0,,"Nattassery, Kottayam, Keralam 686004",Nattassery,9.5970625,76.54606249999999,ChIJ2ZwYaAArBjsRi2J6PHOnfVs,https://www.google.com/maps/place/?q=place_id:ChIJ2ZwYaAArBjsRi2J6PHOnfVs,part_301,2026-09-20 20:17:11,5161
KANJIRAPPALLY AGENCIES,Housekeeping Services,Wholesaler household appliances,Wholesaler household appliances,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,4.4,,"HQ76+WW5, Ponkunnam, Keralam 686506",686518,9.5647524,76.7623737,ChIJ-50EEws1BjsRRgwf-_iUM6M,https://www.google.com/maps/place/?q=place_id:ChIJ-50EEws1BjsRRgwf-_iUM6M,part_301,2026-09-20 20:17:11,5162
Sparkle Expert Cleaners,Housekeeping Services,Cleaning Services,Cleaning Services,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 81299 48273,https://sparklexpertcleaners.com/,4.9,,"block 2, SRKA LANE, near Harisree vidhyalaya, Capital Village, Punkunnam, Thrissur, Keralam 680002","Capital Village, Punkunnam",10.5348242,76.19930269999999,ChIJeXG6QwYoaS0RTDyLjVYzlCI,https://www.google.com/maps/place/?q=place_id:ChIJeXG6QwYoaS0RTDyLjVYzlCI,part_301,2026-09-20 20:17:11,5163
Clean Warks - Cleaning Services in Kottayam,Housekeeping Services,Cleaning Services,"Cleaning Services, Carpet cleaning service, House cleaning service, Pressure washing service, Upholstery cleaning service, Water Tank Cleaners",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 83040 00046,https://cleanwarks.com/,4.9,,"Parthas Ln, Kottayam, Keralam 686001",686518,9.5908112,76.5237758,ChIJv8K98oUrBjsRhAgKemI_G9g,https://www.google.com/maps/place/?q=place_id:ChIJv8K98oUrBjsRhAgKemI_G9g,part_301,2026-09-20 20:17:11,5164
Mop and Clean Cleaning Service,Housekeeping Services,Cleaning Services,"Cleaning Services, Carpet cleaning service, House cleaning service, Pest control service, Sanitation service, Upholstery cleaning service",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 81298 88988,http://mopandclean.com/,4.9,,"Sehba Square, University Road, PKA Nagar, Alfiya Nagar, South Kalamassery, Kalamassery, Kochi, Keralam 682022","PKA Nagar, Alfiya Nagar, South Kalamassery, Kalamassery",10.0458983,76.321249,ChIJkSZBaMQNCDsRazVrOnwbj58,https://www.google.com/maps/place/?q=place_id:ChIJkSZBaMQNCDsRazVrOnwbj58,part_301,2026-09-20 20:17:11,5165
Clean Warks - Cleaning Services in Kochi,Housekeeping Services,Cleaning Services,"Cleaning Services, Carpet cleaning service, House cleaning service, Pressure washing service, Upholstery cleaning service, Water Tank Cleaners",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 83040 00046,https://cleanwarks.com/,4.9,,"Kattiparambil Arcade, St Vincent Convent Rd, Customs Colony, Chakkalakkal, Palarivattom, Kochi, Ernakulam, Keralam 682025","Customs Colony, Chakkalakkal, Palarivattom",9.995877199999999,76.3108726,ChIJzzEi5YcNCDsRzJI9CdSR4_A,https://www.google.com/maps/place/?q=place_id:ChIJzzEi5YcNCDsRzJI9CdSR4_A,part_301,2026-09-20 20:17:11,5166
Amala Homecare,Housekeeping Services,Chemical Manufacturer,Chemical Manufacturer,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94471 43624,http://www.whitegooseindia.com/,5.0,,"near St Dominic Higher secondary School, Puthengady, Kokkappally, Kanjirappally, Kerala 686507","Puthengady, Kokkappally",9.557240799999999,76.7906026,ChIJZxM5D3g2BjsRN8K3pcAJcaY,https://www.google.com/maps/place/?q=place_id:ChIJZxM5D3g2BjsRN8K3pcAJcaY,part_301,2026-09-20 20:17:11,5167
A2z cleaning service,Housekeeping Services,Cleaning Services,Cleaning Services,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 86104 86251,https://atozcleaningservices.lyzoo.co.in/,5.0,,"E Arockia Matha First St, Mendonsa Colony, Dindigul, Tamil Nadu 624003",Mendonsa Colony,10.358717,77.98317589999999,ChIJx2RpWwCrADsRx03OXUeWA9Q,https://www.google.com/maps/place/?q=place_id:ChIJx2RpWwCrADsRx03OXUeWA9Q,part_301,2026-09-20 20:17:11,5168
Cleanbell House Deep cleaning services Kottayam,Housekeeping Services,House cleaning service,House cleaning service,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 73563 52577,https://cleanbell.in/,4.9,,"Building no.370, V Kocharackal, PO, Aymanam, Olassa, Keralam 686014",Aymanam,9.603995699999999,76.4907173,ChIJncjwaEcrBjsRtx2jfOmPgwg,https://www.google.com/maps/place/?q=place_id:ChIJncjwaEcrBjsRtx2jfOmPgwg,part_301,2026-09-20 20:17:11,5169
Executive Curtains & Form Works,Housekeeping Services,Upholstery cleaning service,Upholstery cleaning service,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 62387 35164,N/A,5.0,,"Kovilkadavu, Kokkappally, Kanjirappally, Keralam 686507","Kovilkadavu, Kokkappally",9.5620699,76.7917719,ChIJB4BBBHM1BjsRLXLibdvMXfc,https://www.google.com/maps/place/?q=place_id:ChIJB4BBBHM1BjsRLXLibdvMXfc,part_301,2026-09-20 20:17:11,5170
Elegant Power Laundry & Dry Cleaning,Housekeeping Services,Laundry service,Laundry service,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,4.0,,"Ismayil Building, Kanjirappally Road, Ponkunnam, Keralam 686506",686518,9.56451,76.7624459,ChIJ-04dLdg1BjsRk53UZodr4-0,https://www.google.com/maps/place/?q=place_id:ChIJ-04dLdg1BjsRk53UZodr4-0,part_301,2026-09-20 20:17:11,5171
Pittappillil Agencies,Housekeeping Services,Appliance store,Appliance store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,https://www.pittappillilonline.com/,5.0,,"Kingdom Tower, Petta Kavala, Jn, KE Rd, Kanjirappally, Keralam 686507",Kokkappally,9.5607033,76.7924991,ChIJeU45wVc1BjsRR4KVD0fUlTk,https://www.google.com/maps/place/?q=place_id:ChIJeU45wVc1BjsRR4KVD0fUlTk,part_301,2026-09-20 20:17:12,5172
Amala Home Clean,Housekeeping Services,Cleaning Services,Cleaning Services,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 79025 58899,N/A,,,"No78, Ponkunnam, Near Police Station, Street Lane, Ponkunnam Ponkunnam - Kottayam, Road, Kollam, Kerala 686507",686518,9.5525675,76.7833393,ChIJJ7UJsiM3BjsR_nHAF9L1VYA,https://www.google.com/maps/place/?q=place_id:ChIJJ7UJsiM3BjsR_nHAF9L1VYA,part_301,2026-09-20 20:17:12,5173
Helping Hand Deep Cleaning Service,Housekeeping Services,House cleaning service,House cleaning service,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 73563 32468,N/A,4.9,,"KSRTC Terminal, 1st Floor, manu Complex, Abhilash Theatre Rd, near Kottayam, Kottayam, Kerala 686001",Eerayil Kadavu,9.5861061,76.52381749999999,ChIJ49GtOK0rBjsRxX46Rau2ewM,https://www.google.com/maps/place/?q=place_id:ChIJ49GtOK0rBjsRxX46Rau2ewM,part_301,2026-09-20 20:17:13,5174
Smart Zero Kottayam,Housekeeping Services,Cleaning Services,Cleaning Services,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 73568 94441,https://smartzero.in/,4.4,,"SMARTZERO FACILITY MANAGEMENT SERVICES AMAKKATTU Building No. 468C., Opp:A.R. Police Quarters Collectorate., PO Kottayam, Kottayam, Keralam 686002",Kanjikuzhi,9.5945564,76.5399053,ChIJ4U5LY6grBjsRiyfsn8pyuHU,https://www.google.com/maps/place/?q=place_id:ChIJ4U5LY6grBjsRiyfsn8pyuHU,part_301,2026-09-20 20:17:13,5175
Amala Home clean,Housekeeping Services,Laundry service,Laundry service,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 92443 95639,N/A,5.0,2.0,"HQ83+6MH, NH 183, Ponkunnam, Keralam 686506",686519,9.5655678,76.7542223,ChIJf2pRfQA1BjsRbI5EtrSQ9zs,https://www.google.com/maps/place/?q=place_id:ChIJf2pRfQA1BjsRbI5EtrSQ9zs,part_301,2026-09-20 20:17:54,7609
JR HOME CARE CLEANING SERVICE,Housekeeping Services,House cleaning service,House cleaning service,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",N/A,N/A,4.7,3.0,"Meenadom, Kerala 686516",686519,9.551257399999999,76.6160654,ChIJ7wIwrc8tBjsRfSvh25_Qr6E,https://www.google.com/maps/place/?q=place_id:ChIJ7wIwrc8tBjsRfSvh25_Qr6E,part_301,2026-09-20 20:17:54,7610
Akshitha steam ironing &Dry cleaning center,Housekeeping Services,Laundry,Laundry,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 97785 26594,N/A,5.0,2.0,"karukachal road, Erathuvadakara, Moongani, Manimala, Keralam 686543","Erathuvadakara, Moongani",9.4927861,76.7460598,ChIJ7X9V3k03BjsRpl9_6kwh6kI,https://www.google.com/maps/place/?q=place_id:ChIJ7X9V3k03BjsRpl9_6kwh6kI,part_301,2026-09-20 20:17:54,7611
Sree Ganapathi Ironing Centre,Housekeeping Services,Laundry service,Laundry service,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",N/A,N/A,5.0,1.0,"FPVW+2VQ, Karukachal Manimala Rd, Erathuvadakara, Manimala, Keralam 686543",Erathuvadakara,9.4926014,76.7471868,ChIJez5LKaw3BjsRy1mNivOYe0U,https://www.google.com/maps/place/?q=place_id:ChIJez5LKaw3BjsRy1mNivOYe0U,part_301,2026-09-20 20:17:54,7612
Kanjirappally Mr clean | Cleaning Services | Sofa Washing | ACP Cleaning Kottayam,Housekeeping Services,Cleaning Services,Cleaning Services,686520,Kerala Circle,Kochi Region,Changanacherry Division,"Chirakadavu SO, Chenappady BO, Chirakadavu East BO",N/A,N/A,4.5,8.0,"Erumely - Ponkunnam Rd, Vizhikkathodu, Erumeli North, Keralam 686518",686520,9.512098199999999,76.8114837,ChIJsfgJ7nQ3BjsRKHI5bE7aCSM,https://www.google.com/maps/place/?q=place_id:ChIJsfgJ7nQ3BjsRKHI5bE7aCSM,part_301,2026-09-20 20:18:40,8568
IMPERIAL AGENCIES,Housekeeping Services,Laundry service,Laundry service,686520,Kerala Circle,Kochi Region,Changanacherry Division,"Chirakadavu SO, Chenappady BO, Chirakadavu East BO",+91 94468 22002,N/A,5.0,1.0,"Kokkappally, Kanjirappally, Keralam 686507",Kokkappally,9.561385,76.7918901,ChIJQ3B-9s01BjsRAX74LASWJw8,https://www.google.com/maps/place/?q=place_id:ChIJQ3B-9s01BjsRAX74LASWJw8,part_301,2026-09-20 20:18:40,8569
Ponnus Power Tools & Deep cleaning Service,Housekeeping Services,Tool rental service,Tool rental service,686520,Kerala Circle,Kochi Region,Changanacherry Division,"Chirakadavu SO, Chenappady BO, Chirakadavu East BO",N/A,N/A,,,"1st Mile, Anithottam Jn, Anittottam, Kokkappally, Kanjirappally, Keralam 686507","Anittottam, Kokkappally",9.5678498,76.7897812,ChIJHe34tnE1BjsRPhAFEZ-ZbBs,https://www.google.com/maps/place/?q=place_id:ChIJHe34tnE1BjsRPhAFEZ-ZbBs,part_301,2026-09-20 20:18:40,8570
Bright House Cleaning Services,Housekeeping Services,Cleaning Services,"Cleaning Services, House cleaning service",686520,Kerala Circle,Kochi Region,Changanacherry Division,"Chirakadavu SO, Chenappady BO, Chirakadavu East BO",+91 96334 84900,https://www.brighthousecochin.com/,4.6,324.0,"Vadakkedath Building, NH Bypass Kaniyapilly Rd, Chakkaraparambu, P.O, Vennala, Kochi, Keralam 682028","P.O, Vennala",9.990437499999999,76.3163125,ChIJp3q5piUNCDsRoECRvFP3_f8,https://www.google.com/maps/place/?q=place_id:ChIJp3q5piUNCDsRoECRvFP3_f8,part_301,2026-09-20 20:18:40,8571
Snow White Dry Cleaning,Housekeeping Services,Dry cleaner,"Dry cleaner, CD store",686520,Kerala Circle,Kochi Region,Changanacherry Division,"Chirakadavu SO, Chenappady BO, Chirakadavu East BO",+91 94479 11816,N/A,3.2,18.0,"HQ6W+242, Kottayam - Kumily Rd, Kanjirappally, Kerala 686507",686520,9.560005,76.795264,ChIJvSzp5dg1BjsRQoeKGG-XjVU,https://www.google.com/maps/place/?q=place_id:ChIJvSzp5dg1BjsRQoeKGG-XjVU,part_301,2026-09-20 20:18:40,8572
SPARKLE Cleaning & Maintenance Services (Specialized in Residential Cleaning),Housekeeping Services,Cleaning Services,"Cleaning Services, Gardener, Property maintenance",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 98471 52422,https://www.facebook.com/sparklektym,4.9,48.0,"Building No. 188/XXII , Sreekandamangalam, P O, Athirampuzha, Keralam 686562",686521,9.67375,76.52388049999999,ChIJ5Q_CZ7rVBzsR0oNVc4Tw0U4,https://www.google.com/maps/place/?q=place_id:ChIJ5Q_CZ7rVBzsR0oNVc4Tw0U4,part_301,2026-09-20 20:19:22,10821
Nuevo,Housekeeping Services,Cleaning service,Cleaning service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 94959 59292,https://hygiene.nuevogroup.in/,5.0,10.0,"Valayil Building, No.15/395C, Kalathipady, Keralam 686010",Kalathipady,9.5904286,76.5537624,ChIJIxj0gUgtBjsRfOtfN16_lzY,https://www.google.com/maps/place/?q=place_id:ChIJIxj0gUgtBjsRfOtfN16_lzY,part_301,2026-09-20 20:19:22,10822
Bridge Hygiene Services,Housekeeping Services,Cleaning Services,Cleaning Services,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 94959 59292,N/A,4.1,13.0,"p/o, Vadavathoor, Kottayam, Keralam 686010",Vadavathoor,9.5890031,76.5590418,ChIJpRyHyWIsBjsRwmG_2ZF_e4E,https://www.google.com/maps/place/?q=place_id:ChIJpRyHyWIsBjsRwmG_2ZF_e4E,part_301,2026-09-20 20:19:22,10823
BK Clear Touch Home Cleaners,Housekeeping Services,House cleaning service,House cleaning service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 99474 25734,N/A,4.8,110.0,"Puthencavu, Keralam 689123",686521,9.3208795,76.632607,ChIJAS_N2M0jBjsRzT95A_q1jR8,https://www.google.com/maps/place/?q=place_id:ChIJAS_N2M0jBjsRzT95A_q1jR8,part_301,2026-09-20 20:19:22,10824
Hey Genie home deep cleaning services,Housekeeping Services,House cleaning service,"House cleaning service, Carpet cleaning service, Sanitation service, Water Tank Cleaners",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 79078 18121,http://www.hey-genie.com/,4.8,106.0,"Kuzhiyath house, PO, Kuttapuzha, Thiruvalla, Keralam 689103",PO,9.3901379,76.6060919,ChIJn_1Y7UIlBjsRbNQxfWDWpJA,https://www.google.com/maps/place/?q=place_id:ChIJn_1Y7UIlBjsRbNQxfWDWpJA,part_301,2026-09-20 20:19:22,10825
New Bright Cleaning Services,Housekeeping Services,Upholstery cleaning service,Upholstery cleaning service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 98474 33311,N/A,5.0,59.0,"HG58+82P, Moolavattom, Nattakom, Keralam 686013",Moolavattom,9.5583297,76.5150022,ChIJrfGS86grBjsRFhB1WkBsNso,https://www.google.com/maps/place/?q=place_id:ChIJrfGS86grBjsRFhB1WkBsNso,part_301,2026-09-20 20:19:22,10826
St.Antony's Home Nursing And House Maid Service,Housekeeping Services,Nursing agency,"Nursing agency, Home health care service, House cleaning service, Nursing home, Aged care",686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 80787 69627,N/A,3.8,122.0,"Philips House, 3rd Floor, Room number-7, Pallipurathukavu, Kodimatha, Kottayam, Keralam 686001",Kodimatha,9.581508399999999,76.5211258,ChIJNxQ5nAkrBjsR4G8hdJrR7Lc,https://www.google.com/maps/place/?q=place_id:ChIJNxQ5nAkrBjsR4G8hdJrR7Lc,part_301,2026-09-20 20:19:22,10827
Clean Kerala - CKHF Management Pvt. Ltd,Housekeeping Services,House cleaning service,House cleaning service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 81568 88900,https://www.cleankerala.in/,4.8,118.0,"Clean Kerala - CKHF Management Pvt. Ltd, Muncipal Stadium, opposite Thiruvalla, Thiruvalla, Keralam 689101",686521,9.3846195,76.5783573,ChIJo7husGXutGkR7MU0c6Iov9E,https://www.google.com/maps/place/?q=place_id:ChIJo7husGXutGkR7MU0c6Iov9E,part_301,2026-09-20 20:19:22,10828
Matz Home Cleaning services,Housekeeping Services,House cleaning service,House cleaning service,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",+91 62828 83879,N/A,4.8,168.0,"St.Peters junction, Chittoor, Pathanamthitta, Keralam 689645",Chittoor,9.266545299999999,76.7776102,ChIJJcTyuvwVBjsRMGc7sJfZFU8,https://www.google.com/maps/place/?q=place_id:ChIJJcTyuvwVBjsRMGc7sJfZFU8,part_301,2026-09-20 20:19:22,10829
Polishaire hygiene services,Housekeeping Services,Cleaning Services,Cleaning Services,686521,Kerala Circle,Kochi Region,Changanacherry Division,"Pampady South SO, Poothakuzhy BO",N/A,N/A,5.0,8.0,"Sahil Plaza, APJ Abdul Kalam Rd, near udayagiri Hospital, Perunna, Changanassery, Keralam 686102",Perunna,9.444819899999999,76.5456057,ChIJaSKUk7onBjsR9ACHyVGEI1E,https://www.google.com/maps/place/?q=place_id:ChIJaSKUk7onBjsR9ACHyVGEI1E,part_301,2026-09-20 20:19:22,10830
Universal Green Home Solutions,Housekeeping Services,Waste management service,Waste management service,686522,Kerala Circle,Kochi Region,Changanacherry Division,"Koorali SO, Panamattom BO",+91 82818 88134,N/A,5.0,7.0,"Kappadu, po, Kanjirappally, Keralam 686508",686522,9.6107844,76.77543039999999,ChIJxfs4uD81BjsRuaUUAbt9sco,https://www.google.com/maps/place/?q=place_id:ChIJxfs4uD81BjsRuaUUAbt9sco,part_301,2026-09-20 20:20:05,11858
Right At Home health care,Housekeeping Services,Home health care service,Home health care service,686522,Kerala Circle,Kochi Region,Changanacherry Division,"Koorali SO, Panamattom BO",+91 70139 74621,N/A,4.9,27.0,"Muzhikkad, Kanjirappally, Kappadu, Kerala 686508",Muzhikkad,9.6055232,76.77925119999999,ChIJPZw9Gb01BjsRnDDQ0I9W-lw,https://www.google.com/maps/place/?q=place_id:ChIJPZw9Gb01BjsRnDDQ0I9W-lw,part_301,2026-09-20 20:20:05,11859
FABER PLATINUM STUDIO - PONKUNNAM (PITTAPPILLIL AGENCIES),Housekeeping Services,Appliance store,Appliance store,686522,Kerala Circle,Kochi Region,Changanacherry Division,"Koorali SO, Panamattom BO",N/A,N/A,4.9,19.0,"ATHIYALIL ARCADE KOPRAKKALAM, near Good Samaritan Hospital, Ponkunnam, Keralam 686506",686522,9.5848485,76.7410342,ChIJNYWRVek1BjsRucdPjkvHuFk,https://www.google.com/maps/place/?q=place_id:ChIJNYWRVek1BjsRucdPjkvHuFk,part_301,2026-09-20 20:20:05,11860
AN GROUP,Housekeeping Services,Cleaning Services,Cleaning Services,686522,Kerala Circle,Kochi Region,Changanacherry Division,"Koorali SO, Panamattom BO",+91 97441 77038,https://businessyourworld.com/listings/author/16374/472,4.3,6.0,"JZEE CITY JN, Oravackal Koorali road, Ottakkal, Ponkunnam, Keralam 686585",Ottakkal,9.6014999,76.7192178,ChIJjZ2yAwAzBjsR-7JKMkXhLEU,https://www.google.com/maps/place/?q=place_id:ChIJjZ2yAwAzBjsR-7JKMkXhLEU,part_301,2026-09-20 20:20:06,11861
Cleaning Stars | Deep cleaning Services & Solutions,Housekeeping Services,Cleaning Services,Cleaning Services,686531,Kerala Circle,Kochi Region,Changanacherry Division,Chingavanam SO,+91 95260 20281,https://cleaningstars.netlify.app/,5.0,43.0,"Building no, Varikkattu building, 133, Pallikkachira po Thiruvalla, near puthanpally mosque, road, Paipad, Changanacherry, Keralam 686537",road,9.4214444,76.5836882,ChIJE5j4KBElBjsRchTBv0KnBUg,https://www.google.com/maps/place/?q=place_id:ChIJE5j4KBElBjsRchTBv0KnBUg,part_301,2026-09-20 20:20:46,12760
SMART ZERO,Housekeeping Services,Cleaning Services,"Cleaning Services, Carpet cleaning service, Gutter cleaning service, House cleaning service, Window cleaning service",686531,Kerala Circle,Kochi Region,Changanacherry Division,Chingavanam SO,+91 73568 94441,http://smartzero.in/,4.6,353.0,"CSEZ, Kochi, Kakkanad, Keralam 682037",CSEZ,10.0043414,76.3431205,ChIJ7SoYKNkNCDsRdW9140M71_k,https://www.google.com/maps/place/?q=place_id:ChIJ7SoYKNkNCDsRdW9140M71_k,part_301,2026-09-20 20:20:46,12761
ECOSTAR INCINERATOR - KOTTAYAM,Housekeeping Services,Incineration plant,Incineration plant,686531,Kerala Circle,Kochi Region,Changanacherry Division,Chingavanam SO,+91 90610 05374,https://www.eco-star.in/,4.9,32.0,"MC Rd, Pallom, Kottayam, Keralam 686007",686531,9.5278333,76.51550639999999,ChIJpRP3pIwpBjsR2yU28QY7l30,https://www.google.com/maps/place/?q=place_id:ChIJpRP3pIwpBjsR2yU28QY7l30,part_301,2026-09-20 20:20:46,12762
Rentokil PCI Pest Control Service,Housekeeping Services,Pest control service,"Pest control service, Bird control service",686531,Kerala Circle,Kochi Region,Changanacherry Division,Chingavanam SO,+91 86575 89608,https://www.rentokil-pestcontrolindia.com/about-rentokil/local-branches/kottayam?utm_source=Organic&utm_medium=GMB+Listing&utm_campaign=KottayamBase,4.9,,"Building No. 5/25 1st Floor Lejoys Building Mavilangu Junction, PO, Pallom, Keralam 686007",686531,9.528156899999999,76.51904859999999,ChIJf3dz-qspBjsRXEjDyO946ZM,https://www.google.com/maps/place/?q=place_id:ChIJf3dz-qspBjsRXEjDyO946ZM,part_301,2026-09-20 20:20:47,12763
