business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MAA MANGALA FERTILIZER & PESTICIDES,Fertilizer and Pesticide Dealer,Agrochemicals Supplier,"Agrochemicals Supplier, Fertilizer Store",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 93378 52011,https://sites.google.com/view/mmagrovets/home,4.7,,"near Railway station, Naraj, Narajmarthapur, Odisha 754006",695019,20.460943999999998,85.7793873,ChIJY_lxu-UPGToRmVqf-8B0BKg,https://www.google.com/maps/place/?q=place_id:ChIJY_lxu-UPGToRmVqf-8B0BKg,part_310,2026-09-20 20:17:11,5819
Agro Centre,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Supplier",695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",+91 82816 02375,N/A,3.5,,"GWPR+RJ5, Pananvila Junction, Nalanchira, Parottukonam, Thiruvananthapuram, Keralam 695015","Pananvila Junction, Nalanchira, Parottukonam",8.5370156,76.94161849999999,ChIJy03eG2i5BTsRzHkJlr4mxuw,https://www.google.com/maps/place/?q=place_id:ChIJy03eG2i5BTsRzHkJlr4mxuw,part_310,2026-09-20 20:17:56,7859
Agro Agencies,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",N/A,N/A,3.8,,"Kattakada - Ottasekharamangalam Road, near treasury, Kattakkada, Keralam 695572",695020,8.5092061,77.0819487,ChIJYQzIhWqxBTsR3LW0rVnYGrk,https://www.google.com/maps/place/?q=place_id:ChIJYQzIhWqxBTsR3LW0rVnYGrk,part_310,2026-09-20 20:17:56,7860
Vijay Agro Services,Fertilizer and Pesticide Dealer,Agricultural service,"Agricultural service, Agrochemicals Supplier, Fertilizer Store, Rubber products supplier",695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",+91 98462 78353,N/A,4.4,,"Chathampara, Attingal, Keralam 695605",Chathampara,8.7319059,76.808087,ChIJVUajwCnpBTsRZpBErP_qyjw,https://www.google.com/maps/place/?q=place_id:ChIJVUajwCnpBTsRZpBErP_qyjw,part_310,2026-09-20 20:17:57,7861
Mahalekshmi Fertilizers,Fertilizer and Pesticide Dealer,Farm equipment supplier,Farm equipment supplier,695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",+91 94473 03814,N/A,2.9,,"MRX6+RG4, Market Rd, Kizhakkupuram, Attingal, Keralam 695101",Kizhakkupuram,8.6995043,76.8113394,ChIJM2F2H_HpBTsRf9qzlhQOtgE,https://www.google.com/maps/place/?q=place_id:ChIJM2F2H_HpBTsRf9qzlhQOtgE,part_310,2026-09-20 20:17:57,7862
Greenfield Agencies,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agricultural organization, Garden machinery supplier, Hose supplier, Irrigation equipment supplier, Knife store, Locks Supplier, Pest control service, Safety equipment supplier, Stone supplier",695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",+91 477 225 4707,N/A,4.7,,"CCSB Rd, Chungam, Alappuzha, Keralam 688011",Chungam,9.4950976,76.34132079999999,ChIJO_WpNPWECDsRzpHN3uQYNwc,https://www.google.com/maps/place/?q=place_id:ChIJO_WpNPWECDsRzpHN3uQYNwc,part_310,2026-09-20 20:17:57,7863
Kallaparambil Traders,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Manufacturer",695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",+91 99466 65324,http://kallaparambiltraders.com/,4.2,,"Cross Junction, Mapranam P .O Madayikonam, Thrissur, Keralam 680712",695020,10.377861099999999,76.2199423,ChIJzyWpduP2pzsR2Ptn6gXjHaY,https://www.google.com/maps/place/?q=place_id:ChIJzyWpduP2pzsR2Ptn6gXjHaY,part_310,2026-09-20 20:17:57,7864
Haryana Pesticides And Seeds Store,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",+91 96712 00143,N/A,5.0,,"Bus Stand, 07, Dhakwala, Haryana 135103",695020,30.334391,77.4283994,ChIJvXIdUd8dDzkRQaqLz5k-P-k,https://www.google.com/maps/place/?q=place_id:ChIJvXIdUd8dDzkRQaqLz5k-P-k,part_310,2026-09-20 20:17:57,7865
INDIAN AGRO SEEDS CORPORATION,Fertilizer and Pesticide Dealer,Pest control service,"Pest control service, Agricultural Seed Store",695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",+91 99722 98688,N/A,4.1,,"SLN Commercial Complex, 14, Kalasipalya Main Rd, KR Market, Kalasipalya, Bengaluru, Karnataka 560002","KR Market, Kalasipalya",12.963536099999999,77.5772258,ChIJlcO4SEEVrjsRN7ilevJ4PhY,https://www.google.com/maps/place/?q=place_id:ChIJlcO4SEEVrjsRN7ilevJ4PhY,part_310,2026-09-20 20:17:57,7866
Sindh Pesticide Fertilizer and Agro Seed,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",0335 8158225,N/A,5.0,,"Talhi, Pakistan",695020,24.9689008,69.5142066,ChIJFc4NIdr5TjkRnXNqS7eplr8,https://www.google.com/maps/place/?q=place_id:ChIJFc4NIdr5TjkRnXNqS7eplr8,part_310,2026-09-20 20:17:57,7867
Jebaraj Stores,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agrochemicals Supplier, Agricultural Seed Store",695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",+91 96774 32033,N/A,4.8,,"Near Nagercoil Service road, Junction, near Matha Lodge, Kavalkinaru, Tamil Nadu 627105",695020,8.278395,77.56804439999999,ChIJIc_9DiiLBDsRT-JpAI7vXC0,https://www.google.com/maps/place/?q=place_id:ChIJIc_9DiiLBDsRT-JpAI7vXC0,part_310,2026-09-20 20:17:57,7868
"Telangana Fertilizers, Pesticides & Seeds",Fertilizer and Pesticide Dealer,Supplier,"Supplier, Fertilizer Store, Agricultural Seed Store",695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",+91 94912 06787,http://www.telanganafertilizers.blogspot.com/,4.1,,"Thorrur - Thirumalagiri Rd, Telangana 506318",695020,17.5435381,79.5800471,ChIJU8Fy-Iy6NDoRsenuc-3KGwM,https://www.google.com/maps/place/?q=place_id:ChIJU8Fy-Iy6NDoRsenuc-3KGwM,part_310,2026-09-20 20:17:57,7869
Kunnumpuram agencies,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",N/A,N/A,4.1,,"288P+MGM, Kunnumpuram-NGO Quarters Rd, Kunnumpuram, Thrikkakara, Vazhakkala, Kochi, Kakkanad, Keralam 682030","Kunnumpuram, Thrikkakara, Vazhakkala",10.0167071,76.3362894,ChIJ_5OAyvUMCDsRdVAlZRT9hRs,https://www.google.com/maps/place/?q=place_id:ChIJ_5OAyvUMCDsRdVAlZRT9hRs,part_310,2026-09-20 20:17:57,7870
Anusha Fertilizers Seeds and Pesticides,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agricultural service, Farmers' market, Pest control service, Agricultural Seed Store",695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",+91 99857 47397,https://sites.google.com/view/anushafertilizers,4.3,,"WCFJ+QG, Velgatoor, Telangana 503219",695020,18.924552,78.4312466,ChIJXT7qwtWQzTsRqEsFfrlaCFg,https://www.google.com/maps/place/?q=place_id:ChIJXT7qwtWQzTsRqEsFfrlaCFg,part_310,2026-09-20 20:17:57,7871
Karshaka Bhavan,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agrochemicals Supplier, Aquarium shop, Farm equipment supplier, Farm shop, Pet store, Pottery store, Agricultural Seed Store, Tool store",695020,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Nemom SO, Ookode BO, Pallichal BO",+91 94969 97202,N/A,4.4,,"Near Motor Plaza, opposite ICICI Bank, Sreekaryam, Kerala 695017","Muttampuram, Amadi Nagar, Sreekaryam",8.5498282,76.91408129999999,ChIJl8m0ela_BTsRGVUcoP7A-Ug,https://www.google.com/maps/place/?q=place_id:ChIJl8m0ela_BTsRGVUcoP7A-Ug,part_310,2026-09-20 20:17:57,7872
FarmerCare Fertilizers and Pesticides,Fertilizer and Pesticide Dealer,Agrochemicals Supplier,Agrochemicals Supplier,695021,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Karikkakom SO, Valiaveli BO, Titanium BO",+91 77939 63000,N/A,5.0,3.0,"road, Banda Narsampally, Mulug, Telangana 502279",695021,17.7356087,78.6387429,ChIJ9-zGiIx_zDsRn35QTs1GXlg,https://www.google.com/maps/place/?q=place_id:ChIJ9-zGiIx_zDsRn35QTs1GXlg,part_310,2026-09-20 20:18:43,9251
Indian Pesticides,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agricultural Seed Store",695021,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Karikkakom SO, Valiaveli BO, Titanium BO",+91 97807 62322,N/A,4.5,24.0,"Shop No. 765, near Girls School, Ding, Haryana 125058",695021,29.464301,75.2616845,ChIJA3Fh98hdETkRS5KuOedUsik,https://www.google.com/maps/place/?q=place_id:ChIJA3Fh98hdETkRS5KuOedUsik,part_310,2026-09-20 20:18:43,9252
GREEN KERALA AGRO PLANTATION ഗ്രീൻ കേരള ആഗ്രോ പ്ലാന്റേഷൻ,Fertilizer and Pesticide Dealer,Agricultural service,Agricultural service,695022,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Thiruvananthapuram  ISRO SO,+91 90728 54377,N/A,2.8,,"Akkulam, Ulloor - Akkulam Rd, near NISH Road, Thiruvananthapuram, Keralam 695583",695022,8.5242342,76.89749259999999,ChIJcx3eEny_BTsRo02RMmMnVgw,https://www.google.com/maps/place/?q=place_id:ChIJcx3eEny_BTsRo02RMmMnVgw,part_310,2026-09-20 20:19:27,10462
Horticrop,Fertilizer and Pesticide Dealer,Fruit and vegetable store,Fruit and vegetable store,695024,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Thiruvananthapuram  Pettah SO, Kaithamukku SO, Palkulangara SO",+91 471 274 1945,N/A,3.6,27.0,"TC 14/368, Palayam Airport Rd, Nallumuku, Pettah, Thiruvananthapuram, Keralam 695024","Nallumuku, Pettah",8.4963397,76.9314874,ChIJ7UdFuZG7BTsRFhoSg1GLfVk,https://www.google.com/maps/place/?q=place_id:ChIJ7UdFuZG7BTsRFhoSg1GLfVk,part_310,2026-09-20 20:21:00,12916
Green Shoots Kerala,Fertilizer and Pesticide Dealer,Agricultural service,Agricultural service,695025,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Muttada SO,+91 93876 90725,N/A,4.4,,"PRA-6, Perakathuseril, Muttada - Paruthippara Rd, PO, Thiruvananthapuram, Keralam 695025","PO, Sree Nagar",8.5353779,76.9436575,ChIJQ-uZHFu5BTsR0X-PYdhh1gQ,https://www.google.com/maps/place/?q=place_id:ChIJQ-uZHFu5BTsR0X-PYdhh1gQ,part_310,2026-09-20 20:21:46,13841
