business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
J.J HARDWARES & TOOLS,Industrial Hardware and Fasteners,Hardware store,Hardware store,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 83696 35550,N/A,5.0,,"Omalloor Attarikam Rd, Omalloor, Pathanamthitta, Keralam 689647",Omalloor,9.240463799999999,76.7556814,ChIJK7omXPsVBjsRu00QXffXld8,https://www.google.com/maps/place/?q=place_id:ChIJK7omXPsVBjsRu00QXffXld8,part_304,2026-09-20 20:49:05,4390
Panamthottathil Hardware,Industrial Hardware and Fasteners,Paint store,"Paint store, Metalware dealer, Tools Wholesaler",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 85471 70522,N/A,4.4,,"Opposite Taxi Stand, Konni, Keralam 689691",Opposite Taxi Stand,9.2259759,76.85037179999999,ChIJWS_6CFVrBjsR8TBpAe_fHNg,https://www.google.com/maps/place/?q=place_id:ChIJWS_6CFVrBjsR8TBpAe_fHNg,part_304,2026-09-20 20:49:05,4391
M.K.L INDUSTRIES,Industrial Hardware and Fasteners,Electrical supply store,Electrical supply store,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,4.3,,"Panchayat Road, Mallaserry Opposite Netaji Higher Secondary School Pramadam, Pathanamthitta, Keralam 689646",689112,9.2445633,76.7945757,ChIJ2Qzgo-UUBjsRRu8nIK5pJss,https://www.google.com/maps/place/?q=place_id:ChIJ2Qzgo-UUBjsRRu8nIK5pJss,part_304,2026-09-20 20:49:05,4392
Mavila Steel and hardwares,Industrial Hardware and Fasteners,Building materials store,Building materials store,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 82818 13939,N/A,4.1,,"Thiruvalla - Mallappally Rd, near Water Tank, Junction, Mallappally, Kerala 689585",Junction,9.4434404,76.65306509999999,ChIJ13Dk_cc6BjsRrK6Q5gQ2GX0,https://www.google.com/maps/place/?q=place_id:ChIJ13Dk_cc6BjsRrK6Q5gQ2GX0,part_304,2026-09-20 20:49:05,4393
ROYAL INDUSTRIAL SUPPLIERS,Industrial Hardware and Fasteners,Fastener supplier,Fastener supplier,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 83101 65941,http://www.royalfastenersindia.com/,4.9,,"Shop No 18, MGS Complex, 4, Bankey Nawab Street, near Jamia Masjid, S.J.P Road Cross, Kumbarpet, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002","S.J.P Road Cross, Kumbarpet, Dodpete, Nagarathpete",12.964735099999999,77.5788448,ChIJTzVmIeIVrjsRrco3PnosE9I,https://www.google.com/maps/place/?q=place_id:ChIJTzVmIeIVrjsRrco3PnosE9I,part_304,2026-09-20 20:49:05,4394
JR Hardwares,Industrial Hardware and Fasteners,Hardware store,Hardware store,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94470 50236,N/A,4.6,,"3QV3+39W, Enathu, Keralam 691526",689112,9.092735099999999,76.7534501,ChIJSaCU5cYNBjsR7Y_ItE30nEU,https://www.google.com/maps/place/?q=place_id:ChIJSaCU5cYNBjsR7Y_ItE30nEU,part_304,2026-09-20 20:49:05,4395
"S.M.Y Hardware, Tools & Marine Metals",Industrial Hardware and Fasteners,Hardware store,"Hardware store, Marine supply store",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94470 88788,http://www.smyhardware.com/,4.5,,"Near Pazhavangadi, Church Road, Ward Rd, Mullakkal, Alappuzha, Keralam 688011",Mullakkal,9.4971143,76.3445407,ChIJeeScdoqECDsR9s_YsClmpqc,https://www.google.com/maps/place/?q=place_id:ChIJeeScdoqECDsR9s_YsClmpqc,part_304,2026-09-20 20:49:05,4396
Precision Hardware India Llp,Industrial Hardware and Fasteners,Fastener supplier,"Fastener supplier, Manufacturer",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 98336 36393,https://precisionfastener.in/,4.4,,"99, Narayan Dhuru St, Nakhuda Mohalla, Chippi Chawl, Kalbadevi, Mumbai, Maharashtra 400003","Nakhuda Mohalla, Chippi Chawl, Kalbadevi",18.952489099999998,72.8330817,ChIJx9W_9yPO5zsReqIOu9MZ-bE,https://www.google.com/maps/place/?q=place_id:ChIJx9W_9yPO5zsReqIOu9MZ-bE,part_304,2026-09-20 20:49:05,4397
J J ENTERPRISES,Industrial Hardware and Fasteners,Hardware store,Hardware store,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,4.5,10.0,"Menamthottam Hospital Junction, Angadi, Ranni, Keralam 689674",689112,9.381958899999999,76.7727233,ChIJHWwxDfc_BjsRh7vopau_DXg,https://www.google.com/maps/place/?q=place_id:ChIJHWwxDfc_BjsRh7vopau_DXg,part_304,2026-09-20 20:49:06,4398
Panickanparampil Hardwares,Industrial Hardware and Fasteners,Hardware store,"Hardware store, Electrical supply store",689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 90724 56794,N/A,4.5,,"Perunna, Changanassery, Keralam 686102",Perunna,9.437116699999999,76.5439592,ChIJExbDlUQnBjsR20BgGLlXGX0,https://www.google.com/maps/place/?q=place_id:ChIJExbDlUQnBjsR20BgGLlXGX0,part_304,2026-09-20 20:49:41,7028
