business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kairali Motor Driving School,Driving School,Educational institution,Educational institution,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 90373 51689,N/A,4.7,,"Oppo. ChinmayaVidyalaya, Kairali Driving School, Kalarcode, Thookkukulam, Alappuzha, Keralam 688003","Kalarcode, Thookkukulam",9.4611488,76.3398666,ChIJrZh04SSFCDsRJbB58CIRCk8,https://www.google.com/maps/place/?q=place_id:ChIJrZh04SSFCDsRJbB58CIRCk8,part_303,2026-09-20 20:16:50,2137
"Maruti Driving School (Alappuzha,)",Driving School,Driving school,Driving school,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",N/A,N/A,4.6,,"32/2, 344, East of NH 47, Snathanapuram, opp. R F Motors, Kalarcode, Pazhaveedu, Alappuzha, Kerala 688009","Kalarcode, Pazhaveedu",9.4790536,76.3391156,ChIJ_VEJ7NuFCDsRGQ7XnhCe6nI,https://www.google.com/maps/place/?q=place_id:ChIJ_VEJ7NuFCDsRGQ7XnhCe6nI,part_303,2026-09-20 20:16:50,2138
Raihan Motor Driving School,Driving School,Driving school,Driving school,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 98954 90566,N/A,4.5,,"F8PM+3GV, SH 40, Valiyamaram Ward, Vellakkinar, Alappuzha, Keralam 688001","Valiyamaram Ward, Vellakkinar",9.4851925,76.3338222,ChIJjVdkGu6ECDsRghj2ZNnLxSg,https://www.google.com/maps/place/?q=place_id:ChIJjVdkGu6ECDsRghj2ZNnLxSg,part_303,2026-09-20 20:16:50,2139
St. George Motor Driving School,Driving School,Driving school,Driving school,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 98479 50343,N/A,5.0,,"F8XJ+3CV, Cullen Rd, Vazhicherry Ward, Sea View Ward, Alappuzha, Keralam 688001","Vazhicherry Ward, Sea View Ward",9.4977473,76.3310604,ChIJ_0X5MwWFCDsRj8prXUJU_l4,https://www.google.com/maps/place/?q=place_id:ChIJ_0X5MwWFCDsRj8prXUJU_l4,part_303,2026-09-20 20:16:50,2140
Austin Driving School,Driving School,Driving school,Driving school,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 94471 23544,N/A,4.4,,"Convent Square, Sea View Ward, Alappuzha, Keralam 688001","Convent Square, Sea View Ward",9.4976542,76.3299886,ChIJFx88GFiECDsReeW36Poa714,https://www.google.com/maps/place/?q=place_id:ChIJFx88GFiECDsReeW36Poa714,part_303,2026-09-20 20:16:50,2141
Sanil Driving School Alleppey,Driving School,Driving school,Driving school,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 98957 36333,N/A,4.2,,"F8VG+P48, Civil Station Ward, Alappuzha, Keralam 688001",Civil Station Ward,9.4942769,76.325336,ChIJSTwj7viECDsRp-8dOWAeUd4,https://www.google.com/maps/place/?q=place_id:ChIJSTwj7viECDsRp-8dOWAeUd4,part_303,2026-09-20 20:16:50,2142
Shani Motor Driving School,Driving School,Driving school,Driving school,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 99950 20650,http://www.shanimds.com/,4.8,,"Vianney Palli Beach Rd, Punnapra, Alappuzha, Keralam 688004",Punnapra,9.4339704,76.34158149999999,ChIJc3uql0GbCDsRVUO7gtjId5s,https://www.google.com/maps/place/?q=place_id:ChIJc3uql0GbCDsRVUO7gtjId5s,part_303,2026-09-20 20:16:50,2143
United Heavy Motor Driving School,Driving School,Driving school,Driving school,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 98470 96381,N/A,4.4,,"Ponvelil, Thathampally, Alappuzha, Keralam 688013",Thathampally,9.506155099999999,76.3478432,ChIJlQjuq5OFCDsRl2olnBuPAvo,https://www.google.com/maps/place/?q=place_id:ChIJlQjuq5OFCDsRl2olnBuPAvo,part_303,2026-09-20 20:16:50,2144
Gandhi Motor Driving School,Driving School,Driving school,Driving school,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 98467 66515,N/A,4.2,,"Kalarcode, Sanathanapuram, Paravur, Keralam 688003","Kalarcode, Sanathanapuram",9.4700468,76.34587239999999,ChIJm4m0rb6ECDsR5BMe7Lp3Zq4,https://www.google.com/maps/place/?q=place_id:ChIJm4m0rb6ECDsR5BMe7Lp3Zq4,part_303,2026-09-20 20:16:50,2145
7 Star Driving School,Driving School,Store,Store,688009,Kerala Circle,Kochi Region,Alleppey Division,"Pazhaveedu SO, Pandarakulam BO",+91 98470 33077,N/A,4.0,,"192, Anantha Narayanapuram, Alappuzha, Keralam 688011",Anantha Narayanapuram,9.487988,76.34133609999999,ChIJGfJZg3GFCDsRVXhUnaKS8i0,https://www.google.com/maps/place/?q=place_id:ChIJGfJZg3GFCDsRVXhUnaKS8i0,part_303,2026-09-20 20:16:50,2146
