business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Y M Traders,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94959 32350,N/A,3.7,,"Pandalam, Keralam 689501",689586,9.225511899999999,76.67939439999999,ChIJ_8cdUiIXBjsRFaunFBIUHyc,https://www.google.com/maps/place/?q=place_id:ChIJ_8cdUiIXBjsRFaunFBIUHyc,part_305,2026-09-20 20:16:40,820
Fashion Fabrics Retail,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,3.9,,"Government High School Rd, Pathanamthitta, Keralam 689645",689586,9.266390099999999,76.7875516,ChIJV7zAE8MVBjsRbcuBQTcq_9A,https://www.google.com/maps/place/?q=place_id:ChIJV7zAE8MVBjsRbcuBQTcq_9A,part_305,2026-09-20 20:16:40,821
Vaishali Textiles,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94975 00568,N/A,3.7,,"Pathanamthitta, Kerala 689645",689586,9.2639623,76.7849027,ChIJwTq3vlgVBjsRA-TNfkaqeDI,https://www.google.com/maps/place/?q=place_id:ChIJwTq3vlgVBjsRA-TNfkaqeDI,part_305,2026-09-20 20:16:40,822
Chechakunnil Textiles,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 95391 79709,N/A,5.0,,"Kunnamthanam, Keralam 689581",689586,9.434560099999999,76.610193,ChIJ4eeHJQAlBjsRXXeXE2cD-X0,https://www.google.com/maps/place/?q=place_id:ChIJ4eeHJQAlBjsRXXeXE2cD-X0,part_305,2026-09-20 20:16:40,823
Y.M.TEXTILES,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,4.1,,"6MGJ+23V, Pandalam - Kaippattoor Road, Pandalam, Keralam 689501",689586,9.2251161,76.68018,ChIJy0tOtSMXBjsRgowwCfAYW28,https://www.google.com/maps/place/?q=place_id:ChIJy0tOtSMXBjsRgowwCfAYW28,part_305,2026-09-20 20:16:40,824
Chithra textile wholesaler,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94951 10730,N/A,4.1,,"Pazhayakadalane, Balaramapuram, Keralam 695501",Pazhayakadalane,8.4244127,77.0464801,ChIJ37mZ9MivBTsRTVJwW5-qOc0,https://www.google.com/maps/place/?q=place_id:ChIJ37mZ9MivBTsRTVJwW5-qOc0,part_305,2026-09-20 20:16:40,825
Karikkineth Silks Pathanamthitta,Textile Wholesaler and Fabric Merchant,Dress store,"Dress store, Clothing store",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 468 222 8199,N/A,3.4,,"Kaipattoor Rd, Mannaramala, Pathanamthitta, Keralam 689645",Mannaramala,9.260673299999999,76.7785821,ChIJL7SWTgYVBjsRWyePCPJ1_Qg,https://www.google.com/maps/place/?q=place_id:ChIJL7SWTgYVBjsRWyePCPJ1_Qg,part_305,2026-09-20 20:16:40,826
C.G. Textiles,Textile Wholesaler and Fabric Merchant,Store,Store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,4.2,,"1st Floor, SH 1, near Central Junction, Parass La, Adoor, Keralam 691523",Parass La,9.153044399999999,76.735188,ChIJ88-SwScSBjsRwN7_tE0D8zI,https://www.google.com/maps/place/?q=place_id:ChIJ88-SwScSBjsRwN7_tE0D8zI,part_305,2026-09-20 20:16:40,827
MARS UNIFORMS AND TRADING COMPANY,Textile Wholesaler and Fabric Merchant,Clothing store,"Clothing store, Uniform store",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 88912 74847,http://www.marsuniforms.com/,4.9,,"1st floor Oasis building, Near Old Pvt Bus stand, Keralam 689645",689586,9.2663687,76.7870002,ChIJHTbHLlgVBjsRB0Hf91K_P3s,https://www.google.com/maps/place/?q=place_id:ChIJHTbHLlgVBjsRB0Hf91K_P3s,part_305,2026-09-20 20:16:40,828
MAMATTY SILKS,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 97476 00069,https://mamattysilks.com/,3.7,,"Kozhencherry, Keralam 689641",689586,9.3371578,76.7052709,ChIJXdm2rbQ9BjsRbZbpzVzgzPM,https://www.google.com/maps/place/?q=place_id:ChIJXdm2rbQ9BjsRbZbpzVzgzPM,part_305,2026-09-20 20:16:40,829
Anjali Fabric Collections,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94008 11077,https://www.anjalifab.com/,3.8,,"Time Square Building, China Junction, PM Road, Konni, Keralam 689691",689586,9.221666899999999,76.8507472,ChIJnV4fvGdrBjsRtMNpZAIuMPg,https://www.google.com/maps/place/?q=place_id:ChIJnV4fvGdrBjsRtMNpZAIuMPg,part_305,2026-09-20 20:16:40,830
Souparnika Textiles,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94956 61635,N/A,4.2,,"9HF7+HVV, Kizhakummuri, Mathilbhagom, Thiruvalla, Keralam 689101","Kizhakummuri, Mathilbhagom",9.3739948,76.5646665,ChIJz5LPP_YjBjsR7zfRKnrR6iQ,https://www.google.com/maps/place/?q=place_id:ChIJz5LPP_YjBjsR7zfRKnrR6iQ,part_305,2026-09-20 20:16:40,831
Sevens Silks,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 99611 58099,N/A,4.2,,"8PP4+R8C, Kozhencherry, Kerala 689641",689586,9.3370582,76.7057547,ChIJwUkJs7Q9BjsRTt2AtNqp8w0,https://www.google.com/maps/place/?q=place_id:ChIJwUkJs7Q9BjsRTt2AtNqp8w0,part_305,2026-09-20 20:16:40,832
Parvathy Silks,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 99469 08066,N/A,5.0,,"KSRTC Rd, Pathanamthitta, Keralam 689645",689586,9.2660909,76.7885867,ChIJrefIoA8VBjsRO_KBPpxs7ew,https://www.google.com/maps/place/?q=place_id:ChIJrefIoA8VBjsRO_KBPpxs7ew,part_305,2026-09-20 20:16:40,833
Madavilayil Textiles,Textile Wholesaler and Fabric Merchant,Clothing store,"Clothing store, Baby clothing store, Men's clothing store, Women's clothing store",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94461 85619,N/A,4.1,,"H.S Junction Adoor, Kayamkulam - Pathanapuram Rd, Adoor, Keralam 691523",689586,9.1617252,76.7215533,ChIJXQjd15wRBjsRjVaMY_biO20,https://www.google.com/maps/place/?q=place_id:ChIJXQjd15wRBjsRjVaMY_biO20,part_305,2026-09-20 20:16:40,834
Arihant fabrics,Textile Wholesaler and Fabric Merchant,Store,Store,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,4.2,,"113,, Uppukinar Ln, Coimbatore, Tamil Nadu 641001",Town Hall,10.9940795,76.9588725,ChIJr2H6hgtZqDsRg8DUW0K00HE,https://www.google.com/maps/place/?q=place_id:ChIJr2H6hgtZqDsRg8DUW0K00HE,part_305,2026-09-20 20:16:40,835
Shree Saket Textiles | Textile Company in Mumbai,Textile Wholesaler and Fabric Merchant,Fabric wholesaler,"Fabric wholesaler, Clothes and fabric manufacturer, Clothes and fabric wholesaler, Clothing manufacturer, Clothing wholesale market place, Clothing wholesaler, Fabric product manufacturer, Fabric store, Textile mill",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 98675 45806,http://www.shreesakettextiles.co.in/,4.8,,"1/5, CCI Colony, opp. Lane To Rosary Church, near Jain Hospital, Unnat Nagar No. 4, Goregaon West, Mumbai, Maharashtra 400104","Unnat Nagar No. 4, Motilal Nagar III, Goregaon West",19.1632529,72.8379897,ChIJc7a1R9S35zsRnn4rF6MZY5I,https://www.google.com/maps/place/?q=place_id:ChIJc7a1R9S35zsRnn4rF6MZY5I,part_305,2026-09-20 20:16:42,836
TradeUNO Fabrics,Textile Wholesaler and Fabric Merchant,Fabric store,"Fabric store, Boutique, Clothes and fabric wholesaler, Clothing supplier, Clothing wholesale market place, Clothing wholesaler, Designer Clothing Store, Fabric wholesaler, Fashion designer, Western apparel store",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 98100 87113,https://www.tradeuno.com/,4.8,,"135, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016","Udyog Vihar Phase 1, Udyog Vihar, Sector 20",28.5103267,77.0797628,ChIJay7Hp3cZDTkRnZ7BxHwQvOs,https://www.google.com/maps/place/?q=place_id:ChIJay7Hp3cZDTkRnZ7BxHwQvOs,part_305,2026-09-20 20:16:42,837
Nakoda Textiles Mills - Fabric Shop In Mumbai | textile manufacturer in mumbai,Textile Wholesaler and Fabric Merchant,Fabric wholesaler,"Fabric wholesaler, Clothes and fabric manufacturer, Cotton mill",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 93724 57081,https://nakodatextilesmills.com/,4.9,,"vegas Street, Office no -14 , 2nd floor, 145-C - Gaiwadi Sadan, Dr, Kalbadevi Rd, Mumbai, Maharashtra 400002","Marine Lines East, Chira Bazaar, Kalbadevi",18.948762,72.828242,ChIJx999XJPP5zsRJZbfQygCPkU,https://www.google.com/maps/place/?q=place_id:ChIJx999XJPP5zsRJZbfQygCPkU,part_305,2026-09-20 20:16:42,838
Jose Textiles,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689587,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Keezhvaipur SO, Padimon BO, Perumpramavu BO",+91 471 254 5858,N/A,4.0,,"GWMR+QVC, Chempakassery Nagar, Paruthippara, Thiruvananthapuram, Keralam 695004","Chempakassery Nagar, Paruthippara",8.5344298,76.9421294,ChIJXwVRkme5BTsRBJV9wIl5yCY,https://www.google.com/maps/place/?q=place_id:ChIJXwVRkme5BTsRBJV9wIl5yCY,part_305,2026-09-20 20:17:23,4835
"Linda Curtains- Best Curtain and Blinds Shop In Mallappally, Thiruvalla, Pathanamthitta",Textile Wholesaler and Fabric Merchant,Window treatment store,"Window treatment store, Blinds shop, Curtain store, Curtain supplier and maker, Home goods store, Interior Decorator, Wallpaper installer",689587,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Keezhvaipur SO, Padimon BO, Perumpramavu BO",+91 94956 83152,https://lindacurtains.com/,5.0,3.0,"Kottayam - Kozhenchery Rd, Mallappally, Keralam 689585",689587,9.4471283,76.6537681,ChIJiZzTvYE7BjsRei1SjS5MxLs,https://www.google.com/maps/place/?q=place_id:ChIJiZzTvYE7BjsRei1SjS5MxLs,part_305,2026-09-20 20:17:25,4836
Radhakrishna Textiles,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689588,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Vaipur SO, Kulathur BO",N/A,N/A,3.9,,"Market Road, Broadway, opposite Blue Diamond Hotel, Shenoys, Kochi, Keralam 682031","Cloth Bazar, Shenoys",9.979266899999999,76.27836889999999,ChIJkdxK51MNCDsRPFNMHW9e6YY,https://www.google.com/maps/place/?q=place_id:ChIJkdxK51MNCDsRPFNMHW9e6YY,part_305,2026-09-20 20:18:09,5931
Biju Textiles,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 94469 15770,N/A,3.9,,"6HMR+CGJ, Mankamkuzhy, Vettiyar, Keralam 690558",Mankamkuzhy,9.2335849,76.5912793,ChIJ-84VdzIZBjsRikdvZQLace4,https://www.google.com/maps/place/?q=place_id:ChIJ-84VdzIZBjsRikdvZQLace4,part_305,2026-09-20 20:19:32,9358
M.N.Fashions & M.N.Fabrics,Textile Wholesaler and Fabric Merchant,Wholesaler,"Wholesaler, Baby clothing store, Clothing wholesaler, Fabric wholesaler, Men's clothing store, Saree Shop, Women's clothing store",689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 97468 42246,http://www.mnfashions.in/,4.5,,"Market Rd, opp. Punjab National Bank, near Convent Junction, Shenoys, Ernakulam, Keralam 682011",Shenoys,9.9770746,76.2801966,ChIJqfN2-QgNCDsRIpRLSNY8UMc,https://www.google.com/maps/place/?q=place_id:ChIJqfN2-QgNCDsRIpRLSNY8UMc,part_305,2026-09-20 20:19:32,9359
Nirakkoot Textiles Cherthala.,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 478 281 1756,N/A,4.2,,"Padayani bridge, palam, Cherthala, Keralam 688524",palam,9.6862446,76.3407836,ChIJRZ6FV0d8CDsRFsjyeTkkNqs,https://www.google.com/maps/place/?q=place_id:ChIJRZ6FV0d8CDsRFsjyeTkkNqs,part_305,2026-09-20 20:19:32,9360
Arun Fabrics,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 88481 52059,N/A,5.0,,"Arun Fabric, അരുൺ ഫാബ്രിക്, Nedumudy, Kuttanad Taluk, Keralam 688503",അരുൺ ഫാബ്രിക്,9.4436178,76.4053168,ChIJyzoAfLmdCDsRONUmhehYl8A,https://www.google.com/maps/place/?q=place_id:ChIJyzoAfLmdCDsRONUmhehYl8A,part_305,2026-09-20 20:19:32,9361
Linen Centre - Cherthala,Textile Wholesaler and Fabric Merchant,Fabric store,"Fabric store, Clothes and fabric manufacturer, Clothing manufacturer, Clothing store, Dress store, Dressmaker",689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 98096 81234,http://www.linencentre.in/,4.5,,"Manorama Jn, NH Bypass Road, opp. Reliance Smart Point, Muttom, Cherthala, Keralam 688524",Muttom,9.692815,76.3341413,ChIJcUdA8AB9CDsRdYNHralEzRM,https://www.google.com/maps/place/?q=place_id:ChIJcUdA8AB9CDsRdYNHralEzRM,part_305,2026-09-20 20:19:32,9362
D.Damodara Pai Sons,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,689590,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Veliyanadu SO, Veliyanadu North BO, Veliyanadu West BO",+91 478 281 2245,N/A,3.7,,"Nadakkavu Rd, Nedumbrakkad, Cherthala, Keralam 688524",Nedumbrakkad,9.686570399999999,76.33809099999999,ChIJeWADLEd8CDsRvafEp4LUPcQ,https://www.google.com/maps/place/?q=place_id:ChIJeWADLEd8CDsRvafEp4LUPcQ,part_305,2026-09-20 20:19:32,9363
