business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Select Mart,Multi-location Retail Chains,Supermarket,Supermarket,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 99465 58265,https://selectmart.in/,3.7,281.0,"near SBI Bank, Manarcadu, Keralam 686019",686519,9.5885948,76.5817443,ChIJZdn9adVCVBARHOlo2pmHDuE,https://www.google.com/maps/place/?q=place_id:ChIJZdn9adVCVBARHOlo2pmHDuE,part_301,2026-09-20 20:18:06,7827
Kidangoor Hyper Market,Multi-location Retail Chains,Hypermarket,"Hypermarket, Discount supermarket",686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 86064 57590,N/A,3.8,359.0,"Kidangoor - Manarcadu Rd, Near LLM Hospital, Kidangoor, Keralam 686572",686519,9.6833029,76.6114104,ChIJx4nrxFjSBzsR8wc8dw3xCd8,https://www.google.com/maps/place/?q=place_id:ChIJx4nrxFjSBzsR8wc8dw3xCd8,part_301,2026-09-20 20:18:06,7828
Sastri Road kottayam,Multi-location Retail Chains,Meat products store,Meat products store,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",N/A,N/A,5.0,2.0,"First Floor, Excel Buidings, 13/1585, Lal Bahadur Shastri Rd, Baker Hill, Kottayam, Keralam 686001",Baker Hill,9.5918046,76.5227416,ChIJIWugewArBjsRV6aTB9c6F9U,https://www.google.com/maps/place/?q=place_id:ChIJIWugewArBjsRV6aTB9c6F9U,part_301,2026-09-20 20:18:06,7829
Nearbymart Hypermarket,Multi-location Retail Chains,Hypermarket,Hypermarket,686520,Kerala Circle,Kochi Region,Changanacherry Division,"Chirakadavu SO, Chenappady BO, Chirakadavu East BO",+91 79944 95389,N/A,4.1,627.0,"Puthenangady, Kottayam, Keralam 686001",Puthenangady,9.590654299999999,76.5115482,ChIJg9REbg4rBjsR_hKW_8VuOtc,https://www.google.com/maps/place/?q=place_id:ChIJg9REbg4rBjsR_hKW_8VuOtc,part_301,2026-09-20 20:18:48,8684
Nearbymart Hypermarket,Multi-location Retail Chains,Hypermarket,"Hypermarket, Department store, Dry Fruit Store, Gift shop, Toy store",686522,Kerala Circle,Kochi Region,Changanacherry Division,"Koorali SO, Panamattom BO",+91 90611 90000,N/A,4.1,638.0,"101 junction, Keralam 686630",686522,9.6543301,76.5512139,ChIJJ32YB1_TBzsRTJnqqpROzEU,https://www.google.com/maps/place/?q=place_id:ChIJJ32YB1_TBzsRTJnqqpROzEU,part_301,2026-09-20 20:20:13,11964
Minnara Multi Brand Store,Multi-location Retail Chains,Clothing Accessories Store,Clothing Accessories Store,686531,Kerala Circle,Kochi Region,Changanacherry Division,Chingavanam SO,N/A,N/A,5.0,,"Kdaithara complex, Mandhiram kavala, Chingavanam PO, Kottayam, Keralam 686532",686531,9.5057309,76.5258642,ChIJY14yc60pBjsRqZi5exu8d7Y,https://www.google.com/maps/place/?q=place_id:ChIJY14yc60pBjsRqZi5exu8d7Y,part_301,2026-09-20 20:20:55,12868
Mancherikalam JJS Hyper Market | Changanassery,Multi-location Retail Chains,Hypermarket,Hypermarket,686531,Kerala Circle,Kochi Region,Changanacherry Division,Chingavanam SO,+91 481 240 0473,N/A,4.1,,"FG2W+RF7, Changanassery - Vazhoor Rd, near Railway station, Changanassery, Keralam 686101",686531,9.452193099999999,76.5464872,ChIJM4H6tgcmBjsR1dlMcBGuK7M,https://www.google.com/maps/place/?q=place_id:ChIJM4H6tgcmBjsR1dlMcBGuK7M,part_301,2026-09-20 20:20:55,12869
Nearbymart Hypermarket,Multi-location Retail Chains,Hypermarket,Hypermarket,686531,Kerala Circle,Kochi Region,Changanacherry Division,Chingavanam SO,+91 81389 50389,N/A,4.1,681.0,"CGJV+HG2, Perunna, Changanassery, Keralam 686102",Perunna,9.4322179,76.544119,ChIJnyZbmVcnBjsRh6kryOGSpbQ,https://www.google.com/maps/place/?q=place_id:ChIJnyZbmVcnBjsRh6kryOGSpbQ,part_301,2026-09-20 20:20:56,12870
Thekkethoppil Hypermart,Multi-location Retail Chains,Supermarket,Supermarket,686532,Kerala Circle,Kochi Region,Changanacherry Division,"Sachivothamapuram SO, Kurichy BO, Pathamuttom BO",+91 96051 14400,N/A,3.7,100.0,"Kottayam - Kumarakom Rd, Kummanam, Kottayam, Keralam 686005",Kummanam,9.5943515,76.5036245,ChIJ3eALXhorBjsR--hMXPX0JcI,https://www.google.com/maps/place/?q=place_id:ChIJ3eALXhorBjsR--hMXPX0JcI,part_301,2026-09-20 20:21:48,13532
Supplyco Hyper Market | Kottayam,Multi-location Retail Chains,Hypermarket,"Hypermarket, Supermarket",686548,Kerala Circle,Kochi Region,Changanacherry Division,Nalukody SO,+91 481 256 7201,http://www.supplycokerala.com/,3.6,228.0,"centrel, Kottayam, Keralam 686001",centrel,9.5895079,76.5226722,ChIJLcYFVtVCVBARoMVbMqUJ3r8,https://www.google.com/maps/place/?q=place_id:ChIJLcYFVtVCVBARoMVbMqUJ3r8,part_301,2026-09-20 20:36:23,27101
Golden Hypermarket Pala,Multi-location Retail Chains,Hypermarket,Hypermarket,686548,Kerala Circle,Kochi Region,Changanacherry Division,Nalukody SO,N/A,https://www.goldenhypermarket.com/,4.3,102.0,"opposite St. George Puthenpally, Lalam, Pala, Keralam 686575",686548,9.715210299999999,76.67883139999999,ChIJN2bnymrNBzsRoSdJ6NCxUGo,https://www.google.com/maps/place/?q=place_id:ChIJN2bnymrNBzsRoSdJ6NCxUGo,part_301,2026-09-20 20:36:24,27102
Nearbymart Hypermarket,Multi-location Retail Chains,Hypermarket,Hypermarket,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 81389 04389,http://www.thenearbymart.com/,3.3,8.0,"135/1, BTS Road, Mamangalam, Elamakkara, Kochi, Ernakulam, Keralam 682024","Mamangalam, Elamakkara",10.0148327,76.2969035,ChIJG87gXwANCDsR_7mmJ6Dnz24,https://www.google.com/maps/place/?q=place_id:ChIJG87gXwANCDsR_7mmJ6Dnz24,part_301,2026-09-20 20:38:07,28582
MPG HYPER MARKET,Multi-location Retail Chains,Supermarket,Supermarket,686571,Kerala Circle,Kochi Region,Kottayam Division,"Kadaplamattom SO, Padinjattinkara BO",N/A,N/A,5.0,,"Kanjirathamkunnel New, Michael Plaza, shopping complex, Ramapuram Central junction, Ramapuram, Kerala 686576",686571,9.7999523,76.6612597,ChIJMeQ00uDPBzsRWQttkDOtFm8,https://www.google.com/maps/place/?q=place_id:ChIJMeQ00uDPBzsRWQttkDOtFm8,part_301,2026-09-20 20:42:21,32411
"Reliance Smart, Erattupetta",Multi-location Retail Chains,Grocery store,Grocery store,686572,Kerala Circle,Kochi Region,Kottayam Division,"Kidangoor SO, Kattachira BO, Kummannoor BO",N/A,N/A,3.8,123.0,"MQRF+PPF, Kaduvamuzhi, Erattupetta, Keralam 686121",Kaduvamuzhi,9.691808499999999,76.7742889,ChIJKfE6_fjLBzsR5yuWHY5zLK0,https://www.google.com/maps/place/?q=place_id:ChIJKfE6_fjLBzsR5yuWHY5zLK0,part_301,2026-09-20 20:43:10,32693
"More Supermarket, Erattupetta",Multi-location Retail Chains,Grocery store,"Grocery store, Discount supermarket, Gourmet grocery store, Grocery delivery service",686577,Kerala Circle,Kochi Region,Kottayam Division,"Poovarani SO, Elikulam BO, Madukkakunnu BO",+91 99460 30027,https://more.in/,3.9,,"Ground Floor, Lee Way Mal College, Ettumanoor - Erattupetta - Poonjar Rd, Kaduvamuzhi, Erattupetta, Keralam 686121",Kaduvamuzhi,9.6936123,76.7710682,ChIJe1IdGtDLBzsRjHpYDicwkGw,https://www.google.com/maps/place/?q=place_id:ChIJe1IdGtDLBzsRjHpYDicwkGw,part_301,2026-09-20 20:47:23,35205
Nandilath G Mart Erattupetta,Multi-location Retail Chains,Appliance store,"Appliance store, Cell phone store, Computer store, Refrigerator store, Washer & dryer store",686578,Kerala Circle,Kochi Region,Kottayam Division,"Bharananganam SO, Ampara Nirappel BO, Edappady BO",+91 97457 66222,https://www.nandilathgmart.com/,4.5,,"Aruvithara, College Jn, Kaduvamuzhi, Erattupetta, Keralam 686121",Kaduvamuzhi,9.693572,76.7709917,ChIJRw_RxCbLBzsRHLbIPLJb3ls,https://www.google.com/maps/place/?q=place_id:ChIJRw_RxCbLBzsRHLbIPLJb3ls,part_301,2026-09-20 20:48:13,35408
KOTTAYAM STORE,Multi-location Retail Chains,E-commerce service,E-commerce service,686579,Kerala Circle,Kochi Region,Kottayam Division,"Plassanal SO, Anjoottimangalam BO, Choondacherry BO",N/A,http://www.kottayamstore.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11661898488644090008,5.0,,"Melampara-Kalayakandom Road, Old road, Melampara, Pala, Keralam 686578","ARWA Neighborhood, Melampara",9.7045403,76.7450302,ChIJ2X_QyTrLBzsRTOlgTh_r4Z0,https://www.google.com/maps/place/?q=place_id:ChIJ2X_QyTrLBzsRTOlgTh_r4Z0,part_301,2026-09-20 20:49:01,35869
