business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sarada Computer Centre,Computer Training Institute,Education center,"Education center, Desktop publishing service, Internet cafe",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 94473 14911,N/A,5.0,5.0,"P.O, Oachira Krishnapuram, Oachira, Keralam 690533",690526,9.138248599999999,76.5119137,ChIJr9ma6z4dBjsRQhV-yXoMMRo,https://www.google.com/maps/place/?q=place_id:ChIJr9ma6z4dBjsRQhV-yXoMMRo,part_307,2026-09-20 20:16:57,3777
WINTECH KAYAMKULAM,Computer Training Institute,Educational institution,"Educational institution, Computer club, Computer consultant, Computer Hardware Company, Computer networking service",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 96567 99660,http://www.wintechcomputersiti.com/,4.9,253.0,"KAYAMKULAM KAYAMKULAM 690502, Keralam 690502",690526,9.1770272,76.4937685,ChIJpbI6THUdBjsR3wGJwq4MPGw,https://www.google.com/maps/place/?q=place_id:ChIJpbI6THUdBjsR3wGJwq4MPGw,part_307,2026-09-20 20:16:57,3778
COMPUTER SCIENCE BTECH & MTECH TUITION,Computer Training Institute,Education center,"Education center, Association / Organization",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 88912 52510,N/A,5.0,6.0,"NH 66, opposite INDIAN BANK, PO, Vavvakkavu, Karunagappalli, Keralam 690528",PO,9.1021697,76.52121439999999,ChIJR15r6DkDBjsRan60LEzF8nQ,https://www.google.com/maps/place/?q=place_id:ChIJR15r6DkDBjsRan60LEzF8nQ,part_307,2026-09-20 20:16:57,3779
G-TEC Education Kayamkulam,Computer Training Institute,Educational institution,"Educational institution, Accounting firm, Education center, Software Training Institute",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 86061 65955,https://gteckayamkulam.in/,4.8,276.0,"Fajar Apartment, West of ONK Jn, Kayamkulam, Keralam 690502",690526,9.1757683,76.4930322,ChIJwXrJR7YdBjsRtkGGiXaqEQQ,https://www.google.com/maps/place/?q=place_id:ChIJwXrJR7YdBjsRtkGGiXaqEQQ,part_307,2026-09-20 20:16:57,3780
SOFTECH Pvt ITI,Computer Training Institute,Educational institution,"Educational institution, Computer training school",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 97442 93772,N/A,4.9,99.0,"Kayamkulam Punalur Highway, Kayamkulam, Keralam 690502",690526,9.1725807,76.5010714,ChIJ70cIoLQdBjsR5rsKhFsRvDM,https://www.google.com/maps/place/?q=place_id:ChIJ70cIoLQdBjsR5rsKhFsRvDM,part_307,2026-09-20 20:16:57,3781
CADPOINT Authorized CADD Training Centre Kayamkulam,Computer Training Institute,Software Training Institute,"Software Training Institute, Civil engineer, Training center",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 94472 66001,https://cadpoint.in/cadd/autocad-training,4.8,34.0,"Sayoojiyam Complex, Near Hotel Maryland, Kayamkulam - Pathanapuram Rd, opp. Indian Oil Pump, Kayamkulam, Keralam 690502",690526,9.1753239,76.50804889999999,ChIJB4ml1EscBjsR6H4lYucc-jM,https://www.google.com/maps/place/?q=place_id:ChIJB4ml1EscBjsR6H4lYucc-jM,part_307,2026-09-20 20:16:57,3782
Authorized Tally & SAP ERP Accounting & Taxation Training Centre - Kayamkulam,Computer Training Institute,Software Training Institute,Software Training Institute,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 99951 54666,N/A,5.0,2.0,"Computer Training Centre, Second Floor Above Darsana Traders, Kayamkulam - Pathanapuram Rd, opp. Indian Oil, Kayamkulam, Keralam 690502",690526,9.1753235,76.50805,ChIJw66kod4dBjsR35x2ZO_uUQ0,https://www.google.com/maps/place/?q=place_id:ChIJw66kod4dBjsR35x2ZO_uUQ0,part_307,2026-09-20 20:16:57,3783
Techzon Skill Training Kayamkulam - Hospital Administration Course,Computer Training Institute,Educational institution,Educational institution,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,N/A,5.0,11.0,"ONK junction, Near, MSM College Rd, Kayamkulam, Keralam 690502",690526,9.176967399999999,76.4939186,ChIJBdic9E0bBjsR61Yv8S2ngX0,https://www.google.com/maps/place/?q=place_id:ChIJBdic9E0bBjsR61Yv8S2ngX0,part_307,2026-09-20 20:16:57,3784
Deltafin Academy,Computer Training Institute,Training center,"Training center, Accounting school, Adult education school, Business school, Coaching Center, Educational institution, Software Training Institute",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,http://www.deltafinacademy.com/,5.0,20.0,"1st Floor, Centre Point, K.P Road, Kayamkulam, Keralam 690502",690526,9.1757811,76.5050826,ChIJgTJuAcwdBjsR8aNzDMGm5do,https://www.google.com/maps/place/?q=place_id:ChIJgTJuAcwdBjsR8aNzDMGm5do,part_307,2026-09-20 20:16:57,3785
"NSM Group IDEAL IT College, Kayamkulam",Computer Training Institute,Educational institution,Educational institution,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 94961 01565,http://www.nsmgroup.co.in/,4.8,62.0,"2nd Floor, Kochuveetil Building, East of ONK Jn, near KSRTC Bus Stand, Prathangmood, Jn, Kayamkulam, Keralam 690502","Prathangmood, Jn",9.1769426,76.4968957,ChIJ0fbutI8dBjsR0CL3lV7KKZQ,https://www.google.com/maps/place/?q=place_id:ChIJ0fbutI8dBjsR0CL3lV7KKZQ,part_307,2026-09-20 20:16:57,3786
