business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
K E VEGETABLES & FRUITS WHOLESALE DEALERS,Fruit and Vegetable Wholesaler,Fruit and vegetable store,"Fruit and vegetable store, Fruits & Vegetable Wholesaler",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 4829 238 424,N/A,4.0,94.0,"Market Road, Thalayolaparambu, Keralam 686605",686518,9.7859982,76.4462815,ChIJg1KlDA14CDsR0FrwKnaNw4k,https://www.google.com/maps/place/?q=place_id:ChIJg1KlDA14CDsR0FrwKnaNw4k,part_301,2026-09-20 20:16:36,316
Kottayam Vegetables,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 97464 53838,N/A,5.0,2.0,"SH 1, near India Coffee House, Eerayil Kadavu, Kottayam, Keralam 686001",Eerayil Kadavu,9.5885248,76.5238923,ChIJlYhHatVCVBARNYaDtpOZe3o,https://www.google.com/maps/place/?q=place_id:ChIJlYhHatVCVBARNYaDtpOZe3o,part_301,2026-09-20 20:16:36,317
KE VEGETABLES & FRUITS,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,4.4,9.0,"RGH2+34M, Peruva, Kerala 686610",686518,9.8277182,76.50029769999999,ChIJgZ0JdBfZBzsRlPNmJPD-UJ8,https://www.google.com/maps/place/?q=place_id:ChIJgZ0JdBfZBzsRlPNmJPD-UJ8,part_301,2026-09-20 20:16:36,318
S K Fruits & Vegetables,Fruit and Vegetable Wholesaler,Produce market,"Produce market, General store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94477 70393,N/A,5.0,10.0,"S.K Fruits And Vegetables, Puthenchantha, Mundakayam, Kerala 686513",Puthenchantha,9.5302031,76.88507249999999,ChIJr_yyxD9JBjsRKyJaoeXvkRg,https://www.google.com/maps/place/?q=place_id:ChIJr_yyxD9JBjsRKyJaoeXvkRg,part_301,2026-09-20 20:16:36,319
BROTHER'S COCONUT&TENDER COCONUT,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 89210 17304,N/A,5.0,18.0,"Arumanur, Ayarkunnam, Keralam 686564",686518,9.6478904,76.58648939999999,ChIJB6PlUbbTBzsR959Jhje6GG4,https://www.google.com/maps/place/?q=place_id:ChIJB6PlUbbTBzsR959Jhje6GG4,part_301,2026-09-20 20:16:36,320
N S K VEGETABLES,Fruit and Vegetable Wholesaler,Vegetable wholesale market,"Vegetable wholesale market, Fruit and vegetable store",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99613 14311,N/A,4.7,10.0,"Puthanangady Rd, near Bus stand, Kokkappally, Kanjirappally, Keralam 686507",Kokkappally,9.5575254,76.79085599999999,ChIJXbBF_Xc2BjsRxJ5qu0L7tAc,https://www.google.com/maps/place/?q=place_id:ChIJXbBF_Xc2BjsRxJ5qu0L7tAc,part_301,2026-09-20 20:16:36,321
SHEMI FRUITS,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94973 95209,N/A,4.8,4.0,"NO 3/10, PANCHAYATHU BUILDING, THANNI RD, near PRIVET BUS STAND, Mundakayam, Keralam 686513",686518,9.5382973,76.88551009999999,ChIJW_WDpT9JBjsRVfpXWtudRk4,https://www.google.com/maps/place/?q=place_id:ChIJW_WDpT9JBjsRVfpXWtudRk4,part_301,2026-09-20 20:16:36,322
M. J. T. Vegetables & Fruits Merchants,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 96563 11627,N/A,4.2,32.0,"MJM5+9XP, Kidangoor, Kerala 686572",686518,9.6834677,76.6099661,ChIJHfr1-ljSBzsRNmAuAcIUFVk,https://www.google.com/maps/place/?q=place_id:ChIJHfr1-ljSBzsRNmAuAcIUFVk,part_301,2026-09-20 20:16:36,323
A M FRUITS,Fruit and Vegetable Wholesaler,Fruits Wholesaler,Fruits Wholesaler,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94478 07060,N/A,4.5,14.0,"P P Jose Rd, Changanassery, Keralam 686101",686518,9.4488488,76.54100869999999,ChIJK9rCEg8mBjsRYUbnxvhq37o,https://www.google.com/maps/place/?q=place_id:ChIJK9rCEg8mBjsRYUbnxvhq37o,part_301,2026-09-20 20:16:36,324
S M TRADERS,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94468 60372,N/A,5.0,1.0,"S M TRADERS, Building Puthanagadi, near SD SCHOOL, Kokkappally, Kanjirappally, Keralam 686507",Kokkappally,9.557049,76.7905796,ChIJGzFfXPo3BjsR3PNtXks-TkE,https://www.google.com/maps/place/?q=place_id:ChIJGzFfXPo3BjsR3PNtXks-TkE,part_301,2026-09-20 20:16:36,325
Kuruppanthara Vegetable Market,Fruit and Vegetable Wholesaler,Market,Market,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,3.8,471.0,"PGR7+FRF, Kuruppanthara, Manjoor, Keralam 686603",Kuruppanthara,9.7411829,76.5145397,ChIJZXRXmZLWBzsRXmsKhoguNpQ,https://www.google.com/maps/place/?q=place_id:ChIJZXRXmZLWBzsRXmsKhoguNpQ,part_301,2026-09-20 20:16:36,326
PSM Vegetables,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,3.5,20.0,"VXII 946, MG Rd, near Modisseril Bazar, Eerayil Kadavu, Kottayam, Keralam 686001",Eerayil Kadavu,9.5875019,76.5242842,ChIJ9UccwaErBjsRRWZL7yqEFfg,https://www.google.com/maps/place/?q=place_id:ChIJ9UccwaErBjsRRWZL7yqEFfg,part_301,2026-09-20 20:16:36,327
K.M.J. Vegetables,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94468 22077,N/A,4.5,17.0,"Market Rd, Pala, Keralam 686575",Pala,9.7139046,76.6868114,ChIJ-13QD9LNBzsRUlklNZ1q_8k,https://www.google.com/maps/place/?q=place_id:ChIJ-13QD9LNBzsRUlklNZ1q_8k,part_301,2026-09-20 20:16:36,328
Karottekkunnel Fruits & Vegetables,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,3.7,59.0,"Kuravilangad – Kaduthuruthy Rd, Kurishupally, Kuravilangad, Keralam 686633",Kurishupally,9.75705,76.56035179999999,ChIJaTTBVgDRBzsR1pFFnLfrZF0,https://www.google.com/maps/place/?q=place_id:ChIJaTTBVgDRBzsR1pFFnLfrZF0,part_301,2026-09-20 20:16:36,329
Fresh Fruits,Fruit and Vegetable Wholesaler,Market,"Market, Food court",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 73568 96205,N/A,5.0,1.0,"Kottayam - Kumily Rd, Ponkunnam, Kottayam, Keralam 686506",686518,9.564659599999999,76.7629354,ChIJ5Tv6xRI1BjsRvCyAkYgssXM,https://www.google.com/maps/place/?q=place_id:ChIJ5Tv6xRI1BjsRvCyAkYgssXM,part_301,2026-09-20 20:16:36,330
KCR & Sons Vegetables,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94476 61611,N/A,4.3,20.0,"HG27+3PV, Mariyappally, Moolavattom, Nattakom, Keralam 686013","Mariyappally, Moolavattom",9.5504265,76.5138544,ChIJxe2tAn4rBjsRI8I8iJAjnuc,https://www.google.com/maps/place/?q=place_id:ChIJxe2tAn4rBjsRI8I8iJAjnuc,part_301,2026-09-20 20:16:36,331
SNS VEGETABLES & FRUITS,Fruit and Vegetable Wholesaler,Produce market,Produce market,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 99478 03438,N/A,4.2,5.0,"kvms junction, kumily highway, Ponkunnam, Keralam 686506",686518,9.564551,76.7626263,ChIJH6Gaqqw1BjsR7F-vXYxR77w,https://www.google.com/maps/place/?q=place_id:ChIJH6Gaqqw1BjsR7F-vXYxR77w,part_301,2026-09-20 20:16:36,332
GREEN VALLEY,Fruit and Vegetable Wholesaler,Produce market,Produce market,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",N/A,N/A,5.0,1.0,"HQHP+FC8, Anakkal, Kerala 686508",686518,9.5786791,76.78611769999999,ChIJd_bECQA1BjsRg5pnZDpj2Qg,https://www.google.com/maps/place/?q=place_id:ChIJd_bECQA1BjsRg5pnZDpj2Qg,part_301,2026-09-20 20:16:36,333
M Traders & Distributors (Vegetable Wholesale Dealer),Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 92078 68886,N/A,5.0,8.0,"Vattamood Junction, SH Mount Rd, opposite Mangalam Press, P O, Kumaranalloor, Kottayam, Keralam 686006","P O, Kumaranalloor",9.6022912,76.5326027,ChIJJU-po4MrBjsRb7uzb1yKdS0,https://www.google.com/maps/place/?q=place_id:ChIJJU-po4MrBjsRb7uzb1yKdS0,part_301,2026-09-20 20:16:37,334
