business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Evanj Group,Exporters,Food manufacturer,Food manufacturer,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 82813 28080,http://www.evanj.in/,4.7,,"Evanj Complex, Vettiharapadi, Thadiyoor, Keralam 689545",Vettiharapadi,9.3840325,76.7041259,ChIJQ1lrEvoVBjsR7brO15sHPBA,https://www.google.com/maps/place/?q=place_id:ChIJQ1lrEvoVBjsR7brO15sHPBA,part_305,2026-09-20 20:17:12,4391
Afra Regal Foods | Bliss N Blooms,Exporters,Food manufacturer,"Food manufacturer, Food & Beverage Exporter, Food Processing Company, Garden, Landscaper",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 79076 06900,N/A,4.6,,"Ootukulam, Vaipur, Kerala 689588",Ootukulam,9.4390661,76.7205422,ChIJVVVVVVw6BjsRezgWfWyhcZA,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVVw6BjsRezgWfWyhcZA,part_305,2026-09-20 20:17:12,4392
Melekoottu Sawmill,Exporters,Saw mill,Saw mill,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,5.0,,"Ezhumattoor, Keralam 689544",689586,9.4176875,76.6984375,ChIJVSPVzh47BjsR_mS7vxReSnY,https://www.google.com/maps/place/?q=place_id:ChIJVSPVzh47BjsR_mS7vxReSnY,part_305,2026-09-20 20:17:12,4393
De Wud Interiors,Exporters,Gypsum Product Supplier,Gypsum Product Supplier,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,4.0,,"CMVC+GVJ, Murani-Cherthodukavala Rd, Mallappally, Keralam 689584",689586,9.443413,76.6722781,ChIJcx3sDwA7BjsRnUt-dMgpn2Q,https://www.google.com/maps/place/?q=place_id:ChIJcx3sDwA7BjsRnUt-dMgpn2Q,part_305,2026-09-20 20:17:12,4394
MEKKARIGATTU INDUSTRIES,Exporters,Saw mill,Saw mill,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,5.0,,"CMJC+HMJ, Keezhvaipur, Keralam 689587",689586,9.4314707,76.671633,ChIJHTTbvB87BjsRHwaOfm_uwkw,https://www.google.com/maps/place/?q=place_id:ChIJHTTbvB87BjsRHwaOfm_uwkw,part_305,2026-09-20 20:17:12,4395
lakshmi wood Industries,Exporters,Saw mill,Saw mill,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94951 56532,N/A,4.5,,"9PR6+9VH, Thadiyoor - Chuzhana Rd, Thadiyoor, Keralam 689545",689586,9.3909377,76.7122236,ChIJeQ8Nl_I7BjsRD0mhfuf0fvQ,https://www.google.com/maps/place/?q=place_id:ChIJeQ8Nl_I7BjsRD0mhfuf0fvQ,part_305,2026-09-20 20:17:12,4396
A M Fisheries,Exporters,Exporter,Exporter,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 477 227 3993,http://www.premierkerala.com/,4.6,,"98WW+WWQ, Valanjavazhy, Ambalapuzha, Keralam 688005",Valanjavazhy,9.3973315,76.347366,ChIJdYVFT5CbCDsRNwHjBbgxN5Y,https://www.google.com/maps/place/?q=place_id:ChIJdYVFT5CbCDsRNwHjBbgxN5Y,part_305,2026-09-20 20:17:12,4397
Orif Seals (formerly Royal Seals),Exporters,Gasket Manufacturer,"Gasket Manufacturer, Rubber products supplier",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 98953 27609,http://www.orifseals.com/,4.5,,"Seal Valley, Naranganam, Keralam 689642",689586,9.3093269,76.7512806,ChIJiRNizxY-BjsRwj-F7Gk2gG4,https://www.google.com/maps/place/?q=place_id:ChIJiRNizxY-BjsRwj-F7Gk2gG4,part_305,2026-09-20 20:17:13,4398
Veronica Marine Exports Pvt Ltd,Exporters,Exporter,"Exporter, Seafood market",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94470 72987,N/A,4.5,,"Neendakara, Kollam, Keralam 691582",Neendakara,8.9578632,76.5343101,ChIJd81Ff7kABjsRXCjLUi7w8Lk,https://www.google.com/maps/place/?q=place_id:ChIJd81Ff7kABjsRXCjLUi7w8Lk,part_305,2026-09-20 20:17:13,4399
Avla Nettos Exports,Exporters,Exporter,Exporter,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 81388 66611,http://www.avlaexports.com/,4.4,,"WGJW+H82, Neendakara - Chinnakkada Rd, Sakthikulangara North, Kollam, Keralam 691581",Sakthikulangara North,8.9313919,76.5457603,ChIJ-zmp2wf-BTsRhurs4mw0a88,https://www.google.com/maps/place/?q=place_id:ChIJ-zmp2wf-BTsRhurs4mw0a88,part_305,2026-09-20 20:17:13,4400
