business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
EJ'S Fitness Club,Gym and Fitness Center,Gym,Gym,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 99476 80564,http://www.ejsfitnessclub.in/,5.0,,"2nd Floor, St Thomas Shopping Complex, Chempu, Maravanthuruthu, Keralam 686608",Chempu,9.8075128,76.3969638,ChIJUUDsN313CDsRBby8dfgHOfU,https://www.google.com/maps/place/?q=place_id:ChIJUUDsN313CDsRBby8dfgHOfU,part_302,2026-09-20 20:16:50,1675
Hercules Gym,Gym and Fitness Center,Gym,"Gym, Fitness center, Weight loss service",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,4.7,,"MC Rd, Kothanalloor, Keralam 686632",686603,9.7198164,76.52384359999999,ChIJj1hJRiDUBzsRWXSIpELPaWk,https://www.google.com/maps/place/?q=place_id:ChIJj1hJRiDUBzsRWXSIpELPaWk,part_302,2026-09-20 20:16:50,1676
Fitness cafe kothanalloor,Gym and Fitness Center,Gym,Gym,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,4.9,,"Thottakuzhiyil building, 7/454, near SBI, Kothanalloor, Keralam 686632",686603,9.719294699999999,76.5261846,ChIJeaM28VXVBzsRCt2UmGo4IMw,https://www.google.com/maps/place/?q=place_id:ChIJeaM28VXVBzsRCt2UmGo4IMw,part_302,2026-09-20 20:16:50,1677
HYBRID FITNESS HUB - Gym,Gym and Fitness Center,Gym,Gym,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 89435 74753,N/A,4.9,,"Hybrid fitness hub gym, opp. SBI lumine arcade, near private bus stand, Kuravilangad, Keralam 686633",686603,9.7594354,76.5623241,ChIJlSrjip7RBzsRuy1wzfiCesk,https://www.google.com/maps/place/?q=place_id:ChIJlSrjip7RBzsRuy1wzfiCesk,part_302,2026-09-20 20:16:50,1678
Ultima Fitness Center,Gym and Fitness Center,Gym,Gym,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 99615 09405,N/A,4.9,,"Caritas Hospital Rd, Thellakom, Keralam 686630",Thellakom,9.6459429,76.5469115,ChIJTacaG6jUBzsRkliji7iA22Q,https://www.google.com/maps/place/?q=place_id:ChIJTacaG6jUBzsRkliji7iA22Q,part_302,2026-09-20 20:16:50,1679
FRIENDS FITNESS CENTER,Gym and Fitness Center,Gym,"Gym, Body shaping class, Fitness center, Physical fitness program, Weight loss service, Weightlifting area",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 98472 03737,http://www.friendsfitnesscentre.com/,4.9,,"Friends Fitness Centre, Ettumanoor - Neendoor Rd, Ettumanoor, Keralam 686631",686603,9.6729027,76.5539494,ChIJrRHvyYHUBzsRL5-aRBosOHA,https://www.google.com/maps/place/?q=place_id:ChIJrRHvyYHUBzsRL5-aRBosOHA,part_302,2026-09-20 20:16:50,1680
Figure inn Gym,Gym and Fitness Center,Gym,Gym,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,4.9,,"Building, 9-113C,Edachethra, Kasturba Junction-Angadippally Rd, Gandhi Nagar, Arpookara, Keralam 686008",Gandhi Nagar,9.6304701,76.51982269999999,ChIJ9XJFkDcrBjsRczLYozkaD1g,https://www.google.com/maps/place/?q=place_id:ChIJ9XJFkDcrBjsRczLYozkaD1g,part_302,2026-09-20 20:16:51,1681
MADIATH FITNESS SHOPPE,Gym and Fitness Center,Fitness Equipment Wholesaler,"Fitness Equipment Wholesaler, Fitness center",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,5.0,3.0,"HQ76+CQR, Kvms Junction, Kollam - Theni Hwy, Ponkunnam, Keralam 686506",686603,9.5636093,76.761901,ChIJIyWqGgA1BjsR6e0IeJL4Z4s,https://www.google.com/maps/place/?q=place_id:ChIJIyWqGgA1BjsR6e0IeJL4Z4s,part_302,2026-09-20 20:16:52,1682
Take Off Sports,Gym and Fitness Center,Sporting goods store,"Sporting goods store, Fitness Equipment Wholesaler",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 62384 74327,http://www.takeoffsports.in/,4.3,126.0,"Pala - Marangattupilly - Kozha Road, Vellappadu, Pala, Keralam 686575",Vellappadu,9.7091665,76.67325509999999,ChIJlzSmWcbNBzsRlwgVSV7yDQs,https://www.google.com/maps/place/?q=place_id:ChIJlzSmWcbNBzsRlwgVSV7yDQs,part_302,2026-09-20 20:16:52,1683
Kemya Fitness | Sports | Helmets,Gym and Fitness Center,Sporting goods store,Sporting goods store,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94478 54988,N/A,4.9,2514.0,"Puthan Peedikayil Arcade, 1, Changanassery - Vazhoor Rd, Madukkamoodu, Changanassery, Keralam 686106",Madukkamoodu,9.463520899999999,76.564866,ChIJnyF5-rYvBjsRksk8leRxitU,https://www.google.com/maps/place/?q=place_id:ChIJnyF5-rYvBjsRksk8leRxitU,part_302,2026-09-20 20:16:52,1684
Sabson Sports And Fitness,Gym and Fitness Center,Sporting goods store,"Sporting goods store, Fitness Equipment Wholesaler, Sports complex, Sportswear store",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94959 60455,http://sabsonsports.com/,3.8,184.0,"Near S.B. College, College Rd, Changanassery, Keralam 686101",686603,9.449104499999999,76.5388232,ChIJgS4LlA8mBjsRDqvc9C4xukE,https://www.google.com/maps/place/?q=place_id:ChIJgS4LlA8mBjsRDqvc9C4xukE,part_302,2026-09-20 20:16:52,1685
Welcare Fitness Equipments,Gym and Fitness Center,Exercise equipment store,Exercise equipment store,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 92443 36666,http://www.welcareindia.com/,3.1,7.0,"KANJIVAPALLY, KOTTAYAM, Keralam 686507",686603,9.561088999999999,76.78129899999999,ChIJfb_56dQ1BjsRxKvMBDzIVjo,https://www.google.com/maps/place/?q=place_id:ChIJfb_56dQ1BjsRxKvMBDzIVjo,part_302,2026-09-20 20:16:52,1686
Atlas Health Club,Gym and Fitness Center,Gym,Gym,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,4.3,72.0,"KochuKavala Rd, Vaikom, Keralam 686141",Vaikom,9.7540645,76.3930412,ChIJp3ihNzB5CDsRhuqxBwb1KYE,https://www.google.com/maps/place/?q=place_id:ChIJp3ihNzB5CDsRhuqxBwb1KYE,part_302,2026-09-20 20:16:52,1687
T7 Origin Punch,Gym and Fitness Center,Sporting goods store,Sporting goods store,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 73564 49046,N/A,5.0,25.0,"Kottayam - Kumarakom Rd, Chalukunnu, Kottayam, Kerala 686001",Chalukunnu,9.5951082,76.5154657,ChIJRUaT4EorBjsRqMjxI3_X768,https://www.google.com/maps/place/?q=place_id:ChIJRUaT4EorBjsRqMjxI3_X768,part_302,2026-09-20 20:16:52,1688
T20 Sports,Gym and Fitness Center,Sportswear store,Sportswear store,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94479 71532,N/A,4.1,31.0,"Thekkum Gopuram, Kottayam, Keralam 686001",Thekkum Gopuram,9.5877919,76.5188489,ChIJeYP4m5ErBjsRWVDvdfCnBlI,https://www.google.com/maps/place/?q=place_id:ChIJeYP4m5ErBjsRWVDvdfCnBlI,part_302,2026-09-20 20:16:52,1689
Passion fitness centre,Gym and Fitness Center,Gym,Gym,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",N/A,N/A,4.6,,"QF8R+6V3, Kaduthuruthy, Keralam 686604",686604,9.7655155,76.492167,ChIJzSxH2hzXBzsR1RZWdScA-n8,https://www.google.com/maps/place/?q=place_id:ChIJzSxH2hzXBzsR1RZWdScA-n8,part_302,2026-09-20 20:17:27,5523
Asian fitness center and gymnasium,Gym and Fitness Center,Gym,Gym,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 70344 41220,N/A,4.5,,"QCMX+V53, Pallikavala, Thalayolaparambu, Kerala 686605",Pallikavala,9.7845734,76.44786169999999,ChIJGXAJzSR5CDsRnaRYdiPvmJg,https://www.google.com/maps/place/?q=place_id:ChIJGXAJzSR5CDsRnaRYdiPvmJg,part_302,2026-09-20 20:17:27,5524
Fitness World,Gym and Fitness Center,Fitness center,Fitness center,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 97464 81296,N/A,5.0,,"QF9R 555, Kaduthuruthy, Keralam 686604",686604,9.767925499999999,76.49048429999999,ChIJ8_KOiVPXBzsR_v8b0z1lhoA,https://www.google.com/maps/place/?q=place_id:ChIJ8_KOiVPXBzsR_v8b0z1lhoA,part_302,2026-09-20 20:17:27,5525
Newlife Fitness Centre,Gym and Fitness Center,Gym,Gym,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",N/A,N/A,4.4,,"RFHX+5R3, SH40, Peruva, Keralam 686610",686604,9.8278857,76.4995543,ChIJ_7n0l6nZBzsRjKrUXr4lWEU,https://www.google.com/maps/place/?q=place_id:ChIJ_7n0l6nZBzsRjKrUXr4lWEU,part_302,2026-09-20 20:17:27,5526
Newlife Multigym,Gym and Fitness Center,Gym,Gym,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 98477 00875,N/A,4.7,,"QCPV+779, SH15, Thalayolaparambu, Keralam 686605",686604,9.7856594,76.4432489,ChIJOQZw7RJ4CDsR57L-_Sjsb4E,https://www.google.com/maps/place/?q=place_id:ChIJOQZw7RJ4CDsR57L-_Sjsb4E,part_302,2026-09-20 20:17:27,5527
L2 Fitness Center,Gym and Fitness Center,Gym,Gym,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 62822 63129,https://www.instagram.com/l_2_fitness_centre?igsh=cWI5aXQ5ZzNhdmo4,5.0,,"Kaduthuruthy - Peruva Rd, opposite Castle Residency, Peruva, Keralam 686610",686604,9.823301299999999,76.50185689999999,ChIJEYi2w8DZBzsRvexf3hg1fIk,https://www.google.com/maps/place/?q=place_id:ChIJEYi2w8DZBzsRvexf3hg1fIk,part_302,2026-09-20 20:17:27,5528
RFG GYM & WELLNESS STUDIO ETTUMANOOR,Gym and Fitness Center,Gym,"Gym, Fitness center, Health consultant, Personal trainer, Physical fitness program, Women's personal trainer",686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 93108 09292,https://www.instagram.com/rfggymettumanoor?igsh=MWFtdWwzM2FibWt0ZA==,5.0,39.0,"2nd Floor, Hangout Play World, MC Rd, Ettumanoor, Keralam 686631",686604,9.6617266,76.5513904,ChIJuXn74W7TBzsRC0BpMEvrOVk,https://www.google.com/maps/place/?q=place_id:ChIJuXn74W7TBzsRC0BpMEvrOVk,part_302,2026-09-20 20:17:28,5529
IRON TECH PREMIUM UNISEX FITNESS STUDIO,Gym and Fitness Center,Gym,Gym,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 90617 10657,https://instagram.com/irontechfitnessstudio_manarcad,5.0,93.0,"Opposite St Mary's Manarcad hospital Manarcad po, Keralam 686019",686604,9.5988712,76.5858471,ChIJSQktjaItBjsRfDpQ8ze5ysk,https://www.google.com/maps/place/?q=place_id:ChIJSQktjaItBjsRfDpQ8ze5ysk,part_302,2026-09-20 20:17:28,5530
Phoenix Health Club,Gym and Fitness Center,Gym,Gym,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 96331 97943,N/A,4.8,50.0,"Kaduvakulam, Keralam 686012",Kaduvakulam,9.5542851,76.5299855,ChIJKwRdfN0rBjsReHXV527gGNI,https://www.google.com/maps/place/?q=place_id:ChIJKwRdfN0rBjsReHXV527gGNI,part_302,2026-09-20 20:17:28,5531
Origin Fitness GYM,Gym and Fitness Center,Gym,Gym,686604,Kerala Circle,Kochi Region,Kottayam Division,"Kaduthuruthy SO, Arunoottimangalam BO, Poozhikole BO",+91 96056 59369,N/A,5.0,,"Thachettu building, Njeezhoor, Keralam 686612",686604,9.7917012,76.5261538,ChIJA-y8ue7XBzsRMiJGizfPUAE,https://www.google.com/maps/place/?q=place_id:ChIJA-y8ue7XBzsRMiJGizfPUAE,part_302,2026-09-20 20:17:28,5532
STALLION FITNESS CENTRE CHEMPU,Gym and Fitness Center,Fitness center,Fitness center,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",N/A,N/A,4.8,,"R95W+3R7, Chempu, Maravanthuruthu, Keralam 686608",Chempu,9.8076457,76.39692889999999,ChIJiYenZLN3CDsR5tFddYPdwzA,https://www.google.com/maps/place/?q=place_id:ChIJiYenZLN3CDsR5tFddYPdwzA,part_302,2026-09-20 20:18:08,7769
RAD FITNESS GYM CHEMPU,Gym and Fitness Center,Fitness center,Fitness center,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",+91 92074 36536,N/A,5.0,,"Chempu - Mathungal Rd, opposite St Thomas jacobite church, Chempu, Vaikom, Maravanthuruthu, Keralam 686608",Chempu,9.8080243,76.3968063,ChIJox0q5pl3CDsRL_osQs6MOT4,https://www.google.com/maps/place/?q=place_id:ChIJox0q5pl3CDsRL_osQs6MOT4,part_302,2026-09-20 20:18:08,7770
STALLION FITNESS CENTRE,Gym and Fitness Center,Fitness center,Fitness center,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",+91 81294 92999,http://www.instagram.com/,5.0,,"Pithrukunnam Temple, Road, Vaikom, Ettumanoor, Kerala 686143",686605,9.7786539,76.39516669999999,ChIJFZvSGQB5CDsRevrMaRZMZec,https://www.google.com/maps/place/?q=place_id:ChIJFZvSGQB5CDsRevrMaRZMZec,part_302,2026-09-20 20:18:08,7771
Falcon premium fitness center,Gym and Fitness Center,Gym,Gym,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",N/A,N/A,5.0,,"Q94W+G95, Vaikom, Keralam 686141",Vaikom,9.756214,76.3959237,ChIJNZCsQwB5CDsRqMCAkfnhMN0,https://www.google.com/maps/place/?q=place_id:ChIJNZCsQwB5CDsRqMCAkfnhMN0,part_302,2026-09-20 20:18:08,7772
Mad Workouts Calisthenics Academy,Gym and Fitness Center,Gym,Gym,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",+91 95674 60190,http://madworkouts.in/,4.7,,"Kothamangalth H, Karippadom P.O, Thalayolaparambu, Velloor, Kerala 686605",686605,9.8096579,76.43726389999999,ChIJo3hhWwp3CDsRQg4ZW9uxc7c,https://www.google.com/maps/place/?q=place_id:ChIJo3hhWwp3CDsRQg4ZW9uxc7c,part_302,2026-09-20 20:18:08,7773
National Multi Gym,Gym and Fitness Center,Gym,Gym,686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",N/A,N/A,4.9,18.0,"RFHG+2F3, H N L road, Keralam 686610",686605,9.8275059,76.4761707,ChIJ2VoX3xTYBzsRbDv8FJqGbfM,https://www.google.com/maps/place/?q=place_id:ChIJ2VoX3xTYBzsRbDv8FJqGbfM,part_302,2026-09-20 20:18:09,7774
Hilton Fitness Systems,Gym and Fitness Center,Manufacturer,"Manufacturer, Fitness Equipment Wholesaler",686605,Kerala Circle,Kochi Region,Kottayam Division,"Thalayolaparambu SO, Brahmamangalam BO, Edavattom BO",+91 90482 01162,https://hiltonfitness.com/,4.3,131.0,"24/1805 C, NH link Road, near BOT Bridge, Willingdon Island, Kochi, Keralam 682029",Willingdon Island,9.9355473,76.2725578,ChIJSXPMypRyCDsRxdbNh2jX8KQ,https://www.google.com/maps/place/?q=place_id:ChIJSXPMypRyCDsRxdbNh2jX8KQ,part_302,2026-09-20 20:18:09,7775
Fitness World,Gym and Fitness Center,Gym,Gym,686606,Kerala Circle,Kochi Region,Kottayam Division,"Thirumani Venkita Puram SO, Chemmanathukara BO, Pallippurathussery BO",+91 83010 84963,N/A,4.8,,"Kuries building, opposite union bank, Vaikom, Keralam 686141",686606,9.7555359,76.39417259999999,ChIJS3OXVAB5CDsR6aaz2Om_ek0,https://www.google.com/maps/place/?q=place_id:ChIJS3OXVAB5CDsR6aaz2Om_ek0,part_302,2026-09-20 20:18:47,8924
New Life Multi Gym And Fitness Centre,Gym and Fitness Center,Gym,Gym,686606,Kerala Circle,Kochi Region,Kottayam Division,"Thirumani Venkita Puram SO, Chemmanathukara BO, Pallippurathussery BO",+91 97456 00820,N/A,4.5,,"J9V9+477, Puthanagadi, Keralam 688555",Puthanagadi,9.642792799999999,76.3681696,ChIJFXF1Pgl-CDsRflYdRsbMgzs,https://www.google.com/maps/place/?q=place_id:ChIJFXF1Pgl-CDsRflYdRsbMgzs,part_302,2026-09-20 20:18:47,8925
Aj Fitness Center,Gym and Fitness Center,Gym,Gym,686606,Kerala Circle,Kochi Region,Kottayam Division,"Thirumani Venkita Puram SO, Chemmanathukara BO, Pallippurathussery BO",N/A,N/A,5.0,,"P9Q7+VPQ, Thavanakkadavu, Keralam 688541",686606,9.739724299999999,76.36435279999999,ChIJGUt9NQB5CDsRBmbilqHVISs,https://www.google.com/maps/place/?q=place_id:ChIJGUt9NQB5CDsRBmbilqHVISs,part_302,2026-09-20 20:18:47,8926
BODYFIT FITNESS,Gym and Fitness Center,Gym,Gym,686606,Kerala Circle,Kochi Region,Kottayam Division,"Thirumani Venkita Puram SO, Chemmanathukara BO, Pallippurathussery BO",N/A,N/A,4.9,,"Vaikom, Keralam 686141",Vaikom,9.7500436,76.4010756,ChIJg3kYahh5CDsR0bugUpMjFu4,https://www.google.com/maps/place/?q=place_id:ChIJg3kYahh5CDsR0bugUpMjFu4,part_302,2026-09-20 20:18:48,8927
POWERHOUSE FITNESS,Gym and Fitness Center,Gym,Gym,686607,Kerala Circle,Kochi Region,Kottayam Division,"Thalayazham SO, Kothavara BO, Thottakom BO",N/A,https://www.powerhouse-fitness.co.uk/,4.8,39.0,"SH42, Vechoor Rd, Edayazham, Keralam 686144",Edayazham,9.6838382,76.4203344,ChIJjyV4qUR_CDsR_rxkprdgm8w,https://www.google.com/maps/place/?q=place_id:ChIJjyV4qUR_CDsR_rxkprdgm8w,part_302,2026-09-20 20:19:27,9709
Alex's Fitness Centre,Gym and Fitness Center,Gym,Gym,686607,Kerala Circle,Kochi Region,Kottayam Division,"Thalayazham SO, Kothavara BO, Thottakom BO",+91 85909 75341,N/A,4.7,38.0,"P.O, SH 1, Thellakom, Ettumanoor, Keralam 686630",Thellakom,9.642301,76.5455856,ChIJN3zUw83VBzsRuDlo8hM-zBA,https://www.google.com/maps/place/?q=place_id:ChIJN3zUw83VBzsRuDlo8hM-zBA,part_302,2026-09-20 20:19:27,9710
DARE FITNESS™ Premium Gents & Ladies GYM,Gym and Fitness Center,Gym,Gym,686608,Kerala Circle,Kochi Region,Kottayam Division,"Kulasekharamangalam SO, Chempu BO, Enadi BO",+91 99955 52293,http://darefit.org/,4.8,55.0,"V92P+289 Midhila Complex, Poothotta, P O, Puthenkav, Manakunnam, Keralam 682307","Poothotta, P O",9.849824,76.3859757,ChIJz8RWfAB3CDsRsCDu1xUxMK8,https://www.google.com/maps/place/?q=place_id:ChIJz8RWfAB3CDsRsCDu1xUxMK8,part_302,2026-09-20 20:20:07,10382
FB Fitness,Gym and Fitness Center,Fitness center,Fitness center,686608,Kerala Circle,Kochi Region,Kottayam Division,"Kulasekharamangalam SO, Chempu BO, Enadi BO",+91 99951 48726,N/A,4.9,55.0,"ICH Junction, Ammanchery, Keralam 686561",Ammanchery,9.6411866,76.5324615,ChIJUY_OOd7VBzsREZA-NHYTQx8,https://www.google.com/maps/place/?q=place_id:ChIJUY_OOd7VBzsREZA-NHYTQx8,part_302,2026-09-20 20:20:07,10383
"Iron Core Fitness Studio,Unisex Fitness Club",Gym and Fitness Center,Fitness center,Fitness center,686608,Kerala Circle,Kochi Region,Kottayam Division,"Kulasekharamangalam SO, Chempu BO, Enadi BO",+91 90741 83900,N/A,4.9,,"Velloor Road, 7th mile, Kottayam, Keralam 686501",7th mile,9.5837682,76.607513,ChIJ3RVC_6YtBjsRtcElxWlLYks,https://www.google.com/maps/place/?q=place_id:ChIJ3RVC_6YtBjsRtcElxWlLYks,part_302,2026-09-20 20:20:08,10384
