business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Reyan's Bakery & General Stores,Kirana Store,Bakery and Cake Shop,"Bakery and Cake Shop, Indian grocery store, School supply store, Snack bar, Stationery store, Tea store",689572,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Thalavady SO, Anaprambal BO, Anaprambal North BO",+91 83019 94987,N/A,5.0,3.0,"Madackal Padi, Thalavady, Kuttanad Taluk, Keralam 689572",689572,9.351766399999999,76.4900203,ChIJx1QtF4chBjsR61VZA6OKJ9Y,https://www.google.com/maps/place/?q=place_id:ChIJx1QtF4chBjsR61VZA6OKJ9Y,part_304,2026-09-20 21:13:24,36019
Assaruparmpil Provisional Store,Kirana Store,Indian grocery store,Indian grocery store,689572,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Thalavady SO, Anaprambal BO, Anaprambal North BO",+91 477 221 4983,N/A,,,"Market road, Edathua, Kuttanad Taluk, Keralam 689573",Edathua,9.3665316,76.47747729999999,ChIJ6zo9hhAhBjsRVNXKRK7E9WA,https://www.google.com/maps/place/?q=place_id:ChIJ6zo9hhAhBjsRVNXKRK7E9WA,part_304,2026-09-20 21:13:24,36020
Randuparayil Stores,Kirana Store,General store,"General store, Home goods store",689572,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Thalavady SO, Anaprambal BO, Anaprambal North BO",N/A,N/A,4.4,5.0,"Chapel Rd, Chekkidikadu, Kuttanad Taluk, Keralam 689573",Chekkidikadu,9.3569636,76.4559542,ChIJYS9Hhh2eCDsR7GIh6V3YXkw,https://www.google.com/maps/place/?q=place_id:ChIJYS9Hhh2eCDsR7GIh6V3YXkw,part_304,2026-09-20 21:13:24,36021
Kompenkeril Stores,Kirana Store,Grocery store,Grocery store,689572,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Thalavady SO, Anaprambal BO, Anaprambal North BO",N/A,N/A,5.0,1.0,"8FVQ+65W, Kuttanad Taluk, Keralam 689621",689572,9.3431211,76.48796519999999,ChIJdbM592khBjsR_EKsn5Z5qOk,https://www.google.com/maps/place/?q=place_id:ChIJdbM592khBjsR_EKsn5Z5qOk,part_304,2026-09-20 21:13:24,36022
Quality Traders,Kirana Store,Home builder,"Home builder, Tile store",689572,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Thalavady SO, Anaprambal BO, Anaprambal North BO",+91 94472 71494,N/A,4.6,,"St. George Shopping Complex, Edathua, Kuttanad Taluk, Keralam 689573",Edathua,9.366138099999999,76.47705719999999,ChIJWTesYbYgBjsRdOs2308Qp_Y,https://www.google.com/maps/place/?q=place_id:ChIJWTesYbYgBjsRdOs2308Qp_Y,part_304,2026-09-20 21:13:26,36023
"Supplyco Super Market, Edathua",Supermarket,Supermarket,Supermarket,689572,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Thalavady SO, Anaprambal BO, Anaprambal North BO",+91 477 221 2213,N/A,3.7,47.0,"9F8G+7X3, Edathua, Kuttanad Taluk, Keralam 689573",Edathua,9.365644999999999,76.47742629999999,ChIJfz2DcLYgBjsR137pF2tzKuM,https://www.google.com/maps/place/?q=place_id:ChIJfz2DcLYgBjsR137pF2tzKuM,part_304,2026-09-20 21:13:25,36026
Discount Center Supermarket ( ഡിസ്കൗണ്ട് സെന്റർ സൂപ്പർ മാർക്കറ്റ് ),Supermarket,Grocery store,Grocery store,689572,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Thalavady SO, Anaprambal BO, Anaprambal North BO",N/A,N/A,4.3,4.0,"Nalkavala, Junction, Niranam, Keralam 689621",689572,9.3473867,76.5065575,ChIJq0-usRwhBjsRKDadwXWEByg,https://www.google.com/maps/place/?q=place_id:ChIJq0-usRwhBjsRKDadwXWEByg,part_304,2026-09-20 21:13:25,36027
Supplyco,Supermarket,Supermarket,Supermarket,689572,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Thalavady SO, Anaprambal BO, Anaprambal North BO",+91 469 274 7540,https://supplycokerala.com/outlet-locator,,,"8GW9+HX3, MS PIN:, Niranam, Keralam 689621",689572,9.3463909,76.5199195,ChIJAQAAABQhBjsRgMMx5i2up6c,https://www.google.com/maps/place/?q=place_id:ChIJAQAAABQhBjsRgMMx5i2up6c,part_304,2026-09-20 21:13:25,36028
"Supplyco Maveli Store, Thalavady",Supermarket,Supermarket,Supermarket,689572,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Thalavady SO, Anaprambal BO, Anaprambal North BO",+91 477 221 0828,N/A,3.3,19.0,"Thalavady, Kuttanad Taluk, Keralam 689572",689572,9.367444299999999,76.4975432,ChIJx_OPKNQgBjsRrCN8Y6VjPBc,https://www.google.com/maps/place/?q=place_id:ChIJx_OPKNQgBjsRrCN8Y6VjPBc,part_304,2026-09-20 21:13:25,36029
A Mart Supermarket,Supermarket,Supermarket,Supermarket,689572,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Thalavady SO, Anaprambal BO, Anaprambal North BO",N/A,N/A,4.3,,"Haripad Pallipad Rd, Pallippad, Keralam 690512",689572,9.280014399999999,76.4763467,ChIJBQwTiNwfBjsRi9ClvJnO-ww,https://www.google.com/maps/place/?q=place_id:ChIJBQwTiNwfBjsRi9ClvJnO-ww,part_304,2026-09-20 21:13:25,36030
