business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Rangamani Associates, Kottayam, Chartered Accountants",Business and Audit Services,Auditor,"Auditor, Chartered accountant",686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 481 256 2728,http://www.brangamani.com/,4.7,18.0,"Vayskara Hills, Sree Krishna Gardens, Kacheri Kadavu, near Water Hub, Chalukunnu, Kottayam, Kerala 686001","Old Boat Jetty, Chalukunnu",9.5859065,76.5194155,ChIJM6eCR9RCVBARl2EQaILmFaU,https://www.google.com/maps/place/?q=place_id:ChIJM6eCR9RCVBARl2EQaILmFaU,part_301,2026-09-20 20:17:11,5196
Oditx International,Business and Audit Services,Tax consultant,Tax consultant,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 90726 11114,http://www.oditx.com/,5.0,42.0,"2nd Floor, Thekkedath Riva Thodupuzha, Idukki, Kerala, 685 584, Thodupuzha, Keralam 685584",686518,9.8944197,76.714828,ChIJq-itmuDFBzsR8qp_2U2kFYw,https://www.google.com/maps/place/?q=place_id:ChIJq-itmuDFBzsR8qp_2U2kFYw,part_301,2026-09-20 20:17:12,5197
SSPSS & Co. Chartered Accountants,Business and Audit Services,Chartered accountant,Chartered accountant,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 94474 70088,https://www.casspss.in/,5.0,,"25, Keezhoottu, market, 622, Junction, Chandamukku, Kottarakkara, Keralam 691506",Chandamukku,9.0021697,76.773626,ChIJfzPJRcYLBjsREQmFmbFFVXQ,https://www.google.com/maps/place/?q=place_id:ChIJfzPJRcYLBjsREQmFmbFFVXQ,part_301,2026-09-20 20:17:12,5198
S AND P ASSOCIATES,Business and Audit Services,Software company,Software company,686518,Kerala Circle,Kochi Region,Changanacherry Division,"Koovapally SO, Palampra BO, Panachepally BO",+91 95267 18689,http://www.sandpassociateskerala.com/,5.0,21.0,"2nd Floor, Kandathil Building, Thirunakkara S Rd, Thirunakara, Kottayam, Keralam 686001",Thirunakara,9.590103899999999,76.51733829999999,ChIJ1dTQkvcrBjsRVGBAvDwGQLM,https://www.google.com/maps/place/?q=place_id:ChIJ1dTQkvcrBjsRVGBAvDwGQLM,part_301,2026-09-20 20:17:13,5199
Nissan Business Solutions Pvt. Ltd.,Business and Audit Services,Corporate office,Corporate office,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 481 258 2368,https://www.nissanbizsolutions.com/,5.0,,"HGMH+WFP, Erayilkadavu Rd, Eerayil Kadavu, Kottayam, Keralam 686001",Eerayil Kadavu,9.5849596,76.528793,ChIJHTKXMycrBjsREbNP2rj0_yI,https://www.google.com/maps/place/?q=place_id:ChIJHTKXMycrBjsREbNP2rj0_yI,part_301,2026-09-20 20:17:55,7606
"MGN & Associates, Chartered Accountants",Business and Audit Services,Certified public accountant,Certified public accountant,686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 82898 72229,N/A,5.0,,"C5, Makil Centre, Good Shepherd St, Kottayam, Kerala 686001",686519,9.588887399999999,76.5294268,ChIJYcNLHg0rBjsR5bw2qIWy3nk,https://www.google.com/maps/place/?q=place_id:ChIJYcNLHg0rBjsR5bw2qIWy3nk,part_301,2026-09-20 20:17:55,7607
Paul & Co Chartered Accountants,Business and Audit Services,Chartered accountant,"Chartered accountant, Accountant, Accounting firm, Auditor, Tax consultant, Tax preparation, Tax preparation service",686519,Kerala Circle,Kochi Region,Changanacherry Division,"Thekkethukavala SO, Chirakadavu Centre BO, Kavumbhagom BO",+91 99466 63643,https://keralabusinesslist.com/paul-co-chartered-accountants,4.9,,"Panamkuzhakal Arcade, near Private Bus Stand, Kuravilangad, Keralam 686633",686519,9.758548,76.5616531,ChIJxz5l4BPRBzsRncwaT-XoQrU,https://www.google.com/maps/place/?q=place_id:ChIJxz5l4BPRBzsRncwaT-XoQrU,part_301,2026-09-20 20:17:56,7608
Globesta Auditors & Accountants | Accounting Training Centre In Kottayam,Business and Audit Services,Accounting firm,Accounting firm,686520,Kerala Circle,Kochi Region,Changanacherry Division,"Chirakadavu SO, Chenappady BO, Chirakadavu East BO",+91 90201 90501,https://globesta.in/in/,4.8,,"Globesta Auditors and Accountants, Kizhakkethil Grand Tower, Kizhakkethil Lane, behind Aryas Hotel, Kottayam, Keralam 686001",686520,9.5927241,76.52126369999999,ChIJ5av1iZIrBjsR5kYaLijgrHQ,https://www.google.com/maps/place/?q=place_id:ChIJ5av1iZIrBjsR5kYaLijgrHQ,part_301,2026-09-20 20:18:40,8575
Lekshmi N Iyer & Associates,Business and Audit Services,Accounting firm,"Accounting firm, Chartered accountant, Auditor, Tax preparation service",686520,Kerala Circle,Kochi Region,Changanacherry Division,"Chirakadavu SO, Chenappady BO, Chirakadavu East BO",+91 96337 51158,https://calekshmi.com/,4.9,,"Puliyelathu Madom, Haripad, Keralam 690514",686520,9.2810163,76.4529409,ChIJI58tEgmhCDsRh7HgayUqRPQ,https://www.google.com/maps/place/?q=place_id:ChIJI58tEgmhCDsRh7HgayUqRPQ,part_301,2026-09-20 20:18:40,8576
MPM & CO CHARTERED ACCOUNTANTS,Business and Audit Services,Certified public accountant,Certified public accountant,686520,Kerala Circle,Kochi Region,Changanacherry Division,"Chirakadavu SO, Chenappady BO, Chirakadavu East BO",N/A,N/A,5.0,10.0,"Thekkum Gopuram, Kottayam, Keralam 686001",Thekkum Gopuram,9.5875246,76.5187282,ChIJ7woho6IrBjsReeJzfD0_-4U,https://www.google.com/maps/place/?q=place_id:ChIJ7woho6IrBjsReeJzfD0_-4U,part_301,2026-09-20 20:18:41,8577
