business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Team DMC,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Graphic designer, Internet marketing service",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 92075 05469,http://www.teamdmc.in/,4.5,,"Philips House Buildings, opposite Pallippurathukavu Temple, Kodimatha, Kottayam, Keralam 686013",Kodimatha,9.579404,76.5197573,ChIJ75Uo2fErBjsRCOuc_AyKE6Q,https://www.google.com/maps/place/?q=place_id:ChIJ75Uo2fErBjsRCOuc_AyKE6Q,part_304,2026-09-20 20:49:09,4686
PRO AXIS DIGITAL,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Branding agency, Design agency, Web hosting company, Website designer",689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 80898 16482,https://axisdigitalpro.com/,5.0,,"4th Floor, Kannankandy Mansion, Police Station, near Nadakkavu, West Nadakkave, East Nadakkave, Nadakkave, Kozhikode, Keralam 673011","West Nadakkave, East Nadakkave, Nadakkave",11.2718366,75.775363,ChIJR0C9JeBfpjsR2A8V9Lz2DCQ,https://www.google.com/maps/place/?q=place_id:ChIJR0C9JeBfpjsR2A8V9Lz2DCQ,part_304,2026-09-20 20:49:09,4687
VisualMARK,Social Media Marketing Agencies,Marketing agency,Marketing agency,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 73563 16537,N/A,5.0,1.0,"near College of Engineering, Aranmula, Keralam 689533",689113,9.3238183,76.68271419999999,ChIJ9VDetng9BjsRq-xwbkex_LA,https://www.google.com/maps/place/?q=place_id:ChIJ9VDetng9BjsRq-xwbkex_LA,part_304,2026-09-20 20:49:44,7170
Top Digital Ad,Social Media Marketing Agencies,Advertising agency,Advertising agency,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 80780 42804,https://www.topdigitalad.com/,5.0,17.0,"Kuttikkattil House, opposite Gurudeva Temple SNDP 3656 Puthanambalam, west, P O, Arpookara, Kottayam, Keralam 686008",P O,9.6302608,76.49250339999999,ChIJXaDYGUkrBjsRRBrIOs2fkc0,https://www.google.com/maps/place/?q=place_id:ChIJXaDYGUkrBjsRRBrIOs2fkc0,part_304,2026-09-20 20:49:44,7171
SOL Digital Dynamics,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Animation Studio, Graphic designer, Marketing consultant, Website designer",689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 98957 12112,N/A,5.0,51.0,"Velloorkunnam, Muvattupuzha, Keralam 686669",Velloorkunnam,9.989429699999999,76.5789204,ChIJ3R-radndBzsRvZSA7bh7V8U,https://www.google.com/maps/place/?q=place_id:ChIJ3R-radndBzsRvZSA7bh7V8U,part_304,2026-09-20 20:49:44,7172
Motion Digital Ads,Social Media Marketing Agencies,Advertising agency,Advertising agency,689115,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,Thirumoolapuram SO,+91 82817 02220,https://www.motiondigitalads.com/,4.8,50.0,"Usman Complex, 31-382/21, Punnathur Rd, near LF College, P.O, Puthenpally, Mammiyoor, Guruvayur, Keralam 680103","P.O, Puthenpally, Mammiyoor",10.607203499999999,76.0384521,ChIJSSE-enCVpzsRLy7CLpMACNM,https://www.google.com/maps/place/?q=place_id:ChIJSSE-enCVpzsRLy7CLpMACNM,part_304,2026-09-20 20:50:20,8106
Freelance Digital Marketer,Social Media Marketing Agencies,Marketing consultant,Marketing consultant,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",N/A,http://cmcnovember.in/greeshma,,,"P.O, Mundankavu, Chengannur, Kerala 689121",Mundankavu,9.320001099999999,76.6094997,ChIJB1ed7B8jBjsR8FlBrcM8Rd8,https://www.google.com/maps/place/?q=place_id:ChIJB1ed7B8jBjsR8FlBrcM8Rd8,part_304,2026-09-20 20:50:56,11184
AdBerry,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Training center",689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 97477 97557,https://adberry.in/,4.9,304.0,"First Floor, Friends Mall, near Thiruvambadi Temple, Thiruvambady, Patturaikkal, Thrissur, Keralam 680022","Thiruvambady, Patturaikkal",10.532436599999999,76.21147719999999,ChIJF2kgmHoNCDsRDQmXnTmKiaI,https://www.google.com/maps/place/?q=place_id:ChIJF2kgmHoNCDsRDQmXnTmKiaI,part_304,2026-09-20 20:50:58,11185
Shree Digital Print Hub,Social Media Marketing Agencies,Graphic designer,Graphic designer,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",N/A,N/A,4.8,5.0,"Pazhayatil Padi Jn, Perissery, Keralam 689126",689121,9.3095242,76.5976979,ChIJAVXodTAjBjsRWMEixrON3Wk,https://www.google.com/maps/place/?q=place_id:ChIJAVXodTAjBjsRWMEixrON3Wk,part_304,2026-09-20 20:50:58,11186
Teekeycee,Social Media Marketing Agencies,Advertising agency,Advertising agency,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 497 270 4064,http://www.teekeycee.in/,4.7,34.0,"3rd Floor, Safire Building, Bank Rd, Kannur, Keralam 670001",689121,11.8686326,75.3657703,ChIJAyX6wzQ9pDsRABCCvkSKL2o,https://www.google.com/maps/place/?q=place_id:ChIJAyX6wzQ9pDsRABCCvkSKL2o,part_304,2026-09-20 20:50:58,11187
Netstager Technologies Pvt. Ltd,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Computer software store, Computer support and services, Internet marketing service, Software company",689122,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Angadical Chengannur SO, Neervilakom BO, Piralassery BO",+91 84484 40112,https://www.netstager.com/?utm_source=google&utm_medium=gbp&utm_campaign=listing,4.5,,"First floor, Special Economic Zone, UL CyberPark Rd, Nellikkode, Kozhikode, Keralam 673016",Nellikkode,11.254994799999999,75.8281997,ChIJVVVVtLtepjsRKPakySR7Hdg,https://www.google.com/maps/place/?q=place_id:ChIJVVVVtLtepjsRKPakySR7Hdg,part_304,2026-09-20 20:51:31,12887
Nithin Mathew,Social Media Marketing Agencies,Marketing consultant,"Marketing consultant, Service establishment",689122,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Angadical Chengannur SO, Neervilakom BO, Piralassery BO",+91 92073 74732,https://www.nithinmathew.com/,,,"Nithin Mathew, 689122, India",689122,9.3949558,76.5634492,ChIJ8_pAcoSv26IRfMnrTyQTP98,https://www.google.com/maps/place/?q=place_id:ChIJ8_pAcoSv26IRfMnrTyQTP98,part_304,2026-09-20 20:51:31,12888
Professional Digital Marketing Agency,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Service establishment, Graphic designer, Marketing agency, Marketing consultant, Website designer",689123,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Puthencavu SO, Arattupuzha BO, Edanad BO",0346 9563929,https://digitalmarketingpk.com/,5.0,2.0,"Professional Digital Marketing Agency, 689123, India",689123,18.2533755,-47.802320699999996,ChIJZ8hfGHZ_ICwRG3YIWHy3f5w,https://www.google.com/maps/place/?q=place_id:ChIJZ8hfGHZ_ICwRG3YIWHy3f5w,part_304,2026-09-20 20:52:08,14128
Brandkee,Social Media Marketing Agencies,Advertising agency,Advertising agency,689123,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Puthencavu SO, Arattupuzha BO, Edanad BO",+91 90612 78661,http://brandkee.com/,5.0,12.0,"Dhanam building, Calvary Rd, opposite Calvary Social center, West Fort, Vonginisserly, Aranattukara, Thrissur, Keralam 680004","West Fort, Vonginisserly, Aranattukara",10.5180305,76.2022866,ChIJM08BKZ3vpzsRTZTAWfK_cUw,https://www.google.com/maps/place/?q=place_id:ChIJM08BKZ3vpzsRTZTAWfK_cUw,part_304,2026-09-20 20:52:09,14129
Cyphershot Digital Solutions,Social Media Marketing Agencies,Marketing agency,Marketing agency,689123,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Puthencavu SO, Arattupuzha BO, Edanad BO",+91 75104 64407,https://cyphershot.in/,5.0,19.0,"3rd Floor, Cyphershot, Digital Solutions, Koya's Tower, Snehatheeram Rd, Thalikulam, Keralam 680569",689123,10.4401846,76.0940972,ChIJTf5OtFzzpzsR428KwM4n8EQ,https://www.google.com/maps/place/?q=place_id:ChIJTf5OtFzzpzsR428KwM4n8EQ,part_304,2026-09-20 20:52:09,14130
Digital Marketer in Kerala | Abhinand S,Social Media Marketing Agencies,Marketing consultant,"Marketing consultant, Service establishment",689124,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Kallisserry SO, Pandanad North BO, Vazharmangalam BO",+91 81569 09169,https://theabhinands.com/,5.0,,"Digital Marketer in Kerala | Abhinand S, 689124, India",689124,10.5442763,76.1383668,ChIJ7VwndLqCtAcRzvKhEXHPY1E,https://www.google.com/maps/place/?q=place_id:ChIJ7VwndLqCtAcRzvKhEXHPY1E,part_304,2026-09-20 20:52:44,15678
TLM Studios Pvt Ltd| Digital Marketing| Advertising | SEO|Web Development| Video Production | Animation,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Animation Studio, Graphic designer, Internet marketing service, Advertising agency, Video editing service, Video production service, Website designer",689126,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ala SO Alappuzha, Perisserry BO",+91 88488 23016,https://tlmstudios.in/,5.0,,"The Kevi's Place, Kanjiramattom Byp, Olamattom, Thodupuzha, Keralam 685584",Olamattom,9.894822699999999,76.7177796,ChIJ2acL8ETFBzsRlRHxUk2Afgk,https://www.google.com/maps/place/?q=place_id:ChIJ2acL8ETFBzsRlRHxUk2Afgk,part_304,2026-09-20 20:53:21,17472
Adveniq-Marketing Agency,Social Media Marketing Agencies,Marketing agency,Marketing agency,689501,Kerala circle,Trivandrum HQ Region,Pathanamthitta Division,"Mannam Sugar Mills BO, Mudiyoorkonam BO, Paranthal BO",+91 75598 44802,N/A,,,"Kurampala - Pazhakulam Rd, south, Kurampala, Pandalam, Keralam 689501",south,9.1818672,76.6909779,ChIJLSi-83gRBjsRNBXf4Uzw-DA,https://www.google.com/maps/place/?q=place_id:ChIJLSi-83gRBjsRNBXf4Uzw-DA,part_304,2026-09-20 20:53:58,18986
Socialifad Agency,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Service establishment",689507,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,Mezhuveli SO,+91 82783 68463,https://www.socialiftad.com/,,,"Socialifad Agency, 689507, India",689507,21.0680074,82.7525294,ChIJcVBdE6HsrmERAWQCyP_nId8,https://www.google.com/maps/place/?q=place_id:ChIJcVBdE6HsrmERAWQCyP_nId8,part_304,2026-09-20 20:57:33,22557
