business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Asset Homes Kollam Branch Office,Premium Luxury Real Estate,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 81296 99999,https://www.assethomes.in/,4.1,49.0,"Asset Homes Pvt Ltd, Asset TKM Malhar Musaliar Nagar, Kilikolloor, Randamkutty, Kollam, Keralam 691004","Kilikolloor, Randamkutty",8.902999099999999,76.6143393,ChIJUy12ifr8BTsRvHkx-QJeLyM,https://www.google.com/maps/place/?q=place_id:ChIJUy12ifr8BTsRvHkx-QJeLyM,part_307,2026-09-20 20:17:03,4599
Artech VGP Sky Village - Luxury Apartments in Kollam,Premium Luxury Real Estate,Apartment building,Apartment building,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 95265 55444,http://artechrealtors.com/,4.6,,"CP Junction, Uliyakovil Rd, Asramam, Kollam, Kerala 691002","Uliyakovil West, Asramam",8.901255299999999,76.60183769999999,ChIJJ0C_57f9BTsR3WuxlGlVdSE,https://www.google.com/maps/place/?q=place_id:ChIJJ0C_57f9BTsR3WuxlGlVdSE,part_307,2026-09-20 20:17:04,4600
Tkm Asset Grandios Sterling,Premium Luxury Real Estate,Apartment building,Apartment building,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 81296 99999,https://www.assethomes.in/grandios/,4.8,,"Kadapakkada, Kollam, Keralam 691008",Kadapakkada,8.8966759,76.60661019999999,ChIJqczJFZ_9BTsRK3zTYIHUO3Y,https://www.google.com/maps/place/?q=place_id:ChIJqczJFZ_9BTsRK3zTYIHUO3Y,part_307,2026-09-20 20:17:04,4601
Skyline Ranch,Premium Luxury Real Estate,Villa,Villa,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 97444 13300,http://www.skylinebuilders.com/ranch,4.3,,"Kochi - Madurai Bypass Rd, Kannankulangara, Thrippunithura, Ernakulam, Keralam 682301","Kannankulangara, Thrippunithura",9.941483,76.35600099999999,ChIJjUL5YXtzCDsRlptDoFpU9io,https://www.google.com/maps/place/?q=place_id:ChIJjUL5YXtzCDsRlptDoFpU9io,part_307,2026-09-20 20:17:04,4602
Skyline Urban Oasis,Premium Luxury Real Estate,Villa,Villa,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 73569 20111,https://www.skylinebuilders.com/projects/skyline-urban-oasis,4.5,,"Saigramam Road, Chempakamangalam, Kudavoor, Kerala 695313",690526,8.654213,76.84684,ChIJDZZtsyTBBTsR-QVU-udgE-k,https://www.google.com/maps/place/?q=place_id:ChIJDZZtsyTBBTsR-QVU-udgE-k,part_307,2026-09-20 20:17:04,4603
"Asset Homes Corporate Office, Kochi",Premium Luxury Real Estate,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Apartment building, Apartment complex, Home builder, Interior designer, Villa",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 98464 99999,https://www.assethomes.in/,4.1,,"No.XV/246C, ""Asset Centrale"", NH Bypass Kundanoor Jn, PO, Maradu, Kochi, Keralam 682304","Nettoor, Maradu",9.9369807,76.3166433,ChIJ8QAAQMdyCDsRSFVrUx_Jjng,https://www.google.com/maps/place/?q=place_id:ChIJ8QAAQMdyCDsRSFVrUx_Jjng,part_307,2026-09-20 20:17:04,4604
SOBHA Ridge - Whispering Hill,Premium Luxury Real Estate,Condominium complex,Condominium complex,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 80 4646 4510,https://www.sobha.com/thiruvananthapuram/sobha-ridge-whispering-hill/?utm_campaign=GMB&utm_medium=GoogleB&utm_source=GMB&utm_term=GMB,3.8,,"SOBHA Ridge, Alathara Rd, Aakkulam, Thiruvananthapuram, Keralam 695017",Aakkulam,8.5313824,76.9026358,ChIJR99iSn6_BTsRdAyho_1JRtA,https://www.google.com/maps/place/?q=place_id:ChIJR99iSn6_BTsRdAyho_1JRtA,part_307,2026-09-20 20:17:04,4605
Asset Taurus Identity,Premium Luxury Real Estate,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Apartment complex, Condominium complex, Corporate office, Home builder",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 99460 99999,http://www.assethomes.in/,4.1,,"P.O, First Floor, Devs Sakura Building, NH 66, Kulathoor, Kazhakkoottam, Keralam 695583",Kulathoor,8.5415893,76.8769567,ChIJEzkzktS7BTsR69qZhylkdw0,https://www.google.com/maps/place/?q=place_id:ChIJEzkzktS7BTsR69qZhylkdw0,part_307,2026-09-20 20:17:04,4606
ANTA Capital Greens,Premium Luxury Real Estate,Villa,Villa,690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",N/A,https://antabuilders.com/antabuilders-trivandrum.php,4.3,,"CX4G+HRC, Vizhinjam, Kovalam, Keralam 695527",Vizhinjam,8.4064259,76.9770257,ChIJeeeWXpWlBTsRFQJZKh7pRa4,https://www.google.com/maps/place/?q=place_id:ChIJeeeWXpWlBTsRFQJZKh7pRa4,part_307,2026-09-20 20:17:04,4607
Sai Cineplexx 4K Dolby Atmos,Premium Luxury Real Estate,Movie theater,"Movie theater, Theater company",690526,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Ochira SO, Madathilkaranma BO",+91 79944 45773,https://in.bookmyshow.com/cinemas/oachira/sai-cineplexx-oachira/buytickets/SICO/20260309,4.5,,"Oachira, Krishnapuram, Keralam 690533",690526,9.138593,76.5136848,ChIJT-bdAAAdBjsRT0VfqwEv3J4,https://www.google.com/maps/place/?q=place_id:ChIJT-bdAAAdBjsRT0VfqwEv3J4,part_307,2026-09-20 20:17:04,4608
