business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
K.B. Sharma Brothers,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle wholesaler",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 481 256 1564,N/A,3.6,,"Tourist Banglow Rd, opposite to Anupama Theatre, Eerayil Kadavu, Kottayam, Keralam 686001",Eerayil Kadavu,9.587119999999999,76.5229203,ChIJPUYwqtVCVBARRpwq12dJxFY,https://www.google.com/maps/place/?q=place_id:ChIJPUYwqtVCVBARRpwq12dJxFY,part_302,2026-09-20 20:16:52,2068
Hameedia Cycle Stores,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 90480 86803,N/A,3.6,,"Tourist Banglow Rd, opposite anupama theatre, near taj juma masjid, Eerayil Kadavu, Kottayam, Keralam 686001",Eerayil Kadavu,9.5875488,76.5237473,ChIJzbNmB9VCVBARc_Z5rZPzwlE,https://www.google.com/maps/place/?q=place_id:ChIJzbNmB9VCVBARc_Z5rZPzwlE,part_302,2026-09-20 20:16:52,2069
Neo Tencity Cycles,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Electric bicycle store",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94000 26119,N/A,4.9,,"1st floor, Pathalil building, near KSEB, Ponkunnam, Keralam 686506",686603,9.5645299,76.7622334,ChIJNxz8i_81BjsRovTvXqzM-e8,https://www.google.com/maps/place/?q=place_id:ChIJNxz8i_81BjsRovTvXqzM-e8,part_302,2026-09-20 20:16:52,2070
Alappattu Cycles,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94477 41222,N/A,4.4,,"Punnamparampil Building, Ponkunnam, Keralam 686506",686603,9.563431699999999,76.7614984,ChIJmYr-IHA1BjsR0VuasORm7-E,https://www.google.com/maps/place/?q=place_id:ChIJmYr-IHA1BjsR0VuasORm7-E,part_302,2026-09-20 20:16:52,2071
Cycle Hub,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle repair shop",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 89217 94404,N/A,4.6,,"Plassanal P.O, 6th Mile, Panackapalam, Erattupetta, Kerala 686579",686603,9.6978908,76.7622504,ChIJzX8fjnXPBzsRu5pdAUXQHIs,https://www.google.com/maps/place/?q=place_id:ChIJzX8fjnXPBzsRu5pdAUXQHIs,part_302,2026-09-20 20:16:52,2072
Kottayil Cycles,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 94953 33635,N/A,5.0,,"Edamattom, Keralam 686578",686603,9.6818869,76.723366,ChIJT1huBQDNBzsRHJN_d2NJ0yM,https://www.google.com/maps/place/?q=place_id:ChIJT1huBQDNBzsRHJN_d2NJ0yM,part_302,2026-09-20 20:16:52,2073
Myladiyil cycle store,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle repair shop, Bicycle wholesaler, Electric bicycle store",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 75590 33523,https://www.instagram.com/myladyilstores/?hl=en,4.3,,"ANDOOR KAVALA, Puliyannoor, Mutholy, Keralam 686573",Puliyannoor,9.6987448,76.65261129999999,ChIJx7vCrBzNBzsRdzRUfzByyN4,https://www.google.com/maps/place/?q=place_id:ChIJx7vCrBzNBzsRdzRUfzByyN4,part_302,2026-09-20 20:16:52,2074
EBR cycles,Bicycle Shop and Repair,Bicycle wholesaler,Bicycle wholesaler,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,N/A,5.0,,"GVMP+882, Mundakayam, Keralam 686513",686603,9.533264299999999,76.8857723,ChIJZ0lHbgBJBjsRpuscBlbNAzs,https://www.google.com/maps/place/?q=place_id:ChIJZ0lHbgBJBjsRpuscBlbNAzs,part_302,2026-09-20 20:16:52,2075
Minnal Cycles (മിന്നൽ സൈക്കിൾസ്),Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle rack, Bicycle rental service, Bicycle repair shop, Bicycle wholesaler, Used bicycle shop",686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",N/A,http://www.minnalcycles.com/,4.9,,"Nadackal Rivermount Building, Vegalloor Bridge, Vengalloor, Thodupuzha, Keralam 685608",Vengalloor,9.906579599999999,76.70131599999999,ChIJcf2OQ43DBzsRChYCug-h0aE,https://www.google.com/maps/place/?q=place_id:ChIJcf2OQ43DBzsRChYCug-h0aE,part_302,2026-09-20 20:16:52,2076
"Just Buy Cycles , Retnagiri, Pattithanak, Kottayam",Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,686603,Kerala Circle,Kochi Region,Kottayam Division,"Manjoor SO, Chamakala BO, Kanjirathanam BO",+91 8071 821 217,https://cycleshop.justbuycycles.com/just-buy-cycles/cycle-shop-in-kottayam/cycle-shop-in-mc-road/just-buy-cycles-the-cycle-store-in-mc-road-kottayam--4hrVC4/home,4.9,,"Santhome Shopping Complex, MC Rd, nearby St.Thomas Church, Kanakkary, Keralam 686631",686603,9.6955759,76.5589947,ChIJiz1vuYLTBzsRlpQ2g-rtxso,https://www.google.com/maps/place/?q=place_id:ChIJiz1vuYLTBzsRlpQ2g-rtxso,part_302,2026-09-20 20:16:52,2077
