business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
GN Medicals,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,5.0,,"WQ78+RC5, Veliyam, Keralam 691540",691540,8.9145042,76.7660976,ChIJ0-R_m63hBTsRmKkEvL3Yc14,https://www.google.com/maps/place/?q=place_id:ChIJ0-R_m63hBTsRmKkEvL3Yc14,part_309,2026-09-20 20:16:45,1796
Thampi's Medicals,Medical Equipment Supplier,Medical supply store,Medical supply store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,4.3,,"WQ57+323, Pooyappally, Kerala 691537",691540,8.9076402,76.7625595,ChIJZaAqthnhBTsRUx9LvpgOUQU,https://www.google.com/maps/place/?q=place_id:ChIJZaAqthnhBTsRUx9LvpgOUQU,part_309,2026-09-20 20:16:45,1797
Meeyannoor,Medical Equipment Supplier,Medical supply store,Medical supply store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 99460 94239,N/A,,,"683, Meeyannoor, Pooyappally, Kerala 691537",Meeyannoor,8.8981896,76.74164569999999,ChIJ7cR5JgDhBTsRuoS7BPc87EE,https://www.google.com/maps/place/?q=place_id:ChIJ7cR5JgDhBTsRuoS7BPc87EE,part_309,2026-09-20 20:16:45,1798
Neeti Medical Store,Medical Equipment Supplier,Medical supply store,Medical supply store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,5.0,,"WQ47+Q27, Pooyappally, Keralam 691537",691540,8.9069006,76.7625541,ChIJgcuKg_HhBTsR4p7vxrWs8ks,https://www.google.com/maps/place/?q=place_id:ChIJgcuKg_HhBTsR4p7vxrWs8ks,part_309,2026-09-20 20:16:45,1799
Krishna Medicals,Medical Equipment Supplier,Medical supply store,Medical supply store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,,,"WQ78+QJF, Veliyam, Keralam 691540",691540,8.9144255,76.7665602,ChIJDQqJIV7hBTsR6gMyoh4wDfM,https://www.google.com/maps/place/?q=place_id:ChIJDQqJIV7hBTsR6gMyoh4wDfM,part_309,2026-09-20 20:16:45,1800
Neethi Medical store,Medical Equipment Supplier,Medical supply store,Medical supply store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,,,"WQVC+JG6, Odanavattom – Nedumankavu Rd, Nedumankavu, Kudavattoor, Odanavattom, Kerala 691512",Nedumankavu,8.9440397,76.77126249999999,ChIJ64CxAQDhBTsR-Sq2ln_IiLg,https://www.google.com/maps/place/?q=place_id:ChIJ64CxAQDhBTsR-Sq2ln_IiLg,part_309,2026-09-20 20:16:45,1801
Dona Medicals,Medical Equipment Supplier,Medical supply store,Medical supply store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 90742 39924,N/A,,,"Nalkavala, po, Pooyappally, Keralam 691537",po,8.9029218,76.7478919,ChIJjbqnfE7hBTsRbu6FanthDB8,https://www.google.com/maps/place/?q=place_id:ChIJjbqnfE7hBTsRbu6FanthDB8,part_309,2026-09-20 20:16:45,1802
"KOTTAKKAL ARYA VAIDYA SALA, POOYAPALLY",Medical Equipment Supplier,Medical supply store,Medical supply store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 94956 55721,N/A,5.0,,"WQ57+22F, Oyur-Kottarakara Road, Pooyappally, Keralam 691537",691540,8.907556099999999,76.7625462,ChIJZ6YYM5nhBTsRc8SpibCyiho,https://www.google.com/maps/place/?q=place_id:ChIJZ6YYM5nhBTsRc8SpibCyiho,part_309,2026-09-20 20:16:45,1803
Santhigiri Ayurvedic,Medical Equipment Supplier,Medical supply store,Medical supply store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,5.0,,"WQ78+QGQ, Veliyam, Keralam 691540",691540,8.9144639,76.7663445,ChIJTS6nqEjhBTsRx-mrNfFNHUQ,https://www.google.com/maps/place/?q=place_id:ChIJTS6nqEjhBTsRx-mrNfFNHUQ,part_309,2026-09-20 20:16:45,1804
Medical Shop,Medical Equipment Supplier,Medical supply store,Medical supply store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,,,"WQRF+65C, pallimukku, Odanavattom, Keralam 691512",691540,8.9405696,76.7729008,ChIJ1_Fp69HhBTsRugBxkF1kHg8,https://www.google.com/maps/place/?q=place_id:ChIJ1_Fp69HhBTsRugBxkF1kHg8,part_309,2026-09-20 20:16:45,1805
"MAJOR MEDICALS, POOYAPPALLY",Medical Equipment Supplier,Medical supply store,Medical supply store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",N/A,N/A,,,"WQ46+VXQ, Pooyappally, Keralam 691537",691540,8.9072046,76.7624866,ChIJu5yhFQDhBTsRJw2TF9kyj7I,https://www.google.com/maps/place/?q=place_id:ChIJu5yhFQDhBTsRJw2TF9kyj7I,part_309,2026-09-20 20:16:45,1806
Waferchips Techno Solutions Pvt Ltd,Medical Equipment Supplier,Medical Equipment Manufacturer,Medical Equipment Manufacturer,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 80867 70219,http://mybiocalculus.com/,4.5,,"1st Floor, Kochumelathil Arcade, Arumurikkada, Kundara, Kerala 691501",Arumurikkada,8.973037699999999,76.6957171,ChIJU1NtTxUIBjsRz-AGk69zbDg,https://www.google.com/maps/place/?q=place_id:ChIJU1NtTxUIBjsRz-AGk69zbDg,part_309,2026-09-20 20:16:46,1807
Vita Medicare,Medical Equipment Supplier,Surgical Products Wholesaler,"Surgical Products Wholesaler, Pharmaceutical Products Wholesaler, Pharmacy",691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 62383 75492,N/A,5.0,,"TC 17, PRA 64, 4721, Pottakkuzhi Gowreesapattom Rd, Pottakkuzhi, Thiruvananthapuram, Keralam 695004","Veerabhadra Gardens, Pottakkuzhi",8.513612,76.9379713,ChIJS9RYm0C7BTsRwVKWKlnGgnE,https://www.google.com/maps/place/?q=place_id:ChIJS9RYm0C7BTsRwVKWKlnGgnE,part_309,2026-09-20 20:16:46,1808
PRADHAN MANTRI BHARTIYA JANAUSHADHI KENDRA,Medical Equipment Supplier,Medical supply store,Medical supply store,691540,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Veliyam SO, Veliyam West BO",+91 89217 28892,N/A,4.7,,"NORTH JN NEDUMONCAVU, Odanavattom – Nedumankavu Rd, NEDUMONCAVU, Keralam 691509",Nedumankavu,8.924752699999999,76.73572829999999,ChIJfXf3j-rhBTsRyJ-jOr3Eypw,https://www.google.com/maps/place/?q=place_id:ChIJfXf3j-rhBTsRyJ-jOr3Eypw,part_309,2026-09-20 20:16:47,1809
Fresh Dent Dental Equipments,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,691541,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Madathara SO, Kollayil BO, Venkolla BO",+91 80865 94927,N/A,5.0,2.0,"Madathara, Kerala 691541",691541,8.8156862,77.01326879999999,ChIJ-01FkA_RBTsR5SypIH6W8mg,https://www.google.com/maps/place/?q=place_id:ChIJ-01FkA_RBTsR5SypIH6W8mg,part_309,2026-09-20 20:17:31,5964
Family Medicals,Medical Equipment Supplier,Medical supply store,Medical supply store,691541,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Madathara SO, Kollayil BO, Venkolla BO",N/A,N/A,5.0,2.0,"SH 64, Mullicadu, Keralam 691559",691541,8.8166215,76.9799365,ChIJ6V79MO7aBTsR__bHrYaKSHI,https://www.google.com/maps/place/?q=place_id:ChIJ6V79MO7aBTsR__bHrYaKSHI,part_309,2026-09-20 20:17:31,5965
