business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Wholesale Mobile Accessories And Spare Parts Shop In Kollam,Mobile Accessories Wholesaler,Shopping mall,Shopping mall,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 80899 33382,N/A,3.8,,"Andamukkam, Chinnakada, Kollam, Keralam 691001","Andamukkam, Chinnakada",8.8854279,76.58837919999999,ChIJjVOD_Of9BTsRvfVx7wYCH3s,https://www.google.com/maps/place/?q=place_id:ChIJjVOD_Of9BTsRvfVx7wYCH3s,part_308,2026-09-20 20:17:05,3858
FRIENDS MOBILES SALES AND SERVICES,Mobile Accessories Wholesaler,Cell phone store,"Cell phone store, Phone repair service",691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 99616 39961,https://goo.gl/maps/kznqLb1QE5eg3vAC7,4.9,,"Pattathuvila Plaza, Vadayattukotta Rd, Chinnakada, Kollam, Keralam 691001",Chinnakada,8.886027,76.5886622,ChIJeTwmgcL9BTsRhsUkqisBx_g,https://www.google.com/maps/place/?q=place_id:ChIJeTwmgcL9BTsRhsUkqisBx_g,part_308,2026-09-20 20:17:05,3859
OZONE MOBILES,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",N/A,N/A,5.0,,"VJ3Q+R3X, Koottikkada Thattamala Rd, Koottikada, Mayyanad, Keralam 691020",Koottikada,8.8546067,76.63774769999999,ChIJk1gTZlT7BTsRRlS1PMbF-ZQ,https://www.google.com/maps/place/?q=place_id:ChIJk1gTZlT7BTsRRlS1PMbF-ZQ,part_308,2026-09-20 20:17:05,3860
Skycell Kollam,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 99466 99477,N/A,4.6,,"Muthoot Chambers, Vadayattukotta Rd, Kollam, Keralam 691001",Chinnakada,8.8862689,76.5889708,ChIJB3rS0lv8BTsRn2bwo54E25E,https://www.google.com/maps/place/?q=place_id:ChIJB3rS0lv8BTsRn2bwo54E25E,part_308,2026-09-20 20:17:05,3861
Aykara Mobiles,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 98953 34553,N/A,4.9,,"near Avani jewellery and ICL gold loan, Mylakad, Chathannoor, Kollam, Keralam 691571",Mylakad,8.8630079,76.6912916,ChIJK8yhufXjBTsRCfIwxAi7M0Q,https://www.google.com/maps/place/?q=place_id:ChIJK8yhufXjBTsRCfIwxAi7M0Q,part_308,2026-09-20 20:17:05,3862
SAWA MOBILES,Mobile Accessories Wholesaler,Cell phone store,"Cell phone store, Electronics store",691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 70250 88099,N/A,4.9,,"Kollam-Ayoor Rd, Kannanalloor, Keralam 691576",691303,8.8938609,76.6815736,ChIJo2aZ4FvjBTsRkDfd1LOWekQ,https://www.google.com/maps/place/?q=place_id:ChIJo2aZ4FvjBTsRkDfd1LOWekQ,part_308,2026-09-20 20:17:05,3863
Experia Mobiles - Kottiyam,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Cell phone store, Mobile phone repair shop",691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 95624 74777,https://www.instagram.com/experia_mobiles/profilecard/?igsh=eThkMHp5NnVibmFt,4.7,,"Kottiyam - Kundara Rd, Kottiyam, Thazhuthala, Keralam 691571",691303,8.8671451,76.6710342,ChIJr7dK3yrjBTsRWmGV8Fc3dUk,https://www.google.com/maps/place/?q=place_id:ChIJr7dK3yrjBTsRWmGV8Fc3dUk,part_308,2026-09-20 20:17:05,3864
Elite Mobiles Kadappakada,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Cell phone store, Mobile phone repair shop",691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 80890 92009,http://www.elitemobiles.in/,4.8,,"Kollam - Thirumangalam Rd, near Traffic signal, Kadapakkada, Kollam, Keralam 691008",Kadapakkada,8.892416599999999,76.6038303,ChIJjcwxdGX9BTsR25XpRRVXj_8,https://www.google.com/maps/place/?q=place_id:ChIJjcwxdGX9BTsR25XpRRVXj_8,part_308,2026-09-20 20:17:05,3865
Budget Phones,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",N/A,N/A,4.9,,"Chirayil complex, near imperial Electronics, Anchalummood, Keralam 691601",691303,8.9327467,76.6037304,ChIJu_JxAO_9BTsRH6ddfPyHisQ,https://www.google.com/maps/place/?q=place_id:ChIJu_JxAO_9BTsRH6ddfPyHisQ,part_308,2026-09-20 20:17:05,3866
New SN Mobiles Kollam,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Cell phone store, Electronics store, Mobile phone repair shop",691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 77367 70134,https://www.fairtreez.com/#/buy-product?id=4&ptype=1,4.9,,"ST Reddiar Complex, Main Rd, near Wedland Silks, Andamukkam, Kollam, Keralam 691001",Andamukkam,8.8851531,76.5889784,ChIJM-FXAuj9BTsR0KFzHVvYvxk,https://www.google.com/maps/place/?q=place_id:ChIJM-FXAuj9BTsR0KFzHVvYvxk,part_308,2026-09-20 20:17:05,3867
Skycell Pallimukku,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 98462 98468,N/A,4.8,,"NH Road, Pallimukku, Kollam, Keralam 691010",Pallimukku,8.8762332,76.6229072,ChIJIaojQXH9BTsRTQNa545u3qw,https://www.google.com/maps/place/?q=place_id:ChIJIaojQXH9BTsRTQNa545u3qw,part_308,2026-09-20 20:17:05,3868
New SN Mobiles Vadayattukotta,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 98959 54478,N/A,4.9,,"Vadayattukotta Rd, Chinnakada, Kollam, Keralam 691001",Chinnakada,8.8860763,76.58900369999999,ChIJFwHzHcf9BTsRNWwbM4f6_L8,https://www.google.com/maps/place/?q=place_id:ChIJFwHzHcf9BTsRNWwbM4f6_L8,part_308,2026-09-20 20:17:05,3869
MK Mobiles,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 96569 39291,N/A,4.4,,"VMVJ+MCF, Kottiyam - Kundara Rd, Kannanalloor, Thrikkovilvattom, Keralam 691576",691303,8.894224099999999,76.6810502,ChIJP1QG0gHjBTsReb220aOkk_s,https://www.google.com/maps/place/?q=place_id:ChIJP1QG0gHjBTsReb220aOkk_s,part_308,2026-09-20 20:17:05,3870
TRIDENT CELLULAR-SAMSUNG EXCLUSIVE STORE,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 79072 27551,N/A,5.0,,"VHPP+CQ7, Vadayattukotta Rd, Chinnakada, Kollam, Keralam 691001",Chinnakada,8.8862011,76.589182,ChIJ8WgjE7X9BTsRx9YJPLLxZt4,https://www.google.com/maps/place/?q=place_id:ChIJ8WgjE7X9BTsRx9YJPLLxZt4,part_308,2026-09-20 20:17:05,3871
Cadbury Mobiles,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,691303,Kerala Circle,Trivandrum HQ Region,Quilon Division,"Mayyanad SO, Kakkotumoola BO",+91 94473 42045,N/A,5.0,,"Kottarakkara, Keralam 691531",Pulamon Junction,9.006272899999999,76.78246659999999,ChIJA9XFuhwLBjsRGYzxEU0qGAs,https://www.google.com/maps/place/?q=place_id:ChIJA9XFuhwLBjsRGYzxEU0qGAs,part_308,2026-09-20 20:17:05,3872
