business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
EX- Servicemen Contributory Health Scheme Poly Clinic,Polyclinic,Hospital,Hospital,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 80781 84776,N/A,3.3,,"6PC7+M9P, Thumpamon, Keralam 689502",689112,9.2217217,76.713443,ChIJO5DbArkWBjsR46B0DnD9Iok,https://www.google.com/maps/place/?q=place_id:ChIJO5DbArkWBjsR46B0DnD9Iok,part_304,2026-09-20 20:48:45,1471
Ananda Ayurveda Hospital,Polyclinic,Hospital,Hospital,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94479 07955,http://anandaayurvedahospital.com/,4.9,,"Ananda Ayurveda Hospital Parakkara P.O Thatta, Kaipattoor, Keralam 691525",689112,9.211093,76.7463099,ChIJf5iOKT0VBjsRdnlOKcsG2yM,https://www.google.com/maps/place/?q=place_id:ChIJf5iOKT0VBjsRdnlOKcsG2yM,part_304,2026-09-20 20:48:45,1472
Muthoot health care,Polyclinic,Hospital,Hospital,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 70250 02269,https://www.muthoothealthcare.com/muthoot-health-clinic,4.8,,"9JF7+RFR, Vallamkulam, Eraviperoor, Keralam 689541",Vallamkulam,9.3746017,76.6136415,ChIJpXwU8sIjBjsRV0PEGQaIKD4,https://www.google.com/maps/place/?q=place_id:ChIJpXwU8sIjBjsRV0PEGQaIKD4,part_304,2026-09-20 20:48:45,1473
Vijayan Vaidhyan,Polyclinic,Hospital,Hospital,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",N/A,N/A,4.6,,"7Q26+9PG, Kodumthara - Omalloor Rd, Omalloor, Pathanamthitta, Keralam 689647",Omalloor,9.250943,76.7618377,ChIJH8kQZksUBjsRMFOyQKyKoUo,https://www.google.com/maps/place/?q=place_id:ChIJH8kQZksUBjsRMFOyQKyKoUo,part_304,2026-09-20 20:48:45,1474
choice poly packs,Polyclinic,Manufacturer,Manufacturer,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94955 77946,http://www.cheeni.in/,4.0,,"plot no. 49 A , kinfra industrial park , kunnamthanam p.o, Kunnamthanam, Keralam 689581",689112,9.4338382,76.59740289999999,ChIJ-x-emJ0lBjsR6bNttaSEw2g,https://www.google.com/maps/place/?q=place_id:ChIJ-x-emJ0lBjsR6bNttaSEw2g,part_304,2026-09-20 20:48:46,1475
Harvey Plus,Polyclinic,Laboratory equipment supplier,Laboratory equipment supplier,689112,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chathankary SO, Amichikary BO",+91 94471 53966,N/A,,,"7Q8J+RG5, Makkamkunnu, Mannaramala, Pathanamthitta, Keralam 689645","Makkamkunnu, Mannaramala",9.2670116,76.7813681,ChIJNZoXfKkVBjsRDVv0b6bIoys,https://www.google.com/maps/place/?q=place_id:ChIJNZoXfKkVBjsRDVv0b6bIoys,part_304,2026-09-20 20:48:46,1476
Veterinary Poly Clinic,Polyclinic,Animal hospital,Animal hospital,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",N/A,N/A,4.2,134.0,"9HG9+WR2 Goverment Hospital, SH 6, Thiruvalla, Keralam 689101",689113,9.3784659,76.570735,ChIJqWiyUQUlBjsRiOucqIutw9Q,https://www.google.com/maps/place/?q=place_id:ChIJqWiyUQUlBjsRiOucqIutw9Q,part_304,2026-09-20 20:49:20,5411
Life Care Clinic,Polyclinic,Hospital,Hospital,689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",N/A,N/A,4.0,10.0,"7Q36+5G8, Near Govt. HSS, Omalloor, Pathanamthitta, Keralam 689503",Omalloor,9.2529047,76.7613241,ChIJVVWVT5YWBjsR9vT7ql-O0LQ,https://www.google.com/maps/place/?q=place_id:ChIJVVWVT5YWBjsR9vT7ql-O0LQ,part_304,2026-09-20 20:49:20,5412
SWAASTHYAM BY DR PRASANTH,Polyclinic,Medical clinic,"Medical clinic, Diabetes center, Doctor, Diabetologist",689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 62384 36238,N/A,5.0,5.0,"RaagaSamanwayam, Puthenpeedika - Santhosh Jct Rd, near AGT Maruti Car Service Centre, Omalloor, Pathanamthitta, Keralam 689647",Omalloor,9.2536898,76.7698252,ChIJa9XC-CsVBjsRBXYGtARnX2M,https://www.google.com/maps/place/?q=place_id:ChIJa9XC-CsVBjsRBXYGtARnX2M,part_304,2026-09-20 20:49:21,5413
Nakkada Mission Hospital | Thiruvalla,Polyclinic,Psychiatric hospital,"Psychiatric hospital, Psychiatrist",689113,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Azhiyadathuchira SO, Alumthuruthy BO",+91 469 260 0360,http://nakkadamissionhospitalthiruvalla.com/?utm_source=gmb&utm_medium=referral,4.2,44.0,"Ramanchira, Thiruvalla, Keralam 689101",Ramanchira,9.389548,76.57108,ChIJRxwnzWwkBjsRjYNU8MzU8l4,https://www.google.com/maps/place/?q=place_id:ChIJRxwnzWwkBjsRjYNU8MzU8l4,part_304,2026-09-20 20:49:21,5414
Family Health Centre,Polyclinic,Government hospital,Government hospital,689115,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,Thirumoolapuram SO,+91 469 265 6505,N/A,4.3,,"9J4H+5XG, Othera, Keralam 689546",689115,9.355426,76.6299447,ChIJ1QTlAjgjBjsRD2_EIgFQPCs,https://www.google.com/maps/place/?q=place_id:ChIJ1QTlAjgjBjsRD2_EIgFQPCs,part_304,2026-09-20 20:49:57,7554
Mammen Memorial Hospital,Polyclinic,Hospital,Hospital,689115,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,Thirumoolapuram SO,+91 75608 42823,https://mammenmemorialhospital.com/,3.9,,"M. C Road, Near KSRTC Bus Stand, near Railway Station, Chengannur, Keralam 689121",689115,9.3197458,76.6115509,ChIJVQgUN-oiBjsRxZKGVRJYKJY,https://www.google.com/maps/place/?q=place_id:ChIJVQgUN-oiBjsRxZKGVRJYKJY,part_304,2026-09-20 20:49:58,7555
Veterinary Polyclinic Chengannur,Polyclinic,Animal hospital,Animal hospital,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",N/A,N/A,4.5,494.0,"8JF8+V8V, Mithrapuzha Kadavu Road, Kizhakke Nada, Chengannur, Keralam 689121",Kizhakke Nada,9.3247311,76.6157941,ChIJQc8AseciBjsRl-TGTdZrskk,https://www.google.com/maps/place/?q=place_id:ChIJQc8AseciBjsRl-TGTdZrskk,part_304,2026-09-20 20:50:32,9139
Karunya Dental Clinic - Dr Reji & Dr Shobha,Polyclinic,Dental clinic,Dental clinic,689121,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Chengannur HO, Chengannur RS SO",+91 85899 89902,N/A,,,"Yamuna Nagar Road, Chengannur, Keralam 689121",689121,9.316144399999999,76.6156578,ChIJ2693_E0jBjsRQeMMyyzrAL0,https://www.google.com/maps/place/?q=place_id:ChIJ2693_E0jBjsRQeMMyyzrAL0,part_304,2026-09-20 20:50:32,9140
